Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_result,match_info,odds_left,odds_right
1,0,0,2,76%,65%,"81%
(30/37)","61%
(19/31)","58%
(7/12)","41%
(7/17)",0/0,0/3,"39%
(12/31)","19%
(7/37)","59%
(10/17)","42%
(5/12)",3/3,0/0,19,4,10,14,"77%
(10/13)","53%
(8/15)","76%
(37/49)","54%
(26/48)","46%
(22/48)","24%
(12/49)","61%
(59/97)","39%
(38/97)","100%
(9/9)","63%
(5/8)","38%
(3/8)","0%
(0/9)","71%
(12/17)","29%
(5/17)",alcaraz-garfia-carlos,medvedev-daniil,19.03.2023 23:10,"2
-
0
FINISHED",indian-wells-2023,,
5,4,1,4,72%,50%,"73%
(38/52)","78%
(28/36)","45%
(9/20)","47%
(17/36)",1/2,4/6,"22%
(8/36)","27%
(14/52)","53%
(19/36)","55%
(11/20)",2/6,1/2,28,15,14,15,"72%
(13/18)","43%
(9/21)","65%
(47/72)","63%
(45/72)","38%
(27/72)","35%
(25/72)","51%
(74/144)","49%
(70/144)","91%
(10/11)","80%
(8/10)","20%
(2/10)","9%
(1/11)","57%
(12/21)","43%
(9/21)",alcaraz-garfia-carlos,sinner-jannik,18.03.2023 23:00,"2
-
0
FINISHED",indian-wells-2023,,
9,3,2,1,59%,59%,"80%
(35/44)","70%
(31/44)","65%
(20/31)","48%
(15/31)",1/3,8/11,"30%
(13/44)","20%
(9/44)","52%
(16/31)","35%
(11/31)",3/11,2/3,30,33,9,23,"39%
(7/18)","64%
(28/44)","73%
(55/75)","61%
(46/75)","39%
(29/75)","27%
(20/75)","56%
(84/150)","44%
(66/150)","83%
(10/12)","75%
(9/12)","25%
(3/12)","17%
(2/12)","54%
(13/24)","46%
(11/24)",medvedev-daniil,tiafoe-frances,18.03.2023 20:45,"2
-
0
FINISHED",indian-wells-2023,,
2,6,2,6,62%,56%,"81%
(29/36)","70%
(32/46)","59%
(13/22)","42%
(15/36)",3/4,9/12,"30%
(14/46)","19%
(7/36)","58%
(21/36)","41%
(9/22)",3/12,1/4,26,24,8,13,"69%
(11/16)","58%
(11/19)","72%
(42/58)","57%
(47/82)","43%
(35/82)","28%
(16/58)","55%
(77/140)","45%
(63/140)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",alcaraz-garfia-carlos,auger-aliassime-felix,17.03.2023 01:35,"2
-
0
FINISHED",indian-wells-2023,,
4,5,0,1,54%,64%,"70%
(35/50)","80%
(45/56)","55%
(23/42)","47%
(15/32)",6/9,1/3,"20%
(11/56)","30%
(15/50)","53%
(17/32)","45%
(19/42)",2/3,3/9,25,32,17,17,"50%
(6/12)","83%
(15/18)","63%
(58/92)","68%
(60/88)","32%
(28/88)","37%
(34/92)","48%
(86/180)","52%
(94/180)","80%
(12/15)","87%
(13/15)","13%
(2/15)","20%
(3/15)","47%
(14/30)","53%
(16/30)",fritz-taylor,sinner-jannik,16.03.2023 22:55,"1
-
2
FINISHED",indian-wells-2023,,
4,1,7,0,56%,71%,"85%
(33/39)","64%
(34/53)","55%
(17/31)","50%
(11/22)",6/6,5/7,"36%
(19/53)","15%
(6/39)","50%
(11/22)","45%
(14/31)",2/7,0/6,24,24,12,24,"70%
(14/20)","61%
(14/23)","71%
(50/70)","60%
(45/75)","40%
(30/75)","29%
(20/70)","55%
(80/145)","45%
(65/145)","100%
(11/11)","80%
(8/10)","20%
(2/10)","0%
(0/11)","62%
(13/21)","38%
(8/21)",medvedev-daniil,davidovich-fokina-alejandro,15.03.2023 22:10,"2
-
0
FINISHED",indian-wells-2023,,
7,4,3,2,54%,53%,"72%
(23/32)","77%
(24/31)","41%
(11/27)","56%
(15/27)",5/9,5/7,"23%
(7/31)","28%
(9/32)","44%
(12/27)","59%
(16/27)",2/7,4/9,21,22,14,9,"44%
(7/16)","80%
(12/15)","58%
(34/59)","67%
(39/58)","33%
(19/58)","42%
(25/59)","45%
(53/117)","55%
(64/117)","60%
(6/10)","80%
(8/10)","20%
(2/10)","40%
(4/10)","40%
(8/20)","60%
(12/20)",norrie-cameron,tiafoe-frances,15.03.2023 18:15,"0
-
2
FINISHED",indian-wells-2023,,
0,12,4,7,69%,58%,"69%
(50/72)","78%
(43/55)","52%
(17/33)","53%
(21/40)",6/8,7/9,"22%
(12/55)","31%
(22/72)","48%
(19/40)","48%
(16/33)",2/9,2/8,13,31,17,31,"70%
(16/23)","65%
(17/26)","64%
(67/105)","67%
(64/95)","33%
(31/95)","36%
(38/105)","49%
(98/200)","51%
(102/200)","87%
(13/15)","87%
(13/15)","13%
(2/15)","13%
(2/15)","50%
(15/30)","50%
(15/30)",paul-tommy,auger-aliassime-felix,15.03.2023 03:55,"1
-
2
FINISHED",indian-wells-2023,,
5,1,0,1,48%,54%,"68%
(21/31)","59%
(20/34)","61%
(20/33)","38%
(11/29)",8/9,10/14,"41%
(14/34)","32%
(10/31)","62%
(18/29)","39%
(13/33)",4/14,1/9,13,9,14,21,"67%
(8/12)","67%
(8/12)","64%
(41/64)","49%
(31/63)","51%
(32/63)","36%
(23/64)","57%
(73/127)","43%
(54/127)","89%
(8/9)","50%
(4/8)","50%
(4/8)","11%
(1/9)","71%
(12/17)","29%
(5/17)",sinner-jannik,wawrinka-stan,15.03.2023 03:25,"2
-
0
FINISHED",indian-wells-2023,,
3,1,0,1,74%,65%,"80%
(16/20)","50%
(11/22)","86%
(6/7)","33%
(4/12)",3/3,2/5,"50%
(11/22)","20%
(4/20)","67%
(8/12)","14%
(1/7)",3/5,0/3,17,4,6,12,"67%
(4/6)","60%
(3/5)","81%
(22/27)","44%
(15/34)","56%
(19/34)","19%
(5/27)","67%
(41/61)","33%
(20/61)","100%
(5/5)","40%
(2/5)","60%
(3/5)","0%
(0/5)","80%
(8/10)","20%
(2/10)",alcaraz-garfia-carlos,draper-jack,15.03.2023 02:30,"1
-
0
FINISHED / RETIRED -
DRAPER J.",indian-wells-2023,,
6,5,4,1,61%,65%,"77%
(33/43)","71%
(25/35)","50%
(14/28)","47%
(9/19)",5/6,0/3,"29%
(10/35)","23%
(10/43)","53%
(10/19)","50%
(14/28)",3/3,1/6,22,25,11,8,"83%
(10/12)","36%
(8/22)","66%
(47/71)","63%
(34/54)","37%
(20/54)","34%
(24/71)","54%
(67/125)","46%
(58/125)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",tiafoe-frances,tabilo-alejandro,14.03.2023 23:10,"2
-
0
FINISHED",indian-wells-2023,,
2,4,4,1,61%,57%,"69%
(33/48)","74%
(23/31)","55%
(17/31)","35%
(8/23)",3/4,2/5,"26%
(8/31)","31%
(15/48)","65%
(15/23)","45%
(14/31)",3/5,1/4,21,27,15,16,"88%
(7/8)","46%
(6/13)","63%
(50/79)","57%
(31/54)","43%
(23/54)","37%
(29/79)","55%
(73/133)","45%
(60/133)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",fritz-taylor,fucsovics-marton,14.03.2023 21:50,"2
-
0
FINISHED",indian-wells-2023,,
8,2,2,2,50%,60%,"73%
(19/26)","79%
(26/33)","31%
(8/26)","41%
(9/22)",0/5,3/5,"21%
(7/33)","27%
(7/26)","59%
(13/22)","69%
(18/26)",2/5,5/5,22,15,15,11,"70%
(7/10)","57%
(4/7)","52%
(27/52)","64%
(35/55)","36%
(20/55)","48%
(25/52)","44%
(47/107)","56%
(60/107)","44%
(4/9)","78%
(7/9)","22%
(2/9)","56%
(5/9)","33%
(6/18)","67%
(12/18)",rublev-andrey,norrie-cameron,14.03.2023 21:15,"0
-
2
FINISHED",indian-wells-2023,,
12,7,5,3,66%,75%,"75%
(65/87)","71%
(66/93)","55%
(24/44)","55%
(17/31)",15/17,5/8,"29%
(27/93)","25%
(22/87)","45%
(14/31)","45%
(20/44)",3/8,2/17,54,57,27,24,"79%
(23/29)","64%
(30/47)","68%
(89/131)","67%
(83/124)","33%
(41/124)","32%
(42/131)","51%
(130/255)","49%
(125/255)","89%
(16/18)","83%
(15/18)","17%
(3/18)","11%
(2/18)","53%
(19/36)","47%
(17/36)",medvedev-daniil,zverev-alexander,14.03.2023 18:15,"2
-
1
FINISHED",indian-wells-2023,,
5,1,0,2,54%,64%,"71%
(22/31)","64%
(23/36)","58%
(15/26)","40%
(8/20)",1/3,1/5,"36%
(13/36)","29%
(9/31)","60%
(12/20)","42%
(11/26)",4/5,2/3,20,10,13,13,"80%
(8/10)","70%
(7/10)","65%
(37/57)","55%
(31/56)","45%
(25/56)","35%
(20/57)","55%
(62/113)","45%
(51/113)","80%
(8/10)","56%
(5/9)","44%
(4/9)","20%
(2/10)","63%
(12/19)","37%
(7/19)",davidovich-fokina-alejandro,garin-cristian,14.03.2023 18:10,"2
-
0
FINISHED",indian-wells-2023,,
0,1,3,3,61%,67%,"75%
(33/44)","72%
(33/46)","68%
(19/28)","52%
(12/23)",2/2,3/4,"28%
(13/46)","25%
(11/44)","48%
(11/23)","32%
(9/28)",1/4,0/2,13,11,6,15,"64%
(7/11)","73%
(8/11)","72%
(52/72)","65%
(45/69)","35%
(24/69)","28%
(20/72)","54%
(76/141)","46%
(65/141)","100%
(11/11)","90%
(9/10)","10%
(1/10)","0%
(0/11)","57%
(12/21)","43%
(9/21)",alcaraz-garfia-carlos,griekspoor-tallon,14.03.2023 03:40,"2
-
0
FINISHED",indian-wells-2023,,
8,3,1,5,62%,58%,"73%
(29/40)","68%
(30/44)","68%
(17/25)","47%
(15/32)",4/5,7/10,"32%
(14/44)","28%
(11/40)","53%
(17/32)","32%
(8/25)",3/10,1/5,31,18,12,21,"69%
(18/26)","33%
(5/15)","71%
(46/65)","59%
(45/76)","41%
(31/76)","29%
(19/65)","55%
(77/141)","45%
(64/141)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",draper-jack,murray-andy,14.03.2023 01:20,"2
-
0
FINISHED",indian-wells-2023,,
