,Aces_left,Double Faults_left,1st Serve Percentage_left,1st Serve Points Won_left,2nd Serve Points Won_left,Break Points Converted_left,Return Points Won_left,Total Points Won_left,Total Games Won_left,Aces_right,Double Faults_right,1st Serve Percentage_right,1st Serve Points Won_right,2nd Serve Points Won_right,Break Points Converted_right,Return Points Won_right,Total Points Won_right,Total Games Won_right,player_left,player_right,date,match_result,match_info,odds_left,odds_right
0,1,0,76%,81% (30/37),58% (7/12),100% (3/3),46% (22/48),61% (59/97),71% (12/17),0,2,65%,61% (19/31),41% (7/17),0% (0/0),24% (12/49),39% (38/97),29% (5/17),alcaraz-garfia-carlos,medvedev-daniil,19.03.2023 19:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - FINAL",1.73,2.10
1,5,1,72%,73% (38/52),45% (9/20),33% (2/6),38% (27/72),51% (74/144),57% (12/21),4,4,50%,78% (28/36),47% (17/36),50% (1/2),35% (25/72),49% (70/144),43% (9/21),alcaraz-garfia-carlos,sinner-jannik,18.03.2023 19:00,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - SEMI-FINALS",1.53,2.50
2,9,2,59%,80% (35/44),65% (20/31),27% (3/11),39% (29/75),56% (84/150),54% (13/24),3,1,59%,70% (31/44),48% (15/31),67% (2/3),27% (20/75),44% (66/150),46% (11/24),medvedev-daniil,tiafoe-frances,18.03.2023 16:45,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - SEMI-FINALS",1.25,4.00
3,2,2,62%,81% (29/36),59% (13/22),25% (3/12),43% (35/82),55% (77/140),60% (12/20),6,6,56%,70% (32/46),42% (15/36),25% (1/4),28% (16/58),45% (63/140),40% (8/20),alcaraz-garfia-carlos,auger-aliassime-felix,16.03.2023 21:35,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - QUARTER-FINALS",1.36,3.20
4,4,0,54%,70% (35/50),55% (23/42),67% (2/3),32% (28/88),48% (86/180),47% (14/30),5,1,64%,80% (45/56),47% (15/32),33% (3/9),37% (34/92),52% (94/180),53% (16/30),fritz-taylor,sinner-jannik,16.03.2023 18:55,"1
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - QUARTER-FINALS",2.20,1.67
5,4,7,56%,85% (33/39),55% (17/31),29% (2/7),40% (30/75),55% (80/145),62% (13/21),1,0,71%,64% (34/53),50% (11/22),0% (0/6),29% (20/70),45% (65/145),38% (8/21),medvedev-daniil,davidovich-fokina-alejandro,15.03.2023 18:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - QUARTER-FINALS",1.22,4.33
6,7,3,54%,72% (23/32),41% (11/27),29% (2/7),33% (19/58),45% (53/117),40% (8/20),4,2,53%,77% (24/31),56% (15/27),44% (4/9),42% (25/59),55% (64/117),60% (12/20),norrie-cameron,tiafoe-frances,15.03.2023 14:15,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - QUARTER-FINALS",1.57,2.38
7,0,4,69%,69% (50/72),52% (17/33),22% (2/9),33% (31/95),49% (98/200),50% (15/30),12,7,58%,78% (43/55),53% (21/40),25% (2/8),36% (38/105),51% (102/200),50% (15/30),paul-tommy,auger-aliassime-felix,14.03.2023 23:55,"1
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",2.00,1.80
8,5,0,48%,68% (21/31),61% (20/33),29% (4/14),51% (32/63),57% (73/127),71% (12/17),1,1,54%,59% (20/34),38% (11/29),11% (1/9),36% (23/64),43% (54/127),29% (5/17),sinner-jannik,wawrinka-stan,14.03.2023 23:25,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",1.17,5.00
9,3,0,74%,80% (16/20),86% (6/7),60% (3/5),56% (19/34),67% (41/61),80% (8/10),1,1,65%,50% (11/22),33% (4/12),0% (0/3),19% (5/27),33% (20/61),20% (2/10),alcaraz-garfia-carlos,draper-jack,14.03.2023 22:30,"1
-
0
FINISHED / RETIRED -
DRAPER J.","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",1.30,3.50
