Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
3,4,4,8,65%,60%,"62%
(33/53)","78%
(38/49)","45%
(13/29)","38%
(12/32)",9/12,6/8,"22%
(11/49)","38%
(20/53)","38%
(12/32)","41%
(12/29)",2/8,3/12,"56%
(45/80)","63%
(52/83)","37%
(31/83)","44%
(35/80)","47%
(77/163)","52%
(85/163)","73%
(8/11)","82%
(9/11)","18%
(2/11)","27%
(3/11)","45%
(10/22)","55%
(12/22)",tsitsipas-stefanos,zverev-alexander,21.03.2021 03:15,acapulco-2021,0-2,2,3,0-2 | 4-6 | 6-7(3-7),4-6,,6-7,3-7,,,,,,
2,1,1,0,53%,70%,"85%
(22/26)","56%
(22/39)","52%
(12/23)","41%
(7/17)",0/0,4/8,"44%
(17/39)","15%
(4/26)","59%
(10/17)","43%
(10/23)",4/8,0/0,"69%
(34/49)","52%
(29/56)","48%
(27/56)","31%
(15/49)","58%
(61/105)","42%
(44/105)","100%
(8/8)","50%
(4/8)","40%
(4/10)","0%
(0/8)","75%
(12/16)","22%
(4/18)",tsitsipas-stefanos,musetti-lorenzo,20.03.2021 04:40,acapulco-2021,2-0,2,3,2-0 | 6-1 | 6-3,6-1,,6-3,,,,,,,
3,3,8,1,62%,60%,"59%
(33/56)","71%
(30/42)","53%
(18/34)","54%
(15/28)",7/10,2/4,"29%
(12/42)","41%
(23/56)","43%
(12/28)","24%
(8/34)",2/4,3/10,"57%
(51/90)","64%
(45/70)","36%
(25/70)","43%
(39/90)","48%
(76/160)","53%
(84/160)","73%
(8/11)","82%
(9/11)","18%
(2/11)","27%
(3/11)","45%
(10/22)","55%
(12/22)",koepfer-dominik,zverev-alexander,20.03.2021 02:10,acapulco-2021,0-2,2,3,0-2 | 4-6 | 6-7(5-7),4-6,,6-7,5-7,,,,,,
1,0,2,6,59%,62%,"77%
(34/44)","63%
(37/59)","40%
(12/30)","42%
(15/36)",2/4,11/14,"37%
(22/59)","23%
(10/44)","42%
(15/36)","53%
(16/30)",3/14,2/4,"62%
(46/74)","55%
(52/95)","45%
(43/95)","38%
(28/74)","53%
(89/169)","47%
(80/169)","82%
(9/11)","73%
(8/11)","27%
(3/11)","18%
(2/11)","55%
(12/22)","45%
(10/22)",musetti-lorenzo,dimitrov-grigor,19.03.2021 04:50,acapulco-2021,2-0,2,3,2-0 | 6-4 | 7-6(7-3),6-4,,7-6,7-3,,,,,,
4,7,1,3,70%,69%,"76%
(45/59)","67%
(34/51)","56%
(14/25)","65%
(15/23)",1/3,0/3,"33%
(17/51)","24%
(14/59)","22%
(5/23)","40%
(10/25)",3/3,2/3,"70%
(59/84)","66%
(49/74)","34%
(25/74)","30%
(25/84)","53%
(84/158)","47%
(74/158)","88%
(14/16)","80%
(12/15)","20%
(3/15)","13%
(2/16)","55%
(17/31)","45%
(14/31)",tsitsipas-stefanos,auger-aliassime-felix,19.03.2021 02:20,acapulco-2021,2-1,3,3,2-1 | 7-5 | 4-6 | 6-3,7-5,,4-6,,6-3,,,,,
2,3,2,7,64%,53%,"63%
(31/49)","82%
(27/33)","41%
(11/27)","48%
(14/29)",7/11,4/6,"18%
(6/33)","37%
(18/49)","28%
(8/29)","52%
(14/27)",2/6,4/11,"55%
(42/76)","66%
(41/62)","34%
(21/62)","45%
(34/76)","46%
(63/138)","54%
(75/138)","64%
(7/11)","82%
(9/11)","18%
(2/11)","36%
(4/11)","41%
(9/22)","59%
(13/22)",norrie-cameron,koepfer-dominik,19.03.2021 00:10,acapulco-2021,0-2,2,3,0-2 | 5-7 | 4-6,5-7,,4-6,,,,,,,
8,4,1,2,61%,65%,"96%
(24/25)","59%
(19/32)","75%
(12/16)","41%
(7/17)",0/0,2/5,"41%
(13/32)","4%
(1/25)","47%
(8/17)","19%
(3/16)",3/5,0/0,"88%
(36/41)","53%
(26/49)","47%
(23/49)","12%
(5/41)","66%
(59/90)","34%
(31/90)","100%
(9/9)","63%
(5/8)","38%
(3/8)","0%
(0/9)","71%
(12/17)","29%
(5/17)",tsitsipas-stefanos,isner-john,18.03.2021 04:10,acapulco-2021,2-0,2,3,2-0 | 6-3 | 6-2,6-3,,6-2,,,,,,,
0,3,4,2,51%,59%,"68%
(21/31)","72%
(31/43)","40%
(12/30)","53%
(16/30)",3/6,3/4,"28%
(12/43)","32%
(10/31)","40%
(12/30)","47%
(14/30)",1/4,3/6,"54%
(33/61)","64%
(47/73)","36%
(26/73)","46%
(28/61)","44%
(59/134)","56%
(75/134)","67%
(6/9)","90%
(9/10)","10%
(1/10)","33%
(3/9)","37%
(7/19)","63%
(12/19)",fognini-fabio,norrie-cameron,18.03.2021 03:25,acapulco-2021,0-2,2,3,0-2 | 4-6 | 3-6,4-6,,3-6,,,,,,,
2,6,8,2,64%,74%,"56%
(27/48)","62%
(26/42)","30%
(8/27)","40%
(6/15)",6/12,4/7,"38%
(16/42)","44%
(21/48)","60%
(9/15)","70%
(19/27)",3/7,6/12,"47%
(35/75)","56%
(32/57)","44%
(25/57)","53%
(40/75)","45%
(60/132)","55%
(72/132)","40%
(4/10)","67%
(6/9)","33%
(3/9)","60%
(6/10)","37%
(7/19)","63%
(12/19)",djere-laslo,zverev-alexander,18.03.2021 02:10,acapulco-2021,0-2,2,3,0-2 | 4-6 | 3-6,4-6,,3-6,,,,,,,
0,0,3,2,46%,54%,"56%
(14/25)","73%
(24/33)","38%
(11/29)","54%
(15/28)",1/6,3/5,"27%
(9/33)","44%
(11/25)","46%
(13/28)","62%
(18/29)",2/5,5/6,"46%
(25/54)","64%
(39/61)","36%
(22/61)","54%
(29/54)","41%
(47/115)","59%
(68/115)","44%
(4/9)","78%
(7/9)","22%
(2/9)","56%
(5/9)","33%
(6/18)","67%
(12/18)",kecmanovic-miomir,dimitrov-grigor,18.03.2021 01:40,acapulco-2021,0-2,2,3,0-2 | 4-6 | 2-6,4-6,,2-6,,,,,,,
