Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
8,4,1,1,65%,55%,"50%
(14/28)","81%
(22/27)","40%
(6/15)","59%
(13/22)",1/5,4/4,"19%
(5/27)","50%
(14/28)","41%
(9/22)","53%
(8/15)",0/4,4/5,"47%
(20/43)","71%
(35/49)","29%
(14/49)","53%
(23/43)","37%
(34/92)","63%
(58/92)","43%
(3/7)","100%
(8/8)","0%
(0/8)","57%
(4/7)","20%
(3/15)","80%
(12/15)",harris-lloyd,rublev-andrey,18.01.2020 08:25,adelaide-2020,0-2,2,3,0-2 | 3-6 | 0-6,3-6,,0-6,,,,,,,
10,19,6,3,60%,61%,"75%
(56/75)","77%
(60/78)","59%
(30/51)","49%
(24/49)",9/10,8/10,"23%
(18/78)","25%
(19/75)","45%
(22/49)","29%
(15/51)",2/10,1/10,"68%
(86/126)","66%
(84/127)","34%
(43/127)","32%
(40/126)","51%
(129/253)","49%
(124/253)","94%
(16/17)","88%
(15/17)","12%
(2/17)","6%
(1/17)","53%
(18/34)","47%
(16/34)",rublev-andrey,auger-aliassime-felix,17.01.2020 10:25,adelaide-2020,2-1,3,3,2-1 | 7-6(7-5) | 6-7(7-9) | 6-4,7-6,7-5,6-7,7-9,6-4,,,,,
4,13,3,3,58%,61%,"64%
(37/58)","85%
(46/54)","52%
(22/42)","46%
(16/35)",3/7,2/4,"15%
(8/54)","36%
(21/58)","46%
(16/35)","40%
(17/42)",2/4,4/7,"59%
(59/100)","70%
(62/89)","30%
(27/89)","41%
(41/100)","46%
(86/189)","54%
(103/189)","73%
(11/15)","88%
(14/16)","13%
(2/16)","27%
(4/15)","42%
(13/31)","58%
(18/31)",paul-tommy,harris-lloyd,17.01.2020 02:45,adelaide-2020,1-2,3,3,1-2 | 4-6 | 7-6(7-3) | 3-6,4-6,,7-6,7-3,3-6,,,,,
2,8,2,0,64%,66%,"53%
(17/32)","90%
(19/21)","33%
(6/18)","82%
(9/11)",4/9,0/0,"10%
(2/21)","47%
(15/32)","18%
(2/11)","56%
(10/18)",0/0,5/9,"46%
(23/50)","88%
(28/32)","13%
(4/32)","54%
(27/50)","33%
(27/82)","67%
(55/82)","38%
(3/8)","100%
(7/7)","0%
(0/7)","63%
(5/8)","20%
(3/15)","80%
(12/15)",bolt-alex,auger-aliassime-felix,16.01.2020 09:50,adelaide-2020,0-2,2,3,0-2 | 3-6 | 0-6,3-6,,0-6,,,,,,,
4,9,2,4,57%,58%,"66%
(21/32)","84%
(26/31)","54%
(13/24)","73%
(16/22)",2/4,0/0,"16%
(5/31)","34%
(11/32)","9%
(2/22)","38%
(9/24)",0/0,2/4,"61%
(34/56)","79%
(42/53)","21%
(11/53)","39%
(22/56)","41%
(45/109)","59%
(64/109)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",ramos-vinolas-albert,paul-tommy,16.01.2020 04:25,adelaide-2020,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
5,12,1,2,60%,59%,"67%
(39/58)","83%
(39/47)","54%
(21/39)","56%
(18/32)",7/9,5/6,"17%
(8/47)","33%
(19/58)","38%
(12/32)","44%
(17/39)",1/6,2/9,"62%
(60/97)","72%
(57/79)","28%
(22/79)","38%
(37/97)","47%
(82/176)","53%
(94/176)","86%
(12/14)","93%
(13/14)","7%
(1/14)","14%
(2/14)","46%
(13/28)","54%
(15/28)",evans-daniel,rublev-andrey,16.01.2020 04:10,adelaide-2020,1-2,3,3,1-2 | 4-6 | 6-3 | 3-6,4-6,,6-3,,3-6,,,,,
1,13,2,3,65%,73%,"64%
(25/39)","88%
(28/32)","43%
(9/21)","75%
(9/12)",6/9,0/0,"13%
(4/32)","36%
(14/39)","0%
(0/12)","48%
(10/21)",0/0,3/9,"57%
(34/60)","84%
(37/44)","16%
(7/44)","43%
(26/60)","39%
(41/104)","61%
(63/104)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",carreno-busta-pablo,harris-lloyd,16.01.2020 02:55,adelaide-2020,0-2,2,3,0-2 | 3-6 | 3-6,3-6,,3-6,,,,,,,
2,10,2,2,61%,63%,"58%
(25/43)","86%
(32/37)","71%
(20/28)","77%
(17/22)",3/4,1/1,"14%
(5/37)","42%
(18/43)","14%
(3/22)","21%
(6/28)",0/1,1/4,"63%
(45/71)","83%
(49/59)","17%
(10/59)","37%
(26/71)","42%
(55/130)","58%
(75/130)","90%
(9/10)","100%
(11/11)","0%
(0/11)","10%
(1/10)","43%
(9/21)","57%
(12/21)",duckworth-james,auger-aliassime-felix,15.01.2020 08:10,adelaide-2020,0-2,2,3,0-2 | 3-6 | 6-7(0-7),3-6,,6-7,0-7,,,,,,
8,5,0,3,61%,63%,"70%
(23/33)","80%
(28/35)","48%
(10/21)","62%
(13/21)",3/5,0/0,"20%
(7/35)","30%
(10/33)","24%
(5/21)","52%
(11/21)",0/0,2/5,"61%
(33/54)","73%
(41/56)","27%
(15/56)","39%
(21/54)","44%
(48/110)","56%
(62/110)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",struff-jan-lennard,bolt-alex,15.01.2020 06:55,adelaide-2020,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
3,1,5,2,77%,64%,"59%
(30/51)","70%
(37/53)","47%
(7/15)","43%
(13/30)",5/9,8/11,"30%
(16/53)","41%
(21/51)","50%
(15/30)","20%
(3/15)",3/11,4/9,"56%
(37/66)","60%
(50/83)","40%
(33/83)","44%
(29/66)","47%
(70/149)","53%
(79/149)","60%
(6/10)","73%
(8/11)","27%
(3/11)","40%
(4/10)","43%
(9/21)","57%
(12/21)",munar-jaume,ramos-vinolas-albert,15.01.2020 04:30,adelaide-2020,0-2,2,3,0-2 | 6-7(3-7) | 3-6,6-7,3-7,3-6,,,,,,,
