Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
8,0,2,1,52%,55%,"91%
(21/23)","48%
(13/27)","62%
(13/21)","45%
(10/22)",2/2,3/7,"52%
(14/27)","9%
(2/23)","50%
(11/22)","29%
(6/21)",4/7,0/2,"77%
(34/44)","47%
(23/49)","53%
(26/49)","23%
(10/44)","65%
(60/93)","35%
(33/93)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",sinner-jannik,schwartzman-diego,24.10.2021 14:45,antwerp-2021,2-0,2,3,2-0 | 6-2 | 6-2,6-2,,6-2,,,,,,,
0,0,2,3,62%,69%,"45%
(13/29)","74%
(26/35)","39%
(7/18)","50%
(8/16)",4/9,4/5,"26%
(9/35)","55%
(16/29)","31%
(5/16)","50%
(9/18)",1/5,5/9,"43%
(20/47)","67%
(34/51)","33%
(17/51)","57%
(27/47)","38%
(37/98)","62%
(61/98)","38%
(3/8)","88%
(7/8)","13%
(1/8)","63%
(5/8)","25%
(4/16)","75%
(12/16)",brooksby-jenson,schwartzman-diego,23.10.2021 15:40,antwerp-2021,0-2,2,3,0-2 | 4-6 | 0-6,4-6,,0-6,,,,,,,
2,2,0,2,61%,66%,"77%
(27/35)","55%
(22/40)","59%
(13/22)","33%
(7/21)",3/3,3/7,"45%
(18/40)","23%
(8/35)","67%
(14/21)","41%
(9/22)",4/7,0/3,"70%
(40/57)","48%
(29/61)","52%
(32/61)","30%
(17/57)","61%
(72/118)","39%
(46/118)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",sinner-jannik,harris-lloyd,23.10.2021 13:10,antwerp-2021,2-0,2,3,2-0 | 6-2 | 6-2,6-2,,6-2,,,,,,,
0,3,1,4,59%,67%,"72%
(26/36)","59%
(30/51)","52%
(13/25)","28%
(7/25)",3/4,10/15,"41%
(21/51)","28%
(10/36)","56%
(14/25)","44%
(11/25)",5/15,1/4,"64%
(39/61)","49%
(37/76)","51%
(39/76)","36%
(22/61)","57%
(78/137)","43%
(59/137)","89%
(8/9)","44%
(4/9)","56%
(5/9)","11%
(1/9)","72%
(13/18)","28%
(5/18)",brooksby-jenson,davidovich-fokina-alejandro,22.10.2021 18:30,antwerp-2021,2-0,2,3,2-0 | 7-5 | 6-0,7-5,,6-0,,,,,,,
10,2,0,2,65%,60%,"63%
(29/46)","92%
(24/26)","44%
(11/25)","71%
(12/17)",5/8,0/0,"8%
(2/26)","37%
(17/46)","18%
(3/17)","48%
(12/25)",0/0,3/8,"56%
(40/71)","84%
(36/43)","16%
(7/43)","44%
(31/71)","41%
(47/114)","59%
(67/114)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",nakashima-brandon,schwartzman-diego,22.10.2021 16:40,antwerp-2021,0-2,2,3,0-2 | 4-6 | 2-6,4-6,,2-6,,,,,,,
4,9,1,1,64%,57%,"83%
(24/29)","81%
(26/32)","69%
(11/16)","21%
(5/24)",2/3,5/9,"19%
(6/32)","17%
(5/29)","75%
(18/24)","25%
(4/16)",4/9,1/3,"78%
(35/45)","55%
(31/56)","45%
(25/56)","22%
(10/45)","59%
(60/101)","41%
(41/101)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",sinner-jannik,rinderknech-arthur,22.10.2021 14:55,antwerp-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
2,8,1,1,65%,69%,"71%
(25/35)","83%
(33/40)","42%
(8/19)","44%
(8/18)",3/7,1/2,"18%
(7/40)","29%
(10/35)","50%
(9/18)","53%
(10/19)",1/2,4/7,"61%
(33/54)","71%
(41/58)","29%
(17/58)","39%
(21/54)","45%
(50/112)","55%
(62/112)","60%
(6/10)","90%
(9/10)","10%
(1/10)","40%
(4/10)","35%
(7/20)","65%
(13/20)",fucsovics-marton,harris-lloyd,22.10.2021 13:10,antwerp-2021,0-2,2,3,0-2 | 2-6 | 5-7,2-6,,5-7,,,,,,,
8,11,5,0,63%,60%,"80%
(57/71)","79%
(48/61)","52%
(22/42)","55%
(22/40)",3/4,2/4,"21%
(13/61)","20%
(14/71)","45%
(18/40)","36%
(15/42)",2/4,1/4,"70%
(79/113)","69%
(70/101)","31%
(31/101)","30%
(34/113)","51%
(110/214)","49%
(104/214)","94%
(16/17)","88%
(14/16)","13%
(2/16)","6%
(1/17)","55%
(18/33)","45%
(15/33)",nakashima-brandon,laaksonen-henri,21.10.2021 19:20,antwerp-2021,2-1,3,3,2-1 | 7-6(7-5) | 6-7(5-7) | 6-3,7-6,7-5,6-7,5-7,6-3,,,,,
8,1,1,1,48%,80%,"73%
(29/40)","69%
(38/55)","45%
(20/44)","50%
(7/14)",7/10,1/3,"31%
(17/55)","28%
(11/40)","43%
(6/14)","52%
(23/44)",2/3,3/10,"58%
(49/84)","65%
(45/69)","35%
(24/69)","42%
(35/84)","48%
(73/153)","52%
(80/153)","73%
(8/11)","82%
(9/11)","18%
(2/11)","27%
(3/11)","45%
(10/22)","55%
(12/22)",murray-andy,schwartzman-diego,21.10.2021 16:45,antwerp-2021,0-2,2,3,0-2 | 4-6 | 6-7(6-8),4-6,,6-7,6-8,,,,,,
2,7,1,1,66%,65%,"57%
(33/58)","68%
(41/60)","50%
(15/30)","56%
(18/32)",11/17,5/7,"32%
(19/60)","43%
(25/58)","41%
(13/32)","47%
(14/30)",2/7,6/17,"55%
(48/88)","64%
(59/92)","36%
(33/92)","45%
(40/88)","45%
(81/180)","55%
(99/180)","57%
(8/14)","86%
(12/14)","14%
(2/14)","43%
(6/14)","36%
(10/28)","64%
(18/28)",bautista-agut-roberto,fucsovics-marton,21.10.2021 12:35,antwerp-2021,1-2,3,3,1-2 | 7-6(7-5) | 3-6 | 1-6,7-6,7-5,3-6,,1-6,,,,,
