Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
10,4,2,2,52%,55%,"82%
(28/34)","86%
(31/36)","47%
(15/32)","50%
(15/30)",4/6,0/1,"14%
(5/36)","18%
(6/34)","43%
(13/30)","47%
(15/32)",1/1,2/6,"65%
(43/66)","70%
(46/66)","30%
(20/66)","35%
(23/66)","48%
(63/132)","52%
(69/132)","80%
(8/10)","91%
(10/11)","9%
(1/11)","20%
(2/10)","43%
(9/21)","57%
(12/21)",duckworth-james,kwon-soon-woo,26.09.2021 08:40,astana-2021,0-2,2,3,0-2 | 6-7(6-8) | 3-6,6-7,6-8,3-6,,,,,,,
7,26,0,7,71%,66%,"65%
(49/75)","77%
(46/60)","67%
(20/30)","42%
(13/31)",8/10,4/7,"23%
(14/60)","35%
(26/75)","35%
(11/31)","33%
(10/30)",3/7,2/10,"66%
(69/105)","65%
(59/91)","35%
(32/91)","34%
(36/105)","52%
(101/196)","48%
(95/196)","87%
(13/15)","80%
(12/15)","20%
(3/15)","13%
(2/15)","53%
(16/30)","47%
(14/30)",kwon-soon-woo,bublik-alexander,25.09.2021 10:30,astana-2021,2-1,3,3,2-1 | 3-6 | 7-5 | 6-3,3-6,,7-5,,6-3,,,,,
6,5,4,2,60%,46%,"76%
(32/42)","71%
(29/41)","43%
(12/28)","58%
(28/48)",5/7,5/6,"29%
(12/41)","24%
(10/42)","38%
(18/48)","43%
(12/28)",1/6,2/7,"63%
(44/70)","64%
(57/89)","36%
(32/89)","37%
(26/70)","48%
(76/159)","52%
(83/159)","80%
(8/10)","91%
(10/11)","9%
(1/11)","20%
(2/10)","43%
(9/21)","57%
(12/21)",ivashka-ilya,duckworth-james,25.09.2021 08:10,astana-2021,0-2,2,3,0-2 | 3-6 | 6-7(4-7),3-6,,6-7,4-7,,,,,,
4,17,1,4,61%,73%,"62%
(24/39)","87%
(39/45)","56%
(14/25)","29%
(5/17)",4/6,1/1,"13%
(6/45)","38%
(15/39)","47%
(8/17)","40%
(10/25)",0/1,2/6,"59%
(38/64)","71%
(44/62)","29%
(18/62)","41%
(26/64)","44%
(56/126)","56%
(70/126)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",taberner-carlos,bublik-alexander,24.09.2021 13:25,astana-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
5,0,2,1,53%,54%,"59%
(23/39)","55%
(22/40)","49%
(17/35)","53%
(18/34)",5/11,2/7,"45%
(18/40)","41%
(16/39)","44%
(15/34)","46%
(16/35)",5/7,6/11,"54%
(40/74)","54%
(40/74)","46%
(34/74)","46%
(34/74)","50%
(74/148)","50%
(74/148)","54%
(7/13)","62%
(8/13)","38%
(5/13)","46%
(6/13)","46%
(12/26)","54%
(14/26)",djere-laslo,kwon-soon-woo,24.09.2021 11:05,astana-2021,1-2,3,3,1-2 | 6-7(4-7) | 6-2 | 0-6,6-7,4-7,6-2,,0-6,,,,,
9,4,1,2,52%,58%,"78%
(29/37)","71%
(24/34)","53%
(18/34)","52%
(13/25)",7/8,2/5,"29%
(10/34)","22%
(8/37)","40%
(10/25)","44%
(15/34)",3/5,1/8,"66%
(47/71)","63%
(37/59)","37%
(22/59)","34%
(24/71)","52%
(68/130)","46%
(60/130)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",duckworth-james,millman-john,24.09.2021 09:20,astana-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
3,4,9,3,64%,65%,"64%
(41/64)","73%
(45/62)","36%
(13/36)","29%
(10/34)",10/16,8/11,"27%
(17/62)","36%
(23/64)","62%
(21/34)","39%
(14/36)",3/11,6/16,"54%
(54/100)","57%
(55/96)","43%
(41/96)","46%
(46/100)","48%
(95/196)","52%
(101/196)","57%
(8/14)","77%
(10/13)","23%
(3/13)","43%
(6/14)","41%
(11/27)","59%
(16/27)",ruusuvuori-emil,ivashka-ilya,24.09.2021 06:10,astana-2021,1-2,3,3,1-2 | 6-4 | 4-6 | 1-6,6-4,,4-6,,1-6,,,,,
4,18,3,8,57%,52%,"74%
(37/50)","89%
(42/47)","53%
(20/38)","47%
(20/43)",3/5,5/7,"11%
(5/47)","26%
(13/50)","35%
(15/43)","39%
(15/38)",2/7,2/5,"65%
(57/88)","69%
(62/90)","31%
(28/90)","35%
(31/88)","48%
(85/178)","52%
(93/178)","86%
(12/14)","87%
(13/15)","13%
(2/15)","14%
(2/14)","48%
(14/29)","52%
(15/29)",kecmanovic-miomir,bublik-alexander,23.09.2021 12:10,astana-2021,1-2,3,3,1-2 | 6-2 | 3-6 | 5-7,6-2,,3-6,,5-7,,,,,
14,2,6,4,64%,56%,"71%
(56/79)","65%
(45/69)","43%
(19/44)","50%
(27/54)",5/9,9/13,"35%
(24/69)","29%
(23/79)","43%
(23/54)","43%
(19/44)",4/13,4/9,"61%
(75/123)","59%
(72/123)","41%
(51/123)","39%
(48/123)","51%
(126/246)","49%
(120/246)","78%
(14/18)","78%
(14/18)","22%
(4/18)","22%
(4/18)","50%
(18/36)","50%
(18/36)",gerasimov-egor,taberner-carlos,23.09.2021 11:25,astana-2021,1-2,3,3,1-2 | 7-5 | 6-7(5-7) | 5-7,7-5,,6-7,5-7,5-7,,,,,
3,4,1,0,66%,57%,"72%
(34/47)","87%
(27/31)","54%
(13/24)","78%
(18/23)",3/5,0/0,"13%
(4/31)","28%
(13/47)","22%
(5/23)","42%
(10/24)",0/0,2/5,"66%
(47/71)","83%
(45/54)","17%
(9/54)","34%
(24/71)","45%
(56/125)","55%
(69/125)","82%
(9/11)","100%
(10/10)","0%
(0/10)","18%
(2/11)","43%
(9/21)","57%
(12/21)",krajinovic-filip,duckworth-james,23.09.2021 10:20,astana-2021,0-2,2,3,0-2 | 6-7(2-7) | 3-6,6-7,2-7,3-6,,,,,,,
