Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
12,21,3,1,57%,75%,"81%
(38/47)","81%
(47/58)","58%
(21/36)","58%
(11/19)",4/5,3/3,"19%
(11/58)","19%
(9/47)","37%
(7/19)","33%
(12/36)",0/3,1/5,"71%
(59/83)","75%
(58/77)","25%
(19/77)","29%
(24/83)","49%
(78/160)","51%
(82/160)","92%
(11/12)","100%
(12/12)","0%
(0/12)","8%
(1/12)","46%
(11/24)","54%
(13/24)",nakashima-brandon,isner-john,01.08.2021 21:10,atlanta-2021,0-2,2,3,0-2 | 6-7(8-10) | 5-7,6-7,8-10,5-7,,,,,,,
20,27,6,2,65%,65%,"84%
(51/61)","78%
(49/63)","52%
(17/33)","68%
(23/34)",3/4,4/5,"22%
(14/63)","16%
(10/61)","26%
(9/34)","30%
(10/33)",1/5,1/4,"72%
(68/94)","74%
(72/97)","26%
(25/97)","28%
(26/94)","49%
(93/191)","51%
(98/191)","94%
(15/16)","94%
(16/17)","6%
(1/17)","6%
(1/16)","48%
(16/33)","52%
(17/33)",fritz-taylor,isner-john,31.07.2021 23:10,atlanta-2021,1-2,3,3,1-2 | 6-7(4-7) | 7-5 | 3-6,6-7,4-7,7-5,,3-6,,,,,
14,7,1,6,65%,79%,"85%
(44/52)","82%
(45/55)","50%
(14/28)","33%
(5/15)",4/6,0/3,"18%
(10/55)","15%
(8/52)","53%
(8/15)","50%
(14/28)",3/3,2/6,"68%
(58/85)","67%
(50/75)","33%
(25/75)","32%
(27/85)","52%
(83/160)","48%
(77/160)","86%
(12/14)","79%
(11/14)","21%
(3/14)","14%
(2/14)","54%
(15/28)","46%
(13/28)",nakashima-brandon,ruusuvuori-emil,31.07.2021 19:10,atlanta-2021,2-1,3,3,2-1 | 3-6 | 6-4 | 6-3,3-6,,6-4,,6-3,,,,,
30,16,0,0,77%,70%,"80%
(64/80)","88%
(66/75)","50%
(12/24)","38%
(12/32)",1/1,5/6,"12%
(9/75)","20%
(16/80)","63%
(20/32)","50%
(12/24)",1/6,0/1,"73%
(76/104)","73%
(78/107)","27%
(29/107)","27%
(28/104)","50%
(105/211)","50%
(106/211)","100%
(17/17)","94%
(16/17)","6%
(1/17)","0%
(0/17)","53%
(18/34)","47%
(16/34)",isner-john,o-connell-christopher,31.07.2021 00:50,atlanta-2021,2-1,3,3,2-1 | 7-6(7-5) | 6-7(3-7) | 6-4,7-6,7-5,6-7,3-7,6-4,,,,,
3,7,2,0,72%,74%,"67%
(29/43)","86%
(37/43)","35%
(6/17)","60%
(9/15)",0/2,1/2,"14%
(6/43)","33%
(14/43)","40%
(6/15)","53%
(9/17)",1/2,2/2,"58%
(35/60)","79%
(46/58)","21%
(12/58)","42%
(25/60)","40%
(47/118)","60%
(71/118)","80%
(8/10)","91%
(10/11)","9%
(1/11)","20%
(2/10)","43%
(9/21)","57%
(12/21)",norrie-cameron,ruusuvuori-emil,30.07.2021 21:35,atlanta-2021,0-2,2,3,0-2 | 6-7(1-7) | 3-6,6-7,1-7,3-6,,,,,,,
25,23,4,0,65%,75%,"91%
(62/68)","78%
(73/93)","59%
(22/37)","58%
(18/31)",0/0,4/4,"22%
(20/93)","9%
(6/68)","42%
(13/31)","30%
(11/37)",0/4,0/0,"80%
(84/105)","73%
(91/124)","27%
(33/124)","20%
(21/105)","51%
(117/229)","49%
(112/229)","100%
(18/18)","100%
(18/18)","0%
(0/18)","0%
(0/18)","50%
(18/36)","50%
(18/36)",fritz-taylor,opelka-reilly,30.07.2021 18:20,atlanta-2021,2-1,3,3,2-1 | 7-6(7-5) | 6-7(3-7) | 7-6(7-4),7-6,7-5,6-7,3-7,7-6,7-4,,,,
4,16,0,3,52%,64%,"79%
(26/33)","83%
(39/47)","74%
(23/31)","44%
(12/27)",0/1,3/5,"17%
(8/47)","21%
(7/33)","44%
(12/27)","26%
(8/31)",2/5,1/1,"77%
(49/64)","69%
(51/74)","31%
(23/74)","23%
(15/64)","52%
(72/138)","48%
(66/138)","92%
(11/12)","83%
(10/12)","17%
(2/12)","8%
(1/12)","54%
(13/24)","46%
(11/24)",nakashima-brandon,thompson-jordan,30.07.2021 16:10,atlanta-2021,2-0,2,3,2-0 | 7-6(7-5) | 7-5,7-6,7-5,7-5,,,,,,,
8,8,1,2,70%,59%,"83%
(29/35)","79%
(19/24)","60%
(9/15)","29%
(5/17)",1/1,1/4,"21%
(5/24)","17%
(6/35)","59%
(10/17)","33%
(5/15)",3/4,0/1,"76%
(38/50)","59%
(24/41)","41%
(17/41)","24%
(12/50)","60%
(55/91)","40%
(36/91)","100%
(9/9)","63%
(5/8)","38%
(3/8)","0%
(0/9)","71%
(12/17)","29%
(5/17)",norrie-cameron,kyrgios-nick,30.07.2021 01:05,atlanta-2021,2-0,2,3,2-0 | 6-1 | 6-4,6-1,,6-4,,,,,,,
13,15,3,2,69%,70%,"87%
(41/47)","81%
(38/47)","48%
(10/21)","50%
(10/20)",1/1,1/2,"19%
(9/47)","13%
(6/47)","40%
(8/20)","38%
(8/21)",1/2,0/1,"75%
(51/68)","72%
(48/67)","28%
(19/67)","25%
(17/68)","52%
(70/135)","48%
(65/135)","100%
(11/11)","91%
(10/11)","9%
(1/11)","0%
(0/11)","55%
(12/22)","45%
(10/22)",isner-john,sock-jack,29.07.2021 23:10,atlanta-2021,2-0,2,3,2-0 | 7-6(8-6) | 6-4,7-6,8-6,6-4,,,,,,,
4,15,3,9,62%,51%,"66%
(37/56)","78%
(32/41)","63%
(22/35)","40%
(16/40)",8/9,5/7,"22%
(9/41)","34%
(19/56)","38%
(15/40)","29%
(10/35)",2/7,1/9,"65%
(59/91)","59%
(48/81)","41%
(33/81)","35%
(32/91)","53%
(92/172)","47%
(80/172)","92%
(11/12)","82%
(9/11)","18%
(2/11)","8%
(1/12)","57%
(13/23)","43%
(10/23)",ruusuvuori-emil,paire-benoit,29.07.2021 19:35,atlanta-2021,1-1,3,3,1-1 | 4-6 | 6-4 | 3-0,4-6,,6-4,,3-0,,,,,
