Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
4,4,3,1,65%,68%,"82%
(28/34)","62%
(26/42)","61%
(11/18)","40%
(8/20)",2/2,8/11,"38%
(16/42)","18%
(6/34)","55%
(11/20)","22%
(4/18)",3/11,0/2,"75%
(39/52)","55%
(34/62)","45%
(28/62)","25%
(13/52)","59%
(67/114)","41%
(47/114)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",medvedev-daniil,berrettini-matteo,07.02.2021 00:35,atp-cup-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
9,2,0,3,59%,43%,"87%
(20/23)","61%
(11/18)","75%
(12/16)","29%
(7/24)",0/0,2/6,"39%
(7/18)","13%
(3/23)","58%
(14/24)","25%
(4/16)",4/6,0/0,"82%
(32/39)","43%
(18/42)","57%
(24/42)","18%
(7/39)","69%
(56/81)","31%
(25/81)","100%
(8/8)","43%
(3/7)","57%
(4/7)","0%
(0/8)","80%
(12/15)","20%
(3/15)",rublev-andrey,fognini-fabio,06.02.2021 23:10,atp-cup-2021,2-0,2,3,2-0 | 6-1 | 6-2,6-1,,6-2,,,,,,,
4,1,7,2,61%,65%,"67%
(41/61)","55%
(28/51)","54%
(21/39)","36%
(10/28)",4/6,6/13,"45%
(23/51)","33%
(20/61)","57%
(16/28)","28%
(11/39)",7/13,2/6,"62%
(62/100)","48%
(38/79)","52%
(41/79)","38%
(38/100)","58%
(103/179)","42%
(76/179)","85%
(11/13)","42%
(5/12)","58%
(7/12)","15%
(2/13)","72%
(18/25)","28%
(7/25)",schwartzman-diego,nishikori-kei,06.02.2021 08:35,atp-cup-2021,2-1,3,3,2-1 | 6-1 | 6-7(4-7) | 6-0,6-1,,6-7,4-7,6-0,,,,,
7,4,1,2,67%,57%,"75%
(36/48)","68%
(27/40)","63%
(15/24)","53%
(16/30)",2/3,3/5,"33%
(13/40)","25%
(12/48)","40%
(12/30)","33%
(8/24)",2/5,1/3,"71%
(51/72)","61%
(43/70)","39%
(27/70)","29%
(21/72)","55%
(78/142)","45%
(64/142)","91%
(10/11)","80%
(8/10)","20%
(2/10)","9%
(1/11)","57%
(12/21)","43%
(9/21)",pella-guido,nishioka-yoshihito,06.02.2021 06:35,atp-cup-2021,2-0,2,3,2-0 | 6-3 | 7-6(7-4),6-3,,7-6,7-4,,,,,,
13,1,0,0,65%,86%,"94%
(33/35)","69%
(35/51)","58%
(11/19)","50%
(4/8)",0/0,4/6,"31%
(16/51)","6%
(2/35)","50%
(4/8)","42%
(8/19)",2/6,0/0,"81%
(44/54)","66%
(39/59)","34%
(20/59)","19%
(10/54)","57%
(64/113)","43%
(49/113)","100%
(11/11)","80%
(8/10)","20%
(2/10)","0%
(0/11)","62%
(13/21)","38%
(8/21)",berrettini-matteo,bautista-agut-roberto,06.02.2021 02:25,atp-cup-2021,2-0,2,3,2-0 | 6-3 | 7-5,6-3,,7-5,,,,,,,
7,12,9,13,63%,52%,"74%
(49/66)","82%
(46/56)","41%
(16/39)","39%
(20/51)",8/11,9/11,"18%
(10/56)","26%
(17/66)","35%
(18/51)","36%
(14/39)",2/11,3/11,"62%
(65/105)","62%
(66/107)","38%
(41/107)","38%
(40/105)","50%
(106/212)","50%
(106/212)","80%
(12/15)","87%
(13/15)","13%
(2/15)","20%
(3/15)","47%
(14/30)","53%
(16/30)",zverev-alexander,medvedev-daniil,06.02.2021 01:10,atp-cup-2021,1-2,3,3,1-2 | 6-3 | 3-6 | 5-7,6-3,,3-6,,5-7,,,,,
2,2,5,1,53%,68%,"56%
(25/45)","58%
(38/66)","53%
(21/40)","42%
(13/31)",4/9,9/14,"42%
(28/66)","44%
(20/45)","55%
(17/31)","35%
(14/40)",5/14,5/9,"54%
(46/85)","53%
(51/97)","47%
(46/97)","46%
(39/85)","51%
(92/182)","49%
(90/182)","62%
(8/13)","58%
(7/12)","42%
(5/12)","38%
(5/13)","52%
(13/25)","48%
(12/25)",fognini-fabio,carreno-busta-pablo,05.02.2021 23:10,atp-cup-2021,2-1,3,3,2-1 | 6-2 | 1-6 | 6-4,6-2,,1-6,,6-4,,,,,
11,11,5,3,60%,61%,"76%
(32/42)","84%
(36/43)","25%
(7/28)","43%
(12/28)",6/11,2/4,"16%
(7/43)","24%
(10/42)","46%
(13/28)","57%
(16/28)",2/4,5/11,"56%
(39/70)","68%
(48/71)","32%
(23/71)","44%
(31/70)","44%
(62/141)","56%
(79/141)","58%
(7/12)","83%
(10/12)","17%
(2/12)","42%
(5/12)","38%
(9/24)","63%
(15/24)",struff-jan-lennard,rublev-andrey,05.02.2021 23:10,atp-cup-2021,1-2,3,3,1-2 | 6-3 | 1-6 | 2-6,6-3,,1-6,,2-6,,,,,
5,0,0,5,59%,67%,"100%
(10/10)","69%
(11/16)","86%
(6/7)","0%
(0/8)",0/0,2/4,"31%
(5/16)","0%
(0/10)","38%
(3/8)","14%
(1/7)",2/4,0/0,"94%
(16/17)","46%
(11/24)","54%
(13/24)","6%
(1/17)","71%
(29/41)","29%
(12/41)","100%
(4/4)","33%
(1/3)","67%
(2/3)","0%
(0/4)","86%
(6/7)","14%
(1/7)",thiem-dominic,paire-benoit,05.02.2021 09:30,atp-cup-2021,1-0,1,3,1-0 | 6-1,6-1,,,,,,,,,
4,12,2,1,66%,67%,"57%
(25/44)","84%
(36/43)","52%
(12/23)","52%
(11/21)",2/5,3/4,"16%
(7/43)","43%
(19/44)","43%
(9/21)","39%
(9/23)",1/4,3/5,"55%
(37/67)","73%
(47/64)","27%
(17/64)","45%
(30/67)","41%
(54/131)","59%
(77/131)","70%
(7/10)","90%
(9/10)","10%
(1/10)","30%
(3/10)","40%
(8/20)","60%
(12/20)",novak-dennis,mahut-nicolas,05.02.2021 07:35,atp-cup-2021,0-2,2,3,0-2 | 6-7(2-7) | 2-6,6-7,2-7,2-6,,,,,,,
11,16,5,8,56%,62%,"81%
(43/53)","71%
(44/62)","60%
(25/42)","50%
(19/38)",0/1,2/6,"29%
(18/62)","19%
(10/53)","29%
(11/38)","29%
(12/42)",4/6,1/1,"72%
(68/95)","63%
(63/100)","37%
(37/100)","28%
(27/95)","54%
(105/195)","46%
(90/195)","94%
(15/16)","75%
(12/16)","25%
(4/16)","6%
(1/16)","59%
(19/32)","41%
(13/32)",djokovic-novak,zverev-alexander,05.02.2021 01:35,atp-cup-2021,2-1,3,3,2-1 | 6-7(3-7) | 6-2 | 7-5,6-7,3-7,6-2,,7-5,,,,,
5,7,1,0,64%,71%,"74%
(35/47)","80%
(36/45)","35%
(9/26)","67%
(12/18)",4/7,3/4,"20%
(9/45)","26%
(12/47)","33%
(6/18)","62%
(16/26)",1/4,3/7,"60%
(44/73)","76%
(48/63)","24%
(15/63)","40%
(29/73)","43%
(59/136)","57%
(77/136)","75%
(9/12)","92%
(11/12)","8%
(1/12)","25%
(3/12)","42%
(10/24)","58%
(14/24)",bautista-agut-roberto,tsitsipas-stefanos,05.02.2021 00:45,atp-cup-2021,0-2,2,3,0-2 | 5-7 | 5-7,5-7,,5-7,,,,,,,
4,4,0,2,77%,60%,"78%
(31/40)","70%
(21/30)","67%
(8/12)","40%
(8/20)",1/2,1/4,"30%
(9/30)","23%
(9/40)","50%
(10/20)","33%
(4/12)",3/4,1/2,"75%
(39/52)","58%
(29/50)","42%
(21/50)","25%
(13/52)","59%
(60/102)","41%
(42/102)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",carreno-busta-pablo,pervolarakis-michail,04.02.2021 23:10,atp-cup-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
