Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
16,4,3,5,55%,56%,"76%
(50/66)","70%
(42/60)","49%
(27/55)","51%
(24/47)",9/12,7/11,"30%
(18/60)","24%
(16/66)","38%
(18/47)","45%
(25/55)",4/11,3/12,"64%
(77/121)","62%
(66/107)","38%
(41/107)","36%
(44/121)","52%
(118/228)","48%
(110/228)","82%
(14/17)","75%
(12/16)","25%
(4/16)","18%
(3/17)","55%
(18/33)","45%
(15/33)",paire-benoit,humbert-ugo,18.01.2020 01:45,auckland-2020,1-2,3,3,1-2 | 6-7(2-7) | 6-3 | 6-7(5-7),6-7,2-7,6-3,,6-7,5-7,,,,
8,12,7,10,61%,51%,"71%
(36/51)","81%
(44/54)","39%
(13/33)","38%
(20/52)",2/8,6/9,"19%
(10/54)","29%
(15/51)","42%
(22/52)","39%
(13/33)",3/9,6/8,"58%
(49/84)","60%
(64/106)","40%
(42/106)","42%
(35/84)","48%
(91/190)","52%
(99/190)","60%
(9/15)","80%
(12/15)","20%
(3/15)","40%
(6/15)","40%
(12/30)","60%
(18/30)",hurkacz-hubert,paire-benoit,17.01.2020 06:55,auckland-2020,1-2,3,3,1-2 | 4-6 | 7-6(7-1) | 2-6,4-6,,7-6,7-1,2-6,,,,,
12,4,2,3,77%,68%,"72%
(41/57)","100%
(38/38)","65%
(11/17)","67%
(12/18)",6/7,0/0,"0%
(0/38)","28%
(16/57)","17%
(3/18)","24%
(4/17)",0/0,1/7,"70%
(52/74)","89%
(50/56)","11%
(6/56)","30%
(22/74)","45%
(58/130)","55%
(72/130)","91%
(10/11)","100%
(11/11)","0%
(0/11)","9%
(1/11)","45%
(10/22)","55%
(12/22)",isner-john,humbert-ugo,17.01.2020 05:20,auckland-2020,0-2,2,3,0-2 | 6-7(5-7) | 4-6,6-7,5-7,4-6,,,,,,,
18,11,8,3,58%,63%,"82%
(49/60)","80%
(49/61)","43%
(19/44)","58%
(21/36)",7/10,0/1,"20%
(12/61)","18%
(11/60)","33%
(12/36)","39%
(17/44)",1/1,3/10,"65%
(68/104)","72%
(70/97)","28%
(27/97)","35%
(36/104)","47%
(95/201)","53%
(106/201)","81%
(13/16)","94%
(15/16)","6%
(1/16)","19%
(3/16)","44%
(14/32)","56%
(18/32)",lopez-feliciano,hurkacz-hubert,16.01.2020 08:10,auckland-2020,1-2,3,3,1-2 | 4-6 | 7-6(13-11) | 4-6,4-6,,7-6,13-11,4-6,,,,,
4,13,1,4,59%,68%,"71%
(35/49)","80%
(43/54)","44%
(15/34)","52%
(13/25)",2/5,5/6,"20%
(11/54)","29%
(14/49)","32%
(8/25)","53%
(18/34)",1/6,3/5,"60%
(50/83)","71%
(56/79)","29%
(23/79)","40%
(33/83)","45%
(73/162)","55%
(89/162)","77%
(10/13)","92%
(12/13)","8%
(1/13)","23%
(3/13)","42%
(11/26)","58%
(15/26)",millman-john,paire-benoit,16.01.2020 06:10,auckland-2020,1-2,3,3,1-2 | 6-3 | 1-6 | 4-6,6-3,,1-6,,4-6,,,,,
7,5,2,6,68%,55%,"86%
(37/43)","81%
(29/36)","55%
(11/20)","48%
(14/29)",4/4,1/3,"19%
(7/36)","14%
(6/43)","31%
(9/29)","35%
(7/20)",2/3,0/4,"76%
(48/63)","66%
(43/65)","34%
(22/65)","24%
(15/63)","55%
(70/128)","45%
(58/128)","100%
(11/11)","82%
(9/11)","18%
(2/11)","0%
(0/11)","59%
(13/22)","41%
(9/22)",humbert-ugo,shapovalov-denis,16.01.2020 03:35,auckland-2020,2-0,2,3,2-0 | 7-5 | 6-4,7-5,,6-4,,,,,,,
6,25,2,3,67%,75%,"83%
(43/52)","74%
(56/76)","62%
(16/26)","44%
(11/25)",4/4,9/9,"26%
(20/76)","17%
(9/52)","44%
(11/25)","31%
(8/26)",0/9,0/4,"76%
(59/78)","66%
(67/101)","34%
(34/101)","24%
(19/78)","52%
(93/179)","48%
(86/179)","100%
(12/12)","100%
(12/12)","0%
(0/12)","0%
(0/12)","50%
(12/24)","50%
(12/24)",edmund-kyle,isner-john,16.01.2020 01:15,auckland-2020,0-2,2,3,0-2 | 6-7(5-7) | 6-7(5-7),6-7,5-7,6-7,5-7,,,,,,
6,5,2,2,65%,68%,"62%
(32/52)","76%
(41/54)","61%
(17/28)","46%
(12/26)",2/6,1/3,"24%
(13/54)","38%
(20/52)","46%
(12/26)","32%
(9/28)",2/3,4/6,"61%
(49/80)","66%
(53/80)","34%
(27/80)","39%
(31/80)","48%
(76/160)","53%
(84/160)","71%
(10/14)","86%
(12/14)","14%
(2/14)","29%
(4/14)","43%
(12/28)","57%
(16/28)",khachanov-karen,millman-john,15.01.2020 08:30,auckland-2020,1-2,3,3,1-2 | 6-4 | 3-6 | 3-6,6-4,,3-6,,3-6,,,,,
8,12,2,6,70%,57%,"68%
(39/57)","80%
(33/41)","50%
(12/24)","48%
(15/31)",7/9,2/3,"20%
(8/41)","32%
(18/57)","32%
(10/31)","42%
(10/24)",1/3,2/9,"63%
(51/81)","67%
(48/72)","33%
(24/72)","37%
(30/81)","49%
(75/153)","51%
(78/153)","82%
(9/11)","91%
(10/11)","9%
(1/11)","18%
(2/11)","45%
(10/22)","55%
(12/22)",pospisil-vasek,shapovalov-denis,15.01.2020 06:20,auckland-2020,0-2,2,3,0-2 | 4-6 | 6-7(2-7),4-6,,6-7,2-7,,,,,,
3,8,0,0,65%,74%,"55%
(17/31)","87%
(27/31)","71%
(12/17)","82%
(9/11)",1/4,0/0,"13%
(4/31)","45%
(14/31)","18%
(2/11)","29%
(5/17)",0/0,3/4,"60%
(29/48)","86%
(36/42)","14%
(6/42)","40%
(19/48)","39%
(35/90)","61%
(55/90)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",cecchinato-marco,humbert-ugo,15.01.2020 05:35,auckland-2020,0-2,2,3,0-2 | 1-6 | 4-6,1-6,,4-6,,,,,,,
6,3,2,0,65%,69%,"64%
(32/50)","71%
(32/45)","37%
(10/27)","55%
(11/20)",5/8,3/5,"29%
(13/45)","36%
(18/50)","45%
(9/20)","56%
(15/27)",2/5,3/8,"55%
(42/77)","66%
(43/65)","34%
(22/65)","45%
(35/77)","45%
(64/142)","55%
(78/142)","70%
(7/10)","82%
(9/11)","18%
(2/11)","30%
(3/10)","43%
(9/21)","57%
(12/21)",seppi-andreas,edmund-kyle,15.01.2020 05:20,auckland-2020,0-2,2,3,0-2 | 3-6 | 6-7(4-7),3-6,,6-7,4-7,,,,,,
4,17,2,7,55%,60%,"68%
(34/50)","77%
(40/52)","56%
(23/41)","47%
(16/34)",6/9,1/3,"23%
(12/52)","32%
(16/50)","32%
(11/34)","39%
(16/41)",2/3,3/9,"63%
(57/91)","65%
(56/86)","35%
(30/86)","37%
(34/91)","49%
(87/177)","51%
(90/177)","79%
(11/14)","86%
(12/14)","14%
(2/14)","21%
(3/14)","46%
(13/28)","54%
(15/28)",fognini-fabio,lopez-feliciano,15.01.2020 03:45,auckland-2020,1-2,3,3,1-2 | 6-3 | 4-6 | 3-6,6-3,,4-6,,3-6,,,,,
7,10,0,7,63%,53%,"67%
(35/52)","78%
(40/51)","65%
(20/31)","53%
(24/45)",2/5,4/6,"22%
(11/51)","33%
(17/52)","31%
(14/45)","35%
(11/31)",2/6,3/5,"66%
(55/83)","67%
(64/96)","33%
(32/96)","34%
(28/83)","49%
(87/179)","51%
(92/179)","79%
(11/14)","87%
(13/15)","13%
(2/15)","21%
(3/14)","45%
(13/29)","55%
(16/29)",monteiro-thiago,paire-benoit,15.01.2020 03:05,auckland-2020,1-2,3,3,1-2 | 6-4 | 4-6 | 3-6,6-4,,4-6,,3-6,,,,,
4,10,2,1,71%,66%,"70%
(32/46)","71%
(32/45)","37%
(7/19)","70%
(16/23)",4/6,2/2,"29%
(13/45)","30%
(14/46)","26%
(6/23)","53%
(10/19)",0/2,2/6,"60%
(39/65)","71%
(48/68)","29%
(20/68)","40%
(26/65)","44%
(59/133)","56%
(74/133)","80%
(8/10)","100%
(10/10)","0%
(0/10)","20%
(2/10)","40%
(8/20)","60%
(12/20)",ymer-mikael,hurkacz-hubert,15.01.2020 02:05,auckland-2020,0-2,2,3,0-2 | 2-6 | 6-7(2-7),2-6,,6-7,2-7,,,,,,
12,10,4,3,59%,70%,"69%
(55/80)","69%
(66/95)","65%
(36/55)","68%
(27/40)",9/11,4/6,"31%
(29/95)","31%
(25/80)","25%
(10/40)","27%
(15/55)",2/6,2/11,"67%
(91/135)","69%
(93/135)","31%
(42/135)","33%
(44/135)","49%
(133/270)","51%
(137/270)","89%
(16/18)","89%
(16/18)","11%
(2/18)","11%
(2/18)","50%
(18/36)","50%
(18/36)",mayer-leonardo,cecchinato-marco,14.01.2020 23:30,auckland-2020,1-2,3,3,1-2 | 6-7(6-8) | 7-6(20-18) | 6-7(2-7),6-7,6-8,7-6,20-18,6-7,2-7,,,,
8,16,4,3,65%,79%,"74%
(52/70)","88%
(63/72)","65%
(24/37)","42%
(8/19)",2/4,2/2,"13%
(9/72)","26%
(18/70)","42%
(8/19)","24%
(9/37)",0/2,2/4,"71%
(76/107)","78%
(71/91)","22%
(20/91)","29%
(31/107)","48%
(96/198)","52%
(102/198)","88%
(15/17)","100%
(16/16)","0%
(0/16)","12%
(2/17)","45%
(15/33)","55%
(18/33)",sandgren-tennys,isner-john,14.01.2020 23:10,auckland-2020,1-2,3,3,1-2 | 6-7(3-7) | 7-6(7-1) | 3-6,6-7,3-7,7-6,7-1,3-6,,,,,
19,3,4,0,63%,68%,"77%
(56/73)","73%
(51/70)","52%
(22/42)","64%
(21/33)",9/10,3/4,"27%
(19/70)","23%
(17/73)","36%
(12/33)","38%
(16/42)",1/4,1/10,"68%
(78/115)","70%
(72/103)","30%
(31/103)","32%
(37/115)","50%
(109/218)","50%
(109/218)","93%
(14/15)","94%
(15/16)","6%
(1/16)","7%
(1/15)","48%
(15/31)","52%
(16/31)",lopez-feliciano,andujar-pablo,14.01.2020 22:10,auckland-2020,2-1,3,3,2-1 | 3-6 | 7-6(7-4) | 6-4,3-6,,7-6,7-4,6-4,,,,,
6,5,4,1,47%,61%,"70%
(28/40)","66%
(41/62)","58%
(26/45)","56%
(22/39)",3/6,8/11,"34%
(21/62)","30%
(12/40)","41%
(16/39)","33%
(15/45)",3/11,3/6,"64%
(54/85)","62%
(63/101)","38%
(38/101)","36%
(31/85)","49%
(92/186)","51%
(94/186)","79%
(11/14)","80%
(12/15)","20%
(3/15)","21%
(3/14)","48%
(14/29)","52%
(15/29)",mannarino-adrian,seppi-andreas,14.01.2020 22:05,auckland-2020,1-2,3,3,1-2 | 6-3 | 4-6 | 4-6,6-3,,4-6,,4-6,,,,,
5,5,0,1,76%,59%,"67%
(35/52)","69%
(33/48)","44%
(7/16)","55%
(18/33)",2/5,6/8,"31%
(15/48)","33%
(17/52)","42%
(14/33)","56%
(9/16)",2/8,3/5,"62%
(42/68)","63%
(51/81)","37%
(30/81)","38%
(26/68)","48%
(72/149)","52%
(77/149)","75%
(9/12)","90%
(9/10)","10%
(1/10)","25%
(3/12)","45%
(10/22)","55%
(12/22)",mmoh-michael,millman-john,14.01.2020 09:40,auckland-2020,0-2,2,3,0-2 | 6-7(5-7) | 4-6,6-7,5-7,4-6,,,,,,,
