Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
13,9,5,5,64%,65%,"69%
(75/108)","76%
(66/87)","45%
(28/62)","51%
(24/47)",7/12,7/12,"24%
(21/87)","31%
(33/108)","38%
(18/47)","47%
(29/62)",5/12,5/12,55,46,57,57,"74%
(23/31)","83%
(24/29)","61%
(103/170)","67%
(90/134)","33%
(44/134)","39%
(67/170)","48%
(147/304)","52%
(157/304)","78%
(18/23)","79%
(19/24)","21%
(5/24)","22%
(5/23)","49%
(23/47)","51%
(24/47)",thiem-dominic,djokovic-novak,02.02.2020 08:45,australian-open-2020,2-3,5,5,2-3 | 4-6 | 6-4 | 6-2 | 3-6 | 4-6,4-6,,6-4,,6-2,,3-6,,4-6,
10,16,4,3,67%,81%,"77%
(74/96)","68%
(70/103)","40%
(19/48)","50%
(12/24)",9/14,5/9,"32%
(33/103)","23%
(22/96)","38%
(9/24)","52%
(25/48)",4/9,5/14,43,42,40,33,"85%
(23/27)","71%
(36/51)","65%
(93/144)","65%
(82/127)","35%
(45/127)","35%
(51/144)","51%
(138/271)","49%
(133/271)","77%
(17/22)","81%
(17/21)","19%
(4/21)","23%
(5/22)","49%
(21/43)","51%
(22/43)",thiem-dominic,zverev-alexander,31.01.2020 08:45,australian-open-2020,3-1,4,5,3-1 | 3-6 | 6-4 | 7-6(7-3) | 7-6(7-4),3-6,,6-4,,7-6,7-3,7-6,7-4,,
15,11,3,1,65%,73%,"66%
(45/68)","73%
(54/74)","42%
(15/36)","54%
(15/28)",7/11,5/7,"27%
(20/74)","34%
(23/68)","43%
(12/28)","50%
(18/36)",2/7,4/11,46,31,35,18,"67%
(20/30)","92%
(11/12)","58%
(60/104)","68%
(69/102)","32%
(33/102)","42%
(44/104)","45%
(93/206)","55%
(113/206)","73%
(11/15)","88%
(14/16)","13%
(2/16)","27%
(4/15)","42%
(13/31)","58%
(18/31)",federer-roger,djokovic-novak,30.01.2020 08:45,australian-open-2020,0-3,3,5,0-3 | 6-7(1-7) | 4-6 | 3-6,6-7,1-7,4-6,,3-6,,,,,
11,14,3,4,70%,59%,"69%
(72/105)","78%
(65/83)","52%
(24/46)","49%
(28/57)",5/8,5/9,"22%
(18/83)","31%
(33/105)","44%
(25/57)","41%
(19/46)",4/9,3/8,49,65,33,49,"62%
(21/34)","76%
(25/33)","64%
(96/151)","66%
(93/140)","34%
(47/140)","36%
(55/151)","49%
(143/291)","51%
(148/291)","87%
(20/23)","83%
(19/23)","17%
(4/23)","13%
(3/23)","52%
(24/46)","48%
(22/46)",nadal-rafael,thiem-dominic,29.01.2020 08:45,australian-open-2020,1-3,4,5,1-3 | 6-7(3-7) | 6-7(4-7) | 6-4 | 6-7(6-8),6-7,3-7,6-7,4-7,6-4,,6-7,6-8,,
4,13,5,1,56%,80%,"69%
(41/59)","76%
(56/74)","52%
(24/46)","42%
(8/19)",8/13,3/6,"24%
(18/74)","31%
(18/59)","53%
(10/19)","37%
(17/46)",3/6,5/13,35,34,39,28,"70%
(16/23)","69%
(22/32)","62%
(65/105)","69%
(64/93)","31%
(29/93)","38%
(40/105)","47%
(94/198)","53%
(104/198)","71%
(12/17)","82%
(14/17)","18%
(3/17)","29%
(5/17)","44%
(15/34)","56%
(19/34)",wawrinka-stan,zverev-alexander,29.01.2020 03:45,australian-open-2020,1-3,4,5,1-3 | 6-1 | 3-6 | 4-6 | 2-6,6-1,,3-6,,4-6,,2-6,,,
18,4,6,1,63%,69%,"72%
(58/81)","86%
(60/70)","43%
(20/47)","48%
(15/31)",14/16,2/2,"14%
(10/70)","28%
(23/81)","48%
(15/31)","45%
(21/47)",0/2,2/16,48,29,48,14,"51%
(19/37)","91%
(10/11)","61%
(78/128)","74%
(75/101)","26%
(26/101)","39%
(50/128)","45%
(104/229)","55%
(125/229)","87%
(13/15)","100%
(16/16)","0%
(0/16)","13%
(2/15)","42%
(13/31)","58%
(18/31)",raonic-milos,djokovic-novak,28.01.2020 08:50,australian-open-2020,0-3,3,5,0-3 | 4-6 | 3-6 | 6-7(1-7),4-6,,3-6,,6-7,1-7,,,,
27,5,5,3,65%,66%,"79%
(77/97)","71%
(80/112)","45%
(24/53)","53%
(31/59)",11/13,10/14,"29%
(32/112)","21%
(20/97)","42%
(25/59)","45%
(24/53)",4/14,2/13,73,44,53,56,"72%
(23/32)","67%
(47/70)","67%
(101/150)","65%
(111/171)","35%
(60/171)","33%
(49/150)","50%
(161/321)","50%
(160/321)","91%
(20/22)","83%
(20/24)","17%
(4/24)","9%
(2/22)","52%
(24/46)","48%
(22/46)",sandgren-tennys,federer-roger,28.01.2020 04:15,australian-open-2020,2-3,5,5,2-3 | 3-6 | 6-2 | 6-2 | 6-7(8-10) | 3-6,3-6,,6-2,,6-2,,6-7,8-10,3-6,
5,11,5,3,65%,75%,"77%
(41/53)","91%
(49/54)","50%
(14/28)","61%
(11/18)",4/7,0/0,"9%
(5/54)","23%
(12/53)","22%
(4/18)","32%
(9/28)",0/0,3/7,17,34,24,23,"62%
(8/13)","78%
(7/9)","68%
(55/81)","83%
(60/72)","17%
(12/72)","32%
(26/81)","44%
(67/153)","56%
(86/153)","80%
(12/15)","100%
(15/15)","0%
(0/15)","20%
(3/15)","40%
(12/30)","60%
(18/30)",rublev-andrey,zverev-alexander,27.01.2020 09:05,australian-open-2020,0-3,3,5,0-3 | 4-6 | 4-6 | 4-6,4-6,,4-6,,4-6,,,,,
12,25,4,5,65%,75%,"85%
(66/78)","73%
(83/113)","64%
(27/42)","37%
(14/38)",1/3,7/9,"27%
(30/113)","15%
(12/78)","50%
(19/38)","26%
(11/42)",2/9,2/3,64,50,27,43,"65%
(24/37)","62%
(28/45)","78%
(93/120)","64%
(97/151)","36%
(54/151)","23%
(27/120)","54%
(147/271)","46%
(124/271)","90%
(19/21)","90%
(19/21)","10%
(2/21)","10%
(2/21)","50%
(21/42)","50%
(21/42)",nadal-rafael,kyrgios-nick,27.01.2020 08:15,australian-open-2020,3-1,4,5,3-1 | 6-3 | 3-6 | 7-6(8-6) | 7-6(7-4),6-3,,3-6,,7-6,8-6,7-6,7-4,,
19,18,2,1,69%,69%,"68%
(67/98)","76%
(72/95)","56%
(25/45)","51%
(22/43)",7/11,5/8,"28%
(27/95)","36%
(35/98)","37%
(16/43)","33%
(15/45)",3/8,4/11,44,71,35,64,"56%
(18/32)","67%
(31/46)","64%
(92/143)","68%
(94/138)","32%
(44/138)","36%
(51/143)","48%
(136/281)","52%
(145/281)","83%
(19/23)","87%
(20/23)","13%
(3/23)","17%
(4/23)","48%
(22/46)","52%
(24/46)",medvedev-daniil,wawrinka-stan,27.01.2020 04:15,australian-open-2020,2-3,5,5,2-3 | 2-6 | 6-2 | 6-4 | 6-7(2-7) | 2-6,2-6,,6-2,,6-4,,6-7,2-7,2-6,
