Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak,Last 10 balls_left,Last 10 balls_right,Match points saved_left,Match points saved_right
2,5,5,3,64%,62%,"69%
(54/78)","74%
(55/74)","55%
(24/44)","43%
(20/46)",11/13,8/12,"26%
(19/74)","31%
(24/78)","50%
(23/46)","34%
(15/44)",4/12,2/13,"64%
(78/122)","63%
(75/120)","38%
(45/120)","36%
(44/122)","51%
(123/242)","49%
(119/242)","88%
(15/17)","76%
(13/17)","24%
(4/17)","12%
(2/17)","56%
(19/34)","44%
(15/34)",nadal-rafael,tsitsipas-stefanos,25.04.2021 14:10,barcelona-2021,2-1,3,3,2-1 | 6-4 | 6-7(6-8) | 7-5,6-4,,6-7,6-8,7-5,,,,,,,,,
3,4,3,1,63%,83%,"77%
(27/35)","55%
(24/44)","52%
(11/21)","33%
(3/9)",3/4,6/10,"45%
(20/44)","23%
(8/35)","56%
(5/9)","33%
(7/21)",4/10,1/4,"68%
(38/56)","51%
(27/53)","49%
(26/53)","32%
(18/56)","59%
(64/109)","41%
(45/109)","89%
(8/9)","50%
(4/8)","50%
(4/8)","11%
(1/9)","71%
(12/17)","29%
(5/17)",nadal-rafael,carreno-busta-pablo,24.04.2021 14:10,barcelona-2021,2-0,2,3,2-0 | 6-3 | 6-2,6-3,,6-2,,,,,,,,,,,
1,2,2,1,52%,75%,"57%
(16/28)","72%
(33/46)","58%
(15/26)","60%
(9/15)",7/10,4/4,"28%
(13/46)","43%
(12/28)","33%
(5/15)","35%
(9/26)",0/4,3/10,"57%
(31/54)","69%
(42/61)","31%
(19/61)","43%
(23/54)","43%
(50/115)","57%
(65/115)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",sinner-jannik,tsitsipas-stefanos,24.04.2021 11:40,barcelona-2021,0-2,2,3,0-2 | 3-6 | 3-6,3-6,,3-6,,,,,,,,,,,
0,5,4,1,69%,70%,"63%
(44/70)","63%
(40/64)","41%
(13/32)","67%
(18/27)",5/10,3/8,"38%
(24/64)","37%
(26/70)","30%
(8/27)","47%
(15/32)",5/8,5/10,"56%
(57/102)","64%
(58/91)","36%
(33/91)","44%
(45/102)","47%
(90/193)","53%
(103/193)","67%
(10/15)","69%
(11/16)","31%
(5/16)","33%
(5/15)","48%
(15/31)","52%
(16/31)",schwartzman-diego,carreno-busta-pablo,23.04.2021 16:20,barcelona-2021,1-2,3,3,1-2 | 4-6 | 6-3 | 5-7,4-6,,6-3,,5-7,,,,,,,,,
4,0,2,5,60%,51%,"71%
(24/34)","57%
(16/28)","57%
(13/23)","41%
(11/27)",2/3,4/8,"43%
(12/28)","29%
(10/34)","41%
(11/27)","35%
(8/23)",4/8,1/3,"65%
(37/57)","49%
(27/55)","51%
(28/55)","35%
(20/57)","58%
(65/112)","42%
(47/112)","89%
(8/9)","50%
(4/8)","50%
(4/8)","11%
(1/9)","71%
(12/17)","29%
(5/17)",nadal-rafael,norrie-cameron,23.04.2021 14:25,barcelona-2021,2-0,2,3,2-0 | 6-1 | 6-4,6-1,,6-4,,,,,,,,,,,
1,1,3,1,57%,67%,"65%
(17/26)","78%
(29/37)","55%
(11/20)","61%
(11/18)",2/5,3/3,"22%
(8/37)","35%
(9/26)","33%
(6/18)","30%
(6/20)",0/3,3/5,"61%
(28/46)","73%
(40/55)","27%
(15/55)","39%
(18/46)","43%
(43/101)","57%
(58/101)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",auger-aliassime-felix,tsitsipas-stefanos,23.04.2021 12:35,barcelona-2021,0-2,2,3,0-2 | 3-6 | 3-6,3-6,,3-6,,,,,,,,,,,
4,1,2,1,59%,50%,"63%
(26/41)","66%
(21/32)","61%
(17/28)","44%
(14/32)",2/3,4/7,"34%
(11/32)","37%
(15/41)","53%
(17/32)","32%
(9/28)",3/7,1/3,"62%
(43/69)","55%
(35/64)","45%
(29/64)","38%
(26/69)","54%
(72/133)","46%
(61/133)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",sinner-jannik,rublev-andrey,23.04.2021 10:40,barcelona-2021,2-0,2,3,2-0 | 6-2 | 7-6(8-6),6-2,,7-6,8-6,,,,,,,,,,
0,1,1,1,57%,73%,"47%
(15/32)","56%
(25/45)","42%
(10/24)","65%
(11/17)",3/9,5/8,"44%
(20/45)","53%
(17/32)","29%
(5/17)","54%
(13/24)",3/8,6/9,"45%
(25/56)","58%
(36/62)","42%
(26/62)","55%
(31/56)","43%
(51/118)","57%
(67/118)","40%
(4/10)","67%
(6/9)","33%
(3/9)","60%
(6/10)","37%
(7/19)","63%
(12/19)",zapata-miralles-bernabe,carreno-busta-pablo,22.04.2021 16:55,barcelona-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,,,,,
0,1,1,0,78%,65%,"68%
(27/40)","59%
(23/39)","45%
(5/11)","33%
(7/21)",1/3,3/8,"41%
(16/39)","33%
(13/40)","67%
(14/21)","45%
(5/11)",5/8,2/3,"63%
(32/51)","50%
(30/60)","50%
(30/60)","37%
(19/51)","56%
(62/111)","44%
(49/111)","78%
(7/9)","44%
(4/9)","56%
(5/9)","22%
(2/9)","67%
(12/18)","33%
(6/18)",schwartzman-diego,moutet-corentin,22.04.2021 14:40,barcelona-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,,,,,
2,2,3,1,60%,62%,"65%
(32/49)","55%
(27/49)","52%
(17/33)","47%
(14/30)",11/13,6/11,"45%
(22/49)","35%
(17/49)","50%
(15/30)","39%
(13/33)",5/11,2/13,"60%
(49/82)","52%
(41/79)","48%
(38/79)","40%
(33/82)","54%
(87/161)","46%
(74/161)","82%
(9/11)","55%
(6/11)","45%
(5/11)","18%
(2/11)","64%
(14/22)","36%
(8/22)",nadal-rafael,nishikori-kei,22.04.2021 14:15,barcelona-2021,2-1,3,3,2-1 | 6-0 | 2-6 | 6-2,6-0,,2-6,,6-2,,,,,,,,,
