Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
3,0,1,3,66%,62%,"71%
(22/31)","48%
(19/40)","81%
(13/16)","48%
(12/25)",1/3,3/8,"53%
(21/40)","29%
(9/31)","40%
(10/25)","13%
(2/16)",5/8,2/3,"74%
(35/47)","48%
(31/65)","52%
(34/65)","26%
(12/47)","62%
(69/112)","38%
(43/112)","78%
(7/9)","44%
(4/9)","56%
(5/9)","22%
(2/9)","67%
(12/18)","33%
(6/18)",ruud-casper,coria-federico,18.07.2021 12:10,bastad-2021,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
2,0,1,4,51%,55%,"76%
(19/25)","50%
(11/22)","58%
(14/24)","28%
(5/18)",1/3,3/8,"50%
(11/22)","24%
(6/25)","50%
(9/18)","38%
(9/24)",5/8,2/3,"67%
(33/49)","40%
(16/40)","60%
(24/40)","33%
(16/49)","64%
(57/89)","36%
(32/89)","78%
(7/9)","38%
(3/8)","63%
(5/8)","22%
(2/9)","71%
(12/17)","29%
(5/17)",ruud-casper,carballes-baena-roberto,17.07.2021 12:40,bastad-2021,2-0,2,3,2-0 | 6-1 | 6-4,6-1,,6-4,,,,,,,
2,2,1,1,44%,67%,"58%
(14/24)","77%
(20/26)","37%
(11/30)","69%
(9/13)",4/9,0/0,"23%
(6/26)","42%
(10/24)","23%
(3/13)","60%
(18/30)",0/0,5/9,"46%
(25/54)","74%
(29/39)","26%
(10/39)","54%
(29/54)","38%
(35/93)","62%
(58/93)","38%
(3/8)","100%
(7/7)","0%
(0/7)","63%
(5/8)","20%
(3/15)","80%
(12/15)",hanfmann-yannick,coria-federico,17.07.2021 11:10,bastad-2021,0-2,2,3,0-2 | 2-6 | 1-6,2-6,,1-6,,,,,,,
3,2,3,4,69%,57%,"60%
(28/47)","53%
(17/32)","57%
(12/21)","38%
(9/24)",3/5,4/9,"47%
(15/32)","40%
(19/47)","46%
(11/24)","29%
(6/21)",5/9,2/5,"59%
(40/68)","46%
(26/56)","54%
(30/56)","41%
(28/68)","56%
(70/124)","44%
(54/124)","78%
(7/9)","44%
(4/9)","56%
(5/9)","22%
(2/9)","67%
(12/18)","33%
(6/18)",carballes-baena-roberto,gombos-norbert,16.07.2021 13:50,bastad-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
3,3,4,7,63%,59%,"66%
(40/61)","61%
(35/57)","50%
(18/36)","38%
(15/40)",5/9,7/13,"39%
(22/57)","34%
(21/61)","45%
(18/40)","39%
(14/36)",6/13,4/9,"60%
(58/97)","52%
(50/97)","48%
(47/97)","40%
(39/97)","54%
(105/194)","46%
(89/194)","71%
(10/14)","57%
(8/14)","43%
(6/14)","29%
(4/14)","57%
(16/28)","43%
(12/28)",coria-federico,garin-cristian,16.07.2021 10:50,bastad-2021,2-1,3,3,2-1 | 6-4 | 4-6 | 6-2,6-4,,4-6,,6-2,,,,,
4,5,1,4,59%,64%,"93%
(28/30)","63%
(24/38)","33%
(7/21)","43%
(9/21)",0/1,4/8,"37%
(14/38)","7%
(2/30)","38%
(8/21)","62%
(13/21)",4/8,1/1,"69%
(35/51)","56%
(33/59)","44%
(26/59)","31%
(16/51)","55%
(61/110)","45%
(49/110)","89%
(8/9)","60%
(6/10)","40%
(4/10)","11%
(1/9)","63%
(12/19)","37%
(7/19)",hanfmann-yannick,rinderknech-arthur,16.07.2021 09:10,bastad-2021,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
1,6,4,3,61%,56%,"65%
(26/40)","84%
(27/32)","42%
(11/26)","52%
(13/25)",5/9,0/1,"16%
(5/32)","35%
(14/40)","36%
(9/25)","42%
(11/26)",1/1,4/9,"56%
(37/66)","70%
(40/57)","30%
(17/57)","44%
(29/66)","44%
(54/123)","56%
(69/123)","60%
(6/10)","90%
(9/10)","10%
(1/10)","40%
(4/10)","35%
(7/20)","65%
(13/20)",ymer-elias,laaksonen-henri,15.07.2021 14:30,bastad-2021,0-2,2,3,0-2 | 2-6 | 5-7,2-6,,5-7,,,,,,,
6,0,1,4,67%,60%,"87%
(26/30)","56%
(15/27)","47%
(7/15)","11%
(2/18)",3/3,1/6,"44%
(12/27)","13%
(4/30)","67%
(12/18)","47%
(7/15)",5/6,0/3,"73%
(33/45)","38%
(17/45)","62%
(28/45)","27%
(12/45)","68%
(61/90)","32%
(29/90)","100%
(7/7)","29%
(2/7)","71%
(5/7)","0%
(0/7)","86%
(12/14)","14%
(2/14)",ruud-casper,rune-holger,15.07.2021 13:05,bastad-2021,2-0,2,3,2-0 | 6-0 | 6-2,6-0,,6-2,,,,,,,
2,1,4,4,63%,53%,"57%
(28/49)","61%
(25/41)","52%
(15/29)","56%
(20/36)",2/6,6/10,"39%
(16/41)","43%
(21/49)","33%
(12/36)","34%
(10/29)",4/10,4/6,"55%
(43/78)","58%
(45/77)","42%
(32/77)","45%
(35/78)","48%
(75/155)","52%
(80/155)","69%
(9/13)","69%
(9/13)","31%
(4/13)","31%
(4/13)","50%
(13/26)","50%
(13/26)",fognini-fabio,carballes-baena-roberto,15.07.2021 10:45,bastad-2021,1-2,3,3,1-2 | 3-6 | 6-1 | 4-6,3-6,,6-1,,4-6,,,,,
1,4,0,2,72%,56%,"85%
(33/39)","72%
(23/32)","47%
(7/15)","44%
(11/25)",2/2,2/5,"28%
(9/32)","15%
(6/39)","48%
(12/25)","53%
(8/15)",3/5,0/2,"74%
(40/54)","60%
(34/57)","40%
(23/57)","26%
(14/54)","57%
(63/111)","43%
(48/111)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",gombos-norbert,ruusuvuori-emil,15.07.2021 09:10,bastad-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
