Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
2,1,3,0,55%,58%,"70%
(19/27)","53%
(19/36)","45%
(10/22)","35%
(9/26)",1/5,2/8,"47%
(17/36)","30%
(8/27)","65%
(17/26)","41%
(9/22)",6/8,4/5,"59%
(29/49)","45%
(28/62)","55%
(34/62)","41%
(20/49)","57%
(63/111)","43%
(48/111)","60%
(6/10)","33%
(3/9)","67%
(6/9)","40%
(4/10)","63%
(12/19)","37%
(7/19)",djokovic-novak,molcan-alex,29.05.2021 12:10,belgrade-2-2021,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
1,0,2,3,64%,70%,"62%
(45/73)","56%
(40/71)","41%
(17/41)","33%
(10/30)",13/19,8/15,"44%
(31/71)","38%
(28/73)","57%
(17/30)","54%
(22/41)",7/15,6/19,"54%
(62/114)","50%
(50/101)","50%
(51/101)","46%
(52/114)","53%
(113/215)","47%
(102/215)","60%
(9/15)","53%
(8/15)","47%
(7/15)","40%
(6/15)","53%
(16/30)","47%
(14/30)",molcan-alex,delbonis-federico,28.05.2021 14:30,belgrade-2-2021,2-1,3,3,2-1 | 4-6 | 6-4 | 6-4,4-6,,6-4,,6-4,,,,,
1,0,1,3,64%,63%,"60%
(28/47)","49%
(22/45)","69%
(18/26)","37%
(10/27)",7/10,4/11,"51%
(23/45)","40%
(19/47)","52%
(14/27)","27%
(7/26)",7/11,3/10,"63%
(46/73)","44%
(32/72)","56%
(40/72)","37%
(27/73)","59%
(86/145)","41%
(59/145)","75%
(9/12)","36%
(4/11)","64%
(7/11)","25%
(3/12)","70%
(16/23)","30%
(7/23)",djokovic-novak,martin-andrej,28.05.2021 12:10,belgrade-2-2021,2-1,3,3,2-1 | 6-1 | 4-6 | 6-0,6-1,,4-6,,6-0,,,,,
0,0,0,0,0%,0%,"0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)",0/0,0/0,"0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)",0/0,0/0,"0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)","0%
(0/0)",delbonis-federico,carballes-baena-roberto,27.05.2021 15:50,belgrade-2-2021,-,0,,- | ,,,,,,,,,,
1,0,3,4,55%,63%,"59%
(32/54)","63%
(33/52)","56%
(25/45)","39%
(12/31)",8/13,4/10,"37%
(19/52)","41%
(22/54)","48%
(15/31)","38%
(17/45)",6/10,5/13,"58%
(57/99)","54%
(45/83)","46%
(38/83)","42%
(42/99)","52%
(95/182)","48%
(87/182)","64%
(9/14)","57%
(8/14)","43%
(6/14)","36%
(5/14)","54%
(15/28)","46%
(13/28)",martin-andrej,lajovic-dusan,27.05.2021 13:30,belgrade-2-2021,2-1,3,3,2-1 | 3-6 | 6-3 | 6-4,3-6,,6-3,,6-4,,,,,
3,0,1,3,59%,49%,"68%
(13/19)","43%
(9/21)","85%
(11/13)","23%
(5/22)",0/1,3/9,"57%
(12/21)","32%
(6/19)","64%
(14/22)","8%
(1/13)",6/9,1/1,"75%
(24/32)","33%
(14/43)","67%
(29/43)","25%
(8/32)","71%
(53/75)","29%
(22/75)","86%
(6/7)","0%
(0/6)","100%
(6/6)","14%
(1/7)","92%
(12/13)","8%
(1/13)",djokovic-novak,coria-federico,27.05.2021 12:10,belgrade-2-2021,2-0,2,3,2-0 | 6-1 | 6-0,6-1,,6-0,,,,,,,
3,1,2,1,71%,77%,"77%
(23/30)","43%
(17/40)","58%
(7/12)","42%
(5/12)",2/2,7/12,"57%
(23/40)","23%
(7/30)","50%
(6/12)","25%
(3/12)",5/12,0/2,"71%
(30/42)","42%
(22/52)","58%
(30/52)","29%
(12/42)","64%
(60/94)","36%
(34/94)","100%
(7/7)","29%
(2/7)","71%
(5/7)","0%
(0/7)","86%
(12/14)","14%
(2/14)",molcan-alex,verdasco-fernando,27.05.2021 10:10,belgrade-2-2021,2-0,2,3,2-0 | 6-2 | 6-0,6-2,,6-0,,,,,,,
0,6,1,8,68%,70%,"60%
(43/72)","69%
(44/64)","53%
(18/34)","33%
(9/27)",9/12,7/11,"31%
(20/64)","40%
(29/72)","37%
(10/27)","44%
(15/34)",4/11,3/12,"58%
(61/106)","58%
(53/91)","42%
(38/91)","42%
(45/106)","50%
(99/197)","50%
(98/197)","79%
(11/14)","71%
(10/14)","29%
(4/14)","21%
(3/14)","54%
(15/28)","46%
(13/28)",carballes-baena-roberto,monfils-gael,26.05.2021 18:30,belgrade-2-2021,2-1,3,3,2-1 | 6-1 | 3-6 | 7-6(7-4),6-1,,3-6,,7-6,7-4,,,,
0,3,4,2,67%,63%,"55%
(31/56)","72%
(28/39)","43%
(12/28)","52%
(12/23)",14/18,3/5,"28%
(11/39)","45%
(25/56)","39%
(9/23)","43%
(12/28)",2/5,4/18,"51%
(43/84)","65%
(40/62)","35%
(22/62)","49%
(41/84)","45%
(65/146)","55%
(81/146)","56%
(5/9)","80%
(8/10)","20%
(2/10)","44%
(4/9)","37%
(7/19)","63%
(12/19)",chardy-jeremy,lajovic-dusan,26.05.2021 16:25,belgrade-2-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
0,3,12,2,41%,63%,"55%
(21/38)","60%
(43/72)","36%
(20/55)","33%
(14/43)",4/13,10/18,"40%
(29/72)","45%
(17/38)","63%
(27/43)","42%
(23/55)",8/18,9/13,"44%
(41/93)","50%
(57/115)","50%
(58/115)","56%
(52/93)","48%
(99/208)","52%
(109/208)","36%
(5/14)","47%
(7/15)","53%
(8/15)","64%
(9/14)","45%
(13/29)","55%
(16/29)",basilashvili-nikoloz,martin-andrej,26.05.2021 13:40,belgrade-2-2021,1-2,3,3,1-2 | 1-6 | 6-4 | 6-7(4-7),1-6,,6-4,,6-7,4-7,,,,
4,7,4,3,64%,67%,"60%
(42/70)","63%
(44/70)","50%
(20/40)","54%
(19/35)",10/14,10/14,"37%
(26/70)","40%
(28/70)","37%
(13/35)","40%
(16/40)",4/14,4/14,"56%
(62/110)","60%
(63/105)","40%
(42/105)","44%
(48/110)","48%
(104/215)","52%
(111/215)","73%
(11/15)","75%
(12/16)","25%
(4/16)","27%
(4/15)","48%
(15/31)","52%
(16/31)",delbonis-federico,monteiro-thiago,26.05.2021 10:10,belgrade-2-2021,2-1,3,3,2-1 | 7-6(8-6) | 3-6 | 6-4,7-6,8-6,3-6,,6-4,,,,,
4,0,0,5,77%,56%,"70%
(31/44)","53%
(20/38)","54%
(7/13)","47%
(14/30)",1/2,2/6,"47%
(18/38)","30%
(13/44)","37%
(11/30)","46%
(6/13)",4/6,1/2,"67%
(38/57)","50%
(34/68)","50%
(34/68)","33%
(19/57)","58%
(72/125)","42%
(53/125)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",verdasco-fernando,mannarino-adrian,25.05.2021 15:45,belgrade-2-2021,2-0,2,3,2-0 | 7-6(7-4) | 6-0,7-6,7-4,6-0,,,,,,,
3,0,3,3,58%,45%,"68%
(17/25)","46%
(11/24)","61%
(11/18)","28%
(8/29)",3/3,6/12,"54%
(13/24)","32%
(8/25)","62%
(18/29)","22%
(4/18)",6/12,0/3,"65%
(28/43)","36%
(19/53)","64%
(34/53)","35%
(15/43)","65%
(62/96)","35%
(34/96)","100%
(6/6)","0%
(0/6)","100%
(6/6)","0%
(0/6)","100%
(12/12)","0%
(0/12)",molcan-alex,krstin-pedja,25.05.2021 14:10,belgrade-2-2021,2-0,2,3,2-0 | 6-0 | 6-0,6-0,,6-0,,,,,,,
6,3,3,1,59%,50%,"71%
(29/41)","61%
(22/36)","55%
(16/29)","39%
(14/36)",3/5,6/10,"39%
(14/36)","29%
(12/41)","58%
(21/36)","34%
(10/29)",4/10,2/5,"64%
(45/70)","50%
(36/72)","50%
(36/72)","36%
(25/70)","57%
(81/142)","43%
(61/142)","80%
(8/10)","60%
(6/10)","40%
(4/10)","20%
(2/10)","60%
(12/20)","40%
(8/20)",djokovic-novak,moraing-mats,25.05.2021 12:10,belgrade-2-2021,2-0,2,3,2-0 | 6-2 | 7-6(7-4),6-2,,7-6,7-4,,,,,,
1,0,2,2,58%,65%,"83%
(19/23)","57%
(23/40)","65%
(11/17)","32%
(7/22)",0/1,6/11,"43%
(17/40)","17%
(4/23)","59%
(13/22)","24%
(4/17)",5/11,1/1,"75%
(30/40)","48%
(30/62)","52%
(32/62)","25%
(10/40)","61%
(62/102)","39%
(40/102)","88%
(7/8)","44%
(4/9)","56%
(5/9)","13%
(1/8)","71%
(12/17)","29%
(5/17)",coria-federico,cuevas-pablo,25.05.2021 10:10,belgrade-2-2021,2-0,2,3,2-0 | 6-3 | 6-2,6-3,,6-2,,,,,,,
1,2,5,1,49%,71%,"55%
(16/29)","70%
(21/30)","33%
(10/30)","75%
(9/12)",6/11,1/2,"30%
(9/30)","45%
(13/29)","17%
(2/12)","50%
(15/30)",1/2,5/11,"44%
(26/59)","71%
(30/42)","29%
(12/42)","56%
(33/59)","38%
(38/101)","62%
(63/101)","38%
(3/8)","88%
(7/8)","13%
(1/8)","63%
(5/8)","25%
(4/16)","75%
(12/16)",rinderknech-arthur,carballes-baena-roberto,24.05.2021 18:15,belgrade-2-2021,0-2,2,3,0-2 | 0-6 | 4-6,0-6,,4-6,,,,,,,
0,2,2,0,63%,67%,"66%
(21/32)","81%
(25/31)","26%
(5/19)","60%
(9/15)",4/8,3/3,"19%
(6/31)","34%
(11/32)","40%
(6/15)","63%
(12/19)",0/3,4/8,"51%
(26/51)","74%
(34/46)","26%
(12/46)","49%
(25/51)","39%
(38/97)","61%
(59/97)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",albot-radu,monteiro-thiago,24.05.2021 17:50,belgrade-2-2021,0-2,2,3,0-2 | 2-6 | 2-6,2-6,,2-6,,,,,,,
2,2,0,10,69%,57%,"59%
(44/75)","60%
(37/62)","59%
(20/34)","57%
(27/47)",7/12,7/12,"40%
(25/62)","41%
(31/75)","21%
(10/47)","41%
(14/34)",5/12,5/12,"59%
(64/109)","59%
(64/109)","41%
(45/109)","41%
(45/109)","50%
(109/218)","50%
(109/218)","71%
(12/17)","69%
(11/16)","31%
(5/16)","29%
(5/17)","52%
(17/33)","48%
(16/33)",o-connell-christopher,martin-andrej,24.05.2021 15:55,belgrade-2-2021,1-2,3,3,1-2 | 6-3 | 6-7(7-9) | 5-7,6-3,,6-7,7-9,5-7,,,,,
