Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,9,3,3,63%,60%,"60%
(39/65)","81%
(38/47)","49%
(19/39)","55%
(17/31)",4/7,1/3,"19%
(9/47)","40%
(26/65)","35%
(11/31)","44%
(17/39)",2/3,3/7,"56%
(58/104)","71%
(55/78)","29%
(23/78)","44%
(46/104)","45%
(81/182)","55%
(101/182)","79%
(11/14)","86%
(12/14)","14%
(2/14)","21%
(3/14)","46%
(13/28)","54%
(15/28)",karatsev-aslan,berrettini-matteo,25.04.2021 15:10,belgrade-2021,1-2,3,3,1-2 | 1-6 | 6-3 | 6-7(0-7),1-6,,6-3,,6-7,0-7,,,,
1,10,4,2,61%,68%,"60%
(34/57)","79%
(41/52)","36%
(13/36)","60%
(15/25)",7/13,1/2,"21%
(11/52)","40%
(23/57)","32%
(8/25)","53%
(19/36)",1/2,6/13,"51%
(47/93)","73%
(56/77)","27%
(21/77)","49%
(46/93)","40%
(68/170)","60%
(102/170)","50%
(6/12)","92%
(12/13)","8%
(1/13)","50%
(6/12)","28%
(7/25)","72%
(18/25)",daniel-taro,berrettini-matteo,24.04.2021 19:05,belgrade-2021,1-2,3,3,1-2 | 1-6 | 7-6(7-5) | 0-6,1-6,,7-6,7-5,0-6,,,,,
2,6,6,4,62%,63%,"61%
(44/72)","64%
(54/85)","48%
(21/44)","44%
(22/50)",10/16,23/28,"36%
(31/85)","39%
(28/72)","48%
(24/50)","39%
(17/44)",5/28,6/16,"56%
(65/116)","56%
(76/135)","44%
(59/135)","44%
(51/116)","49%
(124/251)","51%
(127/251)","63%
(10/16)","69%
(11/16)","31%
(5/16)","32%
(6/19)","43%
(15/35)","53%
(17/32)",djokovic-novak,karatsev-aslan,24.04.2021 15:20,belgrade-2021,1-2,3,3,1-2 | 5-7 | 6-4 | 4-6,5-7,,6-4,,4-6,,,,,
0,1,2,2,56%,60%,"74%
(26/35)","53%
(18/34)","52%
(14/27)","57%
(13/23)",0/1,4/7,"47%
(16/34)","26%
(9/35)","35%
(8/23)","41%
(11/27)",3/7,1/1,"65%
(40/62)","54%
(31/57)","46%
(26/57)","35%
(22/62)","55%
(66/119)","45%
(53/119)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",karatsev-aslan,mager-gianluca,23.04.2021 17:45,belgrade-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
6,1,0,5,65%,57%,"64%
(36/56)","63%
(32/51)","67%
(20/30)","41%
(16/39)",5/8,4/9,"37%
(19/51)","36%
(20/56)","46%
(18/39)","33%
(10/30)",5/9,3/8,"65%
(56/86)","53%
(48/90)","47%
(42/90)","35%
(30/86)","56%
(98/176)","44%
(78/176)","80%
(12/15)","64%
(9/14)","36%
(5/14)","20%
(3/15)","59%
(17/29)","41%
(12/29)",daniel-taro,delbonis-federico,23.04.2021 15:10,belgrade-2021,2-1,3,3,2-1 | 4-6 | 6-1 | 7-5,4-6,,6-1,,7-5,,,,,
3,1,1,2,58%,59%,"75%
(24/32)","37%
(11/30)","57%
(13/23)","57%
(12/21)",4/5,5/10,"63%
(19/30)","25%
(8/32)","33%
(7/21)","39%
(9/23)",5/10,1/5,"67%
(37/55)","45%
(23/51)","55%
(28/51)","33%
(18/55)","61%
(65/106)","39%
(41/106)","88%
(7/8)","38%
(3/8)","63%
(5/8)","13%
(1/8)","75%
(12/16)","25%
(4/16)",djokovic-novak,kecmanovic-miomir,23.04.2021 13:00,belgrade-2021,2-0,2,3,2-0 | 6-1 | 6-3,6-1,,6-3,,,,,,,
1,9,4,0,53%,68%,"60%
(18/30)","81%
(34/42)","63%
(17/27)","55%
(11/20)",4/6,6/6,"19%
(8/42)","40%
(12/30)","45%
(9/20)","22%
(6/27)",0/6,2/6,"61%
(35/57)","73%
(45/62)","27%
(17/62)","39%
(22/57)","44%
(52/119)","56%
(67/119)","80%
(8/10)","100%
(10/10)","0%
(0/10)","20%
(2/10)","40%
(8/20)","60%
(12/20)",krajinovic-filip,berrettini-matteo,23.04.2021 11:10,belgrade-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
9,6,2,3,58%,60%,"64%
(38/59)","77%
(43/56)","60%
(25/42)","39%
(15/38)",3/7,5/9,"23%
(13/56)","36%
(21/59)","53%
(20/38)","36%
(15/42)",4/9,4/7,"62%
(63/101)","62%
(58/94)","38%
(36/94)","38%
(38/101)","51%
(99/195)","49%
(96/195)","75%
(12/16)","73%
(11/15)","27%
(4/15)","25%
(4/16)","52%
(16/31)","48%
(15/31)",karatsev-aslan,bedene-aljaz,22.04.2021 17:10,belgrade-2021,2-1,3,3,2-1 | 6-3 | 4-6 | 7-6(7-5),6-3,,4-6,,7-6,7-5,,,,
4,4,3,2,54%,61%,"54%
(20/37)","72%
(28/39)","52%
(16/31)","60%
(15/25)",7/11,1/2,"28%
(11/39)","46%
(17/37)","32%
(8/25)","39%
(12/31)",1/2,4/11,"53%
(36/68)","67%
(43/64)","33%
(21/64)","47%
(32/68)","43%
(57/132)","57%
(75/132)","60%
(6/10)","90%
(9/10)","10%
(1/10)","40%
(4/10)","35%
(7/20)","65%
(13/20)",popyrin-alexei,mager-gianluca,22.04.2021 15:25,belgrade-2021,0-2,2,3,0-2 | 5-7 | 2-6,5-7,,2-6,,,,,,,
2,0,2,3,67%,74%,"59%
(40/68)","55%
(35/64)","38%
(13/34)","48%
(11/23)",5/11,4/10,"45%
(29/64)","41%
(28/68)","39%
(9/23)","56%
(19/34)",6/10,6/11,"52%
(53/102)","53%
(46/87)","47%
(41/87)","48%
(49/102)","50%
(94/189)","50%
(95/189)","57%
(8/14)","54%
(7/13)","46%
(6/13)","43%
(6/14)","52%
(14/27)","48%
(13/27)",delbonis-federico,lajovic-dusan,22.04.2021 12:40,belgrade-2021,2-1,3,3,2-1 | 6-3 | 2-6 | 6-4,6-3,,2-6,,6-4,,,,,
