Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,3,3,0,57%,67%,"68%
(19/28)","84%
(27/32)","43%
(9/21)","63%
(10/16)",1/4,0/0,"16%
(5/32)","32%
(9/28)","38%
(6/16)","43%
(9/21)",0/0,3/4,"57%
(28/49)","77%
(37/48)","23%
(11/48)","43%
(21/49)","40%
(39/97)","60%
(58/97)","57%
(4/7)","100%
(9/9)","0%
(0/9)","43%
(3/7)","25%
(4/16)","75%
(12/16)",sousa-pedro,ruud-casper,16.02.2020 18:10,buenos-aires-2020,0-2,2,3,0-2 | 1-6 | 4-6,1-6,,4-6,,,,,,,
11,4,1,3,67%,64%,"76%
(42/55)","64%
(28/44)","67%
(18/27)","60%
(15/25)",4/6,2/6,"36%
(16/44)","24%
(13/55)","28%
(7/25)","30%
(8/27)",4/6,2/6,"73%
(60/82)","62%
(43/69)","38%
(26/69)","27%
(22/82)","57%
(86/151)","43%
(65/151)","87%
(13/15)","71%
(10/14)","29%
(4/14)","13%
(2/15)","59%
(17/29)","41%
(12/29)",ruud-casper,londero-juan-ignacio,15.02.2020 17:15,buenos-aires-2020,2-1,3,3,2-1 | 4-6 | 7-5 | 6-1,4-6,,7-5,,6-1,,,,,
3,8,2,4,65%,62%,"64%
(32/50)","74%
(37/50)","56%
(15/27)","42%
(13/31)",4/7,6/8,"26%
(13/50)","36%
(18/50)","55%
(17/31)","37%
(10/27)",2/8,3/7,"61%
(47/77)","62%
(50/81)","38%
(31/81)","39%
(30/77)","49%
(78/158)","51%
(80/158)","73%
(8/11)","82%
(9/11)","18%
(2/11)","27%
(3/11)","45%
(10/22)","55%
(12/22)",monteiro-thiago,sousa-pedro,15.02.2020 02:20,buenos-aires-2020,0-2,2,3,0-2 | 6-7(5-7) | 4-6,6-7,5-7,4-6,,,,,,,
1,14,3,4,75%,60%,"63%
(67/107)","72%
(53/74)","46%
(16/35)","44%
(22/50)",8/12,8/12,"28%
(21/74)","37%
(40/107)","48%
(24/50)","46%
(16/35)",4/12,4/12,"58%
(83/142)","60%
(75/124)","40%
(49/124)","42%
(59/142)","50%
(132/266)","50%
(134/266)","78%
(14/18)","78%
(14/18)","22%
(4/18)","22%
(4/18)","50%
(18/36)","50%
(18/36)",schwartzman-diego,cuevas-pablo,14.02.2020 22:15,buenos-aires-2020,2-1,3,3,2-1 | 5-7 | 7-6(13-11) | 7-5,5-7,,7-6,13-11,7-5,,,,,
5,1,3,3,60%,59%,"71%
(29/41)","66%
(33/50)","74%
(20/27)","49%
(17/35)",2/4,8/11,"36%
(18/50)","20%
(8/41)","40%
(14/35)","26%
(7/27)",3/11,2/4,"72%
(49/68)","59%
(50/85)","41%
(35/85)","28%
(19/68)","55%
(84/153)","45%
(69/153)","82%
(9/11)","73%
(8/11)","27%
(3/11)","18%
(2/11)","55%
(12/22)","45%
(10/22)",londero-juan-ignacio,pella-guido,14.02.2020 19:25,buenos-aires-2020,2-0,2,3,2-0 | 6-4 | 7-6(7-4),6-4,,7-6,7-4,,,,,,
0,3,1,1,66%,62%,"70%
(28/40)","58%
(22/38)","62%
(13/21)","48%
(11/23)",4/5,3/7,"42%
(16/38)","30%
(12/40)","48%
(11/23)","33%
(7/21)",4/7,1/5,"67%
(41/61)","54%
(33/61)","46%
(28/61)","33%
(20/61)","57%
(69/122)","43%
(53/122)","90%
(9/10)","56%
(5/9)","44%
(4/9)","10%
(1/10)","68%
(13/19)","32%
(6/19)",ruud-casper,lajovic-dusan,14.02.2020 17:40,buenos-aires-2020,2-0,2,3,2-0 | 7-5 | 6-1,7-5,,6-1,,,,,,,
0,2,9,7,58%,55%,"73%
(40/55)","63%
(34/54)","38%
(15/40)","34%
(15/44)",8/12,6/13,"37%
(20/54)","27%
(15/55)","50%
(22/44)","40%
(16/40)",7/13,4/12,"58%
(55/95)","50%
(49/98)","50%
(49/98)","42%
(40/95)","54%
(104/193)","46%
(89/193)","69%
(9/13)","50%
(7/14)","50%
(7/14)","31%
(4/13)","59%
(16/27)","41%
(11/27)",schwartzman-diego,delbonis-federico,14.02.2020 02:55,buenos-aires-2020,2-1,3,3,2-1 | 6-3 | 4-6 | 6-2,6-3,,4-6,,6-2,,,,,
7,9,2,3,72%,67%,"58%
(56/96)","70%
(57/82)","62%
(23/37)","48%
(19/40)",10/13,5/7,"30%
(25/82)","42%
(40/96)","45%
(18/40)","32%
(12/37)",2/7,3/13,"59%
(79/133)","62%
(76/122)","38%
(46/122)","41%
(54/133)","49%
(125/255)","51%
(130/255)","82%
(14/17)","88%
(15/17)","12%
(2/17)","18%
(3/17)","47%
(16/34)","53%
(18/34)",bagnis-facundo,pella-guido,13.02.2020 23:15,buenos-aires-2020,1-2,3,3,1-2 | 6-7(2-7) | 7-6(7-2) | 4-6,6-7,2-7,7-6,7-2,4-6,,,,,
9,4,4,3,55%,61%,"67%
(37/55)","66%
(38/58)","56%
(25/45)","51%
(19/37)",10/13,7/11,"34%
(20/58)","33%
(18/55)","41%
(15/37)","36%
(16/45)",4/11,3/13,"62%
(62/100)","60%
(57/95)","40%
(38/95)","38%
(38/100)","51%
(100/195)","49%
(95/195)","80%
(12/15)","73%
(11/15)","27%
(4/15)","20%
(3/15)","53%
(16/30)","47%
(14/30)",cuevas-pablo,ramos-vinolas-albert,13.02.2020 20:00,buenos-aires-2020,2-1,3,3,2-1 | 6-4 | 4-6 | 6-4,6-4,,4-6,,6-4,,,,,
10,6,9,0,65%,55%,"65%
(36/55)","79%
(33/42)","50%
(15/30)","71%
(24/34)",4/9,2/2,"21%
(9/42)","35%
(19/55)","29%
(10/34)","20%
(6/30)",0/2,5/9,"60%
(51/85)","75%
(57/76)","25%
(19/76)","40%
(34/85)","43%
(70/161)","57%
(91/161)","64%
(9/14)","100%
(13/13)","0%
(0/13)","36%
(5/14)","33%
(9/27)","67%
(18/27)",djere-laslo,londero-juan-ignacio,13.02.2020 17:40,buenos-aires-2020,1-2,3,3,1-2 | 7-6(7-3) | 2-6 | 1-6,7-6,7-3,2-6,,1-6,,,,,
6,3,1,1,70%,67%,"80%
(39/49)","86%
(37/43)","38%
(8/21)","57%
(12/21)",1/3,1/2,"14%
(6/43)","20%
(10/49)","38%
(8/21)","57%
(12/21)",1/2,2/3,"67%
(47/70)","77%
(49/64)","23%
(15/64)","33%
(23/70)","46%
(62/134)","54%
(72/134)","82%
(9/11)","91%
(10/11)","9%
(1/11)","18%
(2/11)","45%
(10/22)","55%
(12/22)",coric-borna,monteiro-thiago,13.02.2020 00:15,buenos-aires-2020,0-2,2,3,0-2 | 4-6 | 6-7(6-8),4-6,,6-7,6-8,,,,,,
3,1,2,4,74%,54%,"75%
(21/28)","52%
(11/21)","70%
(7/10)","22%
(4/18)",0/0,2/7,"48%
(10/21)","25%
(7/28)","56%
(10/18)","10%
(1/10)",5/7,0/0,"74%
(28/38)","38%
(15/39)","62%
(24/39)","26%
(10/38)","68%
(52/77)","32%
(25/77)","100%
(7/7)","17%
(1/6)","83%
(5/6)","0%
(0/7)","92%
(12/13)","8%
(1/13)",ruud-casper,carballes-baena-roberto,12.02.2020 22:50,buenos-aires-2020,2-0,2,3,2-0 | 6-1 | 6-0,6-1,,6-0,,,,,,,
1,7,1,4,80%,59%,"66%
(49/74)","73%
(40/55)","47%
(9/19)","55%
(21/38)",3/4,4/5,"27%
(15/55)","34%
(25/74)","34%
(13/38)","47%
(9/19)",1/5,1/4,"62%
(58/93)","66%
(61/93)","34%
(32/93)","38%
(35/93)","48%
(90/186)","52%
(96/186)","92%
(11/12)","92%
(11/12)","8%
(1/12)","8%
(1/12)","50%
(12/24)","50%
(12/24)",martinez-pedro,lajovic-dusan,12.02.2020 20:10,buenos-aires-2020,0-2,2,3,0-2 | 6-7(6-8) | 6-7(6-8),6-7,6-8,6-7,6-8,,,,,,
3,4,4,3,57%,69%,"67%
(36/54)","63%
(45/71)","54%
(22/41)","59%
(19/32)",6/7,9/10,"37%
(26/71)","33%
(18/54)","31%
(10/32)","37%
(15/41)",1/10,1/7,"61%
(58/95)","62%
(64/103)","38%
(39/103)","39%
(37/95)","49%
(97/198)","51%
(101/198)","92%
(11/12)","92%
(11/12)","8%
(1/12)","8%
(1/12)","50%
(12/24)","50%
(12/24)",kovalik-jozef,sousa-pedro,12.02.2020 17:40,buenos-aires-2020,0-2,2,3,0-2 | 6-7(3-7) | 6-7(5-7),6-7,3-7,6-7,5-7,,,,,,
9,3,6,1,69%,69%,"75%
(44/59)","77%
(47/61)","52%
(14/27)","63%
(17/27)",4/6,2/3,"23%
(14/61)","25%
(15/59)","33%
(9/27)","26%
(7/27)",1/3,2/6,"67%
(58/86)","73%
(64/88)","27%
(24/88)","33%
(28/86)","47%
(82/174)","53%
(92/174)","87%
(13/15)","94%
(15/16)","6%
(1/16)","13%
(2/15)","45%
(14/31)","55%
(17/31)",mayer-leonardo,ramos-vinolas-albert,12.02.2020 00:45,buenos-aires-2020,1-2,3,3,1-2 | 6-4 | 3-6 | 5-7,6-4,,3-6,,5-7,,,,,
