Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
11,6,0,4,71%,72%,"67%
(26/39)","93%
(26/28)","13%
(2/16)","45%
(5/11)",5/10,0/1,"7%
(2/28)","33%
(13/39)","18%
(2/11)","88%
(14/16)",1/1,5/10,"51%
(28/55)","79%
(31/39)","21%
(8/39)","49%
(27/55)","38%
(36/94)","62%
(58/94)","44%
(4/9)","88%
(7/8)","13%
(1/8)","56%
(5/9)","29%
(5/17)","71%
(12/17)",rublev-andrey,zverev-alexander,22.08.2021 20:40,cincinnati-2021,0-2,2,3,0-2 | 2-6 | 3-6,2-6,,3-6,,,,,,,
15,10,4,4,75%,63%,"71%
(52/73)","73%
(52/71)","33%
(8/24)","38%
(16/42)",4/8,1/5,"27%
(19/71)","29%
(21/73)","52%
(22/42)","50%
(12/24)",4/5,4/8,"62%
(60/97)","60%
(68/113)","40%
(45/113)","38%
(37/97)","50%
(105/210)","50%
(105/210)","73%
(11/15)","75%
(12/16)","25%
(4/16)","27%
(4/15)","48%
(15/31)","52%
(16/31)",zverev-alexander,tsitsipas-stefanos,21.08.2021 22:10,cincinnati-2021,2-1,3,3,2-1 | 6-4 | 3-6 | 7-6(7-4),6-4,,3-6,,7-6,7-4,,,,
8,2,3,5,54%,71%,"67%
(36/54)","73%
(44/60)","48%
(22/46)","32%
(8/25)",6/10,4/7,"27%
(16/60)","33%
(18/54)","48%
(12/25)","46%
(21/46)",3/7,4/10,"58%
(58/100)","61%
(52/85)","39%
(33/85)","42%
(42/100)","49%
(91/185)","51%
(94/185)","69%
(9/13)","77%
(10/13)","23%
(3/13)","31%
(4/13)","46%
(12/26)","54%
(14/26)",medvedev-daniil,rublev-andrey,21.08.2021 17:10,cincinnati-2021,1-2,3,3,1-2 | 6-2 | 3-6 | 3-6,6-2,,3-6,,3-6,,,,,
2,6,0,1,71%,70%,"47%
(15/32)","88%
(23/26)","46%
(6/13)","55%
(6/11)",2/7,0/1,"12%
(3/26)","53%
(17/32)","36%
(4/11)","54%
(7/13)",1/1,5/7,"47%
(21/45)","78%
(29/37)","22%
(8/37)","53%
(24/45)","35%
(29/82)","65%
(53/82)","38%
(3/8)","88%
(7/8)","13%
(1/8)","63%
(5/8)","25%
(4/16)","75%
(12/16)",ruud-casper,zverev-alexander,21.08.2021 00:45,cincinnati-2021,0-2,2,3,0-2 | 1-6 | 3-6,1-6,,3-6,,,,,,,
10,6,7,3,67%,54%,"69%
(38/55)","81%
(34/42)","33%
(9/27)","64%
(23/36)",4/8,1/2,"19%
(8/42)","31%
(17/55)","28%
(10/36)","41%
(11/27)",1/2,4/8,"57%
(47/82)","73%
(57/78)","27%
(21/78)","43%
(35/82)","43%
(68/160)","57%
(92/160)","69%
(9/13)","93%
(13/14)","7%
(1/14)","31%
(4/13)","37%
(10/27)","63%
(17/27)",auger-aliassime-felix,tsitsipas-stefanos,20.08.2021 23:10,cincinnati-2021,1-2,3,3,1-2 | 2-6 | 7-5 | 1-6,2-6,,7-5,,1-6,,,,,
9,1,2,2,76%,79%,"92%
(24/26)","56%
(23/41)","50%
(4/8)","9%
(1/11)",0/0,6/11,"44%
(18/41)","8%
(2/26)","73%
(8/11)","25%
(2/8)",5/11,0/0,"82%
(28/34)","46%
(24/52)","54%
(28/52)","18%
(6/34)","65%
(56/86)","35%
(30/86)","100%
(7/7)","29%
(2/7)","71%
(5/7)","0%
(0/7)","86%
(12/14)","14%
(2/14)",medvedev-daniil,carreno-busta-pablo,20.08.2021 19:10,cincinnati-2021,2-0,2,3,2-0 | 6-1 | 6-1,6-1,,6-1,,,,,,,
13,9,2,8,59%,55%,"84%
(37/44)","73%
(36/49)","50%
(15/30)","45%
(18/40)",2/3,6/9,"27%
(13/49)","16%
(7/44)","35%
(14/40)","43%
(13/30)",3/9,1/3,"70%
(52/74)","61%
(54/89)","39%
(35/89)","30%
(22/74)","53%
(87/163)","47%
(76/163)","92%
(12/13)","77%
(10/13)","23%
(3/13)","8%
(1/13)","58%
(15/26)","42%
(11/26)",rublev-andrey,paire-benoit,20.08.2021 17:10,cincinnati-2021,2-1,3,3,2-1 | 6-2 | 3-6 | 6-3,6-2,,3-6,,6-3,,,,,
4,7,2,5,57%,63%,"64%
(25/39)","88%
(29/33)","41%
(12/29)","42%
(8/19)",8/11,0/1,"12%
(4/33)","36%
(14/39)","32%
(6/19)","52%
(15/29)",1/1,3/11,"54%
(37/68)","71%
(37/52)","29%
(15/52)","46%
(31/68)","43%
(52/120)","57%
(68/120)","67%
(6/9)","90%
(9/10)","10%
(1/10)","33%
(3/9)","37%
(7/19)","63%
(12/19)",berrettini-matteo,auger-aliassime-felix,20.08.2021 01:30,cincinnati-2021,0-2,2,3,0-2 | 4-6 | 3-6,4-6,,3-6,,,,,,,
9,7,4,3,71%,62%,"73%
(52/71)","78%
(43/55)","48%
(14/29)","68%
(23/34)",8/10,6/7,"22%
(12/55)","27%
(19/71)","24%
(8/34)","38%
(11/29)",1/7,2/10,"66%
(66/100)","74%
(66/89)","26%
(23/89)","34%
(34/100)","47%
(89/189)","53%
(100/189)","87%
(13/15)","94%
(15/16)","6%
(1/16)","13%
(2/15)","45%
(14/31)","55%
(17/31)",sonego-lorenzo,tsitsipas-stefanos,19.08.2021 23:10,cincinnati-2021,1-2,3,3,1-2 | 7-5 | 3-6 | 4-6,7-5,,3-6,,4-6,,,,,
6,0,0,1,67%,60%,"91%
(30/33)","69%
(22/32)","63%
(10/16)","57%
(12/21)",0/0,5/7,"31%
(10/32)","9%
(3/33)","38%
(8/21)","38%
(6/16)",2/7,0/0,"82%
(40/49)","64%
(34/53)","36%
(19/53)","18%
(9/49)","58%
(59/102)","42%
(43/102)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",ruud-casper,schwartzman-diego,19.08.2021 20:35,cincinnati-2021,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
