Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,0,3,4,70%,71%,"51%
(25/49)","61%
(35/57)","52%
(11/21)","52%
(12/23)",7/13,8/11,"39%
(22/57)","49%
(24/49)","30%
(7/23)","33%
(7/21)",3/11,6/13,"51%
(36/70)","59%
(47/80)","41%
(33/80)","49%
(34/70)","46%
(69/150)","54%
(81/150)","45%
(5/11)","73%
(8/11)","27%
(3/11)","60%
(6/10)","38%
(8/21)","64%
(14/22)",ramos-vinolas-albert,cerundolo-juan-manuel,28.02.2021 22:15,cordoba-2021,1-2,3,3,1-2 | 0-6 | 6-2 | 2-6,0-6,,6-2,,2-6,,,,,
2,4,3,4,54%,52%,"71%
(36/51)","69%
(45/65)","52%
(23/44)","47%
(28/60)",3/6,13/18,"34%
(22/65)","31%
(16/51)","45%
(27/60)","41%
(18/44)",5/18,3/6,"62%
(59/95)","59%
(74/125)","41%
(51/125)","38%
(36/95)","50%
(110/220)","50%
(110/220)","81%
(13/16)","71%
(12/17)","29%
(5/17)","19%
(3/16)","55%
(18/33)","45%
(15/33)",ramos-vinolas-albert,bagnis-facundo,28.02.2021 00:45,cordoba-2021,2-1,3,3,2-1 | 7-5 | 5-7 | 6-3,7-5,,5-7,,6-3,,,,,
1,1,2,2,79%,69%,"60%
(37/62)","49%
(36/73)","44%
(7/16)","55%
(18/33)",5/10,15/22,"51%
(37/73)","40%
(25/62)","39%
(13/33)","44%
(7/16)",7/22,5/10,"56%
(44/78)","51%
(54/106)","49%
(52/106)","44%
(34/78)","52%
(96/184)","48%
(88/184)","64%
(9/14)","50%
(7/14)","50%
(7/14)","36%
(5/14)","57%
(16/28)","43%
(12/28)",cerundolo-juan-manuel,coria-federico,27.02.2021 22:20,cordoba-2021,2-1,3,3,2-1 | 6-4 | 4-6 | 6-2,6-4,,4-6,,6-2,,,,,
6,1,3,3,67%,64%,"64%
(42/66)","60%
(32/53)","38%
(12/32)","67%
(20/30)",7/12,2/4,"40%
(21/53)","36%
(24/66)","23%
(7/30)","53%
(17/32)",2/4,5/12,"55%
(54/98)","63%
(52/83)","37%
(31/83)","45%
(44/98)","47%
(85/181)","53%
(96/181)","62%
(8/13)","85%
(11/13)","15%
(2/13)","38%
(5/13)","38%
(10/26)","62%
(16/26)",schwartzman-diego,ramos-vinolas-albert,26.02.2021 23:30,cordoba-2021,1-2,3,3,1-2 | 1-6 | 6-4 | 3-6,1-6,,6-4,,3-6,,,,,
0,4,3,1,56%,65%,"63%
(17/27)","73%
(22/30)","33%
(7/21)","75%
(12/16)",7/11,2/2,"27%
(8/30)","37%
(10/27)","19%
(3/16)","52%
(11/21)",0/2,4/11,"50%
(24/48)","74%
(34/46)","26%
(12/46)","50%
(24/48)","38%
(36/94)","62%
(58/94)","43%
(3/7)","100%
(8/8)","0%
(0/8)","57%
(4/7)","20%
(3/15)","80%
(12/15)",kovalik-jozef,bagnis-facundo,26.02.2021 22:00,cordoba-2021,0-2,2,3,0-2 | 1-6 | 2-6,1-6,,2-6,,,,,,,
2,4,1,5,74%,55%,"69%
(22/32)","59%
(24/41)","64%
(7/11)","30%
(10/33)",1/3,7/13,"41%
(17/41)","31%
(10/32)","55%
(18/33)","27%
(3/11)",6/13,2/3,"67%
(29/43)","46%
(34/74)","54%
(40/74)","33%
(14/43)","59%
(69/117)","41%
(48/117)","75%
(6/8)","33%
(3/9)","67%
(6/9)","25%
(2/8)","71%
(12/17)","29%
(5/17)",coria-federico,paire-benoit,26.02.2021 20:30,cordoba-2021,2-0,2,3,2-0 | 6-3 | 6-2,6-3,,6-2,,,,,,,
5,0,3,2,64%,72%,"62%
(36/58)","64%
(34/53)","38%
(12/32)","52%
(11/21)",7/12,5/8,"36%
(19/53)","38%
(22/58)","38%
(8/21)","53%
(17/32)",3/8,5/12,"53%
(48/90)","61%
(45/74)","39%
(29/74)","47%
(42/90)","47%
(77/164)","53%
(87/164)","62%
(8/13)","75%
(9/12)","25%
(3/12)","38%
(5/13)","44%
(11/25)","56%
(14/25)",monteiro-thiago,cerundolo-juan-manuel,26.02.2021 17:50,cordoba-2021,1-2,3,3,1-2 | 2-6 | 6-2 | 3-6,2-6,,6-2,,3-6,,,,,
5,5,0,2,70%,60%,"73%
(45/62)","68%
(43/63)","56%
(15/27)","45%
(19/42)",0/3,5/9,"32%
(20/63)","27%
(17/62)","50%
(21/42)","44%
(12/27)",4/9,3/3,"67%
(60/89)","59%
(62/105)","41%
(43/105)","33%
(29/89)","53%
(103/194)","47%
(91/194)","81%
(13/16)","75%
(12/16)","25%
(4/16)","19%
(3/16)","53%
(17/32)","47%
(15/32)",etcheverry-tomas-martin,ramos-vinolas-albert,25.02.2021 23:35,cordoba-2021,1-2,3,3,1-2 | 6-2 | 6-7(5-7) | 5-7,6-2,,6-7,5-7,5-7,,,,,
3,2,4,1,57%,79%,"71%
(24/34)","42%
(16/38)","54%
(14/26)","40%
(4/10)",6/7,2/7,"58%
(22/38)","29%
(10/34)","50%
(5/10)","31%
(8/26)",5/7,1/7,"63%
(38/60)","42%
(20/48)","58%
(28/48)","37%
(22/60)","61%
(66/108)","39%
(42/108)","88%
(7/8)","38%
(3/8)","63%
(5/8)","13%
(1/8)","75%
(12/16)","25%
(4/16)",schwartzman-diego,cecchinato-marco,25.02.2021 22:10,cordoba-2021,2-0,2,3,2-0 | 6-2 | 6-2,6-2,,6-2,,,,,,,
4,3,0,3,73%,64%,"64%
(42/66)","63%
(40/64)","64%
(16/25)","44%
(16/36)",2/5,6/12,"38%
(24/64)","36%
(24/66)","47%
(17/36)","36%
(9/25)",6/12,3/5,"64%
(58/91)","56%
(56/100)","44%
(44/100)","36%
(33/91)","53%
(102/191)","47%
(89/191)","81%
(13/16)","63%
(10/16)","38%
(6/16)","19%
(3/16)","59%
(19/32)","41%
(13/32)",cerundolo-juan-manuel,kecmanovic-miomir,25.02.2021 19:30,cordoba-2021,2-1,3,3,2-1 | 6-7(3-7) | 7-5 | 6-2,6-7,3-7,7-5,,6-2,,,,,
4,3,6,5,68%,62%,"74%
(29/39)","68%
(23/34)","61%
(11/18)","33%
(7/21)",4/5,2/5,"32%
(11/34)","26%
(10/39)","43%
(9/21)","6%
(1/18)",3/5,1/5,"70%
(40/57)","55%
(30/55)","45%
(25/55)","30%
(17/57)","58%
(65/112)","42%
(47/112)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",monteiro-thiago,carballes-baena-roberto,25.02.2021 17:45,cordoba-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
4,7,7,4,70%,51%,"65%
(30/46)","84%
(26/31)","30%
(6/20)","53%
(16/30)",4/7,8/8,"16%
(5/31)","35%
(16/46)","33%
(10/30)","35%
(7/20)",0/8,3/7,"55%
(36/66)","69%
(42/61)","31%
(19/61)","45%
(30/66)","43%
(55/127)","57%
(72/127)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",jarry-nicolas,paire-benoit,25.02.2021 00:10,cordoba-2021,0-2,2,3,0-2 | 2-6 | 4-6,2-6,,4-6,,,,,,,
5,4,3,2,62%,73%,"80%
(36/45)","70%
(31/44)","54%
(15/28)","50%
(8/16)",5/6,5/8,"30%
(13/44)","20%
(9/45)","38%
(6/16)","36%
(10/28)",3/8,1/6,"70%
(51/73)","65%
(39/60)","35%
(21/60)","30%
(22/73)","54%
(72/133)","46%
(61/133)","91%
(10/11)","73%
(8/11)","27%
(3/11)","9%
(1/11)","59%
(13/22)","41%
(9/22)",bagnis-facundo,delbonis-federico,24.02.2021 22:20,cordoba-2021,2-0,2,3,2-0 | 6-4 | 7-5,6-4,,7-5,,,,,,,
3,0,1,2,63%,56%,"53%
(26/49)","68%
(27/40)","62%
(18/29)","45%
(14/31)",4/8,4/8,"33%
(13/40)","47%
(23/49)","48%
(15/31)","34%
(10/29)",4/8,4/8,"56%
(44/78)","58%
(41/71)","42%
(30/71)","44%
(34/78)","50%
(74/149)","50%
(75/149)","69%
(9/13)","67%
(8/12)","33%
(4/12)","31%
(4/13)","52%
(13/25)","48%
(12/25)",coria-federico,cerundolo-francisco,24.02.2021 20:10,cordoba-2021,2-1,3,3,2-1 | 1-6 | 6-2 | 6-4,1-6,,6-2,,6-4,,,,,
