Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak,Net points won_left,Net points won_right
8,8,2,1,62%,62%,"87%
(34/39)","82%
(31/38)","54%
(13/24)","39%
(9/23)",1/1,1/3,"18%
(7/38)","13%
(5/39)","57%
(13/23)","38%
(9/24)",2/3,0/1,11,14,10,17,"75%
(47/63)","66%
(40/61)","34%
(21/61)","25%
(16/63)","55%
(68/124)","45%
(56/124)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",medvedev-daniil,cilic-marin,05.12.2021 17:10,davis-cup-world-group-2021,2-0,2,3,2-0 | 7-6(9-7) | 6-2,7-6,9-7,6-2,,,,,,,,,
8,15,2,2,68%,63%,"92%
(36/39)","63%
(33/52)","67%
(12/18)","65%
(20/31)",0/0,7/8,"37%
(19/52)","8%
(3/39)","29%
(9/31)","22%
(4/18)",1/8,0/0,18,9,4,11,"84%
(48/57)","64%
(53/83)","36%
(30/83)","16%
(9/57)","56%
(78/140)","44%
(62/140)","100%
(11/11)","91%
(10/11)","9%
(1/11)","0%
(0/11)","55%
(12/22)","45%
(10/22)",rublev-andrey,gojo-borna,05.12.2021 15:05,davis-cup-world-group-2021,2-0,2,3,2-0 | 6-4 | 7-6(7-5),6-4,,7-6,7-5,,,,,,,,
7,5,0,4,70%,63%,"83%
(29/35)","85%
(29/34)","80%
(12/15)","35%
(7/20)",1/1,3/5,"15%
(5/34)","17%
(6/35)","45%
(9/20)","20%
(3/15)",2/5,0/1,11,12,6,12,"82%
(41/50)","67%
(36/54)","33%
(18/54)","18%
(9/50)","57%
(59/104)","43%
(45/104)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",medvedev-daniil,struff-jan-lennard,04.12.2021 13:30,davis-cup-world-group-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,,,
9,2,2,2,74%,49%,"84%
(27/32)","57%
(12/21)","55%
(6/11)","45%
(10/22)",0/0,0/4,"43%
(9/21)","16%
(5/32)","45%
(10/22)","27%
(3/11)",4/4,0/0,11,4,7,10,"77%
(33/43)","51%
(22/43)","49%
(21/43)","23%
(10/43)","63%
(54/86)","37%
(32/86)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",rublev-andrey,koepfer-dominik,04.12.2021 12:10,davis-cup-world-group-2021,2-0,2,3,2-0 | 6-4 | 6-0,6-4,,6-0,,,,,,,,,
6,4,3,1,56%,65%,"62%
(23/37)","74%
(29/39)","45%
(13/29)","62%
(13/21)",5/8,8/8,"26%
(10/39)","38%
(14/37)","33%
(7/21)","45%
(13/29)",0/8,3/8,9,13,25,23,"55%
(36/66)","70%
(42/60)","30%
(18/60)","45%
(30/66)","43%
(54/126)","57%
(72/126)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",cilic-marin,djokovic-novak,03.12.2021 17:30,davis-cup-world-group-2021,0-2,2,3,0-2 | 4-6 | 2-6,4-6,,2-6,,,,,,,,,
5,2,3,1,62%,75%,"77%
(36/47)","54%
(34/63)","45%
(13/29)","67%
(14/21)",1/4,4/9,"46%
(29/63)","23%
(11/47)","29%
(6/21)","45%
(13/29)",5/9,3/4,14,14,31,44,"64%
(49/76)","57%
(48/84)","43%
(36/84)","36%
(27/76)","53%
(85/160)","47%
(75/160)","79%
(11/14)","62%
(8/13)","38%
(5/13)","21%
(3/14)","59%
(16/27)","41%
(11/27)",gojo-borna,lajovic-dusan,03.12.2021 15:10,davis-cup-world-group-2021,2-1,3,3,2-1 | 4-6 | 6-3 | 6-2,4-6,,6-3,,6-2,,,,,,,
8,1,9,2,59%,77%,"73%
(22/30)","54%
(26/48)","48%
(10/21)","43%
(6/14)",2/5,5/10,"46%
(22/48)","27%
(8/30)","43%
(6/14)","10%
(2/21)",5/10,3/5,22,11,20,19,"63%
(32/51)","52%
(32/62)","48%
(30/62)","37%
(19/51)","55%
(62/113)","45%
(51/113)","70%
(7/10)","50%
(5/10)","50%
(5/10)","30%
(3/10)","60%
(12/20)","40%
(8/20)",medvedev-daniil,ymer-mikael,02.12.2021 18:05,davis-cup-world-group-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,,,
8,12,1,6,63%,61%,"77%
(47/61)","64%
(43/67)","56%
(20/36)","57%
(24/42)",4/7,8/12,"36%
(24/67)","23%
(14/61)","29%
(12/42)","42%
(15/36)",4/12,3/7,25,36,33,32,"69%
(67/97)","61%
(67/109)","39%
(42/109)","31%
(30/97)","53%
(109/206)","47%
(97/206)","81%
(13/16)","75%
(12/16)","25%
(4/16)","19%
(3/16)","53%
(17/32)","47%
(15/32)",rublev-andrey,ymer-elias,02.12.2021 15:10,davis-cup-world-group-2021,2-1,3,3,2-1 | 6-2 | 5-7 | 7-6(7-3),6-2,,5-7,,7-6,7-3,,,,,,
4,12,3,7,60%,53%,"91%
(29/32)","72%
(28/39)","62%
(13/21)","44%
(15/34)",2/2,9/11,"28%
(11/39)","9%
(3/32)","35%
(12/34)","24%
(5/21)",2/11,0/2,11,4,9,15,"79%
(42/53)","59%
(43/73)","41%
(30/73)","21%
(11/53)","57%
(72/126)","43%
(54/126)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",djokovic-novak,bublik-alexander,01.12.2021 19:00,davis-cup-world-group-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,,,
10,5,4,1,68%,69%,"70%
(57/82)","67%
(64/95)","56%
(22/39)","57%
(24/42)",4/7,11/15,"33%
(31/95)","30%
(25/82)","40%
(17/42)","33%
(13/39)",4/15,3/7,25,39,39,41,"65%
(79/121)","64%
(88/137)","36%
(49/137)","35%
(42/121)","50%
(128/258)","50%
(130/258)","82%
(14/17)","76%
(13/17)","24%
(4/17)","18%
(3/17)","53%
(18/34)","47%
(16/34)",kecmanovic-miomir,kukushkin-mikhail,01.12.2021 15:10,davis-cup-world-group-2021,1-2,3,3,1-2 | 6-7(5-7) | 6-4 | 6-7(11-13),6-7,5-7,6-4,,6-7,11-13,,,,,,
