Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
4,1,0,5,76%,60%,"71%
(27/38)","61%
(20/33)","58%
(7/12)","41%
(9/22)",0/1,1/5,"39%
(13/33)","29%
(11/38)","36%
(8/22)","42%
(5/12)",4/5,1/1,"68%
(34/50)","53%
(29/55)","47%
(26/55)","32%
(16/50)","57%
(60/105)","43%
(45/105)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",hurkacz-hubert,korda-sebastian,13.01.2021 20:05,delray-beach-2021,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
3,6,5,4,63%,60%,"71%
(25/35)","81%
(29/36)","33%
(7/21)","46%
(11/24)",2/6,0/2,"19%
(7/36)","29%
(10/35)","38%
(9/24)","43%
(9/21)",2/2,4/6,"57%
(32/56)","67%
(40/60)","33%
(20/60)","43%
(24/56)","45%
(52/116)","55%
(64/116)","60%
(6/10)","82%
(9/11)","18%
(2/11)","40%
(4/10)","38%
(8/21)","62%
(13/21)",norrie-cameron,korda-sebastian,13.01.2021 01:05,delray-beach-2021,0-2,2,3,0-2 | 3-6 | 5-7,3-6,,5-7,,,,,,,
5,7,4,1,66%,63%,"63%
(29/46)","68%
(30/44)","54%
(13/24)","58%
(15/26)",3/5,2/3,"32%
(14/44)","37%
(17/46)","38%
(10/26)","29%
(7/24)",1/3,2/5,"60%
(42/70)","64%
(45/70)","36%
(25/70)","40%
(28/70)","48%
(67/140)","52%
(73/140)","82%
(9/11)","91%
(10/11)","9%
(1/11)","18%
(2/11)","45%
(10/22)","55%
(12/22)",harrison-christian,hurkacz-hubert,12.01.2021 20:05,delray-beach-2021,0-2,2,3,0-2 | 6-7(4-7) | 4-6,6-7,4-7,4-6,,,,,,,
6,7,1,4,60%,63%,"66%
(38/58)","76%
(37/49)","42%
(16/38)","41%
(12/29)",12/17,9/11,"24%
(12/49)","34%
(20/58)","45%
(13/29)","55%
(21/38)",2/11,5/17,"56%
(54/96)","63%
(49/78)","37%
(29/78)","44%
(42/96)","48%
(83/174)","52%
(91/174)","62%
(8/13)","83%
(10/12)","17%
(2/12)","38%
(5/13)","40%
(10/25)","60%
(15/25)",tiafoe-frances,norrie-cameron,12.01.2021 01:20,delray-beach-2021,1-2,3,3,1-2 | 0-6 | 6-3 | 4-6,0-6,,6-3,,4-6,,,,,
5,13,4,1,60%,72%,"82%
(40/49)","65%
(39/60)","59%
(19/32)","52%
(12/23)",5/6,4/7,"35%
(21/60)","18%
(9/49)","43%
(10/23)","28%
(9/32)",3/7,1/6,"73%
(59/81)","61%
(51/83)","39%
(32/83)","27%
(22/81)","55%
(91/164)","45%
(73/164)","93%
(13/14)","79%
(11/14)","21%
(3/14)","7%
(1/14)","57%
(16/28)","43%
(12/28)",korda-sebastian,isner-john,11.01.2021 23:10,delray-beach-2021,2-1,3,3,2-1 | 6-3 | 4-6 | 6-3,6-3,,4-6,,6-3,,,,,
2,2,1,1,72%,63%,"74%
(29/39)","65%
(28/43)","53%
(8/15)","40%
(10/25)",2/3,7/10,"35%
(15/43)","26%
(10/39)","56%
(14/25)","40%
(6/15)",3/10,1/3,"69%
(37/54)","56%
(38/68)","44%
(30/68)","31%
(17/54)","55%
(67/122)","45%
(55/122)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",hurkacz-hubert,quiroz-roberto,11.01.2021 19:40,delray-beach-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
2,5,4,6,68%,54%,"83%
(39/47)","76%
(34/45)","55%
(12/22)","47%
(18/38)",3/4,9/11,"24%
(11/45)","17%
(8/47)","37%
(14/38)","27%
(6/22)",2/11,1/4,"74%
(51/69)","63%
(52/83)","37%
(31/83)","26%
(18/69)","54%
(82/152)","46%
(70/152)","91%
(10/11)","82%
(9/11)","18%
(2/11)","9%
(1/11)","55%
(12/22)","45%
(10/22)",harrison-christian,mager-gianluca,11.01.2021 17:35,delray-beach-2021,2-0,2,3,2-0 | 7-6(7-2) | 6-4,7-6,7-2,6-4,,,,,,,
5,1,5,3,56%,50%,"76%
(25/33)","55%
(17/31)","46%
(12/26)","45%
(14/31)",2/4,3/8,"45%
(14/31)","24%
(8/33)","45%
(14/31)","35%
(9/26)",5/8,2/4,"63%
(37/59)","50%
(31/62)","50%
(31/62)","37%
(22/59)","56%
(68/121)","44%
(53/121)","80%
(8/10)","50%
(5/10)","50%
(5/10)","20%
(2/10)","65%
(13/20)","35%
(7/20)",norrie-cameron,mannarino-adrian,11.01.2021 01:10,delray-beach-2021,2-0,2,3,2-0 | 6-2 | 7-5,6-2,,7-5,,,,,,,
4,7,0,4,76%,67%,"90%
(28/31)","77%
(24/31)","80%
(8/10)","33%
(5/15)",0/0,2/5,"23%
(7/31)","10%
(3/31)","40%
(6/15)","20%
(2/10)",3/5,0/0,"88%
(36/41)","63%
(29/46)","37%
(17/46)","12%
(5/41)","61%
(53/87)","39%
(34/87)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",quiroz-roberto,karlovic-ivo,10.01.2021 23:10,delray-beach-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
6,3,7,2,56%,58%,"83%
(40/48)","70%
(33/47)","43%
(16/37)","44%
(15/34)",5/7,2/6,"30%
(14/47)","17%
(8/48)","50%
(17/34)","38%
(14/37)",4/6,2/7,"66%
(56/85)","59%
(48/81)","41%
(33/81)","34%
(29/85)","54%
(89/166)","46%
(77/166)","85%
(11/13)","69%
(9/13)","31%
(4/13)","15%
(2/13)","58%
(15/26)","42%
(11/26)",tiafoe-frances,fratangelo-bjorn,10.01.2021 19:35,delray-beach-2021,2-1,3,3,2-1 | 6-4 | 3-6 | 6-1,6-4,,3-6,,6-1,,,,,
