Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
0,3,3,0,77%,76%,"54%
(26/48)","77%
(34/44)","50%
(7/14)","43%
(6/14)",3/6,1/2,"23%
(10/44)","46%
(22/48)","57%
(8/14)","29%
(4/14)",1/2,3/6,"53%
(33/62)","69%
(40/58)","31%
(18/58)","47%
(29/62)","43%
(51/120)","57%
(69/120)","70%
(7/10)","90%
(9/10)","10%
(1/10)","30%
(3/10)","40%
(8/20)","60%
(12/20)",moutet-corentin,rublev-andrey,11.01.2020 15:15,doha-2020,0-2,2,3,0-2 | 2-6 | 6-7(3-7),2-6,,6-7,3-7,,,,,,
12,0,4,0,66%,76%,"74%
(45/61)","80%
(45/56)","53%
(17/32)","67%
(12/18)",9/11,0/1,"20%
(11/56)","26%
(16/61)","33%
(6/18)","34%
(11/32)",1/1,2/11,"67%
(62/93)","77%
(57/74)","23%
(17/74)","33%
(31/93)","47%
(79/167)","53%
(88/167)","87%
(13/15)","93%
(14/15)","7%
(1/15)","13%
(2/15)","47%
(14/30)","53%
(16/30)",wawrinka-stan,moutet-corentin,10.01.2020 17:00,doha-2020,1-2,3,3,1-2 | 6-3 | 5-7 | 3-6,6-3,,5-7,,3-6,,,,,
0,10,1,1,60%,60%,"47%
(14/30)","92%
(24/26)","50%
(10/20)","59%
(10/17)",2/6,0/0,"8%
(2/26)","53%
(16/30)","35%
(6/17)","45%
(9/20)",0/0,4/6,"48%
(24/50)","79%
(34/43)","21%
(9/43)","52%
(26/50)","35%
(33/93)","65%
(60/93)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",kecmanovic-miomir,rublev-andrey,10.01.2020 14:35,doha-2020,0-2,2,3,0-2 | 3-6 | 1-6,3-6,,1-6,,,,,,,
5,7,0,1,50%,51%,"93%
(27/29)","88%
(22/25)","55%
(16/29)","42%
(10/24)",2/2,2/4,"12%
(3/25)","7%
(2/29)","54%
(13/24)","45%
(13/29)",2/4,0/2,"74%
(43/58)","65%
(32/49)","35%
(17/49)","26%
(15/58)","56%
(60/107)","44%
(47/107)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",wawrinka-stan,bedene-aljaz,10.01.2020 12:45,doha-2020,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
2,8,2,3,74%,72%,"73%
(49/67)","68%
(44/65)","50%
(12/24)","56%
(14/25)",4/6,3/6,"32%
(21/65)","27%
(18/67)","32%
(8/25)","38%
(9/24)",3/6,2/6,"67%
(61/91)","64%
(58/90)","36%
(32/90)","33%
(30/91)","51%
(93/181)","49%
(88/181)","87%
(13/15)","80%
(12/15)","20%
(3/15)","13%
(2/15)","53%
(16/30)","47%
(14/30)",moutet-corentin,verdasco-fernando,10.01.2020 10:10,doha-2020,2-1,3,3,2-1 | 6-4 | 4-6 | 6-4,6-4,,4-6,,6-4,,,,,
10,4,3,1,54%,56%,"70%
(28/40)","73%
(29/40)","29%
(10/34)","47%
(15/32)",4/8,5/6,"28%
(11/40)","30%
(12/40)","50%
(16/32)","62%
(21/34)",1/6,4/8,"51%
(38/74)","61%
(44/72)","39%
(28/72)","49%
(36/74)","45%
(66/146)","55%
(80/146)","60%
(6/10)","89%
(8/9)","11%
(1/9)","40%
(4/10)","37%
(7/19)","63%
(12/19)",herbert-pierre-hugues,rublev-andrey,10.01.2020 09:45,doha-2020,0-2,2,3,0-2 | 4-6 | 3-6,4-6,,3-6,,,,,,,
6,2,2,0,67%,77%,"44%
(14/32)","73%
(22/30)","19%
(3/16)","67%
(6/9)",6/12,3/4,"27%
(8/30)","56%
(18/32)","33%
(3/9)","69%
(11/16)",1/4,6/12,"35%
(17/48)","72%
(28/39)","28%
(11/39)","65%
(31/48)","32%
(28/87)","68%
(59/87)","14%
(1/7)","86%
(6/7)","14%
(1/7)","86%
(6/7)","14%
(2/14)","86%
(12/14)",fucsovics-marton,kecmanovic-miomir,09.01.2020 14:00,doha-2020,0-2,2,3,0-2 | 2-6 | 0-6,2-6,,0-6,,,,,,,
14,2,5,3,55%,74%,"80%
(33/41)","71%
(48/68)","56%
(19/34)","63%
(15/24)",2/3,2/3,"29%
(20/68)","20%
(8/41)","25%
(6/24)","29%
(10/34)",1/3,1/3,"69%
(52/75)","68%
(63/92)","32%
(29/92)","31%
(23/75)","49%
(81/167)","51%
(86/167)","92%
(11/12)","92%
(11/12)","8%
(1/12)","8%
(1/12)","50%
(12/24)","50%
(12/24)",raonic-milos,moutet-corentin,08.01.2020 18:20,doha-2020,0-2,2,3,0-2 | 6-7(4-7) | 6-7(4-7),6-7,4-7,6-7,4-7,,,,,,
9,2,4,1,61%,70%,"89%
(34/38)","70%
(28/40)","54%
(13/24)","47%
(8/17)",0/0,1/3,"30%
(12/40)","11%
(4/38)","47%
(8/17)","29%
(7/24)",2/3,0/0,"76%
(47/62)","63%
(36/57)","37%
(21/57)","24%
(15/62)","57%
(68/119)","43%
(51/119)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",kecmanovic-miomir,tsonga-jo-wilfried,08.01.2020 16:45,doha-2020,2-0,2,3,2-0 | 7-6(11-9) | 6-1,7-6,11-9,6-1,,,,,,,
2,4,2,1,68%,70%,"53%
(17/32)","76%
(25/33)","40%
(6/15)","43%
(6/14)",2/7,0/1,"24%
(8/33)","47%
(15/32)","50%
(7/14)","47%
(7/15)",1/1,5/7,"49%
(23/47)","66%
(31/47)","34%
(16/47)","51%
(24/47)","41%
(39/94)","59%
(55/94)","38%
(3/8)","88%
(7/8)","13%
(1/8)","63%
(5/8)","25%
(4/16)","75%
(12/16)",djere-laslo,herbert-pierre-hugues,08.01.2020 15:15,doha-2020,0-2,2,3,0-2 | 1-6 | 3-6,1-6,,3-6,,,,,,,
