Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
2,8,0,3,63%,65%,"78%
(28/36)","77%
(24/31)","57%
(12/21)","24%
(4/17)",1/2,0/3,"23%
(7/31)","22%
(8/36)","59%
(10/17)","43%
(9/21)",3/3,1/2,"70%
(40/57)","58%
(28/48)","42%
(20/48)","30%
(17/57)","57%
(60/105)","43%
(45/105)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",djokovic-novak,tsitsipas-stefanos,29.02.2020 15:10,dubai-2020,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
5,8,1,6,74%,61%,"61%
(43/71)","65%
(40/62)","52%
(13/25)","38%
(15/40)",4/7,7/11,"35%
(22/62)","39%
(28/71)","48%
(19/40)","44%
(11/25)",4/11,3/7,"58%
(56/96)","54%
(55/102)","46%
(47/102)","42%
(40/96)","52%
(103/198)","48%
(95/198)","77%
(10/13)","71%
(10/14)","29%
(4/14)","23%
(3/13)","52%
(14/27)","48%
(13/27)",djokovic-novak,monfils-gael,28.02.2020 15:10,dubai-2020,2-1,3,3,2-1 | 2-6 | 7-6(10-8) | 6-1,2-6,,7-6,10-8,6-1,,,,,
1,3,1,2,61%,69%,"63%
(27/43)","90%
(26/29)","44%
(12/27)","46%
(6/13)",6/10,0/0,"10%
(3/29)","37%
(16/43)","38%
(5/13)","52%
(14/27)",0/0,4/10,"56%
(39/70)","76%
(32/42)","24%
(10/42)","44%
(31/70)","44%
(49/112)","56%
(63/112)","56%
(5/9)","100%
(8/8)","0%
(0/8)","44%
(4/9)","29%
(5/17)","71%
(12/17)",evans-daniel,tsitsipas-stefanos,28.02.2020 13:10,dubai-2020,0-2,2,3,0-2 | 2-6 | 3-6,2-6,,3-6,,,,,,,
8,0,2,1,65%,66%,"77%
(23/30)","63%
(33/52)","63%
(10/16)","30%
(8/27)",0/1,15/19,"37%
(19/52)","23%
(7/30)","67%
(18/27)","25%
(4/16)",4/19,1/1,"72%
(33/46)","52%
(41/79)","48%
(38/79)","28%
(13/46)","57%
(71/125)","43%
(54/125)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",monfils-gael,gasquet-richard,27.02.2020 17:55,dubai-2020,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
2,3,2,4,60%,59%,"89%
(24/27)","48%
(14/29)","44%
(8/18)","35%
(7/20)",1/2,4/9,"52%
(15/29)","11%
(3/27)","45%
(9/20)","44%
(8/18)",5/9,1/2,"71%
(32/45)","43%
(21/49)","57%
(28/49)","29%
(13/45)","64%
(60/94)","36%
(34/94)","88%
(7/8)","38%
(3/8)","63%
(5/8)","13%
(1/8)","75%
(12/16)","25%
(4/16)",djokovic-novak,khachanov-karen,27.02.2020 16:30,dubai-2020,2-0,2,3,2-0 | 6-2 | 6-2,6-2,,6-2,,,,,,,
9,6,4,2,50%,64%,"73%
(40/55)","72%
(44/61)","53%
(29/55)","63%
(22/35)",6/8,6/7,"28%
(17/61)","27%
(15/55)","31%
(11/35)","40%
(22/55)",1/7,2/8,"63%
(69/110)","69%
(66/96)","31%
(30/96)","37%
(41/110)","48%
(99/206)","52%
(107/206)","87%
(13/15)","93%
(14/15)","7%
(1/15)","13%
(2/15)","47%
(14/30)","53%
(16/30)",struff-jan-lennard,tsitsipas-stefanos,27.02.2020 13:45,dubai-2020,1-2,3,3,1-2 | 6-4 | 4-6 | 4-6,6-4,,4-6,,4-6,,,,,
5,3,0,6,53%,66%,"62%
(24/39)","65%
(42/65)","51%
(18/35)","47%
(16/34)",7/11,8/10,"35%
(23/65)","38%
(15/39)","35%
(12/34)","49%
(17/35)",2/10,4/11,"57%
(42/74)","59%
(58/99)","41%
(41/99)","43%
(32/74)","48%
(83/173)","52%
(90/173)","60%
(6/10)","80%
(8/10)","20%
(2/10)","40%
(4/10)","40%
(8/20)","60%
(12/20)",rublev-andrey,evans-daniel,27.02.2020 11:15,dubai-2020,0-2,2,3,0-2 | 2-6 | 6-7(9-11),2-6,,6-7,9-11,,,,,,
4,0,1,1,72%,40%,"72%
(26/36)","53%
(10/19)","57%
(8/14)","38%
(11/29)",5/6,2/7,"47%
(9/19)","28%
(10/36)","59%
(17/29)","36%
(5/14)",5/7,1/6,"68%
(34/50)","44%
(21/48)","56%
(27/48)","32%
(16/50)","62%
(61/98)","38%
(37/98)","88%
(7/8)","29%
(2/7)","71%
(5/7)","13%
(1/8)","80%
(12/15)","20%
(3/15)",monfils-gael,uchiyama-yasutaka,26.02.2020 16:30,dubai-2020,2-0,2,3,2-0 | 6-1 | 6-2,6-1,,6-2,,,,,,,
4,3,3,6,61%,47%,"60%
(26/43)","61%
(17/28)","54%
(15/28)","35%
(11/31)",10/14,3/9,"39%
(11/28)","40%
(17/43)","45%
(14/31)","36%
(10/28)",6/9,4/14,"58%
(41/71)","47%
(28/59)","53%
(31/59)","42%
(30/71)","55%
(72/130)","45%
(58/130)","60%
(6/10)","40%
(4/10)","60%
(6/10)","40%
(4/10)","60%
(12/20)","40%
(8/20)",gasquet-richard,paire-benoit,26.02.2020 15:45,dubai-2020,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
2,2,2,1,55%,64%,"79%
(19/24)","68%
(19/28)","70%
(14/20)","19%
(3/16)",0/0,3/7,"32%
(9/28)","21%
(5/24)","75%
(12/16)","20%
(4/20)",4/7,0/0,"75%
(33/44)","50%
(22/44)","50%
(22/44)","25%
(11/44)","63%
(55/88)","38%
(33/88)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",djokovic-novak,kohlschreiber-philipp,26.02.2020 15:10,dubai-2020,2-0,2,3,2-0 | 6-3 | 6-1,6-3,,6-1,,,,,,,
