Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
5,1,2,3,72%,68%,"73%
(58/79)","72%
(51/71)","48%
(15/31)","58%
(19/33)",6/8,2/4,"28%
(20/71)","27%
(21/79)","33%
(11/33)","45%
(14/31)",2/4,2/8,"66%
(73/110)","67%
(70/104)","33%
(34/104)","34%
(37/110)","50%
(107/214)","50%
(107/214)","88%
(14/16)","88%
(14/16)","13%
(2/16)","13%
(2/16)","50%
(16/32)","50%
(16/32)",sonego-lorenzo,de-minaur-alex,26.06.2021 13:35,eastbourne-2021,1-2,3,3,1-2 | 6-4 | 4-6 | 6-7(5-7),6-4,,4-6,,6-7,5-7,,,,
2,3,2,1,69%,63%,"64%
(28/44)","74%
(28/38)","45%
(9/20)","68%
(15/22)",1/4,0/2,"26%
(10/38)","36%
(16/44)","27%
(6/22)","45%
(9/20)",2/2,3/4,"58%
(37/64)","72%
(43/60)","28%
(17/60)","42%
(27/64)","44%
(54/124)","56%
(70/124)","70%
(7/10)","82%
(9/11)","18%
(2/11)","30%
(3/10)","43%
(9/21)","57%
(12/21)",kwon-soon-woo,de-minaur-alex,25.06.2021 15:20,eastbourne-2021,0-2,2,3,0-2 | 3-6 | 6-7(2-7),3-6,,6-7,2-7,,,,,,
3,5,2,2,62%,68%,"68%
(25/37)","81%
(42/52)","39%
(9/23)","48%
(12/25)",0/4,0/1,"19%
(10/52)","32%
(12/37)","44%
(11/25)","52%
(12/23)",1/1,4/4,"57%
(34/60)","70%
(54/77)","30%
(23/77)","43%
(26/60)","42%
(57/137)","58%
(80/137)","64%
(7/11)","92%
(11/12)","8%
(1/12)","36%
(4/11)","35%
(8/23)","65%
(15/23)",purcell-max,sonego-lorenzo,25.06.2021 13:25,eastbourne-2021,1-2,3,3,1-2 | 1-6 | 6-3 | 1-6,1-6,,6-3,,1-6,,,,,
6,0,1,3,64%,63%,"55%
(26/47)","81%
(30/37)","46%
(12/26)","45%
(10/22)",3/6,0/1,"19%
(7/37)","45%
(21/47)","41%
(9/22)","50%
(13/26)",1/1,3/6,"52%
(38/73)","68%
(40/59)","32%
(19/59)","48%
(35/73)","43%
(57/132)","57%
(75/132)","70%
(7/10)","90%
(9/10)","10%
(1/10)","30%
(3/10)","40%
(8/20)","60%
(12/20)",pospisil-vasek,de-minaur-alex,24.06.2021 16:25,eastbourne-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
14,1,3,2,61%,65%,"75%
(36/48)","78%
(38/49)","42%
(13/31)","42%
(11/26)",3/6,5/6,"22%
(11/49)","25%
(12/48)","50%
(13/26)","48%
(15/31)",1/6,3/6,"62%
(49/79)","65%
(49/75)","35%
(26/75)","38%
(30/79)","49%
(75/154)","51%
(79/154)","73%
(8/11)","91%
(10/11)","9%
(1/11)","27%
(3/11)","41%
(9/22)","59%
(13/22)",ivashka-ilya,kwon-soon-woo,24.06.2021 15:05,eastbourne-2021,0-2,2,3,0-2 | 4-6 | 5-7,4-6,,5-7,,,,,,,
4,8,2,0,53%,59%,"71%
(30/42)","60%
(29/48)","37%
(14/38)","50%
(17/34)",6/11,5/10,"40%
(19/48)","29%
(12/42)","50%
(17/34)","58%
(22/38)",5/10,5/11,"55%
(44/80)","56%
(46/82)","44%
(36/82)","45%
(36/80)","49%
(80/162)","51%
(82/162)","62%
(8/13)","64%
(9/14)","36%
(5/14)","38%
(5/13)","48%
(13/27)","52%
(14/27)",purcell-max,seppi-andreas,24.06.2021 12:55,eastbourne-2021,2-1,3,3,2-1 | 6-4 | 1-6 | 6-4,6-4,,1-6,,6-4,,,,,
3,8,2,9,70%,63%,"68%
(25/37)","54%
(25/46)","63%
(10/16)","44%
(12/27)",1/2,4/8,"46%
(21/46)","32%
(12/37)","22%
(6/27)","25%
(4/16)",4/8,1/2,"70%
(37/53)","51%
(37/73)","49%
(36/73)","30%
(16/53)","58%
(73/126)","42%
(53/126)","90%
(9/10)","56%
(5/9)","44%
(4/9)","10%
(1/10)","68%
(13/19)","32%
(6/19)",sonego-lorenzo,bublik-alexander,24.06.2021 10:10,eastbourne-2021,2-0,2,3,2-0 | 6-1 | 7-5,6-1,,7-5,,,,,,,
4,6,1,3,62%,62%,"63%
(27/43)","81%
(34/42)","38%
(10/26)","38%
(10/26)",3/7,7/8,"19%
(8/42)","37%
(16/43)","50%
(13/26)","58%
(15/26)",1/8,4/7,"54%
(37/69)","65%
(44/68)","35%
(24/68)","46%
(32/69)","45%
(61/137)","55%
(76/137)","60%
(6/10)","89%
(8/9)","11%
(1/9)","40%
(4/10)","37%
(7/19)","63%
(12/19)",broady-liam,de-minaur-alex,23.06.2021 15:50,eastbourne-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
6,6,6,8,53%,63%,"70%
(45/64)","74%
(50/68)","59%
(33/56)","55%
(22/40)",5/9,3/5,"26%
(18/68)","30%
(19/64)","25%
(10/40)","30%
(17/56)",2/5,4/9,"65%
(78/120)","67%
(72/108)","33%
(36/108)","35%
(42/120)","50%
(114/228)","50%
(114/228)","76%
(13/17)","88%
(14/16)","13%
(2/16)","24%
(4/17)","45%
(15/33)","55%
(18/33)",fucsovics-marton,kwon-soon-woo,23.06.2021 15:00,eastbourne-2021,1-2,3,3,1-2 | 6-7(4-7) | 7-6(7-4) | 3-6,6-7,4-7,7-6,7-4,3-6,,,,,
1,11,3,1,54%,51%,"61%
(20/33)","90%
(18/20)","57%
(16/28)","63%
(12/19)",4/4,1/1,"10%
(2/20)","39%
(13/33)","32%
(6/19)","32%
(9/28)",0/1,0/4,"59%
(36/61)","77%
(30/39)","23%
(9/39)","41%
(25/61)","45%
(45/100)","55%
(55/100)","100%
(6/6)","100%
(6/6)","0%
(0/6)","0%
(0/6)","50%
(6/12)","50%
(6/12)",davidovich-fokina-alejandro,pospisil-vasek,23.06.2021 13:45,eastbourne-2021,0-1,2,3,0-1 | 6-7(1-7) | 0-0,6-7,1-7,0-0,,,,,,,
10,13,4,5,57%,62%,"76%
(44/58)","83%
(59/71)","57%
(25/44)","43%
(19/44)",4/7,9/10,"17%
(12/71)","24%
(14/58)","45%
(20/44)","34%
(15/44)",1/10,3/7,"68%
(69/102)","68%
(78/115)","32%
(37/115)","32%
(33/102)","49%
(106/217)","51%
(111/217)","81%
(13/16)","94%
(16/17)","6%
(1/17)","19%
(3/16)","42%
(14/33)","58%
(19/33)",popyrin-alexei,ivashka-ilya,23.06.2021 12:30,eastbourne-2021,1-2,3,3,1-2 | 7-6(7-5) | 5-7 | 3-6,7-6,7-5,5-7,,3-6,,,,,
