Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
8,6,3,0,65%,66%,"66%
(41/62)","62%
(45/73)","59%
(20/34)","49%
(18/37)",7/11,7/11,"38%
(28/73)","34%
(21/62)","51%
(19/37)","32%
(11/34)",4/11,4/11,"64%
(61/96)","57%
(63/110)","43%
(47/110)","36%
(35/96)","52%
(108/206)","48%
(98/206)","75%
(12/16)","73%
(11/15)","27%
(4/15)","25%
(4/16)","52%
(16/31)","48%
(15/31)",ramos-vinolas-albert,norrie-cameron,02.05.2021 15:10,estoril-2021,2-1,3,3,2-1 | 4-6 | 6-3 | 7-6(7-3),4-6,,6-3,,7-6,7-3,,,,
1,2,1,2,59%,80%,"67%
(22/33)","46%
(17/37)","61%
(14/23)","22%
(2/9)",2/4,1/6,"54%
(20/37)","33%
(11/33)","56%
(5/9)","35%
(8/23)",5/6,2/4,"64%
(36/56)","41%
(19/46)","59%
(27/46)","36%
(20/56)","62%
(63/102)","38%
(39/102)","78%
(7/9)","38%
(3/8)","63%
(5/8)","22%
(2/9)","71%
(12/17)","29%
(5/17)",ramos-vinolas-albert,davidovich-fokina-alejandro,01.05.2021 15:10,estoril-2021,2-0,2,3,2-0 | 6-1 | 6-4,6-1,,6-4,,,,,,,
16,5,5,4,59%,63%,"83%
(39/47)","80%
(40/50)","38%
(12/32)","55%
(16/29)",4/6,5/6,"20%
(10/50)","17%
(8/47)","31%
(9/29)","47%
(15/32)",1/6,2/6,"65%
(51/79)","71%
(56/79)","29%
(23/79)","35%
(28/79)","47%
(74/158)","53%
(84/158)","83%
(10/12)","92%
(11/12)","8%
(1/12)","17%
(2/12)","46%
(11/24)","54%
(13/24)",cilic-marin,norrie-cameron,01.05.2021 11:10,estoril-2021,0-2,2,3,0-2 | 6-7(5-7) | 5-7,6-7,5-7,5-7,,,,,,,
2,0,0,1,62%,78%,"67%
(26/39)","75%
(30/40)","38%
(9/24)","55%
(6/11)",3/7,2/4,"25%
(10/40)","33%
(13/39)","36%
(4/11)","63%
(15/24)",2/4,4/7,"56%
(35/63)","71%
(36/51)","29%
(15/51)","44%
(28/63)","44%
(50/114)","56%
(64/114)","60%
(6/10)","80%
(8/10)","20%
(2/10)","40%
(4/10)","40%
(8/20)","60%
(12/20)",humbert-ugo,davidovich-fokina-alejandro,30.04.2021 16:20,estoril-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
2,0,0,0,77%,68%,"52%
(33/64)","63%
(26/41)","47%
(9/19)","47%
(9/19)",5/10,4/6,"37%
(15/41)","48%
(31/64)","53%
(10/19)","53%
(10/19)",2/6,5/10,"51%
(41/81)","58%
(35/60)","42%
(25/60)","49%
(40/81)","47%
(66/141)","53%
(75/141)","50%
(5/10)","78%
(7/9)","22%
(2/9)","50%
(5/10)","37%
(7/19)","63%
(12/19)",moutet-corentin,ramos-vinolas-albert,30.04.2021 14:10,estoril-2021,0-2,2,3,0-2 | 4-6 | 3-6,4-6,,3-6,,,,,,,
4,8,0,2,68%,72%,"78%
(21/27)","84%
(26/31)","77%
(10/13)","50%
(6/12)",2/2,1/1,"16%
(5/31)","22%
(6/27)","33%
(4/12)","23%
(3/13)",0/1,0/2,"78%
(31/40)","74%
(32/43)","26%
(11/43)","23%
(9/40)","51%
(42/83)","49%
(41/83)","100%
(6/6)","100%
(6/6)","0%
(0/6)","0%
(0/6)","50%
(6/12)","50%
(6/12)",cilic-marin,anderson-kevin,30.04.2021 12:30,estoril-2021,1-0,1,3,1-0 | 7-6(9-7),7-6,9-7,,,,,,,,
3,3,2,2,60%,57%,"71%
(39/55)","72%
(42/58)","59%
(22/37)","43%
(19/44)",4/6,9/12,"28%
(16/58)","29%
(16/55)","52%
(23/44)","35%
(13/37)",3/12,2/6,"66%
(61/92)","60%
(61/102)","40%
(41/102)","34%
(31/92)","53%
(102/194)","47%
(92/194)","87%
(13/15)","80%
(12/15)","20%
(3/15)","13%
(2/15)","53%
(16/30)","47%
(14/30)",norrie-cameron,garin-cristian,30.04.2021 09:40,estoril-2021,2-1,3,3,2-1 | 3-6 | 7-5 | 6-3,3-6,,7-5,,6-3,,,,,
9,2,1,0,54%,77%,"81%
(25/31)","86%
(38/44)","50%
(13/26)","54%
(7/13)",2/4,0/0,"14%
(6/44)","19%
(6/31)","46%
(6/13)","50%
(13/26)",0/0,2/4,"67%
(38/57)","79%
(45/57)","21%
(12/57)","33%
(19/57)","44%
(50/114)","56%
(64/114)","80%
(8/10)","100%
(10/10)","0%
(0/10)","20%
(2/10)","40%
(8/20)","60%
(12/20)",herbert-pierre-hugues,ramos-vinolas-albert,29.04.2021 15:30,estoril-2021,0-2,2,3,0-2 | 2-6 | 6-7(3-7),2-6,,6-7,3-7,,,,,,
3,1,8,2,59%,67%,"64%
(30/47)","66%
(40/61)","56%
(18/32)","50%
(15/30)",4/8,8/12,"34%
(21/61)","36%
(17/47)","50%
(15/30)","38%
(12/32)",4/12,4/8,"61%
(48/79)","60%
(55/91)","40%
(36/91)","39%
(31/79)","49%
(83/170)","51%
(86/170)","71%
(10/14)","71%
(10/14)","29%
(4/14)","29%
(4/14)","50%
(14/28)","50%
(14/28)",shapovalov-denis,moutet-corentin,29.04.2021 13:00,estoril-2021,1-2,3,3,1-2 | 4-6 | 6-2 | 4-6,4-6,,6-2,,4-6,,,,,
4,9,5,3,63%,67%,"79%
(54/68)","73%
(54/74)","45%
(18/40)","49%
(18/37)",7/9,4/6,"27%
(20/74)","21%
(14/68)","43%
(16/37)","43%
(17/40)",2/6,2/9,"67%
(72/108)","65%
(72/111)","35%
(39/111)","33%
(36/108)","51%
(111/219)","49%
(108/219)","88%
(15/17)","88%
(15/17)","12%
(2/17)","12%
(2/17)","50%
(17/34)","50%
(17/34)",martinez-pedro,norrie-cameron,29.04.2021 09:35,estoril-2021,1-2,3,3,1-2 | 6-4 | 6-7(1-7) | 5-7,6-4,,6-7,1-7,5-7,,,,,
