Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
12,6,3,1,60%,73%,"77%
(51/66)","74%
(63/85)","55%
(24/44)","44%
(14/32)",3/4,8/9,"26%
(22/85)","23%
(15/66)","53%
(17/32)","39%
(17/44)",1/9,1/4,37,29,30,29,"68%
(75/110)","66%
(77/117)","34%
(40/117)","32%
(35/110)","51%
(115/227)","49%
(112/227)","94%
(15/16)","94%
(15/16)","6%
(1/16)","6%
(1/16)","50%
(16/32)","50%
(16/32)",medvedev-daniil,thiem-dominic,22.11.2020 18:15,finals-turin-2020,2-1,3,3,2-1 | 4-6 | 7-6(7-2) | 6-4,4-6,,7-6,7-2,6-4,,,,,
13,3,3,3,70%,56%,"77%
(44/57)","74%
(49/66)","48%
(12/25)","37%
(19/51)",1/4,7/11,"26%
(17/66)","23%
(13/57)","57%
(29/51)","40%
(10/25)",4/11,3/4,42,30,22,30,"68%
(56/82)","58%
(68/117)","42%
(49/117)","32%
(26/82)","53%
(105/199)","47%
(94/199)","79%
(11/14)","75%
(12/16)","25%
(4/16)","21%
(3/14)","50%
(15/30)","50%
(15/30)",medvedev-daniil,nadal-rafael,21.11.2020 20:20,finals-turin-2020,2-1,3,3,2-1 | 3-6 | 7-6(7-4) | 6-3,3-6,,7-6,7-4,6-3,,,,,
12,5,5,0,64%,65%,"82%
(63/77)","85%
(63/74)","53%
(23/43)","45%
(18/40)",3/3,1/2,"15%
(11/74)","18%
(14/77)","55%
(22/40)","35%
(15/43)",1/2,0/3,47,19,35,25,"72%
(86/120)","71%
(81/114)","29%
(33/114)","28%
(34/120)","51%
(119/234)","49%
(115/234)","100%
(18/18)","94%
(17/18)","6%
(1/18)","0%
(0/18)","53%
(19/36)","47%
(17/36)",thiem-dominic,djokovic-novak,21.11.2020 14:10,finals-turin-2020,2-1,3,3,2-1 | 7-5 | 6-7(10-12) | 7-6(7-5),7-5,,6-7,10-12,7-6,7-5,,,,
4,0,1,0,74%,60%,"88%
(35/40)","64%
(23/36)","36%
(5/14)","50%
(12/24)",2/2,6/9,"36%
(13/36)","13%
(5/40)","50%
(12/24)","57%
(8/14)",3/9,0/2,30,13,19,8,"74%
(40/54)","58%
(35/60)","42%
(25/60)","26%
(14/54)","57%
(65/114)","43%
(49/114)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",medvedev-daniil,schwartzman-diego,20.11.2020 20:10,finals-turin-2020,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
3,12,3,6,65%,75%,"78%
(40/51)","84%
(36/43)","52%
(14/27)","36%
(5/14)",3/3,3/4,"16%
(7/43)","22%
(11/51)","21%
(3/14)","37%
(10/27)",1/4,0/3,18,38,13,19,"69%
(54/78)","72%
(41/57)","28%
(16/57)","31%
(24/78)","52%
(70/135)","48%
(65/135)","100%
(11/11)","90%
(9/10)","10%
(1/10)","0%
(0/11)","57%
(12/21)","43%
(9/21)",djokovic-novak,zverev-alexander,20.11.2020 14:10,finals-turin-2020,2-0,2,3,2-0 | 6-3 | 7-6(7-4),6-3,,7-6,7-4,,,,,,
8,8,1,4,65%,57%,"81%
(38/47)","73%
(33/45)","60%
(15/25)","44%
(15/34)",1/3,4/8,"27%
(12/45)","19%
(9/47)","44%
(15/34)","36%
(9/25)",4/8,2/3,,,,,"74%
(53/72)","61%
(48/79)","39%
(31/79)","26%
(19/72)","56%
(84/151)","44%
(67/151)","86%
(12/14)","71%
(10/14)","29%
(4/14)","14%
(2/14)","57%
(16/28)","43%
(12/28)",nadal-rafael,tsitsipas-stefanos,19.11.2020 20:35,finals-turin-2020,2-1,3,3,2-1 | 6-4 | 4-6 | 6-2,6-4,,4-6,,6-2,,,,,
10,11,3,0,71%,67%,"66%
(33/50)","80%
(28/35)","35%
(7/20)","65%
(11/17)",6/10,0/1,"20%
(7/35)","34%
(17/50)","35%
(6/17)","50%
(10/20)",1/1,4/10,16,26,15,9,"57%
(40/70)","75%
(39/52)","25%
(13/52)","43%
(30/70)","43%
(53/122)","57%
(69/122)","60%
(6/10)","90%
(9/10)","10%
(1/10)","40%
(4/10)","35%
(7/20)","65%
(13/20)",thiem-dominic,rublev-andrey,19.11.2020 14:20,finals-turin-2020,0-2,2,3,0-2 | 2-6 | 5-7,2-6,,5-7,,,,,,,
3,10,5,4,59%,68%,"68%
(27/40)","79%
(30/38)","43%
(12/28)","61%
(11/18)",5/8,1/1,"21%
(8/38)","33%
(13/40)","17%
(3/18)","43%
(12/28)",0/1,3/8,14,19,24,13,"57%
(39/68)","73%
(41/56)","27%
(15/56)","43%
(29/68)","44%
(54/124)","56%
(70/124)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",djokovic-novak,medvedev-daniil,18.11.2020 20:10,finals-turin-2020,0-2,2,3,0-2 | 3-6 | 3-6,3-6,,3-6,,,,,,,
10,0,3,3,73%,63%,"73%
(44/60)","61%
(36/59)","45%
(10/22)","47%
(16/34)",6/9,7/12,"39%
(23/59)","27%
(16/60)","44%
(15/34)","41%
(9/22)",5/12,3/9,30,21,38,26,"66%
(54/82)","56%
(52/93)","44%
(41/93)","34%
(28/82)","54%
(95/175)","46%
(80/175)","79%
(11/14)","64%
(9/14)","36%
(5/14)","21%
(3/14)","57%
(16/28)","43%
(12/28)",zverev-alexander,schwartzman-diego,18.11.2020 14:35,finals-turin-2020,2-1,3,3,2-1 | 6-3 | 4-6 | 6-3,6-3,,4-6,,6-3,,,,,
10,6,0,1,69%,62%,"80%
(45/56)","76%
(44/58)","60%
(15/25)","49%
(17/35)",0/1,7/9,"24%
(14/58)","20%
(11/56)","49%
(17/35)","40%
(10/25)",2/9,1/1,24,26,16,32,"74%
(60/81)","66%
(61/93)","34%
(32/93)","26%
(21/81)","53%
(92/174)","47%
(82/174)","93%
(14/15)","86%
(12/14)","14%
(2/14)","7%
(1/15)","55%
(16/29)","45%
(13/29)",tsitsipas-stefanos,rublev-andrey,17.11.2020 20:10,finals-turin-2020,2-1,3,3,2-1 | 6-1 | 4-6 | 7-6(8-6),6-1,,4-6,,7-6,8-6,,,,
