Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
8,3,1,2,74%,59%,"83%
(33/40)","74%
(25/34)","57%
(8/14)","54%
(13/24)",0/0,2/4,"26%
(9/34)","18%
(7/40)","38%
(9/24)","36%
(5/14)",2/4,0/0,23,14,13,13,"71%
(15/21)","57%
(4/7)","76%
(41/54)","66%
(38/58)","34%
(20/58)","24%
(13/54)","54%
(61/112)","46%
(51/112)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",zverev-alexander,medvedev-daniil,21.11.2021 16:10,finals-turin-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
15,14,1,1,65%,72%,"87%
(52/60)","78%
(54/69)","41%
(13/32)","63%
(17/27)",3/4,3/4,"22%
(15/69)","13%
(8/60)","33%
(9/27)","56%
(18/32)",1/4,1/4,27,35,29,24,"84%
(16/19)","80%
(8/10)","71%
(65/92)","74%
(71/96)","26%
(25/96)","29%
(27/92)","48%
(90/188)","52%
(98/188)","93%
(14/15)","94%
(15/16)","6%
(1/16)","7%
(1/15)","48%
(15/31)","52%
(16/31)",djokovic-novak,zverev-alexander,20.11.2021 20:10,finals-turin-2021,1-2,3,3,1-2 | 6-7(4-7) | 6-4 | 3-6,6-7,4-7,6-4,,3-6,,,,,
3,1,2,3,60%,69%,"82%
(23/28)","67%
(29/43)","74%
(14/19)","42%
(8/19)",0/0,6/9,"33%
(14/43)","18%
(5/28)","42%
(8/19)","16%
(3/19)",3/9,0/0,20,16,16,26,"73%
(11/15)","73%
(8/11)","79%
(37/47)","60%
(37/62)","40%
(25/62)","21%
(10/47)","57%
(62/109)","43%
(47/109)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",medvedev-daniil,ruud-casper,20.11.2021 13:10,finals-turin-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
5,1,0,2,68%,57%,"81%
(21/26)","52%
(15/29)","67%
(8/12)","41%
(9/22)",1/1,5/10,"48%
(14/29)","19%
(5/26)","50%
(11/22)","33%
(4/12)",5/10,0/1,21,9,16,24,"62%
(8/13)","29%
(2/7)","76%
(29/38)","47%
(24/51)","53%
(27/51)","24%
(9/38)","63%
(56/89)","37%
(33/89)","100%
(7/7)","38%
(3/8)","63%
(5/8)","0%
(0/7)","80%
(12/15)","20%
(3/15)",djokovic-novak,norrie-cameron,19.11.2021 20:10,finals-turin-2021,2-0,2,3,2-0 | 6-2 | 6-1,6-2,,6-1,,,,,,,
14,14,3,3,66%,66%,"84%
(51/61)","65%
(50/77)","42%
(13/31)","51%
(20/39)",2/5,7/11,"35%
(27/77)","16%
(10/61)","41%
(16/39)","48%
(15/31)",4/11,3/5,33,39,22,31,"78%
(14/18)","78%
(14/18)","70%
(64/92)","60%
(70/116)","40%
(46/116)","30%
(28/92)","53%
(110/208)","47%
(98/208)","81%
(13/16)","75%
(12/16)","25%
(4/16)","19%
(3/16)","53%
(17/32)","47%
(15/32)",rublev-andrey,ruud-casper,19.11.2021 13:10,finals-turin-2021,1-2,3,3,1-2 | 6-2 | 5-7 | 6-7(5-7),6-2,,5-7,,6-7,5-7,,,,
18,5,5,2,71%,62%,"76%
(55/72)","72%
(46/64)","60%
(18/30)","50%
(20/40)",3/5,6/11,"28%
(18/64)","24%
(17/72)","45%
(18/40)","23%
(7/30)",5/11,2/5,33,25,34,33,"67%
(12/18)","80%
(20/25)","72%
(73/102)","63%
(66/104)","37%
(38/104)","28%
(29/102)","54%
(111/206)","46%
(95/206)","87%
(13/15)","67%
(10/15)","33%
(5/15)","13%
(2/15)","60%
(18/30)","40%
(12/30)",medvedev-daniil,sinner-jannik,18.11.2021 20:10,finals-turin-2021,2-1,3,3,2-1 | 6-0 | 6-7(5-7) | 7-6(10-8),6-0,,6-7,5-7,7-6,10-8,,,,
11,11,0,0,77%,65%,"86%
(32/37)","63%
(22/35)","45%
(5/11)","42%
(8/19)",0/0,4/7,"37%
(13/35)","14%
(5/37)","58%
(11/19)","55%
(6/11)",3/7,0/0,22,20,8,20,"50%
(4/8)","50%
(5/10)","77%
(37/48)","56%
(30/54)","44%
(24/54)","23%
(11/48)","60%
(61/102)","40%
(41/102)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",zverev-alexander,hurkacz-hubert,18.11.2021 13:10,finals-turin-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
6,10,3,0,79%,63%,"66%
(43/65)","78%
(35/45)","59%
(10/17)","54%
(14/26)",3/5,0/2,"22%
(10/45)","34%
(22/65)","46%
(12/26)","24%
(4/17)",2/2,2/5,30,32,20,22,"82%
(23/28)","83%
(10/12)","65%
(53/82)","69%
(49/71)","31%
(22/71)","35%
(29/82)","49%
(75/153)","51%
(78/153)","85%
(11/13)","85%
(11/13)","15%
(2/13)","15%
(2/13)","50%
(13/26)","50%
(13/26)",norrie-cameron,ruud-casper,17.11.2021 20:10,finals-turin-2021,1-2,3,3,1-2 | 6-1 | 3-6 | 4-6,6-1,,3-6,,4-6,,,,,
14,6,0,1,65%,54%,"87%
(27/31)","68%
(19/28)","41%
(7/17)","29%
(7/24)",0/1,2/6,"32%
(9/28)","13%
(4/31)","67%
(16/24)","59%
(10/17)",4/6,1/1,19,18,8,26,"100%
(1/1)","44%
(4/9)","71%
(34/48)","50%
(26/52)","50%
(26/52)","29%
(14/48)","60%
(60/100)","40%
(40/100)","89%
(8/9)","50%
(4/8)","50%
(4/8)","11%
(1/9)","71%
(12/17)","29%
(5/17)",djokovic-novak,rublev-andrey,17.11.2021 13:10,finals-turin-2021,2-0,2,3,2-0 | 6-3 | 6-2,6-3,,6-2,,,,,,,
5,4,0,0,57%,66%,"74%
(29/39)","58%
(18/31)","50%
(15/30)","31%
(5/16)",5/5,2/6,"42%
(13/31)","26%
(10/39)","69%
(11/16)","50%
(15/30)",4/6,0/5,17,14,11,14,"73%
(8/11)","71%
(5/7)","64%
(44/69)","49%
(23/47)","51%
(24/47)","36%
(25/69)","59%
(68/116)","41%
(48/116)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",sinner-jannik,hurkacz-hubert,16.11.2021 20:10,finals-turin-2021,2-0,2,3,2-0 | 6-2 | 6-2,6-2,,6-2,,,,,,,
