Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
5,14,3,4,68%,62%,"78%
(71/91)","67%
(73/109)","53%
(23/43)","50%
(34/68)",5/8,11/16,"33%
(36/109)","22%
(20/91)","44%
(30/68)","40%
(17/43)",5/16,3/8,56,61,41,44,"63%
(19/30)","61%
(19/31)","70%
(94/134)","60%
(107/177)","40%
(70/177)","30%
(40/134)","53%
(164/311)","47%
(147/311)","88%
(21/24)","78%
(18/23)","22%
(5/23)","13%
(3/24)","55%
(26/47)","45%
(21/47)",djokovic-novak,tsitsipas-stefanos,13.06.2021 13:10,french-open-2021,3-2,5,5,3-2 | 6-7(6-8) | 2-6 | 6-3 | 6-2 | 6-4,6-7,6-8,2-6,,6-3,,6-2,,6-4,
6,6,3,8,64%,65%,"65%
(55/85)","59%
(51/86)","50%
(24/48)","40%
(19/47)",10/16,14/22,"41%
(35/86)","35%
(30/85)","43%
(20/47)","44%
(21/48)",8/22,6/16,50,48,37,55,"65%
(20/31)","73%
(11/15)","59%
(79/133)","53%
(70/133)","47%
(63/133)","41%
(54/133)","53%
(142/266)","47%
(124/266)","68%
(13/19)","58%
(11/19)","42%
(8/19)","32%
(6/19)","55%
(21/38)","45%
(17/38)",djokovic-novak,nadal-rafael,11.06.2021 17:10,french-open-2021,3-1,4,5,3-1 | 3-6 | 6-3 | 7-6(7-4) | 6-2,3-6,,6-3,,7-6,7-4,6-2,,,
11,8,7,3,70%,68%,"75%
(74/99)","76%
(71/94)","40%
(17/43)","52%
(23/44)",9/14,3/6,"24%
(23/94)","25%
(25/99)","41%
(18/44)","44%
(19/43)",3/6,5/14,45,36,47,43,"66%
(23/35)","73%
(24/33)","64%
(91/142)","68%
(94/138)","32%
(44/138)","36%
(51/142)","48%
(135/280)","52%
(145/280)","78%
(18/23)","88%
(21/24)","13%
(3/24)","22%
(5/23)","45%
(21/47)","55%
(26/47)",zverev-alexander,tsitsipas-stefanos,11.06.2021 13:00,french-open-2021,2-3,5,5,2-3 | 3-6 | 3-6 | 6-4 | 6-4 | 3-6,3-6,,3-6,,6-4,,6-4,,3-6,
10,11,1,3,70%,65%,"77%
(71/92)","71%
(67/94)","65%
(26/40)","42%
(21/50)",3/3,5/9,"29%
(27/94)","23%
(21/92)","52%
(26/50)","33%
(13/40)",4/9,0/3,44,55,19,51,"89%
(17/19)","42%
(8/19)","73%
(97/132)","61%
(88/144)","39%
(56/144)","27%
(35/132)","55%
(153/276)","45%
(123/276)","100%
(21/21)","80%
(16/20)","20%
(4/20)","0%
(0/21)","61%
(25/41)","39%
(16/41)",djokovic-novak,berrettini-matteo,09.06.2021 18:00,french-open-2021,3-1,4,5,3-1 | 6-3 | 6-2 | 6-7(5-7) | 7-5,6-3,,6-2,,6-7,5-7,7-5,,,
6,3,3,3,66%,63%,"73%
(44/60)","59%
(35/59)","68%
(21/31)","46%
(16/35)",1/4,7/14,"41%
(24/59)","27%
(16/60)","46%
(16/35)","23%
(7/31)",7/14,3/4,35,26,29,39,"73%
(11/15)","83%
(10/12)","71%
(65/91)","54%
(51/94)","46%
(43/94)","29%
(26/91)","58%
(108/185)","42%
(77/185)","83%
(15/18)","59%
(10/17)","41%
(7/17)","17%
(3/18)","63%
(22/35)","37%
(13/35)",nadal-rafael,schwartzman-diego,09.06.2021 13:30,french-open-2021,3-1,4,5,3-1 | 6-3 | 4-6 | 6-4 | 6-0,6-3,,4-6,,6-4,,6-0,,,
3,5,1,0,65%,67%,"73%
(48/66)","60%
(43/72)","75%
(27/36)","60%
(21/35)",6/8,3/7,"40%
(29/72)","27%
(18/66)","40%
(14/35)","22%
(8/36)",4/7,2/8,33,31,24,44,"75%
(24/32)","78%
(18/23)","74%
(75/102)","60%
(64/107)","40%
(43/107)","26%
(27/102)","56%
(118/209)","44%
(91/209)","88%
(15/17)","75%
(12/16)","25%
(4/16)","12%
(2/17)","58%
(19/33)","42%
(14/33)",tsitsipas-stefanos,medvedev-daniil,08.06.2021 19:10,french-open-2021,3-0,3,5,3-0 | 6-3 | 7-6(7-3) | 7-5,6-3,,7-6,7-3,7-5,,,,,
3,0,3,3,55%,60%,"76%
(26/34)","48%
(21/44)","57%
(16/28)","31%
(9/29)",3/6,6/15,"52%
(23/44)","24%
(8/34)","59%
(17/29)","32%
(9/28)",9/15,3/6,24,16,16,37,"63%
(12/19)","70%
(7/10)","68%
(42/62)","41%
(30/73)","59%
(43/73)","32%
(20/62)","63%
(85/135)","37%
(50/135)","75%
(9/12)","25%
(3/12)","75%
(9/12)","25%
(3/12)","75%
(18/24)","25%
(6/24)",zverev-alexander,davidovich-fokina-alejandro,08.06.2021 16:05,french-open-2021,3-0,3,5,3-0 | 6-4 | 6-1 | 6-1,6-4,,6-1,,6-1,,,,,
4,0,7,4,58%,66%,"81%
(39/48)","42%
(21/50)","43%
(15/35)","38%
(10/26)",3/7,5/14,"58%
(29/50)","19%
(9/48)","46%
(12/26)","37%
(13/35)",9/14,4/7,31,11,30,40,"92%
(12/13)","47%
(8/17)","65%
(54/83)","41%
(31/76)","59%
(45/76)","35%
(29/83)","62%
(99/159)","38%
(60/159)","71%
(10/14)","31%
(4/13)","69%
(9/13)","29%
(4/14)","70%
(19/27)","30%
(8/27)",nadal-rafael,sinner-jannik,07.06.2021 15:30,french-open-2021,3-0,3,5,3-0 | 7-5 | 6-3 | 6-0,7-5,,6-3,,6-0,,,,,
11,1,2,2,70%,62%,"75%
(70/93)","51%
(38/75)","54%
(21/39)","52%
(24/46)",2/4,0/9,"49%
(37/75)","25%
(23/93)","43%
(20/46)","41%
(16/39)",9/9,2/4,53,30,42,49,"64%
(25/39)","47%
(9/19)","69%
(91/132)","51%
(62/121)","49%
(59/121)","31%
(41/132)","59%
(150/253)","41%
(103/253)","90%
(19/21)","55%
(11/20)","45%
(9/20)","10%
(2/21)","68%
(28/41)","32%
(13/41)",djokovic-novak,musetti-lorenzo,07.06.2021 11:30,french-open-2021,2-2,5,3,2-2 | 6-7(7-9) | 6-7(2-7) | 6-1 | 6-0 | 4-0,6-7,7-9,6-7,2-7,6-1,,6-0,,4-0,
0,13,4,5,73%,53%,"60%
(57/95)","64%
(46/72)","49%
(17/35)","40%
(25/63)",8/14,7/15,"36%
(26/72)","40%
(38/95)","52%
(33/63)","40%
(14/35)",8/15,6/14,34,39,35,53,"71%
(12/17)","56%
(44/79)","57%
(74/130)","53%
(71/135)","47%
(64/135)","43%
(56/130)","52%
(138/265)","48%
(127/265)","65%
(11/17)","53%
(9/17)","47%
(8/17)","35%
(6/17)","56%
(19/34)","44%
(15/34)",schwartzman-diego,struff-jan-lennard,07.06.2021 10:45,french-open-2021,3-0,3,5,3-0 | 7-6(11-9) | 6-4 | 7-5,7-6,11-9,6-4,,7-5,,,,,
