match_flashscore_id,match_url,tournament_slug,Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,Average 1st serve speed_left,Average 1st serve speed_right,Average 2nd serve speed_left,Average 2nd serve speed_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Last 10 balls_left,Last 10 balls_right,Match points saved_left,Match points saved_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak,match_header,match_surface,match_stage,odds_left,odds_right,odds_bookmaker
fLhY4czi,https://www.flashscore.com/match/fLhY4czi/,french-open-2025,8,7,0,7,54%,58%,"70%
(72/103)","63%
(71/113)","50%
(44/88)","57%
(46/81)",7/14,8/15,199 km/h,192 km/h,153 km/h,165 km/h,"37%
(42/113)","30%
(31/103)","43%
(35/81)","50%
(44/88)",7/15,7/14,53,70,64,73,"67%
(30/45)","67%
(22/33)","61%
(116/191)","60%
(117/194)","40%
(77/194)","39%
(75/191)","50%
(193/385)","50%
(192/385)",2,8,0,3,"75%
(21/28)","75%
(21/28)","25%
(7/28)","25%
(7/28)","50%
(28/56)","50%
(28/56)",sinner-jannik,alcaraz-garfia-carlos,08.06.2025 13:30,french-open-2025,2-3,5,5,2-3 | 6-4 | 7-6(7-4) | 4-6 | 6-7(3-7) | 6-7(2-10),6-4,,7-6,7-4,4-6,,6-7,3-7,6-7,2-10,"FRENCH OPEN, CLAY - FINAL",clay,Final,1.83,2.00,bet365.us
4YbSj3uQ,https://www.flashscore.com/match/4YbSj3uQ/,french-open-2025,10,4,1,1,51%,71%,"79%
(45/57)","67%
(54/81)","63%
(34/54)","58%
(19/33)",5/6,6/9,195 km/h,187 km/h,150 km/h,154 km/h,"33%
(27/81)","21%
(12/57)","42%
(14/33)","37%
(20/54)",3/9,1/6,44,35,36,53,"74%
(14/19)","81%
(17/21)","71%
(79/111)","64%
(73/114)","36%
(41/114)","29%
(32/111)","53%
(120/225)","47%
(105/225)",7,3,0,1,"94%
(16/17)","82%
(14/17)","18%
(3/17)","6%
(1/17)","56%
(19/34)","44%
(15/34)",sinner-jannik,djokovic-novak,06.06.2025 17:10,french-open-2025,3-0,3,5,3-0 | 6-4 | 7-5 | 7-6(7-3),6-4,,7-5,,7-6,7-3,,,,,"FRENCH OPEN, CLAY - SEMI-FINALS",clay,Semi-Finals,1.22,4.33,bet365.us
fPG3qGjC,https://www.flashscore.com/match/fPG3qGjC/,french-open-2025,2,1,3,2,68%,58%,"57%
(39/69)","72%
(34/47)","45%
(15/33)","65%
(22/34)",6/12,0/3,194 km/h,192 km/h,159 km/h,166 km/h,"28%
(13/47)","43%
(30/69)","35%
(12/34)","55%
(18/33)",3/3,6/12,22,35,33,32,"76%
(13/17)","77%
(20/26)","53%
(54/102)","69%
(56/81)","31%
(25/81)","47%
(48/102)","43%
(79/183)","57%
(104/183)",2,8,0,0,"60%
(9/15)","80%
(12/15)","20%
(3/15)","40%
(6/15)","40%
(12/30)","60%
(18/30)",musetti-lorenzo,alcaraz-garfia-carlos,06.06.2025 12:40,french-open-2025,1-2,4,3,1-2 | 6-4 | 6-7(3-7) | 0-6 | 0-2,6-4,,6-7,3-7,0-6,,0-2,,,,"FRENCH OPEN, CLAY - SEMI-FINALS",clay,Semi-Finals,6.00,1.13,bet365.us
Sr4z6qHi,https://www.flashscore.com/match/Sr4z6qHi/,french-open-2025,4,6,1,0,70%,71%,"76%
(55/72)","76%
(65/85)","35%
(11/31)","56%
(19/34)",4/8,2/3,200 km/h,185 km/h,172 km/h,144 km/h,"24%
(20/85)","24%
(17/72)","44%
(15/34)","65%
(20/31)",1/3,4/8,38,42,44,29,"45%
(17/38)","73%
(27/37)","64%
(66/103)","71%
(84/119)","29%
(35/119)","36%
(37/103)","45%
(101/222)","55%
(121/222)",5,5,4,0,"78%
(14/18)","95%
(18/19)","5%
(1/19)","22%
(4/18)","41%
(15/37)","59%
(22/37)",zverev-alexander,djokovic-novak,04.06.2025 18:35,french-open-2025,1-3,4,5,1-3 | 6-4 | 3-6 | 2-6 | 4-6,6-4,,3-6,,2-6,,4-6,,,,"FRENCH OPEN, CLAY - QUARTER-FINALS",clay,Quarter-Finals,1.91,1.91,bet365.us
bqjCSit1,https://www.flashscore.com/match/bqjCSit1/,french-open-2025,5,5,1,6,58%,64%,"78%
(35/45)","67%
(38/57)","69%
(22/32)","22%
(7/32)",2/2,8/14,193 km/h,200 km/h,155 km/h,169 km/h,"33%
(19/57)","22%
(10/45)","78%
(25/32)","31%
(10/32)",6/14,0/2,31,22,13,37,"58%
(18/31)","43%
(9/21)","74%
(57/77)","51%
(45/89)","49%
(44/89)","26%
(20/77)","61%
(101/166)","39%
(65/166)",8,2,0,0,"100%
(13/13)","50%
(6/12)","50%
(6/12)","0%
(0/13)","76%
(19/25)","24%
(6/25)",sinner-jannik,bublik-alexander,04.06.2025 14:20,french-open-2025,3-0,3,5,3-0 | 6-1 | 7-5 | 6-0,6-1,,7-5,,6-0,,,,,,"FRENCH OPEN, CLAY - QUARTER-FINALS",clay,Quarter-Finals,1.03,17.00,bet365.us
d4LpPJdm,https://www.flashscore.com/match/d4LpPJdm/,french-open-2025,3,3,2,0,72%,78%,"56%
(35/63)","88%
(38/43)","38%
(9/24)","83%
(10/12)",11/17,0/0,185 km/h,188 km/h,161 km/h,161 km/h,"12%
(5/43)","44%
(28/63)","17%
(2/12)","63%
(15/24)",0/0,6/17,13,40,26,22,"59%
(10/17)","89%
(8/9)","51%
(44/87)","87%
(48/55)","13%
(7/55)","49%
(43/87)","36%
(51/142)","64%
(91/142)",2,8,0,0,"45%
(5/11)","100%
(12/12)","0%
(0/12)","55%
(6/11)","22%
(5/23)","78%
(18/23)",paul-tommy,alcaraz-garfia-carlos,03.06.2025 18:30,french-open-2025,0-3,3,5,0-3 | 0-6 | 1-6 | 4-6,0-6,,1-6,,4-6,,,,,,"FRENCH OPEN, CLAY - QUARTER-FINALS",clay,Quarter-Finals,8.00,1.08,bet365.us
xEoNdDz9,https://www.flashscore.com/match/xEoNdDz9/,french-open-2025,8,4,3,0,70%,61%,"81%
(61/75)","65%
(45/69)","50%
(16/32)","51%
(23/45)",2/3,6/11,180 km/h,187 km/h,152 km/h,140 km/h,"35%
(24/69)","19%
(14/75)","49%
(22/45)","50%
(16/32)",5/11,1/3,45,33,32,51,"63%
(15/24)","53%
(19/36)","72%
(77/107)","60%
(68/114)","40%
(46/114)","28%
(30/107)","56%
(123/221)","44%
(98/221)",8,2,0,2,"95%
(18/19)","74%
(14/19)","26%
(5/19)","5%
(1/19)","61%
(23/38)","39%
(15/38)",musetti-lorenzo,tiafoe-frances,03.06.2025 13:40,french-open-2025,3-1,4,5,3-1 | 6-2 | 4-6 | 7-5 | 6-2,6-2,,4-6,,7-5,,6-2,,,,"FRENCH OPEN, CLAY - QUARTER-FINALS",clay,Quarter-Finals,1.22,4.33,bet365.us
ChkgRiLl,https://www.flashscore.com/match/ChkgRiLl/,french-open-2025,5,7,0,1,62%,65%,"81%
(34/42)","69%
(40/58)","77%
(20/26)","29%
(9/31)",3/3,3/8,190 km/h,196 km/h,154 km/h,141 km/h,"31%
(18/58)","19%
(8/42)","71%
(22/31)","23%
(6/26)",5/8,0/3,25,24,19,39,"63%
(5/8)","71%
(10/14)","79%
(54/68)","55%
(49/89)","45%
(40/89)","21%
(14/68)","60%
(94/157)","40%
(63/157)",6,4,0,0,"100%
(13/13)","62%
(8/13)","38%
(5/13)","0%
(0/13)","69%
(18/26)","31%
(8/26)",sinner-jannik,rublev-andrey,02.06.2025 18:30,french-open-2025,3-0,3,5,3-0 | 6-1 | 6-3 | 6-4,6-1,,6-3,,6-4,,,,,,"FRENCH OPEN, CLAY - 1/8-FINALS",clay,1/8-Finals,1.05,11.00,bet365.us
A1OegycD,https://www.flashscore.com/match/A1OegycD/,french-open-2025,8,12,7,4,60%,69%,"81%
(62/77)","71%
(52/73)","44%
(23/52)","42%
(14/33)",6/8,1/6,200 km/h,196 km/h,171 km/h,159 km/h,"29%
(21/73)","19%
(15/77)","58%
(19/33)","56%
(29/52)",5/6,2/8,68,37,39,25,"83%
(33/40)","42%
(14/33)","66%
(84/127)","62%
(66/106)","38%
(40/106)","34%
(43/127)","54%
(125/233)","47%
(110/233)",6,4,0,1,"90%
(18/20)","74%
(14/19)","26%
(5/19)","10%
(2/20)","59%
(23/39)","41%
(16/39)",bublik-alexander,draper-jack,02.06.2025 14:55,french-open-2025,3-1,4,5,3-1 | 5-7 | 6-3 | 6-2 | 6-4,5-7,,6-3,,6-2,,6-4,,,,"FRENCH OPEN, CLAY - 1/8-FINALS",clay,1/8-Finals,9.00,1.07,bet365.us
YZV8QUFt,https://www.flashscore.com/match/YZV8QUFt/,french-open-2025,2,4,1,3,58%,60%,"45%
(18/40)","72%
(39/54)","41%
(12/29)","47%
(17/36)",4/11,3/5,186 km/h,187 km/h,144 km/h,151 km/h,"28%
(15/54)","55%
(22/40)","53%
(19/36)","59%
(17/29)",2/5,7/11,22,26,32,28,"58%
(15/26)","66%
(19/29)","43%
(30/69)","62%
(56/90)","38%
(34/90)","57%
(39/69)","40%
(64/159)","60%
(95/159)",6,4,0,0,"42%
(5/12)","85%
(11/13)","15%
(2/13)","58%
(7/12)","28%
(7/25)","72%
(18/25)",norrie-cameron,djokovic-novak,02.06.2025 14:05,french-open-2025,0-3,3,5,0-3 | 2-6 | 3-6 | 2-6,2-6,,3-6,,2-6,,,,,,"FRENCH OPEN, CLAY - 1/8-FINALS",clay,1/8-Finals,8.00,1.05,bet365.us
EmhH4Aac,https://www.flashscore.com/match/EmhH4Aac/,french-open-2025,3,0,1,0,76%,79%,"73%
(19/26)","47%
(14/30)","63%
(5/8)","50%
(4/8)",1/2,1/5,205 km/h,175 km/h,179 km/h,158 km/h,"53%
(16/30)","27%
(7/26)","50%
(4/8)","38%
(3/8)",4/5,1/2,11,8,6,19,"50%
(3/6)","57%
(4/7)","71%
(24/34)","47%
(18/38)","53%
(20/38)","29%
(10/34)","61%
(44/72)","39%
(28/72)",9,1,0,0,"83%
(5/6)","43%
(3/7)","57%
(4/7)","17%
(1/6)","69%
(9/13)","31%
(4/13)",zverev-alexander,griekspoor-tallon,02.06.2025 11:10,french-open-2025,1-0,2,3,1-0 | 6-4 | 3-0,6-4,,3-0,,,,,,,,"FRENCH OPEN, CLAY - 1/8-FINALS",clay,1/8-Finals,1.13,6.00,bet365.us
phQD0eWq,https://www.flashscore.com/match/phQD0eWq/,french-open-2025,4,1,1,3,64%,62%,"67%
(53/79)","57%
(42/74)","56%
(25/45)","59%
(27/46)",2/5,2/8,187 km/h,183 km/h,152 km/h,146 km/h,"43%
(32/74)","33%
(26/79)","41%
(19/46)","44%
(20/45)",6/8,3/5,39,50,34,55,"58%
(15/26)","73%
(35/48)","63%
(78/124)","57%
(69/120)","43%
(51/120)","37%
(46/124)","53%
(129/244)","47%
(115/244)",5,5,0,1,"84%
(16/19)","68%
(13/19)","32%
(6/19)","16%
(3/19)","58%
(22/38)","42%
(16/38)",musetti-lorenzo,rune-holger,01.06.2025 18:55,french-open-2025,3-1,4,5,3-1 | 7-5 | 3-6 | 6-3 | 6-2,7-5,,3-6,,6-3,,6-2,,,,"FRENCH OPEN, CLAY - 1/8-FINALS",clay,1/8-Finals,1.44,2.75,bet365.us
0IRiL2WG,https://www.flashscore.com/match/0IRiL2WG/,french-open-2025,6,8,0,3,68%,57%,"72%
(47/65)","71%
(40/56)","58%
(18/31)","35%
(15/43)",0/3,3/8,196 km/h,183 km/h,141 km/h,156 km/h,"29%
(16/56)","28%
(18/65)","65%
(28/43)","42%
(13/31)",5/8,3/3,40,28,36,33,"81%
(30/37)","33%
(5/15)","68%
(65/96)","56%
(55/99)","44%
(44/99)","32%
(31/96)","56%
(109/195)","44%
(86/195)",7,3,0,0,"81%
(13/16)","67%
(10/15)","33%
(5/15)","19%
(3/16)","58%
(18/31)","42%
(13/31)",tiafoe-frances,altmaier-daniel,01.06.2025 16:40,french-open-2025,3-0,3,5,3-0 | 6-3 | 6-4 | 7-6(7-4),6-3,,6-4,,7-6,7-4,,,,,"FRENCH OPEN, CLAY - 1/8-FINALS",clay,1/8-Finals,1.50,2.63,bet365.us
Am399Kke,https://www.flashscore.com/match/Am399Kke/,french-open-2025,6,5,3,2,68%,70%,"69%
(61/88)","68%
(67/99)","59%
(24/41)","67%
(29/43)",4/7,7/9,202 km/h,193 km/h,171 km/h,165 km/h,"32%
(32/99)","31%
(27/88)","33%
(14/43)","41%
(17/41)",2/9,3/7,32,43,47,43,"58%
(25/43)","69%
(31/45)","66%
(85/129)","68%
(96/142)","32%
(46/142)","34%
(44/129)","48%
(131/271)","52%
(140/271)",5,5,1,0,"85%
(17/20)","90%
(19/21)","10%
(2/21)","15%
(3/20)","46%
(19/41)","54%
(22/41)",shelton-ben,alcaraz-garfia-carlos,01.06.2025 14:50,french-open-2025,1-3,4,5,1-3 | 6-7(8-10) | 3-6 | 6-4 | 4-6,6-7,8-10,3-6,,6-4,,4-6,,,,"FRENCH OPEN, CLAY - 1/8-FINALS",clay,1/8-Finals,11.00,1.05,bet365.us
Q7qs6H8M,https://www.flashscore.com/match/Q7qs6H8M/,french-open-2025,5,1,3,1,58%,61%,"71%
(30/42)","69%
(37/54)","37%
(11/30)","74%
(25/34)",1/6,9/10,197 km/h,179 km/h,158 km/h,149 km/h,"31%
(17/54)","29%
(12/42)","26%
(9/34)","63%
(19/30)",1/10,5/6,18,27,37,22,"83%
(10/12)","80%
(16/20)","57%
(41/72)","70%
(62/88)","30%
(26/88)","43%
(31/72)","42%
(67/160)","58%
(93/160)",4,6,0,0,"62%
(8/13)","93%
(13/14)","7%
(1/14)","38%
(5/13)","33%
(9/27)","67%
(18/27)",popyrin-alexei,paul-tommy,01.06.2025 09:15,french-open-2025,0-3,3,5,0-3 | 3-6 | 3-6 | 3-6,3-6,,3-6,,3-6,,,,,,"FRENCH OPEN, CLAY - 1/8-FINALS",clay,1/8-Finals,2.38,1.57,bet365.us
lWylsj3l,https://www.flashscore.com/match/lWylsj3l/,french-open-2025,6,6,2,0,60%,68%,"72%
(39/54)","80%
(41/51)","36%
(13/36)","67%
(16/24)",12/16,1/1,184 km/h,184 km/h,145 km/h,149 km/h,"20%
(10/51)","28%
(15/54)","33%
(8/24)","64%
(23/36)",0/1,4/16,33,33,22,14,"36%
(4/11)","65%
(17/26)","58%
(52/90)","76%
(57/75)","24%
(18/75)","42%
(38/90)","42%
(70/165)","58%
(95/165)",2,8,0,0,"69%
(9/13)","100%
(14/14)","0%
(0/14)","31%
(4/13)","33%
(9/27)","67%
(18/27)",misolic-filip,djokovic-novak,31.05.2025 18:30,french-open-2025,0-3,3,5,0-3 | 3-6 | 4-6 | 2-6,3-6,,4-6,,2-6,,,,,,"FRENCH OPEN, CLAY - 1/16-FINALS",clay,1/16-Finals,11.00,1.05,bet365.us
