Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
4,8,0,5,55%,49%,"79%
(26/33)","78%
(28/36)","81%
(22/27)","58%
(22/38)",0/0,4/5,"22%
(8/36)","21%
(7/33)","42%
(16/38)","19%
(5/27)",1/5,0/0,"80%
(48/60)","68%
(50/74)","32%
(24/74)","20%
(12/60)","54%
(72/134)","46%
(62/134)","100%
(11/11)","91%
(10/11)","9%
(1/11)","0%
(0/11)","55%
(12/22)","45%
(10/22)",ruud-casper,shapovalov-denis,22.05.2021 14:10,geneva-2021,2-0,2,3,2-0 | 7-6(8-6) | 6-4,7-6,8-6,6-4,,,,,,,
4,8,1,3,66%,67%,"65%
(30/46)","75%
(33/44)","42%
(10/24)","45%
(10/22)",6/10,3/5,"25%
(11/44)","35%
(16/46)","41%
(9/22)","54%
(13/24)",2/5,4/10,"57%
(40/70)","65%
(43/66)","35%
(23/66)","43%
(30/70)","46%
(63/136)","54%
(73/136)","64%
(7/11)","82%
(9/11)","18%
(2/11)","36%
(4/11)","41%
(9/22)","59%
(13/22)",cuevas-pablo,shapovalov-denis,21.05.2021 13:20,geneva-2021,0-2,2,3,0-2 | 4-6 | 5-7,4-6,,5-7,,,,,,,
0,2,0,0,73%,69%,"56%
(24/43)","79%
(23/29)","56%
(9/16)","69%
(9/13)",5/9,0/0,"21%
(6/29)","44%
(19/43)","31%
(4/13)","44%
(7/16)",0/0,4/9,"56%
(33/59)","76%
(32/42)","24%
(10/42)","44%
(26/59)","43%
(43/101)","57%
(58/101)","56%
(5/9)","100%
(8/8)","0%
(0/8)","44%
(4/9)","29%
(5/17)","71%
(12/17)",andujar-pablo,ruud-casper,21.05.2021 11:10,geneva-2021,0-2,2,3,0-2 | 3-6 | 2-6,3-6,,2-6,,,,,,,
1,2,1,7,71%,59%,"61%
(27/44)","76%
(32/42)","56%
(10/18)","48%
(14/29)",3/6,8/9,"24%
(10/42)","39%
(17/44)","28%
(8/29)","39%
(7/18)",1/9,3/6,"60%
(37/62)","65%
(46/71)","35%
(25/71)","40%
(25/62)","47%
(62/133)","53%
(71/133)","70%
(7/10)","90%
(9/10)","10%
(1/10)","30%
(3/10)","40%
(8/20)","60%
(12/20)",djere-laslo,shapovalov-denis,20.05.2021 19:20,geneva-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
2,4,0,2,75%,73%,"81%
(38/47)","76%
(37/49)","69%
(11/16)","44%
(8/18)",1/1,4/5,"24%
(12/49)","19%
(9/47)","44%
(8/18)","31%
(5/16)",1/5,0/1,"78%
(49/63)","67%
(45/67)","33%
(22/67)","22%
(14/63)","55%
(71/130)","45%
(59/130)","100%
(11/11)","90%
(9/10)","10%
(1/10)","0%
(0/11)","57%
(12/21)","43%
(9/21)",cuevas-pablo,dimitrov-grigor,20.05.2021 17:35,geneva-2021,2-0,2,3,2-0 | 7-6(7-3) | 6-3,7-6,7-3,6-3,,,,,,,
6,2,1,4,65%,54%,"69%
(35/51)","71%
(32/45)","50%
(14/28)","45%
(17/38)",5/7,4/7,"29%
(13/45)","31%
(16/51)","45%
(17/38)","46%
(13/28)",3/7,2/7,"62%
(49/79)","59%
(49/83)","41%
(34/83)","38%
(30/79)","51%
(83/162)","49%
(79/162)","85%
(11/13)","75%
(9/12)","25%
(3/12)","15%
(2/13)","56%
(14/25)","44%
(11/25)",ruud-casper,koepfer-dominik,20.05.2021 15:15,geneva-2021,2-1,3,3,2-1 | 2-6 | 6-1 | 6-4,2-6,,6-1,,6-4,,,,,
1,10,7,4,60%,50%,"67%
(39/58)","77%
(33/43)","39%
(15/38)","47%
(20/43)",7/11,3/8,"23%
(10/43)","33%
(19/58)","44%
(19/43)","42%
(16/38)",5/8,4/11,"56%
(54/96)","62%
(53/86)","38%
(33/86)","44%
(42/96)","48%
(87/182)","52%
(95/182)","73%
(11/15)","67%
(10/15)","33%
(5/15)","27%
(4/15)","53%
(16/30)","47%
(14/30)",andujar-pablo,stricker-dominic,20.05.2021 12:45,geneva-2021,2-1,3,3,2-1 | 4-6 | 6-4 | 6-4,4-6,,6-4,,6-4,,,,,
3,2,0,0,53%,76%,"57%
(16/28)","80%
(28/35)","56%
(14/25)","73%
(8/11)",3/6,0/0,"20%
(7/35)","43%
(12/28)","27%
(3/11)","44%
(11/25)",0/0,3/6,"57%
(30/53)","78%
(36/46)","22%
(10/46)","43%
(23/53)","40%
(40/99)","60%
(59/99)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",cazaux-arthur,cuevas-pablo,20.05.2021 10:10,geneva-2021,0-2,2,3,0-2 | 2-6 | 4-6,2-6,,4-6,,,,,,,
1,3,2,3,66%,60%,"67%
(39/58)","69%
(42/61)","40%
(12/30)","54%
(22/41)",7/12,6/8,"31%
(19/61)","33%
(19/58)","39%
(16/41)","53%
(16/30)",2/8,5/12,"58%
(51/88)","63%
(64/102)","37%
(38/102)","42%
(37/88)","47%
(89/190)","53%
(101/190)","62%
(8/13)","87%
(13/15)","13%
(2/15)","38%
(5/13)","36%
(10/28)","64%
(18/28)",fognini-fabio,djere-laslo,20.05.2021 10:10,geneva-2021,1-2,3,3,1-2 | 3-6 | 7-6(7-2) | 1-6,3-6,,7-6,7-2,1-6,,,,,
7,15,3,9,78%,58%,"63%
(50/79)","86%
(50/58)","50%
(11/22)","50%
(21/42)",5/9,4/5,"14%
(8/58)","37%
(29/79)","29%
(12/42)","36%
(8/22)",1/5,4/9,"60%
(61/101)","71%
(71/100)","29%
(29/100)","40%
(40/101)","45%
(90/201)","55%
(111/201)","73%
(11/15)","94%
(15/16)","6%
(1/16)","27%
(4/15)","39%
(12/31)","61%
(19/31)",cecchinato-marco,shapovalov-denis,20.05.2021 10:05,geneva-2021,1-2,3,3,1-2 | 7-6(7-4) | 5-7 | 1-6,7-6,7-4,5-7,,1-6,,,,,
1,0,0,3,54%,59%,"53%
(18/34)","83%
(30/36)","52%
(15/29)","40%
(10/25)",3/7,4/6,"17%
(6/36)","47%
(16/34)","48%
(12/25)","48%
(14/29)",2/6,4/7,"52%
(33/63)","66%
(40/61)","34%
(21/61)","48%
(30/63)","44%
(54/124)","56%
(70/124)","60%
(6/10)","80%
(8/10)","20%
(2/10)","40%
(4/10)","40%
(8/20)","60%
(12/20)",ivashka-ilya,dimitrov-grigor,19.05.2021 17:20,geneva-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
6,3,1,4,53%,60%,"64%
(27/42)","70%
(26/37)","53%
(20/38)","32%
(8/25)",8/11,3/8,"30%
(11/37)","36%
(15/42)","52%
(13/25)","45%
(17/38)",5/8,3/11,"59%
(47/80)","55%
(34/62)","45%
(28/62)","41%
(33/80)","53%
(75/142)","47%
(67/142)","73%
(8/11)","55%
(6/11)","45%
(5/11)","27%
(3/11)","59%
(13/22)","41%
(9/22)",stricker-dominic,fucsovics-marton,19.05.2021 12:20,geneva-2021,2-0,2,3,2-0 | 7-5 | 6-4,7-5,,6-4,,,,,,,
7,4,2,3,58%,61%,"68%
(43/63)","76%
(47/62)","51%
(23/45)","54%
(21/39)",7/11,3/5,"24%
(15/62)","32%
(20/63)","38%
(15/39)","44%
(20/45)",2/5,4/11,"61%
(66/108)","67%
(68/101)","33%
(33/101)","39%
(42/108)","47%
(99/209)","53%
(110/209)","75%
(12/16)","88%
(15/17)","12%
(2/17)","25%
(4/16)","42%
(14/33)","58%
(19/33)",lopez-feliciano,koepfer-dominik,19.05.2021 10:55,geneva-2021,1-2,3,3,1-2 | 5-7 | 7-6(7-1) | 3-6,5-7,,7-6,7-1,3-6,,,,,
2,3,1,1,67%,58%,"82%
(32/39)","62%
(21/34)","63%
(12/19)","56%
(14/25)",1/1,3/6,"38%
(13/34)","18%
(7/39)","40%
(10/25)","32%
(6/19)",3/6,0/1,"76%
(44/58)","59%
(35/59)","41%
(24/59)","24%
(14/58)","58%
(68/117)","42%
(49/117)","100%
(10/10)","70%
(7/10)","30%
(3/10)","0%
(0/10)","65%
(13/20)","35%
(7/20)",ruud-casper,sandgren-tennys,19.05.2021 10:35,geneva-2021,2-0,2,3,2-0 | 7-5 | 6-2,7-5,,6-2,,,,,,,
