Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
3,1,5,0,68%,65%,"65%
(32/49)","51%
(26/51)","52%
(12/23)","46%
(13/28)",9/10,12/16,"49%
(25/51)","35%
(17/49)","54%
(15/28)","26%
(6/23)",4/16,1/10,"61%
(44/72)","49%
(39/79)","51%
(40/79)","39%
(28/72)","56%
(84/151)","44%
(67/151)","89%
(8/9)","50%
(4/8)","50%
(4/8)","11%
(1/9)","71%
(12/17)","29%
(5/17)",ruud-casper,gaston-hugo,25.07.2021 09:40,gstaad-2021,2-0,2,3,2-0 | 6-3 | 6-2,6-3,,6-2,,,,,,,
2,2,2,0,52%,68%,"57%
(17/30)","79%
(22/28)","32%
(9/28)","62%
(8/13)",5/10,0/1,"21%
(6/28)","43%
(13/30)","38%
(5/13)","61%
(17/28)",1/1,5/10,"45%
(26/58)","73%
(30/41)","27%
(11/41)","55%
(32/58)","37%
(37/99)","63%
(62/99)","29%
(2/7)","88%
(7/8)","13%
(1/8)","71%
(5/7)","20%
(3/15)","80%
(12/15)",kopriva-vit,ruud-casper,24.07.2021 11:35,gstaad-2021,0-2,2,3,0-2 | 3-6 | 0-6,3-6,,0-6,,,,,,,
2,3,5,8,52%,55%,"70%
(30/43)","65%
(30/46)","51%
(20/39)","47%
(18/38)",1/4,6/11,"35%
(16/46)","30%
(13/43)","32%
(12/38)","36%
(14/39)",5/11,3/4,"61%
(50/82)","57%
(48/84)","43%
(36/84)","39%
(32/82)","52%
(86/166)","48%
(80/166)","77%
(10/13)","64%
(9/14)","36%
(5/14)","23%
(3/13)","56%
(15/27)","44%
(12/27)",gaston-hugo,djere-laslo,24.07.2021 09:05,gstaad-2021,2-1,3,3,2-1 | 3-6 | 6-3 | 6-3,3-6,,6-3,,6-3,,,,,
13,16,3,12,66%,55%,"85%
(47/55)","94%
(47/50)","50%
(14/28)","24%
(10/41)",3/4,5/8,"6%
(3/50)","15%
(8/55)","44%
(18/41)","39%
(11/28)",3/8,1/4,"73%
(61/83)","63%
(57/91)","37%
(34/91)","27%
(22/83)","55%
(95/174)","45%
(79/174)","93%
(14/15)","79%
(11/14)","21%
(3/14)","7%
(1/15)","59%
(17/29)","41%
(12/29)",ruud-casper,paire-benoit,23.07.2021 15:10,gstaad-2021,2-1,3,3,2-1 | 6-2 | 5-7 | 6-3,6-2,,5-7,,6-3,,,,,
1,2,1,1,44%,70%,"93%
(13/14)","42%
(16/38)","72%
(13/18)","31%
(5/16)",0/0,5/11,"58%
(22/38)","7%
(1/14)","63%
(10/16)","22%
(4/18)",6/11,0/0,"81%
(26/32)","39%
(21/54)","61%
(33/54)","19%
(6/32)","69%
(59/86)","31%
(27/86)","100%
(6/6)","14%
(1/7)","86%
(6/7)","0%
(0/6)","92%
(12/13)","8%
(1/13)",kopriva-vit,ymer-mikael,23.07.2021 14:10,gstaad-2021,2-0,2,3,2-0 | 6-1 | 6-0,6-1,,6-0,,,,,,,
4,13,1,3,60%,63%,"73%
(49/67)","83%
(50/60)","66%
(29/44)","51%
(18/35)",3/3,3/5,"17%
(10/60)","27%
(18/67)","40%
(14/35)","32%
(14/44)",2/5,0/3,"70%
(78/111)","72%
(68/95)","28%
(27/95)","30%
(33/111)","51%
(105/206)","49%
(101/206)","100%
(16/16)","88%
(14/16)","13%
(2/16)","0%
(0/16)","56%
(18/32)","44%
(14/32)",djere-laslo,rinderknech-arthur,23.07.2021 11:20,gstaad-2021,2-1,3,3,2-1 | 6-4 | 6-7(5-7) | 6-4,6-4,,6-7,5-7,6-4,,,,,
3,8,4,4,52%,50%,"75%
(36/48)","70%
(35/50)","50%
(22/44)","57%
(29/51)",3/8,8/12,"30%
(15/50)","25%
(12/48)","35%
(18/51)","41%
(18/44)",4/12,5/8,"63%
(58/92)","63%
(64/101)","37%
(37/101)","37%
(34/92)","49%
(95/193)","51%
(98/193)","64%
(9/14)","73%
(11/15)","27%
(4/15)","36%
(5/14)","45%
(13/29)","55%
(16/29)",gaston-hugo,garin-cristian,23.07.2021 08:35,gstaad-2021,2-1,3,3,2-1 | 6-4 | 1-6 | 7-6(13-11),6-4,,1-6,,7-6,13-11,,,,
11,3,10,4,59%,46%,"75%
(36/48)","82%
(27/33)","32%
(11/34)","50%
(19/38)",4/8,3/6,"18%
(6/33)","25%
(12/48)","39%
(15/38)","38%
(13/34)",3/6,4/8,"57%
(47/82)","65%
(46/71)","35%
(25/71)","43%
(35/82)","47%
(72/153)","53%
(81/153)","67%
(8/12)","77%
(10/13)","23%
(3/13)","33%
(4/12)","44%
(11/25)","56%
(14/25)",shapovalov-denis,kopriva-vit,22.07.2021 15:35,gstaad-2021,1-2,3,3,1-2 | 6-2 | 3-6 | 2-6,6-2,,3-6,,2-6,,,,,
1,9,0,1,78%,71%,"78%
(14/18)","95%
(19/20)","80%
(4/5)","38%
(3/8)",0/1,1/1,"5%
(1/20)","22%
(4/18)","50%
(4/8)","20%
(1/5)",0/1,1/1,"78%
(18/23)","79%
(22/28)","21%
(6/28)","22%
(5/23)","47%
(24/51)","53%
(27/51)","80%
(4/5)","100%
(5/5)","0%
(0/5)","20%
(1/5)","40%
(4/10)","60%
(6/10)",griekspoor-tallon,paire-benoit,22.07.2021 13:15,gstaad-2021,0-1,2,3,0-1 | 4-6 | 0-0,4-6,,0-0,,,,,,,
7,11,5,6,72%,55%,"74%
(64/86)","82%
(51/62)","50%
(17/34)","52%
(26/50)",5/6,1/3,"18%
(11/62)","26%
(22/86)","36%
(18/50)","35%
(12/34)",2/3,1/6,"68%
(81/120)","69%
(77/112)","31%
(35/112)","33%
(39/120)","50%
(116/232)","50%
(116/232)","94%
(16/17)","88%
(15/17)","12%
(2/17)","6%
(1/17)","53%
(18/34)","47%
(16/34)",ymer-mikael,lopez-feliciano,22.07.2021 10:35,gstaad-2021,2-1,3,3,2-1 | 6-7(6-8) | 7-6(9-7) | 6-4,6-7,6-8,7-6,9-7,6-4,,,,,
5,1,0,3,62%,63%,"92%
(35/38)","80%
(40/50)","65%
(15/23)","48%
(14/29)",0/0,3/4,"20%
(10/50)","8%
(3/38)","41%
(12/29)","35%
(8/23)",1/4,0/0,"82%
(50/61)","68%
(54/79)","32%
(25/79)","18%
(11/61)","54%
(75/140)","46%
(65/140)","100%
(11/11)","91%
(10/11)","9%
(1/11)","0%
(0/11)","55%
(12/22)","45%
(10/22)",ruud-casper,novak-dennis,22.07.2021 08:40,gstaad-2021,2-0,2,3,2-0 | 6-4 | 7-6(7-5),6-4,,7-6,7-5,,,,,,
1,4,1,0,73%,65%,"48%
(16/33)","86%
(19/22)","25%
(3/12)","83%
(10/12)",4/9,0/0,"14%
(3/22)","55%
(18/33)","17%
(2/12)","58%
(7/12)",0/0,5/9,"42%
(19/45)","85%
(29/34)","15%
(5/34)","58%
(26/45)","30%
(24/79)","70%
(55/79)","38%
(3/8)","100%
(7/7)","0%
(0/7)","63%
(5/8)","20%
(3/15)","80%
(12/15)",polmans-marc,garin-cristian,21.07.2021 15:40,gstaad-2021,0-2,2,3,0-2 | 3-6 | 0-6,3-6,,0-6,,,,,,,
8,2,2,5,57%,59%,"79%
(30/38)","62%
(24/39)","45%
(13/29)","37%
(10/27)",5/6,4/8,"38%
(15/39)","21%
(8/38)","44%
(12/27)","48%
(14/29)",4/8,1/6,"64%
(43/67)","52%
(34/66)","48%
(32/66)","36%
(24/67)","56%
(75/133)","44%
(58/133)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",rinderknech-arthur,bautista-agut-roberto,21.07.2021 13:35,gstaad-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
4,6,9,1,65%,63%,"60%
(38/63)","65%
(45/69)","56%
(19/34)","60%
(24/40)",5/10,12/14,"35%
(24/69)","40%
(25/63)","38%
(15/40)","18%
(6/34)",2/14,5/10,"59%
(57/97)","63%
(69/109)","37%
(40/109)","41%
(40/97)","47%
(97/206)","53%
(109/206)","67%
(10/15)","87%
(13/15)","13%
(2/15)","33%
(5/15)","40%
(12/30)","60%
(18/30)",delbonis-federico,gaston-hugo,21.07.2021 10:55,gstaad-2021,1-2,3,3,1-2 | 0-6 | 7-6(7-2) | 6-7(3-7),0-6,,7-6,7-2,6-7,3-7,,,,
