Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
9,7,1,0,73%,59%,"83%
(45/54)","85%
(28/33)","55%
(11/20)","57%
(13/23)",2/2,0/1,"15%
(5/33)","17%
(9/54)","43%
(10/23)","40%
(8/20)",1/1,0/2,"76%
(56/74)","73%
(41/56)","27%
(15/56)","24%
(18/74)","54%
(70/130)","45%
(58/130)","100%
(11/11)","90%
(9/10)","10%
(1/10)","0%
(0/11)","57%
(12/21)","43%
(9/21)",humbert-ugo,rublev-andrey,20.06.2021 12:15,halle-2021,2-0,2,3,2-0 | 6-3 | 7-6(7-4),6-3,,7-6,7-4,,,,,,
14,8,4,1,66%,65%,"78%
(51/65)","76%
(52/68)","50%
(17/34)","39%
(14/36)",5/8,8/11,"24%
(16/68)","22%
(14/65)","56%
(20/36)","38%
(13/34)",3/11,3/8,"69%
(68/99)","65%
(68/105)","35%
(37/105)","31%
(31/99)","51%
(105/204)","49%
(99/204)","81%
(13/16)","80%
(12/15)","20%
(3/15)","19%
(3/16)","52%
(16/31)","48%
(15/31)",auger-aliassime-felix,humbert-ugo,19.06.2021 12:35,halle-2021,1-2,3,3,1-2 | 4-6 | 6-3 | 6-7(5-7),4-6,,6-3,,6-7,5-7,,,,
6,8,0,3,47%,49%,"73%
(27/37)","76%
(32/42)","66%
(27/41)","40%
(17/43)",1/2,5/8,"24%
(10/42)","27%
(10/37)","53%
(23/43)","34%
(14/41)",3/8,1/2,"69%
(54/78)","58%
(49/85)","42%
(36/85)","31%
(24/78)","55%
(90/163)","45%
(73/163)","92%
(12/13)","75%
(9/12)","25%
(3/12)","8%
(1/13)","60%
(15/25)","40%
(10/25)",rublev-andrey,basilashvili-nikoloz,19.06.2021 10:10,halle-2021,2-1,3,3,2-1 | 6-1 | 3-6 | 6-3,6-1,,3-6,,6-3,,,,,
7,6,3,2,68%,69%,"74%
(56/76)","68%
(50/73)","54%
(19/35)","42%
(14/33)",7/8,4/8,"32%
(23/73)","26%
(20/76)","52%
(17/33)","37%
(13/35)",4/8,1/8,"68%
(75/111)","60%
(64/106)","40%
(42/106)","32%
(36/111)","54%
(117/217)","46%
(100/217)","93%
(14/15)","79%
(11/14)","21%
(3/14)","7%
(1/15)","59%
(17/29)","41%
(12/29)",humbert-ugo,korda-sebastian,18.06.2021 14:20,halle-2021,2-1,3,3,2-1 | 6-2 | 6-7(5-7) | 6-4,6-2,,6-7,5-7,6-4,,,,,
1,14,0,2,62%,70%,"55%
(16/29)","93%
(28/30)","50%
(9/18)","69%
(9/13)",0/3,1/1,"7%
(2/30)","45%
(13/29)","15%
(2/13)","50%
(9/18)",0/1,3/3,"53%
(25/47)","86%
(37/43)","14%
(6/43)","47%
(22/47)","34%
(31/90)","66%
(59/90)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",giron-marcos,auger-aliassime-felix,18.06.2021 13:00,halle-2021,0-2,2,3,0-2 | 3-6 | 2-6,3-6,,2-6,,,,,,,
14,3,1,1,68%,62%,"74%
(42/57)","79%
(37/47)","52%
(14/27)","55%
(16/29)",5/7,3/4,"21%
(10/47)","26%
(15/57)","41%
(12/29)","44%
(12/27)",1/4,2/7,"67%
(56/84)","70%
(53/76)","30%
(23/76)","33%
(28/84)","49%
(79/160)","51%
(81/160)","82%
(9/11)","91%
(10/11)","9%
(1/11)","18%
(2/11)","45%
(10/22)","55%
(12/22)",harris-lloyd,basilashvili-nikoloz,18.06.2021 10:55,halle-2021,0-2,2,3,0-2 | 4-6 | 6-7(5-7),4-6,,6-7,5-7,,,,,,
7,9,2,0,69%,58%,"73%
(33/45)","82%
(27/33)","45%
(9/20)","71%
(17/24)",1/3,0/0,"18%
(6/33)","27%
(12/45)","29%
(7/24)","45%
(9/20)",0/0,2/3,"65%
(42/65)","77%
(44/57)","23%
(13/57)","35%
(23/65)","45%
(55/122)","55%
(67/122)","80%
(8/10)","100%
(10/10)","0%
(0/10)","20%
(2/10)","40%
(8/20)","60%
(12/20)",kohlschreiber-philipp,rublev-andrey,18.06.2021 09:15,halle-2021,0-2,2,3,0-2 | 6-7(4-7) | 2-6,6-7,4-7,2-6,,,,,,,
1,12,2,2,52%,66%,"75%
(24/32)","67%
(28/42)","62%
(18/29)","32%
(7/22)",5/6,6/10,"33%
(14/42)","25%
(8/32)","59%
(13/22)","31%
(9/29)",4/10,1/6,"69%
(42/61)","55%
(35/64)","45%
(29/64)","31%
(19/61)","57%
(71/125)","43%
(54/125)","90%
(9/10)","60%
(6/10)","40%
(4/10)","10%
(1/10)","65%
(13/20)","35%
(7/20)",basilashvili-nikoloz,rinderknech-arthur,17.06.2021 16:10,halle-2021,2-0,2,3,2-0 | 6-2 | 7-5,6-2,,7-5,,,,,,,
20,10,0,1,74%,80%,"74%
(48/65)","76%
(52/68)","65%
(15/23)","65%
(11/17)",0/1,1/2,"24%
(16/68)","26%
(17/65)","29%
(5/17)","35%
(8/23)",1/2,1/1,"72%
(63/88)","74%
(63/85)","26%
(22/85)","28%
(25/88)","49%
(85/173)","51%
(88/173)","93%
(14/15)","93%
(14/15)","7%
(1/15)","7%
(1/15)","50%
(15/30)","50%
(15/30)",zverev-alexander,humbert-ugo,17.06.2021 13:55,halle-2021,1-2,3,3,1-2 | 6-7(4-7) | 6-3 | 3-6,6-7,4-7,6-3,,3-6,,,,,
11,4,4,0,53%,65%,"88%
(30/34)","72%
(34/47)","60%
(18/30)","56%
(14/25)",1/1,2/4,"28%
(13/47)","12%
(4/34)","44%
(11/25)","27%
(8/30)",2/4,0/1,"75%
(48/64)","67%
(48/72)","33%
(24/72)","25%
(16/64)","53%
(72/136)","47%
(64/136)","100%
(10/10)","82%
(9/11)","18%
(2/11)","0%
(0/10)","57%
(12/21)","43%
(9/21)",harris-lloyd,lacko-lukas,17.06.2021 12:10,halle-2021,2-0,2,3,2-0 | 6-3 | 7-6(10-8),6-3,,7-6,10-8,,,,,,
