Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,3,0,0,57%,53%,"67%
(20/30)","81%
(21/26)","48%
(11/23)","74%
(17/23)",0/3,0/0,"19%
(5/26)","33%
(10/30)","26%
(6/23)","52%
(12/23)",0/0,3/3,"58%
(31/53)","78%
(38/49)","22%
(11/49)","42%
(22/53)","41%
(42/102)","59%
(60/102)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",krajinovic-filip,carreno-busta-pablo,18.07.2021 11:40,hamburg-2021,0-2,2,3,0-2 | 2-6 | 4-6,2-6,,4-6,,,,,,,
1,1,2,0,62%,68%,"73%
(35/48)","71%
(34/48)","48%
(14/29)","70%
(16/23)",5/7,4/4,"29%
(14/48)","27%
(13/48)","30%
(7/23)","45%
(13/29)",0/4,2/7,"64%
(49/77)","70%
(50/71)","30%
(21/71)","36%
(28/77)","47%
(70/148)","53%
(78/148)","82%
(9/11)","100%
(10/10)","0%
(0/10)","18%
(2/11)","43%
(9/21)","57%
(12/21)",delbonis-federico,carreno-busta-pablo,17.07.2021 13:40,hamburg-2021,0-2,2,3,0-2 | 6-7(2-7) | 3-6,6-7,2-7,3-6,,,,,,,
3,3,0,6,70%,59%,"77%
(27/35)","61%
(27/44)","67%
(10/15)","37%
(11/30)",1/2,8/12,"39%
(17/44)","23%
(8/35)","43%
(13/30)","33%
(5/15)",4/12,1/2,"74%
(37/50)","51%
(38/74)","49%
(36/74)","26%
(13/50)","59%
(73/124)","41%
(51/124)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",krajinovic-filip,djere-laslo,17.07.2021 11:40,hamburg-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
2,4,4,3,59%,71%,"75%
(47/63)","69%
(48/70)","48%
(21/44)","55%
(16/29)",3/6,4/7,"31%
(22/70)","25%
(16/63)","34%
(10/29)","43%
(19/44)",3/7,3/6,"64%
(68/107)","65%
(64/99)","35%
(35/99)","36%
(39/107)","50%
(103/206)","50%
(103/206)","81%
(13/16)","81%
(13/16)","19%
(3/16)","19%
(3/16)","50%
(16/32)","50%
(16/32)",paire-benoit,delbonis-federico,16.07.2021 16:25,hamburg-2021,1-2,3,3,1-2 | 6-4 | 6-7(9-11) | 4-6,6-4,,6-7,9-11,4-6,,,,,
0,4,0,2,66%,79%,"62%
(28/45)","74%
(40/54)","43%
(10/23)","36%
(5/14)",7/10,5/7,"26%
(14/54)","38%
(17/45)","50%
(7/14)","57%
(13/23)",2/7,3/10,"56%
(38/68)","66%
(45/68)","34%
(23/68)","44%
(30/68)","45%
(61/136)","55%
(75/136)","70%
(7/10)","82%
(9/11)","18%
(2/11)","30%
(3/10)","43%
(9/21)","57%
(12/21)",lajovic-dusan,carreno-busta-pablo,16.07.2021 14:30,hamburg-2021,0-2,2,3,0-2 | 6-7(4-7) | 3-6,6-7,4-7,3-6,,,,,,,
11,1,5,2,64%,64%,"65%
(37/57)","76%
(31/41)","41%
(13/32)","57%
(13/23)",3/8,2/4,"24%
(10/41)","35%
(20/57)","35%
(8/23)","44%
(14/32)",2/4,5/8,"56%
(50/89)","69%
(44/64)","31%
(20/64)","44%
(39/89)","46%
(70/153)","54%
(83/153)","62%
(8/13)","83%
(10/12)","17%
(2/12)","38%
(5/13)","40%
(10/25)","60%
(15/25)",tsitsipas-stefanos,krajinovic-filip,16.07.2021 12:10,hamburg-2021,1-2,3,3,1-2 | 6-3 | 1-6 | 3-6,6-3,,1-6,,3-6,,,,,
1,4,7,1,52%,52%,"74%
(17/23)","86%
(19/22)","29%
(6/21)","65%
(13/20)",3/7,0/0,"14%
(3/22)","26%
(6/23)","30%
(6/20)","38%
(8/21)",0/0,4/7,"52%
(23/44)","76%
(32/42)","24%
(10/42)","48%
(21/44)","38%
(33/86)","62%
(53/86)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",basilashvili-nikoloz,djere-laslo,16.07.2021 10:40,hamburg-2021,0-2,2,3,0-2 | 2-6 | 2-6,2-6,,2-6,,,,,,,
2,1,1,5,51%,56%,"66%
(27/41)","65%
(35/54)","48%
(19/40)","42%
(18/43)",1/5,6/11,"35%
(19/54)","34%
(14/41)","47%
(20/43)","50%
(20/40)",5/11,4/5,"57%
(46/81)","55%
(53/97)","45%
(44/97)","43%
(35/81)","51%
(90/178)","49%
(88/178)","67%
(8/12)","58%
(7/12)","42%
(5/12)","33%
(4/12)","54%
(13/24)","46%
(11/24)",paire-benoit,varillas-juan-pablo,15.07.2021 18:15,hamburg-2021,2-0,2,3,2-0 | 7-5 | 7-6(10-8),7-5,,7-6,10-8,,,,,,
2,2,4,7,63%,54%,"67%
(35/52)","74%
(29/39)","53%
(16/30)","45%
(15/33)",5/6,6/8,"26%
(10/39)","33%
(17/52)","33%
(11/33)","33%
(10/30)",2/8,1/6,"62%
(51/82)","61%
(44/72)","39%
(28/72)","38%
(31/82)","51%
(79/154)","49%
(75/154)","91%
(10/11)","80%
(8/10)","20%
(2/10)","9%
(1/11)","57%
(12/21)","43%
(9/21)",delbonis-federico,ramos-vinolas-albert,15.07.2021 16:00,hamburg-2021,2-0,2,3,2-0 | 6-3 | 7-6(7-4),6-3,,7-6,7-4,,,,,,
4,3,1,1,69%,63%,"53%
(23/43)","61%
(28/46)","53%
(10/19)","59%
(16/27)",2/7,6/9,"39%
(18/46)","47%
(20/43)","37%
(10/27)","42%
(8/19)",3/9,5/7,"53%
(33/62)","60%
(44/73)","40%
(29/73)","47%
(29/62)","46%
(62/135)","54%
(73/135)","50%
(5/10)","73%
(8/11)","27%
(3/11)","50%
(5/10)","38%
(8/21)","62%
(13/21)",taberner-carlos,carreno-busta-pablo,15.07.2021 13:55,hamburg-2021,0-2,2,3,0-2 | 5-7 | 3-6,5-7,,3-6,,,,,,,
