Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
3,1,3,2,59%,68%,"66%
(27/41)","57%
(37/65)","69%
(20/29)","43%
(13/30)",0/2,5/10,"40%
(26/65)","34%
(14/41)","50%
(15/30)","28%
(8/29)",5/10,2/2,"67%
(47/70)","53%
(50/95)","47%
(45/95)","33%
(23/70)","56%
(92/165)","44%
(73/165)","85%
(11/13)","62%
(8/13)","38%
(5/13)","15%
(2/13)","62%
(16/26)","38%
(10/26)",ruud-casper,martinez-pedro,31.07.2021 20:20,kitzbuhel-2021,2-1,3,3,2-1 | 6-1 | 4-6 | 6-3,6-1,,4-6,,6-3,,,,,
2,10,0,6,62%,70%,"78%
(31/40)","75%
(40/53)","76%
(19/25)","30%
(7/23)",0/0,4/5,"25%
(13/53)","23%
(9/40)","43%
(10/23)","24%
(6/25)",1/5,0/0,"77%
(50/65)","62%
(47/76)","38%
(29/76)","23%
(15/65)","56%
(79/141)","44%
(62/141)","100%
(11/11)","90%
(9/10)","10%
(1/10)","0%
(0/11)","57%
(12/21)","43%
(9/21)",ruud-casper,rinderknech-arthur,30.07.2021 14:10,kitzbuhel-2021,2-0,2,3,2-0 | 6-3 | 7-6(9-7),6-3,,7-6,9-7,,,,,,
6,3,6,4,62%,70%,"74%
(42/57)","74%
(42/57)","37%
(13/35)","54%
(13/24)",8/12,1/3,"26%
(15/57)","26%
(15/57)","29%
(7/24)","46%
(16/35)",2/3,4/12,"60%
(55/92)","68%
(55/81)","32%
(26/81)","40%
(37/92)","47%
(81/173)","53%
(92/173)","71%
(10/14)","86%
(12/14)","14%
(2/14)","29%
(4/14)","43%
(12/28)","57%
(16/28)",altmaier-daniel,martinez-pedro,30.07.2021 10:40,kitzbuhel-2021,1-2,3,3,1-2 | 6-4 | 3-6 | 3-6,6-4,,3-6,,3-6,,,,,
1,1,4,8,65%,59%,"61%
(40/66)","65%
(42/65)","43%
(15/35)","38%
(17/45)",11/16,5/12,"35%
(23/65)","39%
(26/66)","44%
(20/45)","46%
(16/35)",7/12,5/16,"54%
(55/101)","54%
(59/110)","46%
(51/110)","46%
(46/101)","50%
(106/211)","50%
(105/211)","62%
(8/13)","53%
(8/15)","47%
(7/15)","38%
(5/13)","54%
(15/28)","46%
(13/28)",ruud-casper,ymer-mikael,29.07.2021 15:35,kitzbuhel-2021,2-1,3,3,2-1 | 3-6 | 7-6(7-5) | 6-1,3-6,,7-6,7-5,6-1,,,,,
1,5,4,1,58%,56%,"56%
(18/32)","76%
(22/29)","52%
(12/23)","70%
(16/23)",5/9,2/2,"24%
(7/29)","44%
(14/32)","26%
(6/23)","30%
(7/23)",0/2,4/9,"55%
(30/55)","73%
(38/52)","27%
(14/52)","45%
(25/55)","41%
(44/107)","59%
(63/107)","56%
(5/9)","100%
(8/8)","0%
(0/8)","44%
(4/9)","29%
(5/17)","71%
(12/17)",krajinovic-filip,rinderknech-arthur,29.07.2021 13:55,kitzbuhel-2021,0-2,2,3,0-2 | 4-6 | 1-6,4-6,,1-6,,,,,,,
8,7,5,5,62%,52%,"74%
(51/69)","68%
(32/47)","53%
(23/43)","51%
(22/43)",7/9,7/12,"32%
(15/47)","26%
(18/69)","37%
(16/43)","35%
(15/43)",5/12,2/9,"65%
(74/113)","60%
(54/90)","40%
(36/90)","35%
(39/113)","54%
(110/203)","46%
(93/203)","87%
(13/15)","62%
(8/13)","38%
(5/13)","13%
(2/15)","64%
(18/28)","36%
(10/28)",altmaier-daniel,mager-gianluca,29.07.2021 11:00,kitzbuhel-2021,2-1,3,3,2-1 | 6-1 | 6-7(5-7) | 6-3,6-1,,6-7,5-7,6-3,,,,,
2,0,2,1,44%,64%,"50%
(12/24)","76%
(22/29)","42%
(13/31)","56%
(9/16)",6/11,1/2,"24%
(7/29)","50%
(12/24)","38%
(6/16)","52%
(16/31)",1/2,5/11,"45%
(25/55)","69%
(31/45)","31%
(14/45)","55%
(30/55)","39%
(39/100)","61%
(61/100)","38%
(3/8)","88%
(7/8)","13%
(1/8)","63%
(5/8)","25%
(4/16)","75%
(12/16)",kovalik-jozef,martinez-pedro,29.07.2021 09:10,kitzbuhel-2021,0-2,2,3,0-2 | 2-6 | 2-6,2-6,,2-6,,,,,,,
4,8,7,5,56%,57%,"76%
(38/50)","80%
(45/56)","65%
(26/40)","45%
(19/42)",0/2,4/7,"20%
(11/56)","24%
(12/50)","43%
(18/42)","18%
(7/40)",3/7,2/2,"71%
(64/90)","65%
(64/98)","35%
(34/98)","29%
(26/90)","52%
(98/188)","48%
(90/188)","88%
(15/17)","82%
(14/17)","18%
(3/17)","12%
(2/17)","53%
(18/34)","47%
(16/34)",ruud-casper,vilella-martinez-mario,28.07.2021 18:50,kitzbuhel-2021,2-1,3,3,2-1 | 7-5 | 5-7 | 6-4,7-5,,5-7,,6-4,,,,,
2,0,4,6,63%,50%,"64%
(23/36)","58%
(19/33)","67%
(14/21)","42%
(14/33)",3/4,7/11,"42%
(14/33)","36%
(13/36)","39%
(13/33)","14%
(3/21)",4/11,1/4,"65%
(37/57)","50%
(33/66)","50%
(33/66)","35%
(20/57)","57%
(70/123)","43%
(53/123)","89%
(8/9)","50%
(4/8)","50%
(4/8)","11%
(1/9)","71%
(12/17)","29%
(5/17)",ymer-mikael,erler-alexander,28.07.2021 15:05,kitzbuhel-2021,2-0,2,3,2-0 | 6-2 | 6-3,6-2,,6-3,,,,,,,
0,0,1,1,59%,64%,"65%
(26/40)","51%
(19/37)","57%
(16/28)","62%
(13/21)",7/9,4/8,"49%
(18/37)","35%
(14/40)","33%
(7/21)","39%
(11/28)",4/8,2/9,"62%
(42/68)","55%
(32/58)","45%
(26/58)","38%
(26/68)","54%
(68/126)","46%
(58/126)","80%
(8/10)","60%
(6/10)","40%
(4/10)","20%
(2/10)","60%
(12/20)","40%
(8/20)",altmaier-daniel,cecchinato-marco,28.07.2021 14:35,kitzbuhel-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
