Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
19,4,1,5,76%,77%,"91%
(58/64)","79%
(54/68)","55%
(11/20)","55%
(11/20)",0/0,4/6,"21%
(14/68)","9%
(6/64)","20%
(4/20)","40%
(8/20)",2/6,0/0,"82%
(69/84)","74%
(65/88)","26%
(23/88)","18%
(15/84)","53%
(92/172)","47%
(80/172)","100%
(16/16)","87%
(13/15)","13%
(2/15)","0%
(0/16)","58%
(18/31)","42%
(13/31)",berrettini-matteo,norrie-cameron,20.06.2021 12:40,london-2021,2-1,3,3,2-1 | 6-4 | 6-7(5-7) | 6-3,6-4,,6-7,5-7,6-3,,,,,
1,2,5,5,65%,59%,"76%
(32/42)","72%
(28/39)","57%
(13/23)","37%
(10/27)",1/1,3/6,"28%
(11/39)","24%
(10/42)","44%
(12/27)","22%
(5/23)",3/6,0/1,"69%
(45/65)","58%
(38/66)","42%
(28/66)","31%
(20/65)","53%
(70/131)","40%
(53/131)","91%
(10/11)","70%
(7/10)","30%
(3/10)","9%
(1/11)","62%
(13/21)","38%
(8/21)",norrie-cameron,shapovalov-denis,19.06.2021 14:00,london-2021,2-0,2,3,2-0 | 7-5 | 6-3,7-5,,6-3,,,,,,,
8,2,0,0,67%,68%,"89%
(32/36)","64%
(30/47)","56%
(10/18)","64%
(14/22)",1/1,8/10,"36%
(17/47)","11%
(4/36)","36%
(8/22)","44%
(8/18)",2/10,0/1,"78%
(42/54)","64%
(44/69)","36%
(25/69)","22%
(12/54)","54%
(67/123)","46%
(56/123)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",berrettini-matteo,de-minaur-alex,19.06.2021 12:15,london-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
0,11,1,10,64%,57%,"68%
(25/37)","79%
(30/38)","52%
(11/21)","52%
(15/29)",7/9,5/5,"21%
(8/38)","32%
(12/37)","14%
(4/29)","43%
(9/21)",0/5,2/9,"62%
(36/58)","67%
(45/67)","33%
(22/67)","38%
(22/58)","46%
(58/125)","54%
(67/125)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",tiafoe-frances,shapovalov-denis,19.06.2021 11:10,london-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
3,4,1,3,67%,51%,"67%
(29/43)","63%
(19/30)","67%
(14/21)","52%
(15/29)",5/5,3/6,"37%
(11/30)","33%
(14/43)","38%
(11/29)","29%
(6/21)",3/6,0/5,"67%
(43/64)","58%
(34/59)","42%
(25/59)","33%
(21/64)","55%
(68/123)","45%
(55/123)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",norrie-cameron,draper-jack,18.06.2021 17:30,london-2021,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
2,14,2,5,66%,59%,"66%
(38/58)","77%
(46/60)","77%
(23/30)","38%
(16/42)",6/7,11/13,"23%
(14/60)","36%
(21/58)","50%
(21/42)","17%
(5/30)",2/13,1/7,"69%
(61/88)","61%
(62/102)","39%
(40/102)","31%
(27/88)","53%
(101/190)","47%
(89/190)","93%
(13/14)","86%
(12/14)","14%
(2/14)","7%
(1/14)","54%
(15/28)","46%
(13/28)",de-minaur-alex,cilic-marin,18.06.2021 15:40,london-2021,2-1,3,3,2-1 | 3-6 | 6-3 | 6-4,3-6,,6-3,,6-4,,,,,
13,3,2,3,67%,57%,"81%
(38/47)","68%
(25/37)","61%
(14/23)","64%
(18/28)",2/2,8/9,"32%
(12/37)","19%
(9/47)","25%
(7/28)","30%
(7/23)",1/9,0/2,"74%
(52/70)","66%
(43/65)","34%
(22/65)","26%
(18/70)","55%
(74/135)","45%
(61/135)","100%
(11/11)","90%
(9/10)","10%
(1/10)","0%
(0/11)","57%
(12/21)","43%
(9/21)",berrettini-matteo,evans-daniel,18.06.2021 15:35,london-2021,2-0,2,3,2-0 | 7-6(7-5) | 6-3,7-6,7-5,6-3,,,,,,,
11,4,0,2,60%,69%,"74%
(28/38)","85%
(40/47)","60%
(15/25)","57%
(12/21)",1/2,3/3,"15%
(7/47)","26%
(10/38)","33%
(7/21)","40%
(10/25)",0/3,1/2,"68%
(43/63)","76%
(52/68)","24%
(16/68)","32%
(20/63)","45%
(59/131)","55%
(72/131)","90%
(9/10)","110%
(11/10)","0%
(0/11)","10%
(1/10)","45%
(9/20)","57%
(12/21)",troicki-viktor,tiafoe-frances,17.06.2021 16:30,london-2021,0-2,2,3,0-2 | 3-6 | 6-7(3-7),3-6,,6-7,3-7,,,,,,
5,8,6,3,44%,52%,"87%
(20/23)","84%
(21/25)","34%
(10/29)","74%
(17/23)",3/6,0/0,"16%
(4/25)","13%
(3/23)","13%
(3/23)","45%
(13/29)",0/0,3/6,"58%
(30/52)","79%
(38/48)","21%
(10/48)","42%
(22/52)","40%
(40/100)","60%
(60/100)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",lopez-feliciano,shapovalov-denis,17.06.2021 15:00,london-2021,0-2,2,3,0-2 | 2-6 | 3-6,2-6,,3-6,,,,,,,
14,4,2,2,65%,66%,"83%
(29/35)","63%
(25/40)","53%
(10/19)","48%
(10/21)",3/3,5/8,"38%
(15/40)","17%
(6/35)","43%
(9/21)","37%
(7/19)",3/8,0/3,"72%
(39/54)","57%
(35/61)","43%
(26/61)","28%
(15/54)","57%
(65/115)","43%
(50/115)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",berrettini-matteo,murray-andy,17.06.2021 13:10,london-2021,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
