Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,0,4,2,57%,46%,"72%
(21/29)","38%
(8/21)","50%
(11/22)","44%
(11/25)",0/1,3/8,"62%
(13/21)","28%
(8/29)","48%
(12/25)","32%
(7/22)",5/8,1/1,"63%
(32/51)","41%
(19/46)","59%
(27/46)","37%
(19/51)","61%
(59/97)","39%
(38/97)","88%
(7/8)","38%
(3/8)","63%
(5/8)","13%
(1/8)","75%
(12/16)","25%
(4/16)",norrie-cameron,nakashima-brandon,25.07.2021 02:10,los-cabos-2021,2-0,2,3,2-0 | 6-2 | 6-2,6-2,,6-2,,,,,,,
12,17,2,5,56%,54%,"82%
(28/34)","78%
(28/36)","67%
(18/27)","42%
(13/31)",1/1,1/3,"22%
(8/36)","18%
(6/34)","48%
(15/31)","26%
(7/27)",2/3,0/1,"75%
(46/61)","61%
(41/67)","39%
(26/67)","25%
(15/61)","56%
(72/128)","44%
(56/128)","100%
(11/11)","82%
(9/11)","18%
(2/11)","0%
(0/11)","59%
(13/22)","41%
(9/22)",nakashima-brandon,isner-john,24.07.2021 03:10,los-cabos-2021,2-0,2,3,2-0 | 7-5 | 6-4,7-5,,6-4,,,,,,,
4,7,2,2,67%,53%,"79%
(26/33)","76%
(19/25)","75%
(12/16)","18%
(4/22)",3/3,2/6,"24%
(6/25)","21%
(7/33)","73%
(16/22)","13%
(2/16)",4/6,0/3,"78%
(38/49)","49%
(23/47)","51%
(24/47)","22%
(11/49)","65%
(62/96)","35%
(34/96)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",norrie-cameron,fritz-taylor,24.07.2021 01:40,los-cabos-2021,2-0,2,3,2-0 | 6-3 | 6-1,6-3,,6-1,,,,,,,
10,4,5,7,53%,61%,"75%
(43/57)","77%
(49/64)","51%
(26/51)","49%
(20/41)",6/9,9/12,"23%
(15/64)","25%
(14/57)","34%
(14/41)","39%
(20/51)",3/12,3/9,"64%
(69/108)","66%
(69/105)","34%
(36/105)","36%
(39/108)","49%
(105/213)","51%
(108/213)","80%
(12/15)","81%
(13/16)","19%
(3/16)","20%
(3/15)","48%
(15/31)","52%
(16/31)",thompson-jordan,nakashima-brandon,23.07.2021 04:05,los-cabos-2021,1-2,3,3,1-2 | 3-6 | 6-4 | 6-7(4-7),3-6,,6-4,,6-7,4-7,,,,
2,21,4,0,51%,66%,"72%
(21/29)","79%
(26/33)","54%
(15/28)","82%
(14/17)",2/4,0/0,"21%
(7/33)","28%
(8/29)","18%
(3/17)","32%
(9/28)",0/0,2/4,"63%
(36/57)","80%
(40/50)","20%
(10/50)","37%
(21/57)","43%
(46/107)","57%
(61/107)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",bolt-alex,isner-john,23.07.2021 02:40,los-cabos-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
11,6,2,6,52%,54%,"80%
(28/35)","76%
(29/38)","56%
(18/32)","47%
(15/32)",4/4,7/9,"24%
(9/38)","20%
(7/35)","34%
(11/32)","38%
(12/32)",2/9,0/4,"69%
(46/67)","63%
(44/70)","37%
(26/70)","31%
(21/67)","53%
(72/137)","47%
(65/137)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",fritz-taylor,johnson-steve,23.07.2021 00:50,los-cabos-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
3,4,3,5,61%,57%,"84%
(21/25)","56%
(19/34)","56%
(9/16)","27%
(7/26)",1/1,9/14,"44%
(15/34)","16%
(4/25)","54%
(14/26)","25%
(4/16)",5/14,0/1,"73%
(30/41)","43%
(26/60)","57%
(34/60)","27%
(11/41)","63%
(64/101)","37%
(37/101)","100%
(7/7)","29%
(2/7)","71%
(5/7)","0%
(0/7)","86%
(12/14)","14%
(2/14)",norrie-cameron,escobedo-ernesto,22.07.2021 23:10,los-cabos-2021,2-0,2,3,2-0 | 6-1 | 6-1,6-1,,6-1,,,,,,,
15,6,5,9,55%,54%,"84%
(43/51)","65%
(41/63)","61%
(25/41)","53%
(28/53)",3/5,8/13,"35%
(22/63)","16%
(8/51)","30%
(16/53)","27%
(11/41)",5/13,2/5,"74%
(68/92)","59%
(69/116)","41%
(47/116)","26%
(24/92)","55%
(115/208)","45%
(93/208)","88%
(14/16)","67%
(10/15)","33%
(5/15)","13%
(2/16)","61%
(19/31)","39%
(12/31)",fritz-taylor,marchenko-illya,22.07.2021 05:00,los-cabos-2021,2-1,3,3,2-1 | 6-1 | 6-7(9-11) | 7-5,6-1,,6-7,9-11,7-5,,,,,
3,9,3,6,57%,61%,"78%
(28/36)","85%
(28/33)","59%
(16/27)","38%
(8/21)",0/0,3/5,"15%
(5/33)","22%
(8/36)","33%
(7/21)","30%
(8/27)",2/5,0/0,"70%
(44/63)","67%
(36/54)","33%
(18/54)","30%
(19/63)","53%
(62/117)","47%
(55/117)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",nakashima-brandon,querrey-sam,22.07.2021 02:50,los-cabos-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
8,25,5,6,58%,65%,"77%
(46/60)","91%
(50/55)","64%
(28/44)","63%
(19/30)",3/4,2/3,"9%
(5/55)","23%
(14/60)","17%
(5/30)","25%
(11/44)",1/3,1/4,"71%
(74/104)","81%
(69/85)","19%
(16/85)","29%
(30/104)","48%
(90/189)","52%
(99/189)","94%
(16/17)","94%
(15/16)","6%
(1/16)","6%
(1/17)","52%
(17/33)","48%
(16/33)",donskoy-evgeny,isner-john,22.07.2021 02:25,los-cabos-2021,1-2,3,3,1-2 | 5-7 | 6-3 | 6-7(5-7),5-7,,6-3,,6-7,5-7,,,,
