Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
0,7,5,1,61%,69%,"68%
(21/31)","82%
(28/34)","40%
(8/20)","60%
(9/15)",3/6,3/3,"18%
(6/34)","32%
(10/31)","33%
(5/15)","35%
(7/20)",0/3,3/6,"57%
(29/51)","76%
(37/49)","24%
(12/49)","43%
(22/51)","41%
(41/100)","59%
(59/100)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",norrie-cameron,tsitsipas-stefanos,23.05.2021 12:10,lyon-2-2021,0-2,2,3,0-2 | 3-6 | 3-6,3-6,,3-6,,,,,,,
5,2,2,1,64%,61%,"77%
(23/30)","58%
(18/31)","59%
(10/17)","25%
(5/20)",1/1,2/7,"42%
(13/31)","23%
(7/30)","75%
(15/20)","41%
(7/17)",5/7,0/1,"70%
(33/47)","45%
(23/51)","55%
(28/51)","30%
(14/47)","62%
(61/98)","38%
(37/98)","100%
(7/7)","29%
(2/7)","71%
(5/7)","0%
(0/7)","86%
(12/14)","14%
(2/14)",norrie-cameron,khachanov-karen,22.05.2021 14:10,lyon-2-2021,2-0,2,3,2-0 | 6-1 | 6-1,6-1,,6-1,,,,,,,
0,6,1,4,75%,57%,"57%
(28/49)","90%
(37/41)","50%
(8/16)","48%
(15/31)",3/8,3/5,"10%
(4/41)","49%
(24/49)","52%
(16/31)","50%
(8/16)",2/5,5/8,"52%
(34/65)","72%
(52/72)","28%
(20/72)","48%
(31/65)","41%
(56/137)","59%
(81/137)","58%
(7/12)","85%
(11/13)","15%
(2/13)","42%
(5/12)","36%
(9/25)","64%
(16/25)",musetti-lorenzo,tsitsipas-stefanos,22.05.2021 12:10,lyon-2-2021,1-2,3,3,1-2 | 6-4 | 3-6 | 0-6,6-4,,3-6,,0-6,,,,,
2,7,1,1,70%,63%,"73%
(43/59)","78%
(31/40)","56%
(14/25)","65%
(15/23)",2/3,0/2,"23%
(9/40)","27%
(16/59)","30%
(7/23)","40%
(10/25)",2/2,1/3,"68%
(57/84)","73%
(46/63)","27%
(17/63)","32%
(27/84)","50%
(74/147)","50%
(73/147)","93%
(13/14)","85%
(11/13)","15%
(2/13)","7%
(1/14)","56%
(15/27)","44%
(12/27)",norrie-cameron,rinderknech-arthur,22.05.2021 09:00,lyon-2-2021,2-1,3,3,2-1 | 6-3 | 3-6 | 6-3,6-3,,3-6,,6-3,,,,,
0,5,1,2,70%,53%,"55%
(18/33)","71%
(25/35)","57%
(8/14)","58%
(18/31)",0/4,1/3,"29%
(10/35)","45%
(15/33)","35%
(11/31)","36%
(5/14)",2/3,4/4,"55%
(26/47)","65%
(43/66)","35%
(23/66)","45%
(21/47)","43%
(49/113)","57%
(64/113)","56%
(5/9)","80%
(8/10)","20%
(2/10)","44%
(4/9)","37%
(7/19)","63%
(12/19)",gasquet-richard,khachanov-karen,21.05.2021 11:50,lyon-2-2021,0-2,2,3,0-2 | 1-6 | 6-7(3-7),1-6,,6-7,3-7,,,,,,
2,4,2,0,71%,77%,"68%
(25/37)","81%
(30/37)","47%
(7/15)","91%
(10/11)",3/5,0/0,"19%
(7/37)","32%
(12/37)","9%
(1/11)","40%
(6/15)",0/0,2/5,"62%
(32/52)","83%
(40/48)","17%
(8/48)","38%
(20/52)","40%
(40/100)","60%
(60/100)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",nishioka-yoshihito,tsitsipas-stefanos,21.05.2021 10:30,lyon-2-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
3,2,2,5,70%,46%,"69%
(33/48)","84%
(26/31)","57%
(12/21)","36%
(13/36)",2/4,2/5,"16%
(5/31)","31%
(15/48)","50%
(18/36)","33%
(7/21)",3/5,2/4,"65%
(45/69)","58%
(39/67)","42%
(28/67)","35%
(24/69)","54%
(73/136)","46%
(63/136)","82%
(9/11)","70%
(7/10)","30%
(3/10)","18%
(2/11)","57%
(12/21)","43%
(9/21)",musetti-lorenzo,bedene-aljaz,21.05.2021 08:40,lyon-2-2021,2-0,2,3,2-0 | 6-3 | 7-6(7-2),6-3,,7-6,7-2,,,,,,
10,6,2,2,74%,62%,"72%
(54/75)","67%
(45/67)","48%
(13/27)","46%
(19/41)",6/9,7/13,"33%
(22/67)","28%
(21/75)","49%
(20/41)","44%
(12/27)",6/13,3/9,"66%
(67/102)","59%
(64/108)","41%
(44/108)","34%
(35/102)","53%
(111/210)","47%
(99/210)","81%
(13/16)","63%
(10/16)","38%
(6/16)","19%
(3/16)","59%
(19/32)","41%
(13/32)",rinderknech-arthur,sinner-jannik,20.05.2021 16:10,lyon-2-2021,2-1,3,3,2-1 | 6-7(7-9) | 6-2 | 7-5,6-7,7-9,6-2,,7-5,,,,,
2,3,4,2,64%,73%,"57%
(16/28)","91%
(30/33)","56%
(9/16)","50%
(6/12)",1/4,0/0,"9%
(3/33)","43%
(12/28)","33%
(4/12)","19%
(3/16)",0/0,3/4,"57%
(25/44)","80%
(36/45)","20%
(9/45)","43%
(19/44)","38%
(34/89)","62%
(55/89)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",thiem-dominic,norrie-cameron,20.05.2021 14:40,lyon-2-2021,0-2,2,3,0-2 | 3-6 | 2-6,3-6,,2-6,,,,,,,
0,5,1,2,61%,49%,"61%
(20/33)","83%
(20/24)","48%
(10/21)","72%
(18/25)",6/9,0/0,"17%
(4/24)","39%
(13/33)","20%
(5/25)","48%
(10/21)",0/0,3/9,"56%
(30/54)","78%
(38/49)","22%
(11/49)","44%
(24/54)","40%
(41/103)","60%
(62/103)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",paul-tommy,tsitsipas-stefanos,20.05.2021 13:10,lyon-2-2021,0-2,2,3,0-2 | 1-6 | 4-6,1-6,,4-6,,,,,,,
