Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
5,7,7,1,69%,67%,"76%
(50/66)","72%
(53/74)","55%
(16/29)","44%
(16/36)",2/3,4/8,"28%
(21/74)","24%
(16/66)","53%
(19/36)","21%
(6/29)",4/8,1/3,"69%
(66/95)","63%
(69/110)","37%
(41/110)","31%
(29/95)","52%
(107/205)","48%
(98/205)","93%
(14/15)","75%
(12/16)","25%
(4/16)","7%
(1/15)","58%
(18/31)","42%
(13/31)",zverev-alexander,berrettini-matteo,09.05.2021 16:45,madrid-2021,2-1,3,3,2-1 | 6-7(8-10) | 6-4 | 6-3,6-7,8-10,6-4,,6-3,,,,,
1,5,2,1,55%,69%,"71%
(24/34)","91%
(31/34)","50%
(14/28)","67%
(10/15)",1/3,0/0,"9%
(3/34)","29%
(10/34)","27%
(4/15)","43%
(12/28)",0/0,2/3,"61%
(38/62)","84%
(41/49)","16%
(8/49)","39%
(24/62)","41%
(46/111)","59%
(65/111)","80%
(8/10)","100%
(10/10)","0%
(0/10)","20%
(2/10)","40%
(8/20)","60%
(12/20)",ruud-casper,berrettini-matteo,08.05.2021 19:10,madrid-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
6,1,2,3,66%,53%,"78%
(29/37)","62%
(23/37)","53%
(10/19)","55%
(18/33)",1/2,8/11,"38%
(14/37)","22%
(8/37)","36%
(12/33)","37%
(7/19)",3/11,1/2,"70%
(39/56)","59%
(41/70)","41%
(29/70)","30%
(17/56)","54%
(68/126)","46%
(58/126)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",zverev-alexander,thiem-dominic,08.05.2021 14:10,madrid-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
14,5,2,5,68%,55%,"80%
(43/54)","65%
(33/51)","42%
(11/26)","44%
(18/41)",3/6,8/14,"35%
(18/51)","20%
(11/54)","44%
(18/41)","50%
(13/26)",6/14,3/6,"68%
(54/80)","55%
(51/92)","45%
(41/92)","33%
(26/80)","55%
(95/172)","45%
(77/172)","79%
(11/14)","54%
(7/13)","46%
(6/13)","21%
(3/14)","63%
(17/27)","37%
(10/27)",berrettini-matteo,garin-cristian,07.05.2021 18:40,madrid-2021,2-1,3,3,2-1 | 5-7 | 6-3 | 6-0,5-7,,6-3,,6-0,,,,,
9,5,2,1,66%,70%,"70%
(28/40)","76%
(29/38)","29%
(6/21)","75%
(12/16)",6/9,1/1,"24%
(9/38)","30%
(12/40)","19%
(3/16)","62%
(13/21)",0/1,3/9,"56%
(34/61)","76%
(41/54)","24%
(13/54)","44%
(27/61)","41%
(47/115)","59%
(68/115)","67%
(6/9)","100%
(10/10)","0%
(0/10)","33%
(3/9)","32%
(6/19)","68%
(13/19)",bublik-alexander,ruud-casper,07.05.2021 17:10,madrid-2021,0-2,2,3,0-2 | 5-7 | 1-6,5-7,,1-6,,,,,,,
0,4,3,5,64%,62%,"62%
(26/42)","82%
(28/34)","50%
(12/24)","43%
(9/21)",3/6,1/2,"18%
(6/34)","38%
(16/42)","33%
(7/21)","38%
(9/24)",1/2,3/6,"58%
(38/66)","67%
(37/55)","33%
(18/55)","42%
(28/66)","46%
(56/121)","54%
(65/121)","70%
(7/10)","90%
(9/10)","10%
(1/10)","30%
(3/10)","40%
(8/20)","60%
(12/20)",nadal-rafael,zverev-alexander,07.05.2021 13:30,madrid-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
2,18,2,0,69%,62%,"79%
(48/61)","77%
(36/47)","56%
(15/27)","55%
(16/29)",6/7,2/4,"23%
(11/47)","21%
(13/61)","45%
(13/29)","37%
(10/27)",2/4,1/7,"72%
(63/88)","68%
(52/76)","32%
(24/76)","28%
(25/88)","53%
(87/164)","47%
(77/164)","93%
(13/14)","86%
(12/14)","14%
(2/14)","7%
(1/14)","54%
(15/28)","46%
(13/28)",thiem-dominic,isner-john,07.05.2021 11:10,madrid-2021,2-1,3,3,2-1 | 3-6 | 6-3 | 6-4,3-6,,6-3,,6-4,,,,,
7,4,0,3,65%,70%,"83%
(35/42)","67%
(32/48)","61%
(14/23)","62%
(13/21)",2/3,2/4,"33%
(16/48)","17%
(7/42)","24%
(5/21)","39%
(9/23)",2/4,1/3,"75%
(49/65)","65%
(45/69)","35%
(24/69)","25%
(16/65)","54%
(73/134)","46%
(61/134)","91%
(10/11)","82%
(9/11)","18%
(2/11)","9%
(1/11)","55%
(12/22)","45%
(10/22)",berrettini-matteo,delbonis-federico,06.05.2021 17:45,madrid-2021,2-0,2,3,2-0 | 7-6(7-4) | 6-4,7-6,7-4,6-4,,,,,,,
0,7,1,6,68%,60%,"66%
(29/44)","80%
(32/40)","57%
(12/21)","56%
(15/27)",2/4,1/2,"20%
(8/40)","34%
(15/44)","19%
(5/27)","38%
(8/21)",1/2,2/4,"63%
(41/65)","70%
(47/67)","30%
(20/67)","37%
(24/65)","46%
(61/132)","54%
(71/132)","80%
(8/10)","91%
(10/11)","9%
(1/11)","20%
(2/10)","43%
(9/21)","57%
(12/21)",evans-daniel,zverev-alexander,06.05.2021 17:10,madrid-2021,0-2,2,3,0-2 | 3-6 | 6-7(3-7),3-6,,6-7,3-7,,,,,,
4,5,1,3,75%,63%,"80%
(41/51)","82%
(32/39)","53%
(9/17)","65%
(15/23)",0/0,0/1,"18%
(7/39)","20%
(10/51)","22%
(5/23)","41%
(7/17)",1/1,0/0,"74%
(50/68)","76%
(47/62)","24%
(15/62)","26%
(18/68)","50%
(65/130)","50%
(65/130)","100%
(11/11)","91%
(10/11)","9%
(1/11)","0%
(0/11)","55%
(12/22)","45%
(10/22)",ruud-casper,tsitsipas-stefanos,06.05.2021 15:55,madrid-2021,2-0,2,3,2-0 | 7-6(7-4) | 6-4,7-6,7-4,6-4,,,,,,,
