Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
10,11,0,5,62%,54%,"89%
(25/28)","81%
(25/31)","65%
(11/17)","35%
(9/26)",0/0,1/4,"19%
(6/31)","11%
(3/28)","46%
(12/26)","35%
(6/17)",3/4,0/0,"80%
(36/45)","60%
(34/57)","40%
(23/57)","20%
(9/45)","58%
(59/102)","42%
(43/102)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",medvedev-daniil,querrey-sam,26.06.2021 14:10,mallorca-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
18,3,2,5,60%,60%,"97%
(30/31)","81%
(26/32)","52%
(11/21)","33%
(7/21)",1/1,4/6,"19%
(6/32)","3%
(1/31)","43%
(9/21)","38%
(8/21)",2/6,0/1,"79%
(41/52)","62%
(33/53)","38%
(20/53)","21%
(11/52)","58%
(61/105)","42%
(44/105)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",querrey-sam,mannarino-adrian,25.06.2021 16:40,mallorca-2021,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
10,5,3,1,54%,79%,"81%
(30/37)","62%
(47/76)","59%
(19/32)","55%
(11/20)",1/2,8/11,"38%
(29/76)","19%
(7/37)","40%
(8/20)","31%
(10/32)",3/11,1/2,"71%
(49/69)","60%
(58/96)","40%
(38/96)","29%
(20/69)","53%
(87/165)","47%
(78/165)","92%
(12/13)","77%
(10/13)","23%
(3/13)","8%
(1/13)","58%
(15/26)","42%
(11/26)",medvedev-daniil,carreno-busta-pablo,25.06.2021 14:15,mallorca-2021,2-1,3,3,2-1 | 3-6 | 6-3 | 6-2,3-6,,6-3,,6-2,,,,,
15,5,2,1,63%,58%,"82%
(36/44)","82%
(36/44)","58%
(15/26)","63%
(20/32)",3/5,1/2,"18%
(8/44)","18%
(8/44)","34%
(11/32)","35%
(9/26)",1/2,2/5,"73%
(51/70)","74%
(56/76)","26%
(20/76)","27%
(19/70)","49%
(71/146)","51%
(75/146)","86%
(12/14)","93%
(13/14)","7%
(1/14)","14%
(2/14)","46%
(13/28)","54%
(15/28)",lopez-feliciano,mannarino-adrian,24.06.2021 17:15,mallorca-2021,1-2,3,3,1-2 | 4-6 | 6-3 | 3-6,4-6,,6-3,,3-6,,,,,
25,8,6,4,60%,66%,"84%
(36/43)","79%
(42/53)","59%
(17/29)","41%
(11/27)",3/3,7/8,"21%
(11/53)","16%
(7/43)","44%
(12/27)","21%
(6/29)",1/8,0/3,"74%
(53/72)","66%
(53/80)","34%
(27/80)","26%
(19/72)","53%
(80/152)","47%
(72/152)","100%
(11/11)","90%
(9/10)","10%
(1/10)","0%
(0/11)","57%
(12/21)","43%
(9/21)",querrey-sam,bautista-agut-roberto,24.06.2021 15:25,mallorca-2021,2-0,2,3,2-0 | 6-3 | 7-6(7-4),6-3,,7-6,7-4,,,,,,
8,2,2,5,60%,58%,"86%
(25/29)","73%
(24/33)","47%
(9/19)","29%
(7/24)",2/3,5/10,"27%
(9/33)","14%
(4/29)","50%
(12/24)","42%
(8/19)",5/10,1/3,"71%
(34/48)","54%
(31/57)","46%
(26/57)","29%
(14/48)","57%
(60/105)","43%
(45/105)","89%
(8/9)","50%
(5/10)","50%
(5/10)","11%
(1/9)","68%
(13/19)","32%
(6/19)",medvedev-daniil,ruud-casper,24.06.2021 13:55,mallorca-2021,2-0,2,3,2-0 | 7-5 | 6-1,7-5,,6-1,,,,,,,
1,8,0,2,76%,60%,"80%
(33/41)","67%
(24/36)","69%
(9/13)","58%
(14/24)",3/3,3/5,"33%
(12/36)","20%
(8/41)","33%
(8/24)","31%
(4/13)",2/5,0/3,"78%
(42/54)","63%
(38/60)","37%
(22/60)","22%
(12/54)","56%
(64/114)","44%
(50/114)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",carreno-busta-pablo,thompson-jordan,24.06.2021 10:10,mallorca-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
13,6,2,0,66%,68%,"76%
(32/42)","84%
(32/38)","36%
(8/22)","83%
(15/18)",4/6,2/2,"16%
(6/38)","24%
(10/42)","17%
(3/18)","55%
(12/22)",0/2,2/6,"63%
(40/64)","84%
(47/56)","16%
(9/56)","38%
(24/64)","41%
(49/120)","59%
(71/120)","80%
(8/10)","100%
(11/11)","0%
(0/11)","20%
(2/10)","38%
(8/21)","62%
(13/21)",travaglia-stefano,bautista-agut-roberto,23.06.2021 17:05,mallorca-2021,0-2,2,3,0-2 | 3-6 | 5-7,3-6,,5-7,,,,,,,
8,3,0,5,65%,63%,"85%
(29/34)","78%
(28/36)","61%
(11/18)","48%
(10/21)",0/0,4/6,"22%
(8/36)","15%
(5/34)","29%
(6/21)","39%
(7/18)",2/6,0/0,"77%
(40/52)","67%
(38/57)","33%
(19/57)","23%
(12/52)","54%
(59/109)","46%
(50/109)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",thompson-jordan,klein-lukas,23.06.2021 13:35,mallorca-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
0,9,3,3,62%,68%,"85%
(29/34)","65%
(33/51)","62%
(13/21)","54%
(13/24)",1/1,8/10,"35%
(18/51)","15%
(5/34)","33%
(8/24)","24%
(5/21)",2/10,0/1,"76%
(42/55)","61%
(46/75)","39%
(29/75)","24%
(13/55)","55%
(71/130)","45%
(59/130)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",carreno-busta-pablo,vesely-jiri,23.06.2021 11:40,mallorca-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
12,15,4,8,65%,57%,"67%
(32/48)","76%
(42/55)","42%
(11/26)","46%
(19/41)",2/7,6/9,"24%
(13/55)","33%
(16/48)","34%
(14/41)","42%
(11/26)",3/9,5/7,"58%
(43/74)","64%
(61/96)","36%
(35/96)","42%
(31/74)","46%
(78/170)","54%
(92/170)","64%
(9/14)","79%
(11/14)","21%
(3/14)","36%
(5/14)","43%
(12/28)","57%
(16/28)",khachanov-karen,lopez-feliciano,22.06.2021 17:05,mallorca-2021,1-2,3,3,1-2 | 6-4 | 2-6 | 4-6,6-4,,2-6,,4-6,,,,,
2,1,1,0,50%,55%,"67%
(6/9)","75%
(9/12)","56%
(5/9)","70%
(7/10)",0/1,0/0,"25%
(3/12)","33%
(3/9)","30%
(3/10)","33%
(3/9)",0/0,1/1,"61%
(11/18)","73%
(16/22)","27%
(6/22)","39%
(7/18)","43%
(17/40)","57%
(23/40)","67%
(2/3)","100%
(4/4)","0%
(0/4)","33%
(1/3)","29%
(2/7)","71%
(5/7)",mannarino-adrian,thiem-dominic,22.06.2021 16:55,mallorca-2021,0-0,1,3,0-0 | 2-5,2-5,,,,,,,,,
17,8,4,3,68%,70%,"77%
(51/66)","65%
(51/78)","52%
(16/31)","50%
(17/34)",4/6,12/15,"35%
(27/78)","23%
(15/66)","41%
(14/34)","35%
(11/31)",3/15,2/6,"69%
(67/97)","61%
(68/112)","39%
(44/112)","31%
(30/97)","53%
(111/209)","47%
(98/209)","87%
(13/15)","80%
(12/15)","20%
(3/15)","13%
(2/15)","53%
(16/30)","47%
(14/30)",humbert-ugo,kecmanovic-miomir,22.06.2021 14:40,mallorca-2021,2-1,3,3,2-1 | 4-6 | 7-6(7-3) | 6-2,4-6,,7-6,7-3,6-2,,,,,
4,22,2,8,57%,53%,"75%
(42/56)","76%
(51/67)","67%
(28/42)","52%
(31/60)",4/5,7/8,"24%
(16/67)","25%
(14/56)","35%
(21/60)","29%
(12/42)",1/8,1/5,"71%
(70/98)","65%
(82/127)","35%
(45/127)","29%
(28/98)","51%
(115/225)","49%
(110/225)","94%
(15/16)","93%
(14/15)","7%
(1/15)","6%
(1/16)","52%
(16/31)","48%
(15/31)",carballes-baena-roberto,querrey-sam,22.06.2021 13:20,mallorca-2021,1-2,3,3,1-2 | 7-5 | 4-6 | 6-7(3-7),7-5,,4-6,,6-7,3-7,,,,
6,2,2,2,71%,66%,"80%
(33/41)","61%
(23/38)","41%
(7/17)","35%
(7/20)",4/5,4/8,"39%
(15/38)","20%
(8/41)","55%
(11/20)","47%
(8/17)",4/8,1/5,"69%
(40/58)","52%
(30/58)","48%
(28/58)","31%
(18/58)","59%
(68/116)","41%
(48/116)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",medvedev-daniil,moutet-corentin,22.06.2021 13:10,mallorca-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
11,4,5,2,71%,76%,"78%
(28/36)","87%
(33/38)","33%
(5/15)","58%
(7/12)",1/3,0/0,"13%
(5/38)","22%
(8/36)","33%
(4/12)","33%
(5/15)",0/0,2/3,"65%
(33/51)","80%
(40/50)","20%
(10/50)","35%
(18/51)","43%
(43/101)","57%
(58/101)","70%
(7/10)","100%
(9/9)","0%
(0/9)","30%
(3/10)","37%
(7/19)","63%
(12/19)",sandgren-tennys,ruud-casper,22.06.2021 11:40,mallorca-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
3,11,5,4,52%,63%,"74%
(23/31)","84%
(32/38)","41%
(12/29)","64%
(14/22)",1/4,2/3,"16%
(6/38)","26%
(8/31)","18%
(4/22)","41%
(12/29)",1/3,3/4,"58%
(35/60)","77%
(46/60)","23%
(14/60)","42%
(25/60)","41%
(49/120)","59%
(71/120)","67%
(6/9)","90%
(9/10)","10%
(1/10)","33%
(3/9)","37%
(7/19)","63%
(12/19)",kuhn-nicola,lopez-feliciano,21.06.2021 17:15,mallorca-2021,0-2,2,3,0-2 | 1-6 | 6-7(4-7),1-6,,6-7,4-7,,,,,,
10,6,3,5,75%,50%,"75%
(41/55)","63%
(26/41)","44%
(8/18)","51%
(21/41)",6/7,13/16,"37%
(15/41)","25%
(14/55)","39%
(16/41)","44%
(8/18)",3/16,1/7,"67%
(49/73)","57%
(47/82)","43%
(35/82)","33%
(24/73)","54%
(84/155)","46%
(71/155)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",vesely-jiri,caruso-salvatore,21.06.2021 15:15,mallorca-2021,2-0,2,3,2-0 | 7-6(7-2) | 6-2,7-6,7-2,6-2,,,,,,,
13,6,0,2,60%,58%,"73%
(46/63)","80%
(47/59)","67%
(28/42)","53%
(23/43)",5/7,2/3,"20%
(12/59)","27%
(17/63)","42%
(18/43)","33%
(14/42)",1/3,2/7,"70%
(74/105)","69%
(70/102)","31%
(32/102)","30%
(31/105)","51%
(106/207)","49%
(101/207)","88%
(14/16)","93%
(14/15)","7%
(1/15)","13%
(2/16)","48%
(15/31)","52%
(16/31)",khachanov-karen,pouille-lucas,21.06.2021 14:50,mallorca-2021,2-1,3,3,2-1 | 7-6(9-7) | 3-6 | 6-4,7-6,9-7,3-6,,6-4,,,,,
