Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
13,10,2,3,66%,65%,"83%
(54/65)","72%
(46/64)","45%
(15/33)","53%
(18/34)",4/5,3/6,"28%
(18/64)","17%
(11/65)","38%
(13/34)","48%
(16/33)",3/6,1/5,"70%
(69/98)","65%
(64/98)","35%
(34/98)","30%
(29/98)","53%
(103/196)","47%
(93/196)","94%
(15/16)","81%
(13/16)","19%
(3/16)","6%
(1/16)","56%
(18/32)","44%
(14/32)",medvedev-daniil,herbert-pierre-hugues,14.03.2021 13:10,marseille-2021,2-1,3,3,2-1 | 6-4 | 6-7(4-7) | 6-4,6-4,,6-7,4-7,6-4,,,,,
1,9,4,1,68%,69%,"62%
(24/39)","86%
(25/29)","44%
(8/18)","85%
(11/13)",6/9,0/0,"14%
(4/29)","38%
(15/39)","8%
(1/13)","33%
(6/18)",0/0,3/9,"56%
(32/57)","86%
(36/42)","14%
(6/42)","44%
(25/57)","38%
(38/99)","62%
(61/99)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",humbert-ugo,herbert-pierre-hugues,13.03.2021 15:55,marseille-2021,0-2,2,3,0-2 | 3-6 | 2-6,3-6,,2-6,,,,,,,
6,4,1,4,78%,66%,"79%
(22/28)","66%
(23/35)","75%
(6/8)","22%
(4/18)",3/3,4/7,"34%
(12/35)","21%
(6/28)","56%
(10/18)","13%
(1/8)",3/7,0/3,"78%
(28/36)","51%
(27/53)","49%
(26/53)","22%
(8/36)","61%
(54/89)","39%
(35/89)","100%
(6/6)","43%
(3/7)","43%
(3/7)","0%
(0/5)","75%
(9/12)","23%
(3/13)",medvedev-daniil,ebden-matthew,13.03.2021 14:30,marseille-2021,1-0,2,3,1-0 | 6-4 | 3-0,6-4,,3-0,,,,,,,
21,11,1,1,64%,63%,"77%
(61/79)","83%
(49/59)","42%
(19/45)","57%
(20/35)",10/12,0/2,"17%
(10/59)","23%
(18/79)","43%
(15/35)","58%
(26/45)",2/2,2/12,"65%
(80/124)","73%
(69/94)","27%
(25/94)","35%
(44/124)","48%
(105/218)","52%
(113/218)","88%
(15/17)","88%
(15/17)","12%
(2/17)","12%
(2/17)","50%
(17/34)","50%
(17/34)",rinderknech-arthur,humbert-ugo,12.03.2021 19:45,marseille-2021,1-2,3,3,1-2 | 6-4 | 5-7 | 6-7(4-7),6-4,,5-7,,6-7,4-7,,,,
8,2,3,2,56%,64%,"79%
(37/47)","64%
(38/59)","62%
(23/37)","64%
(21/33)",0/2,3/8,"36%
(21/59)","21%
(10/47)","36%
(12/33)","32%
(12/37)",5/8,2/2,"71%
(60/84)","64%
(59/92)","36%
(33/92)","29%
(24/84)","53%
(93/176)","47%
(83/176)","87%
(13/15)","67%
(10/15)","33%
(5/15)","13%
(2/15)","60%
(18/30)","40%
(12/30)",herbert-pierre-hugues,tsitsipas-stefanos,12.03.2021 17:20,marseille-2021,2-1,3,3,2-1 | 6-7(6-8) | 6-4 | 6-2,6-7,6-8,6-4,,6-2,,,,,
7,2,3,0,70%,61%,"80%
(28/35)","59%
(20/34)","60%
(9/15)","55%
(12/22)",1/1,2/5,"41%
(14/34)","20%
(7/35)","45%
(10/22)","40%
(6/15)",3/5,0/1,"76%
(37/49)","57%
(32/56)","43%
(24/56)","24%
(12/49)","58%
(61/105)","42%
(44/105)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",medvedev-daniil,sinner-jannik,12.03.2021 15:45,marseille-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
4,5,1,1,62%,62%,"73%
(36/49)","74%
(39/53)","43%
(13/30)","59%
(19/32)",4/8,2/4,"26%
(14/53)","27%
(13/49)","38%
(12/32)","53%
(16/30)",2/4,4/8,"62%
(49/79)","68%
(58/85)","32%
(27/85)","38%
(30/79)","46%
(76/164)","54%
(88/164)","71%
(10/14)","86%
(12/14)","14%
(2/14)","29%
(4/14)","43%
(12/28)","57%
(16/28)",khachanov-karen,ebden-matthew,12.03.2021 13:40,marseille-2021,1-2,3,3,1-2 | 6-4 | 4-6 | 2-6,6-4,,4-6,,2-6,,,,,
6,4,2,1,51%,51%,"68%
(17/25)","86%
(19/22)","38%
(9/24)","71%
(15/21)",1/6,1/2,"14%
(3/22)","32%
(8/25)","24%
(5/21)","54%
(13/24)",1/2,5/6,"53%
(26/49)","79%
(34/43)","21%
(9/43)","47%
(23/49)","38%
(35/92)","62%
(57/92)","50%
(4/8)","89%
(8/9)","11%
(1/9)","50%
(4/8)","29%
(5/17)","71%
(12/17)",pouille-lucas,tsitsipas-stefanos,11.03.2021 18:00,marseille-2021,0-2,2,3,0-2 | 2-6 | 3-6,2-6,,3-6,,,,,,,
6,2,2,0,56%,61%,"83%
(24/29)","61%
(20/33)","65%
(15/23)","52%
(11/21)",0/0,1/4,"39%
(13/33)","17%
(5/29)","48%
(10/21)","26%
(6/23)",3/4,0/0,"75%
(39/52)","57%
(31/54)","43%
(23/54)","25%
(13/52)","58%
(62/106)","42%
(44/106)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",medvedev-daniil,gerasimov-egor,11.03.2021 16:40,marseille-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
1,13,3,2,68%,66%,"64%
(29/45)","81%
(39/48)","57%
(12/21)","32%
(8/25)",4/8,2/3,"13%
(6/48)","42%
(19/45)","52%
(13/25)","67%
(14/21)",1/3,4/8,"55%
(41/74)","71%
(48/68)","29%
(20/68)","45%
(33/74)","43%
(61/142)","57%
(81/142)","67%
(8/12)","92%
(11/12)","8%
(1/12)","33%
(4/12)","38%
(9/24)","63%
(15/24)",davidovich-fokina-alejandro,rinderknech-arthur,11.03.2021 14:20,marseille-2021,1-2,3,3,1-2 | 6-3 | 1-6 | 2-6,6-3,,1-6,,2-6,,,,,
14,1,4,0,58%,69%,"80%
(32/40)","60%
(24/40)","59%
(17/29)","61%
(11/18)",5/5,1/3,"40%
(16/40)","20%
(8/40)","39%
(7/18)","28%
(8/29)",2/3,0/5,"71%
(49/69)","60%
(35/58)","40%
(23/58)","29%
(20/69)","57%
(72/127)","43%
(55/127)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",herbert-pierre-hugues,norrie-cameron,11.03.2021 12:40,marseille-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
5,7,1,2,57%,64%,"59%
(23/39)","88%
(28/32)","55%
(16/29)","67%
(12/18)",5/7,0/0,"13%
(4/32)","41%
(16/39)","22%
(4/18)","41%
(12/29)",0/0,2/7,"57%
(39/68)","80%
(40/50)","20%
(10/50)","43%
(29/68)","42%
(49/118)","58%
(69/118)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",tsonga-jo-wilfried,humbert-ugo,10.03.2021 18:55,marseille-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
2,5,2,1,59%,53%,"56%
(15/27)","89%
(24/27)","42%
(8/19)","50%
(12/24)",5/9,4/5,"11%
(3/27)","44%
(12/27)","46%
(11/24)","47%
(9/19)",1/5,4/9,"50%
(23/46)","71%
(36/51)","29%
(15/51)","50%
(23/46)","39%
(38/97)","61%
(59/97)","50%
(4/8)","89%
(8/9)","11%
(1/9)","50%
(4/8)","29%
(5/17)","71%
(12/17)",gaston-hugo,sinner-jannik,10.03.2021 17:30,marseille-2021,0-2,2,3,0-2 | 4-6 | 1-6,4-6,,1-6,,,,,,,
