Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
9,4,2,1,61%,75%,"79%
(27/34)","57%
(27/47)","64%
(14/22)","63%
(10/16)",0/2,2/6,"43%
(20/47)","21%
(7/34)","31%
(5/16)","27%
(6/22)",4/6,2/2,"73%
(41/56)","59%
(37/63)","41%
(26/63)","27%
(15/56)","56%
(67/119)","44%
(52/119)","80%
(8/10)","64%
(7/11)","36%
(4/11)","20%
(2/10)","57%
(12/21)","43%
(9/21)",hurkacz-hubert,carreno-busta-pablo,26.09.2021 13:40,metz-2021,2-0,2,3,2-0 | 7-6(7-2) | 6-3,7-6,7-2,6-3,,,,,,,
17,1,1,2,67%,71%,"83%
(45/54)","75%
(40/53)","44%
(12/27)","64%
(14/22)",6/8,1/2,"25%
(13/53)","17%
(9/54)","36%
(8/22)","56%
(15/27)",1/2,2/8,"70%
(57/81)","72%
(54/75)","28%
(21/75)","30%
(24/81)","50%
(78/156)","50%
(78/156)","91%
(10/11)","79%
(11/14)","8%
(1/12)","17%
(2/12)","42%
(11/26)","57%
(13/23)",monfils-gael,carreno-busta-pablo,25.09.2021 14:05,metz-2021,0-2,2,3,0-2 | 5-7 | 6-7(8-10),5-7,,6-7,8-10,,,,,,
7,10,0,1,61%,48%,"79%
(33/42)","73%
(29/40)","56%
(15/27)","49%
(21/43)",2/3,5/7,"28%
(11/40)","21%
(9/42)","49%
(21/43)","44%
(12/27)",2/7,1/3,"70%
(48/69)","60%
(50/83)","40%
(33/83)","30%
(21/69)","53%
(81/152)","47%
(71/152)","91%
(10/11)","82%
(9/11)","18%
(2/11)","9%
(1/11)","55%
(12/22)","45%
(10/22)",hurkacz-hubert,gojowczyk-peter,25.09.2021 12:10,metz-2021,2-0,2,3,2-0 | 6-4 | 7-6(7-4),6-4,,7-6,7-4,,,,,,
8,9,3,0,56%,63%,"72%
(38/53)","78%
(42/54)","54%
(22/41)","47%
(15/32)",6/9,1/3,"22%
(12/54)","28%
(15/53)","53%
(17/32)","39%
(16/41)",2/3,3/9,"64%
(60/94)","66%
(57/86)","34%
(29/86)","36%
(34/94)","49%
(89/180)","51%
(91/180)","80%
(12/15)","86%
(12/14)","14%
(2/14)","20%
(3/15)","48%
(14/29)","52%
(15/29)",rune-holger,carreno-busta-pablo,24.09.2021 17:40,metz-2021,1-2,3,3,1-2 | 4-6 | 6-3 | 4-6,4-6,,6-3,,4-6,,,,,
0,11,1,0,65%,73%,"57%
(24/42)","74%
(26/35)","39%
(9/23)","69%
(9/13)",6/10,2/3,"26%
(9/35)","43%
(18/42)","31%
(4/13)","57%
(13/23)",1/3,4/10,"51%
(33/65)","73%
(35/48)","27%
(13/48)","49%
(32/65)","41%
(46/113)","59%
(67/113)","56%
(5/9)","89%
(8/9)","11%
(1/9)","44%
(4/9)","33%
(6/18)","67%
(12/18)",basilashvili-nikoloz,monfils-gael,24.09.2021 16:05,metz-2021,0-2,2,3,0-2 | 3-6 | 3-6,3-6,,3-6,,,,,,,
13,3,0,2,69%,62%,"83%
(45/54)","79%
(31/39)","46%
(11/24)","58%
(14/24)",4/4,2/3,"21%
(8/39)","17%
(9/54)","33%
(8/24)","54%
(13/24)",1/3,0/4,"72%
(56/78)","71%
(45/63)","29%
(18/63)","28%
(22/78)","52%
(74/141)","48%
(67/141)","100%
(11/11)","90%
(9/10)","10%
(1/10)","0%
(0/11)","57%
(12/21)","43%
(9/21)",hurkacz-hubert,murray-andy,24.09.2021 13:55,metz-2021,2-0,2,3,2-0 | 7-6(7-4) | 6-3,7-6,7-4,6-3,,,,,,,
5,12,5,4,56%,55%,"70%
(28/40)","86%
(32/37)","52%
(16/31)","50%
(15/30)",4/8,3/4,"14%
(5/37)","30%
(12/40)","37%
(11/30)","32%
(10/31)",1/4,4/8,"62%
(44/71)","70%
(47/67)","30%
(20/67)","38%
(27/71)","46%
(64/138)","54%
(74/138)","69%
(9/13)","92%
(11/12)","8%
(1/12)","31%
(4/13)","40%
(10/25)","60%
(15/25)",giron-marcos,gojowczyk-peter,24.09.2021 12:10,metz-2021,1-2,3,3,1-2 | 6-3 | 1-6 | 3-6,6-3,,1-6,,3-6,,,,,
7,7,3,4,53%,76%,"72%
(48/67)","67%
(62/93)","42%
(25/60)","41%
(12/29)",10/14,6/8,"33%
(31/93)","28%
(19/67)","45%
(13/29)","53%
(32/60)",2/8,4/14,"57%
(73/127)","61%
(74/122)","39%
(48/122)","43%
(54/127)","49%
(121/249)","51%
(128/249)","71%
(10/14)","86%
(12/14)","14%
(2/14)","29%
(4/14)","43%
(12/28)","57%
(16/28)",basilashvili-nikoloz,davidovich-fokina-alejandro,23.09.2021 18:00,metz-2021,2-1,3,3,2-1 | 0-6 | 6-4 | 7-6(7-4),0-6,,6-4,,7-6,7-4,,,,
2,8,0,3,51%,61%,"75%
(27/36)","88%
(38/43)","49%
(17/35)","39%
(11/28)",3/6,4/6,"12%
(5/43)","25%
(9/36)","50%
(14/28)","51%
(18/35)",2/6,3/6,"62%
(44/71)","69%
(49/71)","31%
(22/71)","38%
(27/71)","46%
(66/142)","54%
(76/142)","73%
(8/11)","82%
(9/11)","18%
(2/11)","27%
(3/11)","45%
(10/22)","55%
(12/22)",kohlschreiber-philipp,monfils-gael,23.09.2021 16:10,metz-2021,0-2,2,3,0-2 | 6-7(2-7) | 4-6,6-7,2-7,4-6,,,,,,,
8,6,0,3,63%,55%,"81%
(25/31)","71%
(24/34)","61%
(11/18)","39%
(11/28)",0/0,7/10,"29%
(10/34)","19%
(6/31)","50%
(14/28)","39%
(7/18)",3/10,0/0,"73%
(36/49)","56%
(35/62)","44%
(27/62)","27%
(13/49)","57%
(63/111)","43%
(48/111)","100%
(9/9)","63%
(5/8)","38%
(3/8)","0%
(0/9)","71%
(12/17)","29%
(5/17)",hurkacz-hubert,pouille-lucas,23.09.2021 13:50,metz-2021,2-0,2,3,2-0 | 6-2 | 6-3,6-2,,6-3,,,,,,,
