Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,3,5,1,60%,71%,"55%
(26/47)","69%
(34/49)","48%
(15/31)","35%
(7/20)",7/11,0/3,"31%
(15/49)","45%
(21/47)","60%
(12/20)","35%
(11/31)",3/3,4/11,"53%
(41/78)","59%
(41/69)","41%
(28/69)","47%
(37/78)","47%
(69/147)","53%
(78/147)","64%
(7/11)","73%
(8/11)","27%
(3/11)","36%
(4/11)","45%
(10/22)","55%
(12/22)",sinner-jannik,hurkacz-hubert,04.04.2021 17:10,miami-2021,0-2,2,3,0-2 | 6-7(4-7) | 4-6,6-7,4-7,4-6,,,,,,,
2,8,1,1,59%,60%,"71%
(25/35)","75%
(33/44)","38%
(9/24)","48%
(14/29)",5/8,4/5,"25%
(11/44)","29%
(10/35)","55%
(16/29)","67%
(16/24)",1/5,3/8,"58%
(34/59)","64%
(47/73)","36%
(26/73)","42%
(25/59)","45%
(60/132)","55%
(72/132)","67%
(6/9)","90%
(9/10)","10%
(1/10)","33%
(3/9)","37%
(7/19)","63%
(12/19)",rublev-andrey,hurkacz-hubert,02.04.2021 23:10,miami-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
2,5,0,2,67%,65%,"63%
(38/60)","65%
(42/65)","52%
(15/29)","57%
(20/35)",4/8,7/10,"35%
(23/65)","37%
(22/60)","37%
(13/35)","48%
(14/29)",3/10,4/8,"60%
(53/89)","62%
(62/100)","38%
(38/100)","40%
(36/89)","48%
(91/189)","52%
(98/189)","75%
(12/16)","81%
(13/16)","19%
(3/16)","25%
(4/16)","47%
(15/32)","53%
(17/32)",bautista-agut-roberto,sinner-jannik,02.04.2021 17:10,miami-2021,1-2,3,3,1-2 | 7-5 | 4-6 | 4-6,7-5,,4-6,,4-6,,,,,
4,5,2,0,70%,50%,"71%
(39/55)","85%
(28/33)","33%
(8/24)","48%
(16/33)",4/7,0/2,"15%
(5/33)","29%
(16/55)","52%
(17/33)","58%
(14/24)",2/2,3/7,"59%
(47/79)","67%
(44/66)","33%
(22/66)","41%
(32/79)","48%
(69/145)","52%
(76/145)","75%
(9/12)","83%
(10/12)","17%
(2/12)","25%
(3/12)","46%
(11/24)","54%
(13/24)",korda-sebastian,rublev-andrey,02.04.2021 00:00,miami-2021,0-2,2,3,0-2 | 5-7 | 6-7(7-9),5-7,,6-7,7-9,,,,,,
15,7,1,3,65%,64%,"65%
(39/60)","70%
(43/61)","53%
(17/32)","43%
(15/35)",10/13,5/8,"30%
(18/61)","35%
(21/60)","49%
(17/35)","44%
(14/32)",3/8,3/13,"61%
(56/92)","60%
(58/96)","40%
(38/96)","39%
(36/92)","50%
(94/188)","50%
(94/188)","79%
(11/14)","77%
(10/13)","23%
(3/13)","21%
(3/14)","52%
(14/27)","48%
(13/27)",hurkacz-hubert,tsitsipas-stefanos,01.04.2021 17:15,miami-2021,2-1,3,3,2-1 | 2-6 | 6-3 | 6-4,2-6,,6-3,,6-4,,,,,
8,0,3,0,68%,70%,"67%
(30/45)","69%
(27/39)","33%
(7/21)","76%
(13/17)",4/7,3/3,"31%
(12/39)","33%
(15/45)","24%
(4/17)","62%
(13/21)",0/3,3/7,"56%
(37/66)","71%
(40/56)","29%
(16/56)","44%
(29/66)","43%
(53/122)","57%
(69/122)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",medvedev-daniil,bautista-agut-roberto,01.04.2021 02:10,miami-2021,0-2,2,3,0-2 | 4-6 | 2-6,4-6,,2-6,,,,,,,
2,7,3,5,64%,59%,"63%
(33/52)","63%
(33/52)","59%
(17/29)","47%
(17/36)",7/9,6/9,"37%
(19/52)","37%
(19/52)","39%
(14/36)","31%
(9/29)",3/9,2/9,"62%
(50/81)","57%
(50/88)","43%
(38/88)","38%
(31/81)","52%
(88/169)","48%
(81/169)","82%
(9/11)","73%
(8/11)","27%
(3/11)","18%
(2/11)","55%
(12/22)","45%
(10/22)",sinner-jannik,bublik-alexander,31.03.2021 19:10,miami-2021,2-0,2,3,2-0 | 7-6(7-5) | 6-4,7-6,7-5,6-4,,,,,,,
3,3,2,0,68%,66%,"65%
(28/43)","89%
(34/38)","65%
(13/20)","55%
(11/20)",2/4,0/0,"11%
(4/38)","35%
(15/43)","45%
(9/20)","25%
(5/20)",0/0,2/4,"65%
(41/63)","78%
(45/58)","22%
(13/58)","35%
(22/63)","45%
(54/121)","55%
(67/121)","80%
(8/10)","100%
(10/10)","0%
(0/10)","20%
(2/10)","40%
(8/20)","60%
(12/20)",sonego-lorenzo,tsitsipas-stefanos,31.03.2021 01:15,miami-2021,0-2,2,3,0-2 | 2-6 | 6-7(2-7),2-6,,6-7,2-7,,,,,,
6,6,4,1,54%,67%,"76%
(28/37)","83%
(29/35)","45%
(14/31)","65%
(11/17)",0/2,0/0,"17%
(6/35)","24%
(9/37)","29%
(5/17)","42%
(13/31)",0/0,2/2,"62%
(42/68)","77%
(40/52)","23%
(12/52)","38%
(26/68)","45%
(54/120)","55%
(66/120)","80%
(8/10)","100%
(10/10)","0%
(0/10)","20%
(2/10)","40%
(8/20)","60%
(12/20)",cilic-marin,rublev-andrey,31.03.2021 00:45,miami-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
1,8,5,5,56%,61%,"57%
(33/58)","73%
(45/62)","60%
(27/45)","51%
(20/39)",7/11,5/8,"27%
(17/62)","43%
(25/58)","36%
(14/39)","29%
(13/45)",3/8,4/11,"58%
(60/103)","64%
(65/101)","36%
(36/101)","42%
(43/103)","47%
(96/204)","53%
(108/204)","73%
(11/15)","81%
(13/16)","19%
(3/16)","27%
(4/15)","45%
(14/31)","55%
(17/31)",schwartzman-diego,korda-sebastian,30.03.2021 22:20,miami-2021,1-2,3,3,1-2 | 3-6 | 6-4 | 5-7,3-6,,6-4,,5-7,,,,,
