Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
3,1,1,0,60%,56%,"86%
(24/28)","80%
(24/30)","68%
(13/19)","33%
(8/24)",0/0,0/3,"20%
(6/30)","14%
(4/28)","67%
(16/24)","26%
(5/19)",3/3,0/0,"79%
(37/47)","59%
(32/54)","41%
(22/54)","21%
(10/47)","58%
(59/101)","42%
(42/101)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",tsitsipas-stefanos,rublev-andrey,18.04.2021 12:45,monte-carlo-2021,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
3,2,1,1,54%,62%,"76%
(25/33)","50%
(16/32)","43%
(12/28)","50%
(10/20)",0/3,0/5,"50%
(16/32)","24%
(8/33)","45%
(9/20)","54%
(15/28)",5/5,3/3,"61%
(37/61)","50%
(26/52)","50%
(26/52)","39%
(24/61)","56%
(63/113)","44%
(50/113)","73%
(8/11)","50%
(5/10)","50%
(5/10)","27%
(3/11)","62%
(13/21)","38%
(8/21)",rublev-andrey,ruud-casper,17.04.2021 13:10,monte-carlo-2021,2-0,2,3,2-0 | 6-3 | 7-5,6-3,,7-5,,,,,,,
1,1,2,1,56%,59%,"50%
(15/30)","79%
(19/24)","33%
(8/24)","65%
(11/17)",6/11,0/1,"21%
(5/24)","50%
(15/30)","29%
(5/17)","58%
(14/24)",1/1,5/11,"43%
(23/54)","73%
(30/41)","27%
(11/41)","57%
(31/54)","36%
(34/95)","64%
(61/95)","29%
(2/7)","88%
(7/8)","13%
(1/8)","71%
(5/7)","20%
(3/15)","80%
(12/15)",evans-daniel,tsitsipas-stefanos,17.04.2021 11:40,monte-carlo-2021,0-2,2,3,0-2 | 2-6 | 1-6,2-6,,1-6,,,,,,,
2,1,2,7,61%,59%,"65%
(39/60)","56%
(29/52)","42%
(16/38)","42%
(15/36)",8/12,8/15,"44%
(23/52)","35%
(21/60)","39%
(14/36)","53%
(20/38)",7/15,4/12,"56%
(55/98)","50%
(44/88)","50%
(44/88)","44%
(43/98)","53%
(99/186)","47%
(87/186)","69%
(9/13)","46%
(6/13)","54%
(7/13)","31%
(4/13)","62%
(16/26)","38%
(10/26)",rublev-andrey,nadal-rafael,16.04.2021 15:45,monte-carlo-2021,2-1,3,3,2-1 | 6-2 | 4-6 | 6-2,6-2,,4-6,,6-2,,,,,
2,2,1,2,64%,67%,"62%
(28/45)","57%
(24/42)","64%
(16/25)","52%
(11/21)",6/7,4/7,"43%
(18/42)","38%
(17/45)","38%
(8/21)","32%
(8/25)",3/7,1/7,"63%
(44/70)","56%
(35/63)","44%
(28/63)","37%
(26/70)","54%
(72/133)","46%
(61/133)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",ruud-casper,fognini-fabio,16.04.2021 13:45,monte-carlo-2021,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
0,3,2,5,63%,65%,"68%
(46/68)","63%
(45/71)","55%
(22/40)","49%
(19/39)",15/17,5/9,"37%
(26/71)","32%
(22/68)","38%
(15/39)","40%
(16/40)",4/9,2/17,"63%
(68/108)","58%
(64/110)","42%
(46/110)","37%
(40/108)","52%
(114/218)","48%
(104/218)","87%
(13/15)","75%
(12/16)","25%
(4/16)","13%
(2/15)","55%
(17/31)","45%
(14/31)",evans-daniel,goffin-david,16.04.2021 10:45,monte-carlo-2021,2-1,3,3,2-1 | 5-7 | 6-3 | 6-4,5-7,,6-3,,6-4,,,,,
1,1,0,2,57%,73%,"71%
(15/21)","60%
(18/30)","56%
(9/16)","36%
(4/11)",0/1,0/2,"40%
(12/30)","29%
(6/21)","45%
(5/11)","44%
(7/16)",2/2,1/1,"65%
(24/37)","54%
(22/41)","46%
(19/41)","35%
(13/37)","55%
(43/78)","45%
(35/78)","83%
(5/6)","67%
(4/6)","33%
(2/6)","17%
(1/6)","58%
(7/12)","42%
(5/12)",tsitsipas-stefanos,davidovich-fokina-alejandro,16.04.2021 09:10,monte-carlo-2021,1-0,1,3,1-0 | 7-5,7-5,,,,,,,,,
8,2,2,4,66%,68%,"77%
(54/70)","70%
(58/83)","50%
(18/36)","49%
(19/39)",2/5,8/11,"30%
(25/83)","23%
(16/70)","41%
(16/39)","44%
(16/36)",3/11,3/5,"68%
(72/106)","63%
(77/122)","37%
(45/122)","32%
(34/106)","51%
(117/228)","49%
(111/228)","83%
(15/18)","83%
(15/18)","17%
(3/18)","17%
(3/18)","50%
(18/36)","50%
(18/36)",ruud-casper,carreno-busta-pablo,15.04.2021 15:10,monte-carlo-2021,2-1,3,3,2-1 | 7-6(7-4) | 5-7 | 7-5,7-6,7-4,5-7,,7-5,,,,,
7,3,0,4,55%,64%,"68%
(40/59)","63%
(44/70)","44%
(21/48)","44%
(17/39)",3/9,6/12,"37%
(26/70)","32%
(19/59)","46%
(18/39)","56%
(27/48)",6/12,6/9,"57%
(61/107)","56%
(61/109)","44%
(48/109)","43%
(46/107)","50%
(109/216)","50%
(107/216)","65%
(11/17)","63%
(10/16)","38%
(6/16)","35%
(6/17)","52%
(17/33)","48%
(16/33)",rublev-andrey,bautista-agut-roberto,15.04.2021 15:00,monte-carlo-2021,2-1,3,3,2-1 | 7-6(7-2) | 5-7 | 6-3,7-6,7-2,5-7,,6-3,,,,,
3,3,5,1,57%,65%,"48%
(12/25)","79%
(19/24)","32%
(6/19)","77%
(10/13)",4/9,0/0,"21%
(5/24)","52%
(13/25)","15%
(2/13)","42%
(8/19)",0/0,5/9,"41%
(18/44)","78%
(29/37)","22%
(8/37)","59%
(26/44)","32%
(26/81)","68%
(55/81)","29%
(2/7)","100%
(7/7)","0%
(0/7)","71%
(5/7)","14%
(2/14)","86%
(12/14)",dimitrov-grigor,nadal-rafael,15.04.2021 13:50,monte-carlo-2021,0-2,2,3,0-2 | 1-6 | 1-6,1-6,,1-6,,,,,,,
1,1,1,0,53%,63%,"81%
(25/31)","55%
(23/42)","63%
(17/27)","60%
(15/25)",0/1,5/8,"45%
(19/42)","19%
(6/31)","40%
(10/25)","33%
(9/27)",3/8,1/1,"72%
(42/58)","57%
(38/67)","43%
(29/67)","28%
(16/58)","57%
(71/125)","43%
(54/125)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",fognini-fabio,krajinovic-filip,15.04.2021 13:20,monte-carlo-2021,2-0,2,3,2-0 | 6-2 | 7-6(7-1),6-2,,7-6,7-1,,,,,,
3,1,4,0,57%,63%,"57%
(21/37)","62%
(37/60)","46%
(13/28)","46%
(16/35)",2/7,7/10,"38%
(23/60)","43%
(16/37)","54%
(19/35)","39%
(11/28)",3/10,5/7,"52%
(34/65)","56%
(53/95)","44%
(42/95)","48%
(31/65)","48%
(76/160)","53%
(84/160)","55%
(6/11)","73%
(8/11)","27%
(3/11)","45%
(5/11)","41%
(9/22)","59%
(13/22)",djokovic-novak,evans-daniel,15.04.2021 11:15,monte-carlo-2021,0-2,2,3,0-2 | 4-6 | 5-7,4-6,,5-7,,,,,,,
4,5,1,2,55%,73%,"82%
(37/45)","71%
(37/52)","49%
(18/37)","68%
(13/19)",6/6,3/4,"29%
(15/52)","18%
(8/45)","21%
(4/19)","49%
(18/37)",1/4,0/6,"67%
(55/82)","70%
(50/71)","30%
(21/71)","33%
(27/82)","50%
(76/153)","50%
(77/153)","100%
(11/11)","91%
(10/11)","9%
(1/11)","0%
(0/11)","55%
(12/22)","45%
(10/22)",goffin-david,zverev-alexander,15.04.2021 11:10,monte-carlo-2021,2-0,2,3,2-0 | 6-4 | 7-6(9-7),6-4,,7-6,9-7,,,,,,
4,2,0,0,58%,62%,"73%
(22/30)","60%
(28/47)","73%
(16/22)","45%
(13/29)",0/1,2/5,"40%
(19/47)","27%
(8/30)","55%
(16/29)","27%
(6/22)",3/5,1/1,"73%
(38/52)","54%
(41/76)","46%
(35/76)","27%
(14/52)","57%
(73/128)","43%
(55/128)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",tsitsipas-stefanos,garin-cristian,15.04.2021 09:10,monte-carlo-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
