Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
7,13,1,3,67%,62%,"68%
(38/56)","66%
(37/56)","48%
(13/27)","65%
(22/34)",3/7,4/6,"34%
(19/56)","32%
(18/56)","26%
(9/34)","48%
(13/27)",2/6,4/7,"61%
(51/83)","66%
(59/90)","34%
(31/90)","39%
(32/83)","47%
(82/173)","53%
(91/173)","73%
(11/15)","87%
(13/15)","13%
(2/15)","27%
(4/15)","43%
(13/30)","57%
(17/30)",bautista-agut-roberto,goffin-david,28.02.2021 14:10,montpellier-2021,1-2,3,3,1-2 | 7-5 | 4-6 | 2-6,7-5,,4-6,,2-6,,,,,
6,4,2,5,71%,54%,"84%
(31/37)","75%
(24/32)","53%
(8/15)","30%
(8/27)",3/3,7/11,"25%
(8/32)","16%
(6/37)","52%
(14/27)","33%
(5/15)",4/11,0/3,"75%
(39/52)","54%
(32/59)","46%
(27/59)","25%
(13/52)","59%
(66/111)","41%
(45/111)","100%
(9/9)","60%
(6/10)","40%
(4/10)","0%
(0/9)","68%
(13/19)","32%
(6/19)",bautista-agut-roberto,gojowczyk-peter,27.02.2021 16:40,montpellier-2021,2-0,2,3,2-0 | 7-5 | 6-1,7-5,,6-1,,,,,,,
6,7,4,4,70%,62%,"70%
(45/64)","73%
(41/56)","39%
(11/28)","41%
(14/34)",7/10,5/8,"27%
(15/56)","30%
(19/64)","47%
(16/34)","46%
(13/28)",3/8,3/10,"61%
(56/92)","61%
(55/90)","39%
(35/90)","39%
(36/92)","50%
(91/182)","50%
(91/182)","79%
(11/14)","79%
(11/14)","21%
(3/14)","21%
(3/14)","50%
(14/28)","50%
(14/28)",gerasimov-egor,goffin-david,27.02.2021 14:10,montpellier-2021,1-2,3,3,1-2 | 4-6 | 6-2 | 4-6,4-6,,6-2,,4-6,,,,,
3,3,2,2,56%,55%,"88%
(22/25)","61%
(17/28)","60%
(12/20)","39%
(9/23)",0/1,0/4,"39%
(11/28)","12%
(3/25)","52%
(12/23)","30%
(6/20)",4/4,1/1,"76%
(34/45)","51%
(26/51)","49%
(25/51)","24%
(11/45)","61%
(59/96)","39%
(37/96)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",bautista-agut-roberto,humbert-ugo,26.02.2021 18:10,montpellier-2021,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
4,1,2,4,55%,45%,"57%
(21/37)","88%
(23/26)","50%
(15/30)","53%
(17/32)",9/13,2/2,"12%
(3/26)","43%
(16/37)","34%
(11/32)","43%
(13/30)",0/2,4/13,"54%
(36/67)","69%
(40/58)","31%
(18/58)","46%
(31/67)","43%
(54/125)","57%
(71/125)","56%
(5/9)","100%
(8/8)","0%
(0/8)","44%
(4/9)","29%
(5/17)","71%
(12/17)",novak-dennis,gojowczyk-peter,26.02.2021 15:40,montpellier-2021,0-2,2,3,0-2 | 4-6 | 1-6,4-6,,1-6,,,,,,,
16,5,8,2,70%,72%,"71%
(56/79)","62%
(44/71)","35%
(12/34)","46%
(13/28)",5/9,7/12,"38%
(27/71)","29%
(23/79)","46%
(13/28)","41%
(14/34)",5/12,4/9,"60%
(68/113)","58%
(57/99)","42%
(42/99)","40%
(45/113)","52%
(110/212)","48%
(102/212)","75%
(12/16)","69%
(11/16)","31%
(5/16)","25%
(4/16)","53%
(17/32)","47%
(15/32)",gerasimov-egor,davidovich-fokina-alejandro,26.02.2021 12:50,montpellier-2021,2-1,3,3,2-1 | 4-6 | 6-4 | 7-5,4-6,,6-4,,7-5,,,,,
5,3,0,3,64%,71%,"72%
(26/36)","75%
(33/44)","45%
(9/20)","56%
(10/18)",1/4,2/3,"25%
(11/44)","28%
(10/36)","28%
(5/18)","55%
(11/20)",1/3,3/4,"63%
(35/56)","69%
(43/62)","31%
(19/62)","38%
(21/56)","46%
(54/118)","54%
(64/118)","70%
(7/10)","90%
(9/10)","10%
(1/10)","30%
(3/10)","40%
(8/20)","60%
(12/20)",sonego-lorenzo,goffin-david,26.02.2021 11:10,montpellier-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
3,2,1,3,51%,54%,"82%
(18/22)","57%
(17/30)","52%
(11/21)","23%
(6/26)",3/4,4/10,"43%
(13/30)","18%
(4/22)","65%
(17/26)","43%
(9/21)",6/10,1/4,"69%
(29/42)","41%
(23/56)","59%
(33/56)","31%
(13/42)","63%
(62/98)","37%
(36/98)","86%
(6/7)","25%
(2/8)","75%
(6/8)","14%
(1/7)","80%
(12/15)","20%
(3/15)",bautista-agut-roberto,barrere-gregoire,25.02.2021 18:05,montpellier-2021,2-0,2,3,2-0 | 6-0 | 6-3,6-0,,6-3,,,,,,,
3,0,1,2,63%,71%,"66%
(29/44)","71%
(35/49)","50%
(13/26)","45%
(9/20)",2/6,0/3,"29%
(14/49)","34%
(15/44)","45%
(9/20)","46%
(12/26)",3/3,4/6,"60%
(42/70)","64%
(44/69)","36%
(25/69)","40%
(28/70)","48%
(67/139)","52%
(72/139)","67%
(8/12)","75%
(9/12)","25%
(3/12)","33%
(4/12)","46%
(11/24)","54%
(13/24)",lajovic-dusan,novak-dennis,25.02.2021 14:05,montpellier-2021,0-2,2,3,0-2 | 6-7(5-7) | 5-7,6-7,5-7,5-7,,,,,,,
4,11,0,4,73%,65%,"73%
(36/49)","62%
(29/47)","50%
(9/18)","40%
(10/25)",3/4,6/10,"38%
(18/47)","27%
(13/49)","44%
(11/25)","50%
(9/18)",4/10,1/4,"67%
(45/67)","54%
(39/72)","46%
(33/72)","33%
(22/67)","56%
(78/139)","44%
(61/139)","90%
(9/10)","60%
(6/10)","40%
(4/10)","10%
(1/10)","65%
(13/20)","35%
(7/20)",davidovich-fokina-alejandro,hurkacz-hubert,25.02.2021 12:10,montpellier-2021,2-0,2,3,2-0 | 7-5 | 6-2,7-5,,6-2,,,,,,,
