Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
13,6,2,0,67%,66%,"76%
(34/45)","79%
(37/47)","55%
(12/22)","75%
(18/24)",1/2,1/1,"21%
(10/47)","24%
(11/45)","25%
(6/24)","36%
(8/22)",0/1,1/2,"69%
(46/67)","77%
(55/71)","23%
(16/71)","31%
(21/67)","45%
(62/138)","55%
(76/138)","91%
(10/11)","100%
(11/11)","0%
(0/11)","9%
(1/11)","45%
(10/22)","55%
(12/22)",struff-jan-lennard,basilashvili-nikoloz,02.05.2021 11:40,munich-2021,0-2,2,3,0-2 | 4-6 | 6-7(5-7),4-6,,6-7,5-7,,,,,,
2,4,2,3,44%,66%,"75%
(15/20)","60%
(21/35)","64%
(16/25)","22%
(4/18)",1/1,4/9,"40%
(14/35)","25%
(5/20)","61%
(11/18)","28%
(7/25)",5/9,0/1,"69%
(31/45)","47%
(25/53)","53%
(28/53)","31%
(14/45)","60%
(59/98)","40%
(39/98)","100%
(7/7)","38%
(3/8)","63%
(5/8)","0%
(0/7)","80%
(12/15)","20%
(3/15)",basilashvili-nikoloz,ruud-casper,01.05.2021 13:25,munich-2021,2-0,2,3,2-0 | 6-1 | 6-2,6-1,,6-2,,,,,,,
3,9,3,3,51%,58%,"67%
(22/33)","79%
(26/33)","31%
(10/32)","46%
(11/24)",4/9,5/6,"21%
(7/33)","33%
(11/33)","42%
(10/24)","59%
(19/32)",1/6,5/9,"49%
(32/65)","65%
(37/57)","35%
(20/57)","51%
(33/65)","43%
(52/122)","57%
(70/122)","44%
(4/9)","88%
(7/8)","13%
(1/8)","56%
(5/9)","29%
(5/17)","71%
(12/17)",ivashka-ilya,struff-jan-lennard,01.05.2021 11:40,munich-2021,0-2,2,3,0-2 | 4-6 | 1-6,4-6,,1-6,,,,,,,
2,2,1,2,54%,55%,"87%
(27/31)","60%
(26/43)","65%
(17/26)","57%
(20/35)",1/1,5/7,"40%
(17/43)","13%
(4/31)","37%
(13/35)","31%
(8/26)",2/7,0/1,"77%
(44/57)","59%
(46/78)","41%
(32/78)","23%
(13/57)","56%
(76/135)","44%
(59/135)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",basilashvili-nikoloz,gombos-norbert,01.05.2021 09:00,munich-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
3,3,2,2,58%,59%,"66%
(21/32)","69%
(25/36)","43%
(10/23)","64%
(16/25)",3/6,1/2,"31%
(11/36)","34%
(11/32)","28%
(7/25)","48%
(11/23)",1/2,3/6,"56%
(31/55)","67%
(41/61)","33%
(20/61)","44%
(24/55)","44%
(51/116)","56%
(65/116)","67%
(6/9)","90%
(9/10)","10%
(1/10)","33%
(3/9)","37%
(7/19)","63%
(12/19)",millman-john,ruud-casper,01.05.2021 09:00,munich-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
5,5,14,4,55%,68%,"78%
(40/51)","72%
(50/69)","43%
(18/42)","55%
(18/33)",5/10,6/9,"28%
(19/69)","22%
(11/51)","33%
(11/33)","24%
(10/42)",3/9,5/10,"62%
(58/93)","67%
(68/102)","33%
(34/102)","38%
(35/93)","47%
(92/195)","53%
(103/195)","69%
(11/16)","82%
(14/17)","18%
(3/17)","31%
(5/16)","42%
(14/33)","58%
(19/33)",zverev-alexander,ivashka-ilya,30.04.2021 12:30,munich-2021,1-2,3,3,1-2 | 7-6(7-5) | 5-7 | 3-6,7-6,7-5,5-7,,3-6,,,,,
6,15,8,7,54%,47%,"58%
(44/76)","77%
(40/52)","48%
(31/65)","43%
(25/58)",11/16,9/14,"23%
(12/52)","42%
(32/76)","45%
(26/58)","40%
(26/65)",5/14,5/16,"54%
(75/140)","59%
(64/109)","41%
(45/109)","46%
(65/140)","48%
(120/249)","53%
(131/249)","69%
(11/16)","69%
(11/16)","31%
(5/16)","31%
(5/16)","50%
(16/32)","50%
(16/32)",krajinovic-filip,struff-jan-lennard,30.04.2021 09:10,munich-2021,1-2,3,3,1-2 | 4-6 | 6-4 | 6-7(3-7),4-6,,6-4,,6-7,3-7,,,,
1,1,2,1,55%,64%,"73%
(22/30)","71%
(27/38)","60%
(15/25)","29%
(6/21)",5/6,3/7,"29%
(11/38)","27%
(8/30)","71%
(15/21)","32%
(8/25)",4/7,1/6,"67%
(37/55)","56%
(33/59)","44%
(26/59)","33%
(18/55)","55%
(63/114)","45%
(51/114)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",basilashvili-nikoloz,galan-daniel-elahi,29.04.2021 13:05,munich-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
4,1,4,0,75%,71%,"53%
(26/49)","81%
(26/32)","31%
(5/16)","38%
(5/13)",9/14,1/2,"19%
(6/32)","47%
(23/49)","62%
(8/13)","44%
(7/16)",1/2,5/14,"48%
(31/65)","69%
(31/45)","31%
(14/45)","52%
(34/65)","41%
(45/110)","59%
(65/110)","44%
(4/9)","88%
(7/8)","13%
(1/8)","56%
(5/9)","29%
(5/17)","71%
(12/17)",coria-federico,gombos-norbert,29.04.2021 10:35,munich-2021,0-2,2,3,0-2 | 4-6 | 1-6,4-6,,1-6,,,,,,,
5,11,4,6,64%,55%,"68%
(54/80)","79%
(46/58)","49%
(22/45)","55%
(26/47)",3/6,4/5,"21%
(12/58)","33%
(26/80)","32%
(15/47)","42%
(19/45)",1/5,3/6,"61%
(76/125)","69%
(72/105)","31%
(33/105)","39%
(49/125)","47%
(109/230)","53%
(121/230)","81%
(13/16)","94%
(15/16)","6%
(1/16)","19%
(3/16)","44%
(14/32)","56%
(18/32)",koepfer-dominik,struff-jan-lennard,29.04.2021 10:05,munich-2021,1-2,3,3,1-2 | 6-7(3-7) | 7-6(7-0) | 2-6,6-7,3-7,7-6,7-0,2-6,,,,,
