Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
16,6,3,0,61%,71%,"81%
(44/54)","77%
(40/52)","47%
(16/34)","48%
(10/21)",3/3,2/3,"23%
(12/52)","19%
(10/54)","52%
(11/21)","44%
(15/34)",1/3,0/3,"68%
(60/88)","68%
(50/73)","32%
(23/73)","32%
(28/88)","52%
(83/161)","48%
(78/161)","100%
(11/11)","91%
(10/11)","9%
(1/11)","0%
(0/11)","55%
(12/22)","45%
(10/22)",anderson-kevin,brooksby-jenson,18.07.2021 18:40,newport-2021,2-0,2,3,2-0 | 7-6(10-8) | 6-4,7-6,10-8,6-4,,,,,,,
2,3,0,0,61%,55%,"82%
(40/49)","59%
(24/41)","42%
(13/31)","61%
(20/33)",2/3,4/6,"41%
(17/41)","18%
(9/49)","39%
(13/33)","58%
(18/31)",2/6,1/3,"66%
(53/80)","59%
(44/74)","41%
(30/74)","34%
(27/80)","54%
(83/154)","46%
(71/154)","91%
(10/11)","80%
(8/10)","20%
(2/10)","9%
(1/11)","57%
(12/21)","43%
(9/21)",brooksby-jenson,thompson-jordan,17.07.2021 20:15,newport-2021,2-0,2,3,2-0 | 6-3 | 7-6(7-3),6-3,,7-6,7-3,,,,,,
15,20,9,4,54%,63%,"72%
(43/60)","78%
(54/69)","55%
(28/51)","45%
(18/40)",2/5,4/7,"22%
(15/69)","28%
(17/60)","45%
(18/40)","27%
(14/51)",3/7,3/5,"64%
(71/111)","66%
(72/109)","34%
(37/109)","36%
(40/111)","49%
(108/220)","51%
(112/220)","82%
(14/17)","82%
(14/17)","18%
(3/17)","18%
(3/17)","50%
(17/34)","50%
(17/34)",bublik-alexander,anderson-kevin,17.07.2021 17:10,newport-2021,1-2,3,3,1-2 | 6-4 | 6-7(3-7) | 5-7,6-4,,6-7,3-7,5-7,,,,,
5,5,1,7,59%,58%,"81%
(38/47)","83%
(30/36)","55%
(18/33)","46%
(12/26)",1/2,6/8,"17%
(6/36)","19%
(9/47)","27%
(7/26)","42%
(14/33)",2/8,1/2,"71%
(54/76)","67%
(42/63)","33%
(21/63)","29%
(22/76)","54%
(75/139)","46%
(64/139)","91%
(10/11)","80%
(8/10)","20%
(2/10)","9%
(1/11)","57%
(12/21)","43%
(9/21)",thompson-jordan,cressy-maxime,16.07.2021 18:30,newport-2021,2-0,2,3,2-0 | 6-3 | 7-6(8-6),6-3,,7-6,8-6,,,,,,
3,2,0,5,73%,39%,"77%
(23/30)","56%
(10/18)","55%
(6/11)","32%
(9/28)",2/3,8/13,"44%
(8/18)","23%
(7/30)","50%
(14/28)","45%
(5/11)",5/13,1/3,"71%
(29/41)","41%
(19/46)","59%
(27/46)","29%
(12/41)","64%
(56/87)","36%
(31/87)","88%
(7/8)","29%
(2/7)","71%
(5/7)","13%
(1/8)","80%
(12/15)","20%
(3/15)",brooksby-jenson,gojowczyk-peter,16.07.2021 17:10,newport-2021,2-0,2,3,2-0 | 6-0 | 6-3,6-0,,6-3,,,,,,,
4,20,7,6,59%,57%,"72%
(46/64)","90%
(43/48)","36%
(16/44)","53%
(19/36)",5/9,1/2,"10%
(5/48)","28%
(18/64)","31%
(11/36)","48%
(21/44)",1/2,4/9,"57%
(62/108)","74%
(62/84)","26%
(22/84)","43%
(46/108)","44%
(84/192)","56%
(108/192)","73%
(11/15)","93%
(14/15)","7%
(1/15)","27%
(4/15)","40%
(12/30)","60%
(18/30)",sock-jack,anderson-kevin,15.07.2021 18:25,newport-2021,1-2,3,3,1-2 | 7-6(7-5) | 2-6 | 4-6,7-6,7-5,2-6,,4-6,,,,,
14,1,6,3,48%,57%,"85%
(22/26)","64%
(21/33)","64%
(18/28)","52%
(13/25)",1/1,5/8,"36%
(12/33)","15%
(4/26)","36%
(9/25)","14%
(4/28)",3/8,0/1,"74%
(40/54)","59%
(34/58)","41%
(24/58)","26%
(14/54)","57%
(64/112)","43%
(48/112)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",bublik-alexander,jung-jason,15.07.2021 16:55,newport-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
16,10,6,8,60%,47%,"82%
(40/49)","79%
(27/34)","41%
(13/32)","49%
(19/39)",2/4,1/4,"21%
(7/34)","18%
(9/49)","31%
(12/39)","41%
(13/32)",3/4,2/4,"65%
(53/81)","63%
(46/73)","37%
(27/73)","35%
(28/81)","52%
(80/154)","48%
(74/154)","85%
(11/13)","77%
(10/13)","23%
(3/13)","15%
(2/13)","54%
(14/26)","46%
(12/26)",cressy-maxime,querrey-sam,14.07.2021 20:45,newport-2021,2-1,3,3,2-1 | 6-4 | 2-6 | 6-2,6-4,,2-6,,6-2,,,,,
3,6,1,1,70%,55%,"61%
(20/33)","88%
(23/26)","43%
(6/14)","52%
(11/21)",2/6,2/2,"12%
(3/26)","39%
(13/33)","43%
(9/21)","50%
(7/14)",0/2,4/6,"55%
(26/47)","72%
(34/47)","28%
(13/47)","45%
(21/47)","41%
(39/94)","59%
(55/94)","56%
(5/9)","100%
(8/8)","0%
(0/8)","44%
(4/9)","29%
(5/17)","71%
(12/17)",nishioka-yoshihito,sock-jack,14.07.2021 19:25,newport-2021,0-2,2,3,0-2 | 2-6 | 3-6,2-6,,3-6,,,,,,,
8,11,4,7,45%,50%,"88%
(21/24)","76%
(25/33)","48%
(14/29)","33%
(11/33)",0/1,10/14,"24%
(8/33)","13%
(3/24)","45%
(15/33)","38%
(11/29)",4/14,1/1,"66%
(35/53)","55%
(36/66)","45%
(30/66)","34%
(18/53)","55%
(65/119)","45%
(54/119)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",gojowczyk-peter,pospisil-vasek,14.07.2021 19:20,newport-2021,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
