Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak,Distance covered (metres)_left,Distance covered (metres)_right
4,4,1,0,68%,64%,"73%
(30/41)","78%
(29/37)","47%
(9/19)","29%
(6/21)",6/6,4/6,"22%
(8/37)","27%
(11/41)","71%
(15/21)","47%
(9/19)",2/6,0/6,14,9,12,17,"67%
(10/15)","67%
(12/18)","65%
(39/60)","60%
(35/58)","40%
(23/58)","35%
(21/60)","53%
(62/118)","47%
(56/118)","100%
(9/9)","78%
(7/9)","22%
(2/9)","0%
(0/9)","61%
(11/18)","39%
(7/18)",alcaraz-garfia-carlos,korda-sebastian,13.11.2021 20:10,next-gen-finals-jeddah-2021,3-0,3,5,3-0 | 4-3(7-5) | 4-2 | 4-2,4-3,7-5,4-2,,4-2,,,,,,,
7,0,0,0,68%,75%,"84%
(21/25)","53%
(21/40)","92%
(11/12)","38%
(5/13)",3/3,5/9,"48%
(19/40)","16%
(4/25)","62%
(8/13)","8%
(1/12)",4/9,0/3,16,4,11,13,"38%
(5/13)","60%
(3/5)","86%
(32/37)","49%
(26/53)","51%
(27/53)","14%
(5/37)","66%
(59/90)","34%
(31/90)","100%
(8/8)","56%
(5/9)","44%
(4/9)","0%
(0/8)","71%
(12/17)","29%
(5/17)",alcaraz-garfia-carlos,baez-sebastian,12.11.2021 20:20,next-gen-finals-jeddah-2021,3-0,3,5,3-0 | 4-2 | 4-1 | 4-2,4-2,,4-1,,4-2,,,,,,0,0
10,5,2,0,75%,66%,"74%
(50/68)","84%
(43/51)","43%
(10/23)","42%
(11/26)",8/11,5/7,"18%
(9/51)","28%
(19/68)","54%
(14/26)","43%
(10/23)",2/7,3/11,30,19,34,12,"63%
(12/19)","75%
(6/8)","66%
(60/91)","70%
(54/77)","30%
(23/77)","34%
(31/91)","49%
(83/168)","51%
(85/168)","80%
(12/15)","86%
(12/14)","14%
(2/14)","20%
(3/15)","48%
(14/29)","52%
(15/29)",korda-sebastian,nakashima-brandon,12.11.2021 18:10,next-gen-finals-jeddah-2021,3-2,5,5,3-2 | 4-3(7-3) | 2-4 | 1-4 | 4-2 | 4-2,4-3,7-3,2-4,,1-4,,4-2,,4-2,,,
3,1,0,1,65%,69%,"90%
(27/30)","68%
(25/37)","81%
(13/16)","53%
(9/17)",0/0,3/5,"32%
(12/37)","10%
(3/30)","41%
(7/17)","19%
(3/16)",2/5,0/0,,,,,,,"87%
(40/46)","63%
(34/54)","37%
(20/54)","13%
(6/46)","60%
(60/100)","40%
(40/100)","100%
(9/9)","78%
(7/9)","22%
(2/9)","0%
(0/9)","61%
(11/18)","39%
(7/18)",korda-sebastian,musetti-lorenzo,11.11.2021 20:05,next-gen-finals-jeddah-2021,3-0,3,5,3-0 | 4-2 | 4-3(7-4) | 4-2,4-2,,4-3,7-4,4-2,,,,,,,
2,2,0,0,82%,70%,"78%
(35/45)","50%
(20/40)","30%
(3/10)","53%
(9/17)",1/3,8/12,"50%
(20/40)","22%
(10/45)","47%
(8/17)","70%
(7/10)",4/12,2/3,,,,,,,"69%
(38/55)","51%
(29/57)","49%
(28/57)","31%
(17/55)","59%
(66/112)","41%
(46/112)","78%
(7/9)","56%
(5/9)","44%
(4/9)","22%
(2/9)","61%
(11/18)","39%
(7/18)",baez-sebastian,gaston-hugo,11.11.2021 18:40,next-gen-finals-jeddah-2021,3-0,3,5,3-0 | 4-3(7-2) | 4-2 | 4-2,4-3,7-2,4-2,,4-2,,,,,,,
5,9,3,9,65%,55%,"80%
(36/45)","70%
(28/40)","42%
(10/24)","33%
(11/33)",3/6,2/8,"30%
(12/40)","20%
(9/45)","39%
(13/33)","46%
(11/24)",6/8,3/6,,,,,,,"67%
(46/69)","53%
(39/73)","47%
(34/73)","33%
(23/69)","56%
(80/142)","43%
(61/142)","73%
(8/11)","45%
(5/11)","55%
(6/11)","27%
(3/11)","64%
(14/22)","36%
(8/22)",nakashima-brandon,rune-holger,11.11.2021 14:55,next-gen-finals-jeddah-2021,3-1,4,5,3-1 | 3-4(3-7) | 4-1 | 4-1 | 4-3(7-1),3-4,3-7,4-1,,4-1,,4-3,7-1,,,,
2,0,1,2,76%,73%,"74%
(39/53)","70%
(30/43)","53%
(9/17)","44%
(7/16)",9/10,2/5,"30%
(13/43)","26%
(14/53)","44%
(7/16)","41%
(7/17)",3/5,1/10,,,,,,,"69%
(48/70)","63%
(37/59)","37%
(22/59)","31%
(22/70)","54%
(70/129)","46%
(59/129)","91%
(10/11)","70%
(7/10)","30%
(3/10)","9%
(1/11)","62%
(13/21)","38%
(8/21)",alcaraz-garfia-carlos,cerundolo-juan-manuel,11.11.2021 13:10,next-gen-finals-jeddah-2021,3-1,4,5,3-1 | 4-0 | 4-1 | 2-4 | 4-3(7-3),4-0,,4-1,,2-4,,4-3,7-3,,,,
11,1,1,0,64%,71%,"77%
(53/69)","66%
(51/77)","49%
(19/39)","59%
(19/32)",7/8,15/16,"34%
(26/77)","23%
(16/69)","41%
(13/32)","49%
(19/39)",1/16,1/8,,,,,,,"67%
(72/108)","64%
(70/109)","36%
(39/109)","33%
(36/108)","51%
(111/217)","49%
(106/217)","93%
(14/15)","93%
(14/15)","7%
(1/15)","7%
(1/15)","50%
(15/30)","50%
(15/30)",musetti-lorenzo,gaston-hugo,10.11.2021 20:15,next-gen-finals-jeddah-2021,3-2,5,5,3-2 | 4-3(7-4) | 4-3(8-6) | 2-4 | 3-4(7-9) | 4-2,4-3,7-4,4-3,8-6,2-4,,3-4,7-9,4-2,,,
7,0,0,1,61%,79%,"90%
(28/31)","54%
(27/50)","50%
(10/20)","54%
(7/13)",2/3,5/8,"46%
(23/50)","10%
(3/31)","38%
(5/13)","50%
(10/20)",3/8,1/3,,,,,,,"75%
(38/51)","54%
(34/63)","46%
(29/63)","25%
(13/51)","59%
(67/114)","41%
(47/114)","89%
(8/9)","67%
(6/9)","33%
(3/9)","11%
(1/9)","61%
(11/18)","39%
(7/18)",korda-sebastian,baez-sebastian,10.11.2021 18:40,next-gen-finals-jeddah-2021,3-0,3,5,3-0 | 4-3(7-3) | 4-2 | 4-2,4-3,7-3,4-2,,4-2,,,,,,,
10,5,4,3,52%,67%,"88%
(29/33)","77%
(27/35)","60%
(18/30)","47%
(8/17)",4/5,0/2,"23%
(8/35)","12%
(4/33)","35%
(6/17)","27%
(8/30)",2/2,1/5,,,,,,,"75%
(47/63)","67%
(35/52)","33%
(17/52)","25%
(16/63)","56%
(64/115)","44%
(51/115)","89%
(8/9)","75%
(6/8)","25%
(2/8)","11%
(1/9)","59%
(10/17)","41%
(7/17)",alcaraz-garfia-carlos,nakashima-brandon,10.11.2021 14:50,next-gen-finals-jeddah-2021,3-0,3,5,3-0 | 4-3(7-4) | 4-1 | 4-3(7-4),4-3,7-4,4-1,,4-3,7-4,,,,,,
