Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
6,3,0,1,69%,60%,"84%
(26/31)","58%
(22/38)","57%
(8/14)","40%
(10/25)",1/1,4/8,"42%
(16/38)","16%
(5/31)","56%
(14/25)","43%
(6/14)",4/8,0/1,27,7,15,11,"86%
(12/14)","50%
(4/8)","76%
(34/45)","51%
(32/63)","49%
(31/63)","24%
(11/45)","60%
(65/108)","40%
(43/108)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",zverev-alexander,khachanov-karen,01.08.2021 08:15,olympic-games-2020,2-0,2,3,2-0 | 6-3 | 6-1,6-3,,6-1,,,,,,,
3,8,3,0,56%,70%,"78%
(38/49)","73%
(61/83)","58%
(22/38)","57%
(20/35)",3/5,8/8,"27%
(22/83)","22%
(11/49)","43%
(15/35)","34%
(13/38)",0/8,2/5,34,43,21,23,"65%
(22/34)","67%
(10/15)","69%
(60/87)","69%
(81/118)","31%
(37/118)","31%
(27/87)","47%
(97/205)","53%
(108/205)","87%
(13/15)","100%
(16/16)","0%
(0/16)","13%
(2/15)","42%
(13/31)","58%
(18/31)",djokovic-novak,carreno-busta-pablo,31.07.2021 06:10,olympic-games-2020,1-2,3,3,1-2 | 4-6 | 7-6(8-6) | 3-6,4-6,,7-6,8-6,3-6,,,,,
4,7,1,1,66%,74%,"56%
(29/52)","68%
(36/53)","37%
(10/27)","42%
(8/19)",4/9,5/8,"34%
(18/53)","44%
(23/52)","42%
(8/19)","59%
(16/27)",3/8,5/9,17,44,16,14,"35%
(6/17)","77%
(20/26)","49%
(39/79)","60%
(43/72)","40%
(29/72)","51%
(40/79)","45%
(68/151)","55%
(83/151)","58%
(7/12)","73%
(8/11)","27%
(3/11)","42%
(5/12)","43%
(10/23)","57%
(13/23)",djokovic-novak,zverev-alexander,30.07.2021 07:50,olympic-games-2020,1-2,3,3,1-2 | 6-1 | 3-6 | 1-6,6-1,,3-6,,1-6,,,,,
10,3,2,0,61%,58%,"93%
(26/28)","64%
(21/33)","61%
(11/18)","46%
(11/24)",1/1,2/5,"36%
(12/33)","7%
(2/28)","54%
(13/24)","28%
(5/18)",3/5,0/1,28,16,9,15,"92%
(11/12)","50%
(2/4)","80%
(37/46)","56%
(32/57)","44%
(25/57)","20%
(9/46)","60%
(62/103)","40%
(41/103)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",khachanov-karen,carreno-busta-pablo,30.07.2021 06:05,olympic-games-2020,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
11,4,1,3,68%,69%,"85%
(22/26)","65%
(28/43)","83%
(10/12)","26%
(5/19)",0/0,8/12,"35%
(15/43)","15%
(4/26)","58%
(11/19)","8%
(1/12)",4/12,0/0,26,15,8,17,"63%
(5/8)","67%
(8/12)","84%
(32/38)","53%
(33/62)","47%
(29/62)","16%
(6/38)","61%
(61/100)","39%
(39/100)","100%
(8/8)","56%
(5/9)","44%
(4/9)","0%
(0/8)","71%
(12/17)","29%
(5/17)",zverev-alexander,chardy-jeremy,29.07.2021 11:05,olympic-games-2020,2-0,2,3,2-0 | 6-4 | 6-1,6-4,,6-1,,,,,,,
3,0,4,2,48%,52%,"85%
(17/20)","56%
(14/25)","64%
(14/22)","26%
(6/23)",1/1,5/10,"44%
(11/25)","15%
(3/20)","65%
(15/23)","18%
(4/22)",5/10,0/1,16,6,13,16,"92%
(12/13)","43%
(6/14)","74%
(31/42)","42%
(20/48)","58%
(28/48)","26%
(11/42)","66%
(59/90)","34%
(31/90)","100%
(7/7)","29%
(2/7)","71%
(5/7)","0%
(0/7)","86%
(12/14)","14%
(2/14)",djokovic-novak,nishikori-kei,29.07.2021 09:10,olympic-games-2020,2-0,2,3,2-0 | 6-2 | 6-0,6-2,,6-0,,,,,,,
3,4,0,1,67%,58%,"67%
(26/39)","75%
(27/36)","68%
(13/19)","46%
(12/26)",0/1,3/6,"25%
(9/36)","33%
(13/39)","50%
(13/26)","32%
(6/19)",3/6,1/1,17,20,16,26,"76%
(16/21)","65%
(13/20)","67%
(39/58)","63%
(39/62)","37%
(23/62)","33%
(19/58)","52%
(62/120)","48%
(58/120)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",carreno-busta-pablo,medvedev-daniil,29.07.2021 09:00,olympic-games-2020,2-0,2,3,2-0 | 6-2 | 7-6(7-5),6-2,,7-6,7-5,,,,,,
10,9,3,7,65%,59%,"85%
(47/55)","73%
(48/66)","69%
(20/29)","51%
(23/45)",0/1,10/11,"27%
(18/66)","15%
(8/55)","33%
(15/45)","21%
(6/29)",1/11,1/1,24,34,19,34,"67%
(4/6)","77%
(17/22)","80%
(67/84)","64%
(71/111)","36%
(40/111)","20%
(17/84)","55%
(107/195)","45%
(88/195)","94%
(15/16)","93%
(14/15)","7%
(1/15)","6%
(1/16)","52%
(16/31)","48%
(15/31)",khachanov-karen,humbert-ugo,29.07.2021 06:10,olympic-games-2020,2-1,3,3,2-1 | 7-6(7-4) | 4-6 | 6-3,7-6,7-4,4-6,,6-3,,,,,
9,0,1,2,67%,68%,"81%
(26/32)","49%
(21/43)","56%
(9/16)","50%
(10/20)",2/2,5/9,"51%
(22/43)","19%
(6/32)","40%
(8/20)","38%
(6/16)",4/9,0/2,24,12,12,23,"63%
(12/19)","77%
(10/13)","73%
(35/48)","49%
(31/63)","51%
(32/63)","27%
(13/48)","60%
(67/111)","40%
(44/111)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",djokovic-novak,davidovich-fokina-alejandro,28.07.2021 07:25,olympic-games-2020,2-0,2,3,2-0 | 6-3 | 6-1,6-3,,6-1,,,,,,,
11,5,0,2,85%,55%,"79%
(44/56)","72%
(26/36)","80%
(8/10)","55%
(16/29)",2/3,0/2,"28%
(10/36)","21%
(12/56)","45%
(13/29)","20%
(2/10)",2/2,1/3,21,18,11,22,"83%
(10/12)","53%
(9/17)","79%
(52/66)","65%
(42/65)","35%
(23/65)","21%
(14/66)","57%
(75/131)","43%
(56/131)","91%
(10/11)","82%
(9/11)","18%
(2/11)","9%
(1/11)","55%
(12/22)","45%
(10/22)",zverev-alexander,basilashvili-nikoloz,28.07.2021 06:25,olympic-games-2020,2-0,2,3,2-0 | 6-4 | 7-6(7-5),6-4,,7-6,7-5,,,,,,
