Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
11,14,3,2,75%,58%,"67%
(51/76)","79%
(38/48)","35%
(9/26)","60%
(21/35)",6/10,6/7,"21%
(10/48)","33%
(25/76)","34%
(12/35)","54%
(14/26)",1/7,4/10,"59%
(60/102)","71%
(59/83)","29%
(24/83)","41%
(42/102)","45%
(84/185)","55%
(101/185)","73%
(11/15)","93%
(13/14)","7%
(1/14)","27%
(4/15)","41%
(12/29)","59%
(17/29)",zverev-alexander,medvedev-daniil,08.11.2020 14:10,paris-2020,1-2,3,3,1-2 | 7-5 | 4-6 | 1-6,7-5,,4-6,,1-6,,,,,
5,13,0,1,68%,72%,"63%
(29/46)","79%
(34/43)","55%
(12/22)","53%
(9/17)",5/8,2/3,"21%
(9/43)","37%
(17/46)","41%
(7/17)","45%
(10/22)",1/3,3/8,"60%
(41/68)","72%
(43/60)","28%
(17/60)","40%
(27/68)","45%
(58/128)","55%
(70/128)","73%
(8/11)","91%
(10/11)","9%
(1/11)","27%
(3/11)","41%
(9/22)","59%
(13/22)",nadal-rafael,zverev-alexander,07.11.2020 15:40,paris-2020,0-2,2,3,0-2 | 4-6 | 5-7,4-6,,5-7,,,,,,,
7,12,3,1,73%,69%,"80%
(41/51)","81%
(38/47)","53%
(10/19)","29%
(6/21)",6/7,1/3,"19%
(9/47)","20%
(10/51)","67%
(14/21)","32%
(6/19)",2/3,1/7,"73%
(51/70)","65%
(44/68)","35%
(24/68)","27%
(19/70)","54%
(75/138)","46%
(63/138)","91%
(10/11)","82%
(9/11)","18%
(2/11)","9%
(1/11)","55%
(12/22)","45%
(10/22)",medvedev-daniil,raonic-milos,07.11.2020 13:10,paris-2020,2-0,2,3,2-0 | 6-4 | 7-6(7-4),6-4,,7-6,7-4,,,,,,
8,2,2,1,74%,55%,"80%
(37/46)","64%
(23/36)","38%
(6/16)","48%
(14/29)",2/4,0/4,"36%
(13/36)","20%
(9/46)","48%
(14/29)","50%
(8/16)",4/4,2/4,"69%
(43/62)","57%
(37/65)","43%
(28/65)","31%
(19/62)","56%
(71/127)","44%
(56/127)","80%
(8/10)","64%
(7/11)","36%
(4/11)","20%
(2/10)","57%
(12/21)","43%
(9/21)",zverev-alexander,wawrinka-stan,06.11.2020 20:20,paris-2020,2-0,2,3,2-0 | 6-3 | 7-6(7-1),6-3,,7-6,7-1,,,,,,
7,4,2,0,62%,74%,"81%
(42/52)","68%
(46/68)","63%
(20/32)","46%
(11/24)",4/5,4/7,"32%
(22/68)","19%
(10/52)","54%
(13/24)","31%
(10/32)",3/7,1/5,"74%
(62/84)","62%
(57/92)","38%
(35/92)","26%
(22/84)","55%
(97/176)","45%
(79/176)","93%
(14/15)","79%
(11/14)","21%
(3/14)","7%
(1/15)","59%
(17/29)","41%
(12/29)",nadal-rafael,carreno-busta-pablo,06.11.2020 17:40,paris-2020,2-1,3,3,2-1 | 4-6 | 7-5 | 6-1,4-6,,7-5,,6-1,,,,,
25,9,4,1,72%,70%,"79%
(50/63)","72%
(51/71)","63%
(15/24)","63%
(19/30)",5/6,9/10,"28%
(20/71)","21%
(13/63)","33%
(10/30)","21%
(5/24)",1/10,1/6,"75%
(65/87)","69%
(70/101)","31%
(31/101)","25%
(22/87)","51%
(96/188)","49%
(92/188)","93%
(14/15)","93%
(14/15)","7%
(1/15)","7%
(1/15)","50%
(15/30)","50%
(15/30)",raonic-milos,humbert-ugo,06.11.2020 14:40,paris-2020,2-1,3,3,2-1 | 6-3 | 3-6 | 7-6(9-7),6-3,,3-6,,7-6,9-7,,,,
0,8,0,2,67%,76%,"51%
(18/35)","96%
(27/28)","47%
(8/17)","56%
(5/9)",2/6,0/0,"4%
(1/28)","49%
(17/35)","22%
(2/9)","53%
(9/17)",0/0,4/6,"50%
(26/52)","86%
(32/37)","14%
(5/37)","50%
(26/52)","35%
(31/89)","65%
(58/89)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",schwartzman-diego,medvedev-daniil,06.11.2020 13:05,paris-2020,0-2,2,3,0-2 | 3-6 | 1-6,3-6,,1-6,,,,,,,
12,10,2,4,66%,64%,"68%
(36/53)","71%
(35/49)","59%
(16/27)","54%
(15/28)",3/6,2/5,"29%
(14/49)","32%
(17/53)","32%
(9/28)","33%
(9/27)",3/5,3/6,"65%
(52/80)","65%
(50/77)","35%
(27/77)","35%
(28/80)","50%
(79/157)","50%
(78/157)","77%
(10/13)","77%
(10/13)","23%
(3/13)","23%
(3/13)","50%
(13/26)","50%
(13/26)",wawrinka-stan,rublev-andrey,05.11.2020 21:45,paris-2020,2-1,3,3,2-1 | 1-6 | 6-4 | 6-3,1-6,,6-4,,6-3,,,,,
19,9,1,7,70%,56%,"80%
(63/79)","78%
(60/77)","44%
(15/34)","42%
(25/60)",3/6,7/11,"22%
(17/77)","20%
(16/79)","47%
(28/60)","53%
(18/34)",4/11,3/6,"69%
(78/113)","62%
(85/137)","38%
(52/137)","31%
(35/113)","52%
(130/250)","48%
(120/250)","82%
(14/17)","76%
(13/17)","24%
(4/17)","18%
(3/17)","53%
(18/34)","47%
(16/34)",zverev-alexander,mannarino-adrian,05.11.2020 18:30,paris-2020,2-1,3,3,2-1 | 7-6(13-11) | 6-7(7-9) | 6-4,7-6,13-11,6-7,7-9,6-4,,,,,
3,7,3,0,61%,70%,"86%
(31/36)","74%
(29/39)","70%
(16/23)","35%
(6/17)",1/1,2/4,"26%
(10/39)","14%
(5/36)","65%
(11/17)","17%
(4/23)",2/4,0/1,"80%
(47/59)","63%
(35/56)","38%
(21/56)","20%
(12/59)","59%
(68/115)","41%
(47/115)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",nadal-rafael,thompson-jordan,05.11.2020 16:35,paris-2020,2-0,2,3,2-0 | 6-1 | 7-6(7-3),6-1,,7-6,7-3,,,,,,
