Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
11,26,3,0,67%,63%,"81%
(50/62)","88%
(50/57)","43%
(13/30)","55%
(18/33)",1/3,0/2,"12%
(7/57)","19%
(12/62)","45%
(15/33)","47%
(14/30)",2/2,2/3,"68%
(63/92)","76%
(68/90)","24%
(22/90)","32%
(29/92)","47%
(85/182)","53%
(97/182)","88%
(14/16)","94%
(15/16)","12%
(2/17)","13%
(2/16)","50%
(16/32)","52%
(17/33)",gerasimov-egor,vesely-jiri,09.02.2020 11:40,pune-2020,1-2,3,3,1-2 | 6-7(2-7) | 7-5 | 3-6,6-7,2-7,7-5,,3-6,,,,,
4,13,1,2,71%,68%,"67%
(37/55)","89%
(40/45)","55%
(12/22)","52%
(11/21)",4/5,0/0,"11%
(5/45)","33%
(18/55)","38%
(8/21)","41%
(9/22)",0/0,1/5,"64%
(49/77)","77%
(51/66)","23%
(15/66)","36%
(28/77)","45%
(64/143)","55%
(79/143)","91%
(10/11)","100%
(11/11)","0%
(0/11)","9%
(1/11)","45%
(10/22)","55%
(12/22)",duckworth-james,gerasimov-egor,08.02.2020 15:00,pune-2020,0-2,2,3,0-2 | 6-7(2-7) | 4-6,6-7,2-7,4-6,,,,,,,
28,3,7,8,65%,65%,"86%
(63/73)","70%
(57/82)","44%
(17/39)","55%
(24/44)",1/4,4/7,"32%
(26/82)","14%
(10/73)","27%
(12/44)","38%
(15/39)",3/7,3/4,"71%
(80/112)","64%
(81/126)","36%
(45/126)","29%
(32/112)","53%
(125/238)","47%
(113/238)","83%
(15/18)","83%
(15/18)","17%
(3/18)","17%
(3/18)","50%
(18/36)","50%
(18/36)",vesely-jiri,berankis-ricardas,08.02.2020 11:35,pune-2020,2-1,3,3,2-1 | 6-7(8-10) | 7-6(7-3) | 7-6(9-7),6-7,8-10,7-6,7-3,7-6,9-7,,,,
6,18,1,5,68%,66%,"67%
(49/73)","77%
(49/64)","60%
(21/35)","61%
(20/33)",5/7,3/5,"23%
(15/64)","33%
(24/73)","24%
(8/33)","37%
(13/35)",2/5,2/7,"65%
(70/108)","71%
(69/97)","29%
(28/97)","35%
(38/108)","48%
(98/205)","52%
(107/205)","88%
(14/16)","88%
(14/16)","13%
(2/16)","13%
(2/16)","50%
(16/32)","50%
(16/32)",kwon-soon-woo,gerasimov-egor,07.02.2020 17:10,pune-2020,1-2,3,3,1-2 | 6-4 | 6-7(1-7) | 4-6,6-4,,6-7,1-7,4-6,,,,,
6,9,0,3,71%,55%,"77%
(36/47)","85%
(35/41)","47%
(9/19)","47%
(16/34)",2/4,0/1,"15%
(6/41)","23%
(11/47)","44%
(15/34)","53%
(10/19)",1/1,2/4,"68%
(45/66)","68%
(51/75)","32%
(24/75)","32%
(21/66)","49%
(69/141)","51%
(72/141)","80%
(8/10)","91%
(10/11)","9%
(1/11)","20%
(2/10)","43%
(9/21)","57%
(12/21)",marcora-roberto,duckworth-james,07.02.2020 15:25,pune-2020,0-2,2,3,0-2 | 3-6 | 6-7(4-7),3-6,,6-7,4-7,,,,,,
4,8,0,4,62%,62%,"65%
(39/60)","73%
(46/63)","57%
(21/37)","49%
(19/39)",8/12,6/9,"27%
(17/63)","35%
(21/60)","41%
(16/39)","43%
(16/37)",3/9,4/12,"62%
(60/97)","64%
(65/102)","36%
(37/102)","38%
(37/97)","49%
(97/199)","51%
(102/199)","73%
(11/15)","80%
(12/15)","20%
(3/15)","27%
(4/15)","47%
(14/30)","53%
(16/30)",sugita-yuichi,berankis-ricardas,07.02.2020 12:55,pune-2020,1-2,3,3,1-2 | 6-4 | 6-7(4-7) | 2-6,6-4,,6-7,4-7,2-6,,,,,
13,8,4,3,69%,57%,"77%
(49/64)","72%
(43/60)","45%
(13/29)","46%
(21/46)",3/5,7/10,"28%
(17/60)","23%
(15/64)","48%
(22/46)","41%
(12/29)",3/10,2/5,"67%
(62/93)","60%
(64/106)","40%
(42/106)","33%
(31/93)","52%
(104/199)","48%
(95/199)","85%
(11/13)","79%
(11/14)","21%
(3/14)","15%
(2/13)","52%
(14/27)","48%
(13/27)",vesely-jiri,ivashka-ilya,07.02.2020 10:10,pune-2020,2-1,3,3,2-1 | 2-6 | 6-1 | 7-6(13-11),2-6,,6-1,,7-6,13-11,,,,
6,2,1,2,46%,61%,"71%
(17/24)","65%
(30/46)","61%
(17/28)","59%
(17/29)",1/4,7/8,"35%
(16/46)","29%
(7/24)","34%
(10/29)","36%
(10/28)",1/8,3/4,"65%
(34/52)","63%
(47/75)","37%
(28/75)","35%
(18/52)","49%
(62/127)","51%
(65/127)","70%
(7/10)","90%
(9/10)","10%
(1/10)","30%
(3/10)","40%
(8/20)","60%
(12/20)",paire-benoit,marcora-roberto,06.02.2020 15:15,pune-2020,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
6,6,1,0,57%,66%,"83%
(33/40)","64%
(35/55)","57%
(17/30)","54%
(15/28)",2/3,8/10,"36%
(20/55)","18%
(7/40)","46%
(13/28)","40%
(12/30)",2/10,1/3,"71%
(50/70)","60%
(50/83)","40%
(33/83)","29%
(20/70)","54%
(83/153)","46%
(70/153)","91%
(10/11)","80%
(8/10)","20%
(2/10)","9%
(1/11)","57%
(12/21)","43%
(9/21)",kwon-soon-woo,gunneswaran-prajnesh,06.02.2020 13:15,pune-2020,2-0,2,3,2-0 | 6-3 | 7-6(7-5),6-3,,7-6,7-5,,,,,,
4,8,1,3,63%,69%,"71%
(30/42)","77%
(47/61)","52%
(13/25)","36%
(10/28)",4/7,4/6,"23%
(14/61)","29%
(12/42)","54%
(15/28)","44%
(11/25)",2/6,3/7,"64%
(43/67)","64%
(57/89)","36%
(32/89)","36%
(24/67)","48%
(75/156)","52%
(81/156)","75%
(9/12)","85%
(11/13)","15%
(2/13)","25%
(3/12)","44%
(11/25)","56%
(14/25)",milojevic-nikola,gerasimov-egor,06.02.2020 13:00,pune-2020,1-2,3,3,1-2 | 6-2 | 3-6 | 2-6,6-2,,3-6,,2-6,,,,,
15,16,2,4,67%,59%,"73%
(60/82)","78%
(56/72)","55%
(22/40)","55%
(28/51)",9/11,8/9,"22%
(16/72)","27%
(22/82)","37%
(19/51)","40%
(16/40)",1/9,2/11,"67%
(82/122)","68%
(84/123)","32%
(39/123)","33%
(40/122)","49%
(121/245)","51%
(124/245)","88%
(14/16)","94%
(16/17)","6%
(1/17)","13%
(2/16)","45%
(15/33)","55%
(18/33)",daniel-taro,duckworth-james,06.02.2020 10:10,pune-2020,1-2,3,3,1-2 | 7-6(7-4) | 6-7(6-8) | 3-6,7-6,7-4,6-7,6-8,3-6,,,,,
10,7,0,1,72%,60%,"78%
(49/63)","69%
(37/54)","54%
(13/24)","67%
(24/36)",4/4,4/4,"31%
(17/54)","22%
(14/63)","31%
(11/36)","46%
(11/24)",0/4,0/4,"71%
(62/87)","68%
(61/90)","32%
(29/90)","29%
(25/87)","51%
(91/177)","49%
(86/177)","100%
(12/12)","100%
(12/12)","0%
(0/12)","0%
(0/12)","50%
(12/24)","50%
(12/24)",ivashka-ilya,travaglia-stefano,05.02.2020 14:00,pune-2020,2-0,2,3,2-0 | 7-6(7-5) | 7-6(7-3),7-6,7-5,7-6,7-3,,,,,,
7,5,0,4,61%,58%,"77%
(33/43)","71%
(29/41)","61%
(17/28)","43%
(13/30)",3/4,8/11,"29%
(12/41)","23%
(10/43)","43%
(13/30)","39%
(11/28)",3/11,1/4,"70%
(50/71)","59%
(42/71)","41%
(29/71)","30%
(21/71)","56%
(79/142)","44%
(63/142)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",daniel-taro,mukund-sasi-kumar,05.02.2020 12:05,pune-2020,2-0,2,3,2-0 | 6-2 | 7-6(9-7),6-2,,7-6,9-7,,,,,,
6,2,5,1,55%,64%,"68%
(28/41)","70%
(32/46)","29%
(10/34)","46%
(12/26)",8/13,4/6,"30%
(14/46)","32%
(13/41)","50%
(13/26)","56%
(19/34)",2/6,5/13,"51%
(38/75)","61%
(44/72)","39%
(28/72)","49%
(37/75)","45%
(66/147)","55%
(81/147)","50%
(5/10)","78%
(7/9)","22%
(2/9)","50%
(5/10)","37%
(7/19)","63%
(12/19)",stebe-cedrik-marcel,berankis-ricardas,05.02.2020 10:10,pune-2020,0-2,2,3,0-2 | 6-7(2-7) | 1-6,6-7,2-7,1-6,,,,,,,
