Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
6,8,4,0,65%,76%,"78%
(39/50)","63%
(39/62)","30%
(8/27)","65%
(13/20)",7/10,4/6,"37%
(23/62)","22%
(11/50)","35%
(7/20)","56%
(15/27)",2/6,3/10,"61%
(47/77)","63%
(52/82)","37%
(30/82)","39%
(30/77)","48%
(77/159)","52%
(82/159)","75%
(9/12)","83%
(10/12)","17%
(2/12)","25%
(3/12)","46%
(11/24)","54%
(13/24)",mager-gianluca,garin-cristian,23.02.2020 20:40,rio-de-janeiro-2020,0-2,2,3,0-2 | 6-7(3-7) | 5-7,6-7,3-7,5-7,,,,,,,
2,4,5,2,61%,66%,"78%
(29/37)","67%
(30/45)","38%
(9/24)","26%
(6/23)",1/4,2/7,"33%
(15/45)","22%
(8/37)","65%
(15/23)","42%
(10/24)",5/7,3/4,"62%
(38/61)","53%
(36/68)","47%
(32/68)","38%
(23/61)","54%
(70/129)","46%
(59/129)","73%
(8/11)","55%
(6/11)","45%
(5/11)","27%
(3/11)","59%
(13/22)","41%
(9/22)",garin-cristian,coric-borna,23.02.2020 16:00,rio-de-janeiro-2020,2-0,2,3,2-0 | 6-4 | 7-5,6-4,,7-5,,,,,,,
6,3,1,9,69%,53%,"70%
(59/84)","73%
(46/63)","45%
(17/38)","49%
(28/57)",8/12,6/9,"27%
(17/63)","30%
(25/84)","35%
(20/57)","53%
(20/38)",3/9,4/12,"62%
(76/122)","62%
(74/120)","38%
(46/120)","38%
(46/122)","50%
(122/242)","50%
(120/242)","76%
(13/17)","82%
(14/17)","18%
(3/17)","24%
(4/17)","47%
(16/34)","53%
(18/34)",mager-gianluca,balazs-attila,23.02.2020 16:00,rio-de-janeiro-2020,2-1,3,3,2-1 | 7-6(7-4) | 4-6 | 7-6(7-2),7-6,7-4,4-6,,7-6,7-2,,,,
4,1,5,0,53%,67%,"60%
(30/50)","52%
(29/56)","47%
(21/45)","59%
(16/27)",9/14,8/14,"48%
(27/56)","40%
(20/50)","41%
(11/27)","42%
(19/45)",6/14,5/14,"54%
(51/95)","54%
(45/83)","46%
(38/83)","46%
(44/95)","50%
(89/178)","50%
(89/178)","62%
(8/13)","54%
(7/13)","46%
(6/13)","38%
(5/13)","54%
(14/26)","46%
(12/26)",balazs-attila,martinez-pedro,22.02.2020 17:10,rio-de-janeiro-2020,2-1,3,3,2-1 | 2-6 | 6-4 | 6-2,2-6,,6-4,,6-2,,,,,
1,4,1,1,62%,77%,"65%
(33/51)","66%
(43/65)","48%
(15/31)","63%
(12/19)",3/6,5/7,"34%
(22/65)","35%
(18/51)","32%
(6/19)","48%
(15/31)",2/7,3/6,"59%
(48/82)","65%
(55/84)","35%
(29/84)","41%
(34/82)","46%
(77/166)","54%
(89/166)","75%
(9/12)","83%
(10/12)","17%
(2/12)","25%
(3/12)","46%
(11/24)","54%
(13/24)",thiem-dominic,mager-gianluca,22.02.2020 17:10,rio-de-janeiro-2020,0-2,2,3,0-2 | 6-7(4-7) | 5-7,6-7,4-7,5-7,,,,,,,
4,3,1,2,57%,65%,"82%
(40/49)","73%
(35/48)","46%
(17/37)","42%
(11/26)",8/8,2/3,"27%
(13/48)","18%
(9/49)","50%
(13/26)","51%
(19/37)",1/3,0/8,"66%
(57/86)","62%
(46/74)","38%
(28/74)","34%
(29/86)","53%
(85/160)","47%
(75/160)","100%
(11/11)","90%
(9/10)","10%
(1/10)","0%
(0/11)","57%
(12/21)","43%
(9/21)",coric-borna,sonego-lorenzo,21.02.2020 22:10,rio-de-janeiro-2020,2-0,2,3,2-0 | 7-6(7-5) | 6-3,7-6,7-5,6-3,,,,,,,
1,4,0,7,71%,57%,"58%
(42/72)","76%
(41/54)","52%
(15/29)","38%
(15/40)",8/12,3/7,"24%
(13/54)","42%
(30/72)","45%
(18/40)","48%
(14/29)",4/7,4/12,"56%
(57/101)","60%
(56/94)","40%
(38/94)","44%
(44/101)","49%
(95/195)","51%
(100/195)","71%
(10/14)","73%
(11/15)","27%
(4/15)","29%
(4/14)","48%
(14/29)","52%
(15/29)",coria-federico,garin-cristian,21.02.2020 18:10,rio-de-janeiro-2020,1-2,3,3,1-2 | 6-2 | 3-6 | 5-7,6-2,,3-6,,5-7,,,,,
4,0,5,3,75%,68%,"68%
(50/74)","70%
(47/67)","52%
(13/25)","38%
(12/32)",6/8,3/8,"30%
(20/67)","32%
(24/74)","63%
(20/32)","48%
(12/25)",5/8,2/8,"64%
(63/99)","60%
(59/99)","40%
(40/99)","36%
(36/99)","52%
(103/198)","48%
(95/198)","87%
(13/15)","69%
(11/16)","31%
(5/16)","13%
(2/15)","58%
(18/31)","42%
(13/31)",thiem-dominic,munar-jaume,21.02.2020 01:00,rio-de-janeiro-2020,2-1,3,3,2-1 | 6-7(5-7) | 6-3 | 6-4,6-7,5-7,6-3,,6-4,,,,,
7,8,2,0,60%,67%,"75%
(40/53)","77%
(46/60)","47%
(17/36)","50%
(15/30)",9/12,5/7,"23%
(14/60)","25%
(13/53)","50%
(15/30)","53%
(19/36)",2/7,3/12,"64%
(57/89)","68%
(61/90)","32%
(29/90)","36%
(32/89)","48%
(86/179)","52%
(93/179)","79%
(11/14)","86%
(12/14)","14%
(2/14)","21%
(3/14)","46%
(13/28)","54%
(15/28)",coric-borna,seyboth-wild-thiago,20.02.2020 22:15,rio-de-janeiro-2020,2-1,3,3,2-1 | 6-3 | 1-6 | 7-6(7-5),6-3,,1-6,,7-6,7-5,,,,
1,6,1,3,66%,68%,"59%
(30/51)","70%
(35/50)","42%
(11/26)","42%
(10/24)",7/10,3/5,"30%
(15/50)","41%
(21/51)","46%
(11/24)","54%
(14/26)",2/5,3/10,"53%
(41/77)","61%
(45/74)","39%
(29/74)","47%
(36/77)","46%
(70/151)","54%
(81/151)","70%
(7/10)","82%
(9/11)","18%
(2/11)","30%
(3/10)","43%
(9/21)","57%
(12/21)",domingues-joao,mager-gianluca,20.02.2020 19:40,rio-de-janeiro-2020,0-2,2,3,0-2 | 3-6 | 6-7(5-7),3-6,,6-7,5-7,,,,,,
4,4,2,3,67%,65%,"76%
(44/58)","77%
(41/53)","45%
(13/29)","50%
(14/28)",2/4,1/3,"23%
(12/53)","24%
(14/58)","39%
(11/28)","48%
(14/29)",2/3,2/4,"66%
(57/87)","68%
(55/81)","32%
(26/81)","34%
(30/87)","49%
(83/168)","51%
(85/168)","83%
(10/12)","83%
(10/12)","17%
(2/12)","17%
(2/12)","50%
(12/24)","50%
(12/24)",sonego-lorenzo,lajovic-dusan,20.02.2020 19:40,rio-de-janeiro-2020,2-0,2,3,2-0 | 7-6(7-5) | 7-6(7-5),7-6,7-5,7-6,7-5,,,,,,
4,0,4,2,59%,79%,"75%
(36/48)","61%
(54/88)","39%
(13/33)","43%
(10/23)",4/9,10/14,"39%
(34/88)","25%
(12/48)","48%
(11/23)","48%
(16/33)",4/14,5/9,"60%
(49/81)","58%
(64/111)","42%
(47/111)","40%
(32/81)","50%
(96/192)","50%
(96/192)","67%
(10/15)","73%
(11/15)","27%
(4/15)","33%
(5/15)","47%
(14/30)","53%
(16/30)",alcaraz-garfia-carlos,coria-federico,20.02.2020 00:25,rio-de-janeiro-2020,1-2,3,3,1-2 | 4-6 | 6-4 | 4-6,4-6,,6-4,,4-6,,,,,
12,2,2,4,70%,52%,"63%
(30/48)","70%
(26/37)","38%
(8/21)","47%
(16/34)",4/9,4/8,"30%
(11/37)","38%
(18/48)","41%
(14/34)","52%
(11/21)",4/8,5/9,"55%
(38/69)","59%
(42/71)","41%
(29/71)","45%
(31/69)","48%
(67/140)","52%
(73/140)","58%
(7/12)","67%
(8/12)","33%
(4/12)","42%
(5/12)","46%
(11/24)","54%
(13/24)",monteiro-thiago,balazs-attila,19.02.2020 22:10,rio-de-janeiro-2020,1-2,3,3,1-2 | 6-1 | 1-6 | 4-6,6-1,,1-6,,4-6,,,,,
4,1,0,2,75%,64%,"73%
(30/41)","60%
(18/30)","57%
(8/14)","41%
(7/17)",3/3,2/5,"40%
(12/30)","27%
(11/41)","47%
(8/17)","43%
(6/14)",3/5,0/3,"69%
(38/55)","53%
(25/47)","47%
(22/47)","31%
(17/55)","59%
(60/102)","41%
(42/102)","100%
(9/9)","63%
(5/8)","38%
(3/8)","0%
(0/9)","71%
(12/17)","29%
(5/17)",martinez-pedro,andujar-pablo,19.02.2020 21:25,rio-de-janeiro-2020,2-0,2,3,2-0 | 6-1 | 6-4,6-1,,6-4,,,,,,,
1,6,5,1,58%,57%,"57%
(26/46)","82%
(23/28)","55%
(18/33)","62%
(13/21)",4/7,0/0,"18%
(5/28)","43%
(20/46)","33%
(7/21)","30%
(10/33)",0/0,3/7,"56%
(44/79)","73%
(36/49)","27%
(13/49)","44%
(35/79)","45%
(57/128)","55%
(71/128)","70%
(7/10)","100%
(9/9)","0%
(0/9)","30%
(3/10)","37%
(7/19)","63%
(12/19)",delbonis-federico,garin-cristian,19.02.2020 19:40,rio-de-janeiro-2020,0-2,2,3,0-2 | 4-6 | 3-6,4-6,,3-6,,,,,,,
2,8,7,5,66%,62%,"72%
(54/75)","70%
(47/67)","36%
(14/39)","51%
(21/41)",7/12,6/11,"30%
(20/67)","28%
(21/75)","37%
(15/41)","46%
(18/39)",5/11,5/12,"60%
(68/114)","63%
(68/108)","37%
(40/108)","40%
(46/114)","49%
(108/222)","51%
(114/222)","65%
(11/17)","71%
(12/17)","29%
(5/17)","29%
(5/17)","47%
(16/34)","50%
(17/34)",pella-guido,monteiro-thiago,19.02.2020 00:45,rio-de-janeiro-2020,1-2,3,3,1-2 | 7-5 | 4-6 | 6-7(3-7),7-5,,4-6,,6-7,3-7,,,,
8,7,0,1,74%,73%,"77%
(46/60)","70%
(43/61)","71%
(15/21)","64%
(14/22)",7/7,5/6,"30%
(18/61)","23%
(14/60)","32%
(7/22)","29%
(6/21)",1/6,0/7,"75%
(61/81)","69%
(57/83)","31%
(26/83)","25%
(20/81)","53%
(87/164)","47%
(77/164)","91%
(10/11)","91%
(10/11)","9%
(1/11)","9%
(1/11)","50%
(11/22)","50%
(11/22)",mager-gianluca,ruud-casper,18.02.2020 22:10,rio-de-janeiro-2020,2-0,2,3,2-0 | 7-6(7-4) | 7-5,7-6,7-4,7-5,,,,,,,
3,3,2,1,55%,78%,"73%
(30/41)","55%
(33/60)","68%
(23/34)","59%
(10/17)",0/1,4/8,"45%
(27/60)","27%
(11/41)","35%
(6/17)","26%
(9/34)",4/8,1/1,"71%
(53/75)","56%
(43/77)","44%
(34/77)","29%
(22/75)","57%
(87/152)","43%
(65/152)","92%
(12/13)","67%
(8/12)","33%
(4/12)","8%
(1/13)","64%
(16/25)","36%
(9/25)",thiem-dominic,meligeni-rodrigues-alves-felipe,18.02.2020 22:10,rio-de-janeiro-2020,2-1,3,3,2-1 | 6-2 | 4-6 | 6-1,6-2,,4-6,,6-1,,,,,
2,7,2,2,67%,60%,"63%
(30/48)","80%
(33/41)","58%
(14/24)","41%
(11/27)",2/4,1/4,"20%
(8/41)","38%
(18/48)","52%
(14/27)","33%
(8/24)",3/4,2/4,"61%
(44/72)","65%
(44/68)","35%
(24/68)","39%
(28/72)","49%
(68/140)","51%
(72/140)","82%
(9/11)","73%
(8/11)","27%
(3/11)","18%
(2/11)","55%
(12/22)","45%
(10/22)",domingues-joao,gaio-federico,18.02.2020 22:00,rio-de-janeiro-2020,2-0,2,3,2-0 | 7-6(10-8) | 6-4,7-6,10-8,6-4,,,,,,,
0,6,11,4,49%,58%,"62%
(28/45)","70%
(40/57)","57%
(26/46)","60%
(25/42)",3/6,6/7,"30%
(17/57)","38%
(17/45)","31%
(13/42)","20%
(9/46)",1/7,3/6,"59%
(54/91)","66%
(65/99)","34%
(34/99)","41%
(37/91)","46%
(88/190)","54%
(102/190)","79%
(11/14)","93%
(14/15)","7%
(1/15)","21%
(3/14)","41%
(12/29)","59%
(17/29)",mayer-leonardo,sonego-lorenzo,18.02.2020 21:30,rio-de-janeiro-2020,1-2,3,3,1-2 | 1-6 | 7-5 | 4-6,1-6,,7-5,,4-6,,,,,
4,4,6,2,55%,59%,"83%
(30/36)","73%
(24/33)","55%
(16/29)","48%
(11/23)",2/2,3/5,"27%
(9/33)","17%
(6/36)","43%
(10/23)","24%
(7/29)",2/5,0/2,"71%
(46/65)","63%
(35/56)","38%
(21/56)","29%
(19/65)","55%
(67/121)","45%
(54/121)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",balazs-attila,cuevas-pablo,18.02.2020 19:40,rio-de-janeiro-2020,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
