Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
2,1,1,3,69%,65%,"69%
(33/48)","58%
(25/43)","41%
(9/22)","35%
(8/23)",3/6,4/9,"42%
(18/43)","31%
(15/48)","52%
(12/23)","55%
(12/22)",5/9,3/6,"60%
(42/70)","50%
(33/66)","50%
(33/66)","40%
(28/70)","55%
(75/136)","45%
(61/136)","73%
(8/11)","50%
(5/10)","50%
(5/10)","27%
(3/11)","62%
(13/21)","38%
(8/21)",djokovic-novak,schwartzman-diego,21.09.2020 15:10,rome-2020,2-0,2,3,2-0 | 7-5 | 6-3,7-5,,6-3,,,,,,,
10,0,8,2,54%,69%,"66%
(40/61)","56%
(44/78)","43%
(22/51)","54%
(19/35)",8/14,9/15,"44%
(34/78)","34%
(21/61)","40%
(14/35)","41%
(21/51)",6/15,6/14,"55%
(62/112)","56%
(63/113)","44%
(50/113)","45%
(50/112)","50%
(112/225)","50%
(113/225)","65%
(11/17)","65%
(11/17)","35%
(6/17)","35%
(6/17)","50%
(17/34)","50%
(17/34)",shapovalov-denis,schwartzman-diego,20.09.2020 17:15,rome-2020,1-2,3,3,1-2 | 4-6 | 7-5 | 6-7(4-7),4-6,,7-5,,6-7,4-7,,,,
12,2,1,1,67%,70%,"70%
(37/53)","61%
(36/59)","62%
(16/26)","48%
(12/25)",7/8,6/9,"39%
(23/59)","30%
(16/53)","48%
(12/25)","35%
(9/26)",3/9,1/8,"66%
(53/80)","57%
(48/84)","43%
(36/84)","34%
(27/80)","54%
(89/164)","45%
(74/164)","91%
(10/11)","70%
(7/10)","30%
(3/10)","9%
(1/11)","62%
(13/21)","38%
(8/21)",djokovic-novak,ruud-casper,20.09.2020 12:45,rome-2020,2-0,2,3,2-0 | 7-5 | 6-3,7-5,,6-3,,,,,,,
0,2,0,0,60%,43%,"64%
(23/36)","48%
(13/27)","58%
(14/24)","44%
(16/36)",3/5,4/9,"52%
(14/27)","36%
(13/36)","56%
(20/36)","42%
(10/24)",5/9,2/5,"62%
(37/60)","46%
(29/63)","54%
(34/63)","38%
(23/60)","58%
(71/123)","42%
(52/123)","80%
(8/10)","50%
(5/10)","50%
(5/10)","20%
(2/10)","65%
(13/20)","35%
(7/20)",schwartzman-diego,nadal-rafael,19.09.2020 19:35,rome-2020,2-0,2,3,2-0 | 6-2 | 7-5,6-2,,7-5,,,,,,,
3,2,5,3,52%,62%,"80%
(28/35)","59%
(26/44)","53%
(17/32)","59%
(16/27)",0/2,4/9,"41%
(18/44)","20%
(7/35)","30%
(8/27)","31%
(10/32)",5/9,2/2,"67%
(45/67)","59%
(42/71)","41%
(29/71)","33%
(22/67)","54%
(74/138)","46%
(64/138)","83%
(10/12)","62%
(8/13)","38%
(5/13)","17%
(2/12)","60%
(15/25)","40%
(10/25)",shapovalov-denis,dimitrov-grigor,19.09.2020 17:50,rome-2020,2-1,3,3,2-1 | 6-2 | 3-6 | 6-2,6-2,,3-6,,6-2,,,,,
5,4,0,4,64%,61%,"65%
(31/48)","61%
(38/62)","52%
(14/27)","33%
(13/40)",0/4,15/21,"39%
(24/62)","35%
(17/48)","57%
(23/40)","48%
(13/27)",6/21,4/4,"60%
(45/75)","50%
(51/102)","50%
(51/102)","40%
(30/75)","54%
(96/177)","46%
(81/177)","71%
(10/14)","57%
(8/14)","43%
(6/14)","29%
(4/14)","57%
(16/28)","43%
(12/28)",djokovic-novak,koepfer-dominik,19.09.2020 12:40,rome-2020,2-1,3,3,2-1 | 6-3 | 4-6 | 6-3,6-3,,4-6,,6-3,,,,,
12,4,1,3,66%,59%,"77%
(54/70)","75%
(46/61)","39%
(14/36)","55%
(23/42)",7/9,4/6,"25%
(15/61)","23%
(16/70)","38%
(16/42)","58%
(21/36)",2/6,2/9,"64%
(68/106)","67%
(69/103)","33%
(34/103)","36%
(38/106)","49%
(102/209)","51%
(107/209)","87%
(13/15)","88%
(14/16)","13%
(2/16)","13%
(2/15)","48%
(15/31)","52%
(16/31)",berrettini-matteo,ruud-casper,19.09.2020 10:10,rome-2020,1-2,3,3,1-2 | 6-4 | 3-6 | 6-7(5-7),6-4,,3-6,,6-7,5-7,,,,
1,2,4,1,68%,66%,"40%
(17/42)","63%
(17/27)","45%
(9/20)","64%
(9/14)",8/14,2/4,"37%
(10/27)","60%
(25/42)","29%
(4/14)","35%
(7/20)",2/4,6/14,"42%
(26/62)","63%
(26/41)","37%
(15/41)","58%
(36/62)","40%
(41/103)","60%
(62/103)","25%
(2/8)","75%
(6/8)","25%
(2/8)","75%
(6/8)","25%
(4/16)","75%
(12/16)",lajovic-dusan,nadal-rafael,18.09.2020 17:10,rome-2020,0-2,2,3,0-2 | 1-6 | 3-6,1-6,,3-6,,,,,,,
1,3,6,5,71%,54%,"68%
(36/53)","67%
(30/45)","45%
(10/22)","55%
(21/38)",4/7,4/9,"33%
(15/45)","32%
(17/53)","32%
(12/38)","27%
(6/22)",5/9,3/7,"61%
(46/75)","61%
(51/83)","39%
(32/83)","39%
(29/75)","49%
(78/158)","51%
(80/158)","77%
(10/13)","64%
(9/14)","36%
(5/14)","23%
(3/13)","56%
(15/27)","44%
(12/27)",schwartzman-diego,hurkacz-hubert,18.09.2020 16:10,rome-2020,2-1,3,3,2-1 | 3-6 | 6-2 | 6-4,3-6,,6-2,,6-4,,,,,
1,2,2,1,59%,56%,"63%
(17/27)","76%
(22/29)","37%
(7/19)","61%
(14/23)",0/4,5/5,"24%
(7/29)","37%
(10/27)","35%
(8/23)","53%
(10/19)",0/5,4/4,"52%
(24/46)","69%
(36/52)","31%
(16/52)","48%
(22/46)","41%
(40/98)","59%
(58/98)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",musetti-lorenzo,koepfer-dominik,18.09.2020 15:40,rome-2020,0-2,2,3,0-2 | 4-6 | 0-6,4-6,,0-6,,,,,,,
