Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
5,1,0,5,67%,58%,"71%
(29/41)","63%
(20/32)","55%
(11/20)","39%
(9/23)",1/2,7/11,"38%
(12/32)","29%
(12/41)","39%
(9/23)","45%
(9/20)",4/11,1/2,"66%
(40/61)","53%
(29/55)","47%
(26/55)","34%
(21/61)","57%
(66/116)","43%
(50/116)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",monfils-gael,auger-aliassime-felix,16.02.2020 14:50,rotterdam-2020,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
3,14,2,1,73%,77%,"63%
(40/63)","78%
(43/55)","52%
(12/23)","50%
(8/16)",7/9,0/1,"22%
(12/55)","37%
(23/63)","44%
(7/16)","39%
(9/23)",1/1,2/9,"60%
(52/86)","72%
(51/71)","28%
(20/71)","40%
(34/86)","46%
(72/157)","54%
(85/157)","82%
(9/11)","91%
(10/11)","9%
(1/11)","18%
(2/11)","45%
(10/22)","55%
(12/22)",krajinovic-filip,monfils-gael,15.02.2020 18:40,rotterdam-2020,0-2,2,3,0-2 | 4-6 | 6-7(5-7),4-6,,6-7,5-7,,,,,,
4,16,1,2,62%,68%,"67%
(33/49)","94%
(45/48)","60%
(18/30)","39%
(9/23)",4/5,4/4,"6%
(3/48)","33%
(16/49)","52%
(12/23)","37%
(11/30)",0/4,1/5,"65%
(51/79)","76%
(54/71)","24%
(17/71)","35%
(28/79)","45%
(68/150)","55%
(82/150)","91%
(10/11)","100%
(11/11)","0%
(0/11)","9%
(1/11)","45%
(10/22)","55%
(12/22)",carreno-busta-pablo,auger-aliassime-felix,15.02.2020 14:30,rotterdam-2020,0-2,2,3,0-2 | 6-7(2-7) | 4-6,6-7,2-7,4-6,,,,,,,
5,10,0,0,57%,67%,"80%
(33/41)","74%
(32/43)","58%
(18/31)","52%
(11/21)",4/5,3/5,"26%
(11/43)","20%
(8/41)","48%
(10/21)","42%
(13/31)",2/5,1/5,"71%
(51/72)","67%
(43/64)","33%
(21/64)","29%
(21/72)","53%
(72/136)","47%
(64/136)","91%
(10/11)","82%
(9/11)","18%
(2/11)","9%
(1/11)","55%
(12/22)","45%
(10/22)",krajinovic-filip,rublev-andrey,14.02.2020 20:50,rotterdam-2020,2-0,2,3,2-0 | 7-6(7-2) | 6-4,7-6,7-2,6-4,,,,,,,
8,2,2,2,72%,55%,"77%
(33/43)","70%
(30/43)","53%
(9/17)","40%
(14/35)",1/2,3/6,"30%
(13/43)","23%
(10/43)","54%
(19/35)","35%
(6/17)",3/6,1/2,"70%
(42/60)","56%
(44/78)","44%
(34/78)","30%
(18/60)","55%
(76/138)","45%
(62/138)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",monfils-gael,evans-daniel,14.02.2020 18:40,rotterdam-2020,2-0,2,3,2-0 | 7-6(7-5) | 6-2,7-6,7-5,6-2,,,,,,,
10,3,1,1,73%,53%,"80%
(43/54)","79%
(31/39)","45%
(9/20)","54%
(19/35)",2/3,1/3,"21%
(8/39)","20%
(11/54)","43%
(15/35)","50%
(10/20)",2/3,1/3,"70%
(52/74)","68%
(50/74)","32%
(24/74)","30%
(22/74)","51%
(76/148)","49%
(72/148)","91%
(10/11)","82%
(9/11)","18%
(2/11)","9%
(1/11)","55%
(12/22)","45%
(10/22)",auger-aliassime-felix,bedene-aljaz,14.02.2020 15:15,rotterdam-2020,2-0,2,3,2-0 | 6-4 | 7-6(8-6),6-4,,7-6,8-6,,,,,,
6,9,2,1,68%,60%,"70%
(57/81)","79%
(54/68)","54%
(21/39)","47%
(21/45)",12/14,5/7,"21%
(14/68)","30%
(24/81)","51%
(23/45)","41%
(16/39)",2/7,2/14,"65%
(78/120)","66%
(75/113)","34%
(38/113)","35%
(42/120)","50%
(116/233)","50%
(117/233)","88%
(14/16)","88%
(15/17)","12%
(2/17)","13%
(2/16)","48%
(16/33)","52%
(17/33)",carreno-busta-pablo,sinner-jannik,14.02.2020 12:10,rotterdam-2020,2-1,3,3,2-1 | 7-5 | 3-6 | 7-6(8-6),7-5,,3-6,,7-6,8-6,,,,
12,5,1,2,63%,63%,"74%
(34/46)","67%
(39/58)","48%
(13/27)","59%
(20/34)",2/4,8/9,"33%
(19/58)","26%
(12/46)","35%
(12/34)","48%
(13/27)",1/9,2/4,"64%
(47/73)","64%
(59/92)","36%
(33/92)","36%
(26/73)","48%
(80/165)","52%
(85/165)","82%
(9/11)","91%
(10/11)","9%
(1/11)","18%
(2/11)","45%
(10/22)","55%
(12/22)",pospisil-vasek,krajinovic-filip,13.02.2020 20:30,rotterdam-2020,0-2,2,3,0-2 | 4-6 | 6-7(7-9),4-6,,6-7,7-9,,,,,,
5,2,2,1,70%,49%,"70%
(28/40)","52%
(13/25)","35%
(6/17)","38%
(10/26)",4/6,1/7,"48%
(12/25)","30%
(12/40)","58%
(15/26)","53%
(9/17)",6/7,2/6,"60%
(34/57)","45%
(23/51)","55%
(28/51)","40%
(23/57)","57%
(62/108)","43%
(46/108)","75%
(6/8)","33%
(3/9)","67%
(6/9)","25%
(2/8)","71%
(12/17)","29%
(5/17)",monfils-gael,simon-gilles,13.02.2020 18:45,rotterdam-2020,2-0,2,3,2-0 | 6-4 | 6-1,6-4,,6-1,,,,,,,
9,3,2,2,61%,64%,"81%
(38/47)","76%
(26/34)","50%
(15/30)","68%
(13/19)",5/5,0/2,"24%
(8/34)","19%
(9/47)","21%
(4/19)","43%
(13/30)",2/2,0/5,"69%
(53/77)","74%
(39/53)","26%
(14/53)","31%
(24/77)","52%
(67/130)","48%
(63/130)","100%
(11/11)","82%
(9/11)","18%
(2/11)","0%
(0/11)","59%
(13/22)","41%
(9/22)",bedene-aljaz,tsitsipas-stefanos,13.02.2020 13:55,rotterdam-2020,2-0,2,3,2-0 | 7-5 | 6-4,7-5,,6-4,,,,,,,
