Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,1,2,0,58%,66%,"48%
(10/21)","74%
(20/27)","33%
(5/15)","64%
(9/14)",1/6,0/0,"26%
(7/27)","52%
(11/21)","36%
(5/14)","53%
(8/15)",0/0,5/6,"42%
(15/36)","71%
(29/41)","29%
(12/41)","58%
(21/36)","35%
(27/77)","65%
(50/77)","29%
(2/7)","100%
(7/7)","0%
(0/7)","71%
(5/7)","14%
(2/14)","86%
(12/14)",norrie-cameron,ruud-casper,03.10.2021 23:15,san-diego-2021,0-2,2,3,0-2 | 0-6 | 2-6,0-6,,2-6,,,,,,,
4,3,4,2,72%,57%,"65%
(44/68)","68%
(32/47)","50%
(13/26)","53%
(19/36)",6/12,1/6,"32%
(15/47)","35%
(24/68)","42%
(15/36)","35%
(9/26)",5/6,6/12,"61%
(57/94)","61%
(51/83)","39%
(32/83)","39%
(37/94)","50%
(89/177)","50%
(88/177)","60%
(9/15)","67%
(10/15)","33%
(5/15)","40%
(6/15)","47%
(14/30)","53%
(16/30)",dimitrov-grigor,ruud-casper,02.10.2021 23:30,san-diego-2021,1-2,3,3,1-2 | 4-6 | 6-4 | 4-6,4-6,,6-4,,4-6,,,,,
13,8,4,5,55%,60%,"72%
(34/47)","73%
(41/56)","62%
(24/39)","54%
(20/37)",2/4,8/10,"27%
(15/56)","28%
(13/47)","32%
(12/37)","28%
(11/39)",2/10,2/4,"67%
(58/86)","66%
(61/93)","34%
(32/93)","33%
(28/86)","50%
(90/179)","50%
(89/179)","85%
(11/13)","87%
(13/15)","13%
(2/15)","15%
(2/13)","46%
(13/28)","54%
(15/28)",rublev-andrey,norrie-cameron,02.10.2021 21:10,san-diego-2021,1-2,3,3,1-2 | 6-3 | 3-6 | 4-6,6-3,,3-6,,4-6,,,,,
2,2,1,6,53%,59%,"58%
(22/38)","76%
(29/38)","47%
(16/34)","46%
(12/26)",5/10,1/4,"24%
(9/38)","42%
(16/38)","31%
(8/26)","50%
(17/34)",3/4,5/10,"53%
(38/72)","64%
(41/64)","36%
(23/64)","47%
(34/72)","45%
(61/136)","55%
(75/136)","55%
(6/11)","73%
(8/11)","27%
(3/11)","45%
(5/11)","41%
(9/22)","59%
(13/22)",karatsev-aslan,dimitrov-grigor,02.10.2021 02:25,san-diego-2021,1-2,3,3,1-2 | 1-6 | 6-1 | 2-6,1-6,,6-1,,2-6,,,,,
6,3,4,0,64%,70%,"73%
(22/30)","72%
(31/43)","35%
(6/17)","56%
(10/18)",1/4,3/3,"28%
(12/43)","27%
(8/30)","44%
(8/18)","41%
(7/17)",0/3,3/4,"60%
(28/47)","67%
(41/61)","33%
(20/61)","40%
(19/47)","44%
(48/108)","56%
(60/108)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",sonego-lorenzo,ruud-casper,02.10.2021 00:40,san-diego-2021,0-2,2,3,0-2 | 1-6 | 4-6,1-6,,4-6,,,,,,,
4,1,5,3,60%,52%,"67%
(32/48)","70%
(23/33)","47%
(15/32)","23%
(7/31)",7/8,5/10,"30%
(10/33)","35%
(17/48)","68%
(21/31)","38%
(12/32)",5/10,1/8,"59%
(47/80)","47%
(30/64)","53%
(34/64)","41%
(33/80)","56%
(81/144)","44%
(63/144)","89%
(8/9)","50%
(5/10)","50%
(5/10)","11%
(1/9)","68%
(13/19)","32%
(6/19)",rublev-andrey,schwartzman-diego,01.10.2021 20:05,san-diego-2021,2-0,2,3,2-0 | 6-1 | 7-5,6-1,,7-5,,,,,,,
3,1,5,0,56%,80%,"64%
(16/25)","77%
(33/43)","35%
(7/20)","36%
(4/11)",2/6,1/1,"23%
(10/43)","36%
(9/25)","64%
(7/11)","40%
(8/20)",0/1,4/6,"51%
(23/45)","69%
(37/54)","31%
(17/54)","49%
(22/45)","40%
(40/99)","60%
(59/99)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",shapovalov-denis,norrie-cameron,01.10.2021 18:40,san-diego-2021,0-2,2,3,0-2 | 3-6 | 1-6,3-6,,1-6,,,,,,,
1,2,1,1,54%,58%,"84%
(16/19)","48%
(12/25)","81%
(13/16)","22%
(4/18)",0/0,3/8,"52%
(13/25)","16%
(3/19)","72%
(13/18)","13%
(2/16)",5/8,0/0,"83%
(29/35)","37%
(16/43)","63%
(27/43)","17%
(6/35)","72%
(56/78)","28%
(22/78)","100%
(7/7)","29%
(2/7)","71%
(5/7)","0%
(0/7)","86%
(12/14)","14%
(2/14)",dimitrov-grigor,holmgren-august,01.10.2021 02:55,san-diego-2021,2-0,2,3,2-0 | 6-1 | 6-1,6-1,,6-1,,,,,,,
3,3,3,0,53%,69%,"64%
(23/36)","67%
(30/45)","38%
(12/32)","55%
(11/20)",1/6,2/5,"33%
(15/45)","36%
(13/36)","45%
(9/20)","53%
(17/32)",3/5,5/6,"51%
(35/68)","63%
(41/65)","37%
(24/65)","49%
(33/68)","44%
(59/133)","56%
(74/133)","55%
(6/11)","73%
(8/11)","27%
(3/11)","45%
(5/11)","41%
(9/22)","59%
(13/22)",murray-andy,ruud-casper,01.10.2021 00:40,san-diego-2021,0-2,2,3,0-2 | 5-7 | 4-6,5-7,,4-6,,,,,,,
7,2,0,4,60%,49%,"79%
(34/43)","83%
(19/23)","48%
(14/29)","46%
(11/24)",6/7,0/3,"17%
(4/23)","21%
(9/43)","38%
(9/24)","52%
(15/29)",3/3,1/7,"67%
(48/72)","64%
(30/47)","36%
(17/47)","33%
(24/72)","55%
(65/119)","45%
(54/119)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",sonego-lorenzo,korda-sebastian,30.09.2021 22:45,san-diego-2021,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
