Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
14,8,2,6,65%,56%,"71%
(48/68)","69%
(41/59)","59%
(22/37)","53%
(25/47)",6/8,4/8,"31%
(18/59)","29%
(20/68)","34%
(16/47)","35%
(13/37)",4/8,2/8,"67%
(70/105)","62%
(66/106)","38%
(40/106)","33%
(35/105)","52%
(110/211)","48%
(101/211)","88%
(15/17)","76%
(13/17)","24%
(4/17)","12%
(2/17)","56%
(19/34)","44%
(15/34)",garin-cristian,bagnis-facundo,14.03.2021 19:10,santiago-2021,2-1,3,3,2-1 | 6-4 | 6-7(3-7) | 7-5,6-4,,6-7,3-7,7-5,,,,,
8,1,5,2,67%,55%,"81%
(29/36)","77%
(27/35)","39%
(7/18)","31%
(9/29)",2/3,6/10,"23%
(8/35)","19%
(7/36)","62%
(18/29)","33%
(6/18)",4/10,1/3,"67%
(36/54)","56%
(36/64)","44%
(28/64)","33%
(18/54)","54%
(64/118)","46%
(54/118)","89%
(8/9)","60%
(6/10)","40%
(4/10)","11%
(1/9)","63%
(12/19)","37%
(7/19)",garin-cristian,galan-daniel-elahi,13.03.2021 22:10,santiago-2021,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
7,2,1,2,59%,69%,"82%
(31/38)","67%
(32/48)","54%
(14/26)","32%
(7/22)",0/1,5/8,"33%
(16/48)","18%
(7/38)","55%
(12/22)","42%
(11/26)",3/8,1/1,"70%
(45/64)","56%
(39/70)","44%
(31/70)","30%
(19/64)","57%
(76/134)","43%
(58/134)","91%
(10/11)","70%
(7/10)","30%
(3/10)","9%
(1/11)","62%
(13/21)","38%
(8/21)",bagnis-facundo,delbonis-federico,13.03.2021 20:05,santiago-2021,2-0,2,3,2-0 | 7-5 | 6-3,7-5,,6-3,,,,,,,
10,1,0,1,58%,63%,"72%
(34/47)","63%
(27/43)","50%
(17/34)","64%
(16/25)",8/9,1/4,"37%
(16/43)","28%
(13/47)","36%
(9/25)","50%
(17/34)",3/4,1/9,"63%
(51/81)","63%
(43/68)","37%
(25/68)","37%
(30/81)","51%
(76/149)","49%
(73/149)","90%
(9/10)","73%
(8/11)","27%
(3/11)","10%
(1/10)","57%
(12/21)","43%
(9/21)",galan-daniel-elahi,carballes-baena-roberto,12.03.2021 21:00,santiago-2021,2-0,2,3,2-0 | 7-6(10-8) | 6-3,7-6,10-8,6-3,,,,,,,
4,0,0,0,71%,48%,"74%
(31/42)","62%
(18/29)","47%
(8/17)","42%
(13/31)",6/8,4/8,"38%
(11/29)","26%
(11/42)","58%
(18/31)","53%
(9/17)",4/8,2/8,"66%
(39/59)","52%
(31/60)","48%
(29/60)","34%
(20/59)","57%
(68/119)","43%
(51/119)","80%
(8/10)","60%
(6/10)","40%
(4/10)","20%
(2/10)","60%
(12/20)","40%
(8/20)",garin-cristian,varillas-juan-pablo,12.03.2021 19:10,santiago-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
3,4,4,2,66%,68%,"83%
(24/29)","61%
(22/36)","60%
(9/15)","47%
(8/17)",1/2,4/8,"39%
(14/36)","17%
(5/29)","53%
(9/17)","40%
(6/15)",4/8,1/2,"75%
(33/44)","57%
(30/53)","43%
(23/53)","25%
(11/44)","58%
(56/97)","42%
(41/97)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",delbonis-federico,rune-holger,12.03.2021 16:40,santiago-2021,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
7,7,0,2,69%,58%,"75%
(40/53)","68%
(32/47)","71%
(17/24)","59%
(20/34)",4/5,2/5,"32%
(15/47)","25%
(13/53)","41%
(14/34)","29%
(7/24)",3/5,1/5,"74%
(57/77)","64%
(53/83)","36%
(30/83)","26%
(20/77)","54%
(87/160)","46%
(73/160)","93%
(13/14)","79%
(11/14)","21%
(3/14)","7%
(1/14)","57%
(16/28)","43%
(12/28)",bagnis-facundo,djere-laslo,12.03.2021 14:05,santiago-2021,2-1,3,3,2-1 | 4-6 | 6-3 | 6-3,4-6,,6-3,,6-3,,,,,
8,1,1,4,65%,60%,"79%
(27/34)","54%
(15/28)","56%
(10/18)","42%
(8/19)",2/2,2/6,"46%
(13/28)","21%
(7/34)","37%
(7/19)","39%
(7/18)",4/6,0/2,"71%
(37/52)","49%
(23/47)","51%
(24/47)","29%
(15/52)","62%
(61/99)","38%
(38/99)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",garin-cristian,tabilo-alejandro,11.03.2021 22:45,santiago-2021,2-0,2,3,2-0 | 6-2 | 6-2,6-2,,6-2,,,,,,,
6,6,5,1,49%,59%,"75%
(27/36)","68%
(25/37)","54%
(20/37)","19%
(5/26)",4/6,3/6,"32%
(12/37)","25%
(9/36)","50%
(13/26)","46%
(17/37)",3/6,2/6,"64%
(47/73)","59%
(38/64)","41%
(26/64)","36%
(26/73)","53%
(72/137)","47%
(64/137)","82%
(9/11)","73%
(8/11)","27%
(3/11)","18%
(2/11)","55%
(12/22)","45%
(10/22)",varillas-juan-pablo,coria-federico,11.03.2021 18:15,santiago-2021,2-0,2,3,2-0 | 6-4 | 7-6(7-2),6-4,,7-6,7-2,,,,,,
0,0,0,1,60%,73%,"43%
(13/30)","65%
(28/43)","35%
(7/20)","56%
(9/16)",3/8,6/6,"35%
(15/43)","57%
(17/30)","44%
(7/16)","65%
(13/20)",0/6,5/8,"41%
(21/51)","65%
(32/49)","35%
(17/49)","59%
(30/51)","42%
(42/100)","67%
(67/100)","29%
(2/7)","100%
(7/7)","0%
(0/7)","71%
(5/7)","14%
(2/14)","86%
(12/14)",cerundolo-juan-manuel,carballes-baena-roberto,11.03.2021 16:40,santiago-2021,0-2,2,3,0-2 | 2-6 | 0-6,2-6,,0-6,,,,,,,
1,6,2,0,54%,79%,"63%
(22/35)","74%
(37/50)","53%
(16/30)","54%
(7/13)",2/5,0/1,"26%
(13/50)","37%
(13/35)","46%
(6/13)","43%
(13/30)",1/1,3/5,"57%
(37/65)","68%
(43/63)","32%
(20/63)","43%
(28/65)","45%
(57/128)","55%
(71/128)","67%
(6/9)","90%
(9/10)","10%
(1/10)","33%
(3/9)","37%
(7/19)","63%
(12/19)",andujar-pablo,galan-daniel-elahi,11.03.2021 14:10,santiago-2021,0-2,2,3,0-2 | 1-6 | 6-7(7-9),1-6,,6-7,7-9,,,,,,
2,2,1,5,71%,62%,"82%
(28/34)","76%
(28/37)","43%
(6/14)","13%
(3/23)",0/0,4/8,"24%
(9/37)","18%
(6/34)","65%
(15/23)","50%
(7/14)",4/8,0/0,"71%
(34/48)","53%
(32/60)","47%
(28/60)","29%
(14/48)","57%
(62/108)","43%
(46/108)","100%
(8/8)","56%
(5/9)","44%
(4/9)","0%
(0/8)","71%
(12/17)","29%
(5/17)",rune-holger,paire-benoit,10.03.2021 22:35,santiago-2021,2-0,2,3,2-0 | 6-2 | 6-3,6-2,,6-3,,,,,,,
3,3,3,5,58%,65%,"77%
(23/30)","56%
(18/32)","50%
(11/22)","18%
(3/17)",4/5,5/10,"44%
(14/32)","23%
(7/30)","53%
(9/17)","36%
(8/22)",5/10,1/5,"65%
(34/52)","43%
(21/49)","57%
(28/49)","35%
(18/52)","61%
(62/101)","39%
(39/101)","88%
(7/8)","29%
(2/7)","71%
(5/7)","13%
(1/8)","80%
(12/15)","20%
(3/15)",delbonis-federico,martin-andrej,10.03.2021 19:15,santiago-2021,2-0,2,3,2-0 | 6-0 | 6-3,6-0,,6-3,,,,,,,
3,8,3,1,61%,66%,"55%
(28/51)","63%
(31/49)","63%
(20/32)","72%
(18/25)",8/11,3/6,"37%
(18/49)","45%
(23/51)","24%
(6/25)","28%
(9/32)",3/6,3/11,"58%
(48/83)","66%
(49/74)","34%
(25/74)","42%
(35/83)","46%
(73/157)","54%
(84/157)","75%
(9/12)","75%
(9/12)","25%
(3/12)","25%
(3/12)","50%
(12/24)","50%
(12/24)",tiafoe-frances,bagnis-facundo,10.03.2021 16:50,santiago-2021,0-2,2,3,0-2 | 6-7(3-7) | 6-7(2-7),6-7,3-7,6-7,2-7,,,,,,
2,6,7,5,47%,56%,"76%
(35/46)","78%
(45/58)","49%
(25/51)","51%
(23/45)",2/6,2/5,"22%
(13/58)","24%
(11/46)","38%
(17/45)","37%
(19/51)",3/5,4/6,"62%
(60/97)","66%
(68/103)","34%
(35/103)","38%
(37/97)","48%
(95/200)","53%
(105/200)","75%
(12/16)","82%
(14/17)","18%
(3/17)","25%
(4/16)","45%
(15/33)","55%
(18/33)",sousa-pedro,djere-laslo,10.03.2021 14:10,santiago-2021,1-2,3,3,1-2 | 7-5 | 5-7 | 3-6,7-5,,5-7,,3-6,,,,,
2,1,3,1,57%,75%,"66%
(21/32)","67%
(33/49)","42%
(10/24)","69%
(11/16)",1/5,9/10,"33%
(16/49)","34%
(11/32)","25%
(4/16)","46%
(11/24)",1/10,4/5,"55%
(31/56)","68%
(44/65)","32%
(21/65)","45%
(25/56)","43%
(52/121)","57%
(69/121)","60%
(6/10)","90%
(9/10)","10%
(1/10)","40%
(4/10)","35%
(7/20)","65%
(13/20)",lama-gonzalo,cerundolo-juan-manuel,09.03.2021 22:35,santiago-2021,0-2,2,3,0-2 | 5-7 | 2-6,5-7,,2-6,,,,,,,
0,1,3,0,62%,56%,"57%
(16/28)","82%
(18/22)","29%
(5/17)","88%
(15/17)",4/8,1/1,"18%
(4/22)","43%
(12/28)","12%
(2/17)","53%
(9/17)",0/1,4/8,"47%
(21/45)","85%
(33/39)","15%
(6/39)","53%
(24/45)","32%
(27/84)","68%
(57/84)","43%
(3/7)","100%
(8/8)","0%
(0/8)","57%
(4/7)","20%
(3/15)","80%
(12/15)",cerundolo-francisco,martin-andrej,09.03.2021 19:55,santiago-2021,0-2,2,3,0-2 | 1-6 | 2-6,1-6,,2-6,,,,,,,
1,1,0,2,66%,79%,"71%
(25/35)","54%
(25/46)","67%
(12/18)","33%
(4/12)",2/3,8/12,"46%
(21/46)","29%
(10/35)","50%
(6/12)","28%
(5/18)",4/12,1/3,"72%
(38/53)","50%
(29/58)","50%
(29/58)","28%
(15/53)","60%
(67/111)","40%
(44/111)","89%
(8/9)","50%
(4/8)","50%
(4/8)","11%
(1/9)","71%
(12/17)","29%
(5/17)",rune-holger,baez-sebastian,09.03.2021 19:40,santiago-2021,2-0,2,3,2-0 | 6-3 | 6-2,6-3,,6-2,,,,,,,
1,3,5,0,42%,50%,"73%
(16/22)","70%
(21/30)","39%
(12/31)","63%
(19/30)",4/8,9/9,"30%
(9/30)","27%
(6/22)","37%
(11/30)","45%
(14/31)",0/9,4/8,"53%
(28/53)","67%
(40/60)","33%
(20/60)","47%
(25/53)","42%
(48/113)","58%
(65/113)","56%
(5/9)","100%
(8/8)","0%
(0/8)","44%
(4/9)","29%
(5/17)","71%
(12/17)",sousa-joao,varillas-juan-pablo,09.03.2021 18:15,santiago-2021,0-2,2,3,0-2 | 4-6 | 1-6,4-6,,1-6,,,,,,,
7,3,3,4,64%,68%,"68%
(28/41)","67%
(32/48)","35%
(8/23)","30%
(7/23)",1/5,5/9,"33%
(16/48)","32%
(13/41)","52%
(12/23)","52%
(12/23)",4/9,4/5,"56%
(36/64)","55%
(39/71)","45%
(32/71)","44%
(28/64)","50%
(68/135)","50%
(67/135)","64%
(7/11)","67%
(8/12)","33%
(4/12)","36%
(4/11)","48%
(11/23)","52%
(12/23)",kovalik-jozef,tabilo-alejandro,09.03.2021 17:35,santiago-2021,1-2,3,3,1-2 | 1-6 | 6-0 | 4-6,1-6,,6-0,,4-6,,,,,
4,2,3,5,65%,58%,"57%
(42/74)","69%
(40/58)","62%
(24/39)","45%
(19/42)",7/12,4/11,"31%
(18/58)","43%
(32/74)","43%
(18/42)","31%
(12/39)",7/11,5/12,"58%
(66/113)","59%
(59/100)","41%
(41/100)","42%
(47/113)","50%
(107/213)","50%
(106/213)","69%
(11/16)","56%
(9/16)","44%
(7/16)","31%
(5/16)","56%
(18/32)","44%
(14/32)",delbonis-federico,munar-jaume,09.03.2021 15:10,santiago-2021,2-1,3,3,2-1 | 6-4 | 6-7(5-7) | 6-4,6-4,,6-7,5-7,6-4,,,,,
9,9,10,4,55%,64%,"70%
(54/77)","68%
(56/82)","54%
(34/63)","66%
(31/47)",10/11,7/9,"32%
(26/82)","30%
(23/77)","26%
(12/47)","30%
(19/63)",2/9,1/11,"63%
(88/140)","67%
(87/129)","33%
(42/129)","37%
(52/140)","48%
(130/269)","52%
(139/269)","94%
(16/17)","88%
(15/17)","12%
(2/17)","6%
(1/17)","53%
(18/34)","47%
(16/34)",mager-gianluca,coria-federico,09.03.2021 14:05,santiago-2021,1-2,3,3,1-2 | 6-4 | 6-7(4-7) | 6-7(4-7),6-4,,6-7,4-7,6-7,4-7,,,,
13,29,4,9,59%,57%,"80%
(53/66)","77%
(57/74)","70%
(32/46)","55%
(31/56)",0/1,2/3,"23%
(17/74)","20%
(13/66)","29%
(16/56)","22%
(10/46)",1/3,1/1,"76%
(85/112)","68%
(88/130)","32%
(42/130)","24%
(27/112)","52%
(127/242)","48%
(115/242)","94%
(17/18)","94%
(17/18)","6%
(1/18)","6%
(1/18)","50%
(18/36)","50%
(18/36)",tiafoe-frances,jarry-nicolas,08.03.2021 22:35,santiago-2021,2-1,3,3,2-1 | 7-6(9-7) | 6-7(7-9) | 7-6(9-7),7-6,9-7,6-7,7-9,7-6,9-7,,,,
6,1,3,2,61%,63%,"67%
(31/46)","55%
(24/44)","52%
(15/29)","62%
(16/26)",2/5,2/6,"45%
(20/44)","33%
(15/46)","31%
(8/26)","38%
(11/29)",4/6,3/5,"61%
(46/75)","57%
(40/70)","43%
(30/70)","39%
(29/75)","52%
(76/145)","48%
(69/145)","73%
(8/11)","64%
(7/11)","36%
(4/11)","27%
(3/11)","55%
(12/22)","45%
(10/22)",carballes-baena-roberto,caruso-salvatore,08.03.2021 19:55,santiago-2021,2-0,2,3,2-0 | 6-4 | 7-6(7-5),6-4,,7-6,7-5,,,,,,
6,14,2,7,51%,54%,"87%
(40/46)","78%
(45/58)","61%
(27/44)","51%
(25/49)",2/4,6/8,"22%
(13/58)","13%
(6/46)","35%
(17/49)","34%
(15/44)",2/8,2/4,"74%
(67/90)","65%
(70/107)","35%
(37/107)","26%
(23/90)","53%
(104/197)","47%
(93/197)","88%
(14/16)","88%
(15/17)","12%
(2/17)","13%
(2/16)","48%
(16/33)","52%
(17/33)",galan-daniel-elahi,altmaier-daniel,08.03.2021 17:15,santiago-2021,2-1,3,3,2-1 | 7-6(7-2) | 3-6 | 7-5,7-6,7-2,3-6,,7-5,,,,,
7,7,2,4,63%,64%,"83%
(49/59)","63%
(45/71)","43%
(15/35)","50%
(20/40)",6/7,4/9,"37%
(26/71)","17%
(10/59)","40%
(16/40)","51%
(18/35)",5/9,1/7,"68%
(64/94)","59%
(65/111)","41%
(46/111)","32%
(30/94)","54%
(110/205)","46%
(95/205)","93%
(13/14)","67%
(10/15)","33%
(5/15)","7%
(1/14)","62%
(18/29)","38%
(11/29)",bagnis-facundo,cecchinato-marco,08.03.2021 16:55,santiago-2021,2-1,3,3,2-1 | 6-7(4-7) | 6-2 | 6-3,6-7,4-7,6-2,,6-3,,,,,
5,2,1,1,54%,76%,"88%
(22/25)","63%
(22/35)","71%
(15/21)","55%
(6/11)",2/2,3/6,"37%
(13/35)","12%
(3/25)","36%
(4/11)","24%
(5/21)",3/6,0/2,"80%
(37/46)","61%
(28/46)","39%
(18/46)","20%
(9/46)","60%
(55/92)","40%
(37/92)","100%
(9/9)","63%
(5/8)","38%
(3/8)","0%
(0/9)","71%
(12/17)","29%
(5/17)",varillas-juan-pablo,meligeni-rodrigues-alves-felipe,08.03.2021 16:45,santiago-2021,2-0,2,3,2-0 | 6-4 | 6-1,6-4,,6-1,,,,,,,
3,0,1,6,57%,51%,"86%
(24/28)","77%
(23/30)","62%
(13/21)","38%
(11/29)",0/0,3/6,"23%
(7/30)","14%
(4/28)","41%
(12/29)","33%
(7/21)",3/6,0/0,"76%
(37/49)","58%
(34/59)","42%
(25/59)","24%
(12/49)","57%
(62/108)","43%
(46/108)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",sousa-pedro,mayer-leonardo,08.03.2021 15:40,santiago-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
1,3,9,0,57%,82%,"56%
(28/50)","61%
(48/79)","39%
(15/38)","29%
(5/17)",6/13,9/14,"39%
(31/79)","44%
(22/50)","71%
(12/17)","37%
(14/38)",5/14,7/13,"49%
(43/88)","55%
(53/96)","45%
(43/96)","51%
(45/88)","47%
(86/184)","53%
(98/184)","46%
(6/13)","62%
(8/13)","38%
(5/13)","54%
(7/13)","42%
(11/26)","58%
(15/26)",kicker-nicolas,baez-sebastian,08.03.2021 14:10,santiago-2021,1-2,3,3,1-2 | 6-3 | 4-6 | 1-6,6-3,,4-6,,1-6,,,,,
2,2,3,5,66%,76%,"67%
(46/69)","62%
(42/68)","39%
(14/36)","45%
(10/22)",6/10,7/12,"38%
(26/68)","33%
(23/69)","32%
(7/22)","53%
(19/36)",5/12,4/10,"57%
(60/105)","58%
(52/90)","42%
(38/90)","43%
(45/105)","50%
(98/195)","50%
(97/195)","73%
(11/15)","64%
(9/14)","36%
(5/14)","27%
(4/15)","55%
(16/29)","45%
(13/29)",rune-holger,olivo-renzo,08.03.2021 14:05,santiago-2021,2-1,3,3,2-1 | 4-6 | 6-3 | 6-4,4-6,,6-3,,6-4,,,,,
4,6,0,1,69%,57%,"81%
(30/37)","68%
(19/28)","76%
(13/17)","57%
(12/21)",0/0,0/2,"32%
(9/28)","19%
(7/37)","38%
(8/21)","24%
(4/17)",2/2,0/0,"80%
(43/54)","63%
(31/49)","37%
(18/49)","20%
(11/54)","59%
(61/103)","41%
(42/103)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",tabilo-alejandro,velotti-agustin,08.03.2021 14:05,santiago-2021,2-0,2,3,2-0 | 7-6(7-1) | 6-1,7-6,7-1,6-1,,,,,,,
