Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
2,4,1,2,50%,59%,"93%
(25/27)","80%
(24/30)","63%
(17/27)","48%
(10/21)",2/2,2/4,"20%
(6/30)","7%
(2/27)","43%
(9/21)","33%
(9/27)",2/4,0/2,"78%
(42/54)","67%
(34/51)","33%
(17/51)","22%
(12/54)","56%
(59/105)","44%
(46/105)","100%
(11/11)","67%
(6/9)","22%
(2/9)","0%
(0/11)","65%
(13/20)","30%
(6/20)",sinner-jannik,monfils-gael,03.10.2021 13:40,sofia-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
7,2,1,2,54%,64%,"77%
(23/30)","63%
(31/49)","62%
(16/26)","36%
(10/28)",1/3,4/8,"37%
(18/49)","23%
(7/30)","57%
(16/28)","35%
(9/26)",4/8,2/3,"70%
(39/56)","53%
(41/77)","47%
(36/77)","30%
(17/56)","56%
(75/133)","44%
(58/133)","82%
(9/11)","60%
(6/10)","40%
(4/10)","18%
(2/11)","62%
(13/21)","38%
(8/21)",sinner-jannik,krajinovic-filip,02.10.2021 15:10,sofia-2021,2-0,2,3,2-0 | 6-3 | 7-5,6-3,,7-5,,,,,,,
1,6,1,0,67%,70%,"57%
(21/37)","82%
(27/33)","33%
(6/18)","57%
(8/14)",5/10,0/1,"18%
(6/33)","43%
(16/37)","43%
(6/14)","61%
(11/18)",1/1,5/10,"49%
(27/55)","74%
(35/47)","26%
(12/47)","51%
(28/55)","38%
(39/102)","62%
(63/102)","44%
(4/9)","89%
(8/9)","11%
(1/9)","56%
(5/9)","28%
(5/18)","72%
(13/18)",giron-marcos,monfils-gael,02.10.2021 13:10,sofia-2021,0-2,2,3,0-2 | 5-7 | 0-6,5-7,,0-6,,,,,,,
13,13,4,1,62%,67%,"68%
(41/60)","74%
(49/66)","46%
(17/37)","48%
(16/33)",8/11,8/9,"26%
(17/66)","32%
(19/60)","48%
(16/33)","43%
(16/37)",1/9,3/11,"60%
(58/97)","66%
(65/99)","34%
(34/99)","40%
(39/97)","47%
(92/196)","53%
(104/196)","79%
(11/14)","93%
(13/14)","7%
(1/14)","21%
(3/14)","43%
(12/28)","57%
(16/28)",majchrzak-kamil,krajinovic-filip,01.10.2021 17:20,sofia-2021,1-2,3,3,1-2 | 3-6 | 6-4 | 3-6,3-6,,6-4,,3-6,,,,,
6,2,4,1,56%,49%,"76%
(37/49)","64%
(23/36)","37%
(14/38)","46%
(17/37)",2/5,3/7,"36%
(13/36)","24%
(12/49)","51%
(19/37)","53%
(20/38)",4/7,3/5,"59%
(51/87)","55%
(40/73)","45%
(33/73)","41%
(36/87)","53%
(84/160)","48%
(76/160)","73%
(8/11)","64%
(7/11)","36%
(4/11)","27%
(3/11)","55%
(12/22)","45%
(10/22)",sinner-jannik,duckworth-james,01.10.2021 15:10,sofia-2021,2-0,2,3,2-0 | 7-6(7-4) | 6-4,7-6,7-4,6-4,,,,,,,
0,13,1,1,61%,72%,"56%
(15/27)","93%
(26/28)","29%
(5/17)","64%
(7/11)",4/8,1/1,"7%
(2/28)","44%
(12/27)","27%
(3/11)","65%
(11/17)",0/1,4/8,"45%
(20/44)","85%
(33/39)","15%
(6/39)","55%
(24/44)","31%
(26/83)","69%
(57/83)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",mager-gianluca,monfils-gael,01.10.2021 12:40,sofia-2021,0-2,2,3,0-2 | 2-6 | 2-6,2-6,,2-6,,,,,,,
2,3,0,0,62%,64%,"69%
(20/29)","80%
(28/35)","44%
(8/18)","60%
(12/20)",0/3,3/3,"20%
(7/35)","31%
(9/29)","40%
(8/20)","56%
(10/18)",0/3,3/3,"60%
(28/47)","73%
(40/55)","27%
(15/55)","40%
(19/47)","42%
(43/102)","58%
(59/102)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",millman-john,giron-marcos,01.10.2021 11:10,sofia-2021,0-2,2,3,0-2 | 4-6 | 2-6,4-6,,2-6,,,,,,,
4,2,2,4,54%,61%,"81%
(29/36)","69%
(27/39)","58%
(18/31)","36%
(9/25)",7/8,4/7,"31%
(12/39)","19%
(7/36)","48%
(12/25)","35%
(11/31)",3/7,1/8,"70%
(47/67)","56%
(36/64)","44%
(28/64)","30%
(20/67)","57%
(75/131)","43%
(56/131)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",sinner-jannik,gerasimov-egor,30.09.2021 15:05,sofia-2021,2-0,2,3,2-0 | 6-2 | 7-6(7-3),6-2,,7-6,7-3,,,,,,
4,3,5,0,56%,67%,"59%
(19/32)","74%
(26/35)","32%
(8/25)","65%
(11/17)",10/14,5/5,"26%
(9/35)","41%
(13/32)","35%
(6/17)","48%
(12/25)",0/5,4/14,"47%
(27/57)","71%
(37/52)","29%
(15/52)","53%
(30/57)","39%
(42/109)","61%
(67/109)","43%
(3/7)","100%
(8/8)","0%
(0/8)","57%
(4/7)","20%
(3/15)","80%
(12/15)",djere-laslo,krajinovic-filip,30.09.2021 13:00,sofia-2021,0-2,2,3,0-2 | 3-6 | 0-6,3-6,,0-6,,,,,,,
2,6,2,5,58%,41%,"70%
(21/30)","76%
(22/29)","64%
(14/22)","34%
(14/41)",2/4,8/12,"24%
(7/29)","30%
(9/30)","54%
(22/41)","27%
(6/22)",4/12,2/4,"67%
(35/52)","51%
(36/70)","49%
(34/70)","33%
(17/52)","57%
(69/122)","43%
(53/122)","80%
(8/10)","60%
(6/10)","40%
(4/10)","20%
(2/10)","60%
(12/20)","40%
(8/20)",duckworth-james,paire-benoit,30.09.2021 11:25,sofia-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
2,4,2,4,47%,56%,"73%
(27/37)","78%
(38/49)","61%
(25/41)","37%
(14/38)",2/4,7/9,"22%
(11/49)","27%
(10/37)","53%
(20/38)","34%
(14/41)",2/9,2/4,"67%
(52/78)","60%
(52/87)","40%
(35/87)","33%
(26/78)","53%
(87/165)","47%
(78/165)","83%
(10/12)","83%
(10/12)","17%
(2/12)","17%
(2/12)","50%
(12/24)","50%
(12/24)",giron-marcos,de-minaur-alex,30.09.2021 09:10,sofia-2021,2-0,2,3,2-0 | 7-6(7-5) | 7-6(7-2),7-6,7-5,7-6,7-2,,,,,,
6,11,2,1,59%,61%,"77%
(43/56)","67%
(40/60)","51%
(20/39)","53%
(20/38)",1/4,0/4,"33%
(20/60)","23%
(13/56)","45%
(17/38)","44%
(17/39)",4/4,3/4,"66%
(63/95)","61%
(60/98)","39%
(38/98)","34%
(32/95)","52%
(101/193)","48%
(92/193)","81%
(13/16)","76%
(13/17)","24%
(4/17)","19%
(3/16)","52%
(17/33)","48%
(16/33)",millman-john,marchenko-illya,30.09.2021 09:05,sofia-2021,2-1,3,3,2-1 | 5-7 | 7-6(7-0) | 6-3,5-7,,7-6,7-0,6-3,,,,,
3,6,1,6,62%,58%,"73%
(30/41)","57%
(27/47)","48%
(12/25)","41%
(14/34)",5/6,12/17,"43%
(20/47)","27%
(11/41)","41%
(14/34)","48%
(12/25)",5/17,1/6,"64%
(42/66)","51%
(41/81)","49%
(40/81)","36%
(24/66)","56%
(82/147)","44%
(65/147)","89%
(8/9)","50%
(5/10)","50%
(5/10)","11%
(1/9)","68%
(13/19)","32%
(6/19)",majchrzak-kamil,kuzmanov-dimitar,29.09.2021 17:05,sofia-2021,2-0,2,3,2-0 | 7-5 | 6-1,7-5,,6-1,,,,,,,
4,4,4,1,51%,64%,"53%
(17/32)","80%
(20/25)","39%
(12/31)","64%
(9/14)",8/13,1/1,"20%
(5/25)","47%
(15/32)","29%
(4/14)","48%
(15/31)",0/1,5/13,"46%
(29/63)","74%
(29/39)","26%
(10/39)","54%
(34/63)","38%
(39/102)","62%
(63/102)","38%
(3/8)","100%
(7/7)","0%
(0/7)","63%
(5/8)","20%
(3/15)","80%
(12/15)",lazarov-alexandar,krajinovic-filip,29.09.2021 15:40,sofia-2021,0-2,2,3,0-2 | 0-6 | 3-6,0-6,,3-6,,,,,,,
