Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
8,7,4,1,67%,61%,"80%
(41/51)","86%
(32/37)","40%
(10/25)","71%
(17/24)",2/3,0/0,"14%
(5/37)","20%
(10/51)","25%
(6/24)","44%
(11/25)",0/0,1/3,"67%
(51/76)","80%
(49/61)","20%
(12/61)","33%
(25/76)","46%
(63/137)","54%
(74/137)","91%
(10/11)","100%
(11/11)","0%
(0/11)","9%
(1/11)","45%
(10/22)","55%
(12/22)",coric-borna,rublev-andrey,18.10.2020 13:40,st-petersburg-2020,0-2,2,3,0-2 | 6-7(5-7) | 4-6,6-7,5-7,4-6,,,,,,,
4,18,1,2,64%,68%,"76%
(37/49)","73%
(33/45)","52%
(14/27)","48%
(10/21)",6/8,2/5,"27%
(12/45)","24%
(12/49)","43%
(9/21)","44%
(12/27)",3/5,2/8,"67%
(51/76)","65%
(43/66)","35%
(23/66)","33%
(25/76)","52%
(74/142)","48%
(68/142)","83%
(10/12)","75%
(9/12)","25%
(3/12)","17%
(2/12)","54%
(13/24)","46%
(11/24)",coric-borna,raonic-milos,17.10.2020 13:40,st-petersburg-2020,2-1,3,3,2-1 | 1-6 | 6-1 | 6-4,1-6,,6-1,,6-4,,,,,
8,9,2,8,62%,57%,"79%
(46/58)","76%
(38/50)","56%
(20/36)","55%
(21/38)",5/6,3/5,"24%
(12/50)","21%
(12/58)","24%
(9/38)","39%
(14/36)",2/5,1/6,"70%
(66/94)","67%
(59/88)","33%
(29/88)","30%
(28/94)","52%
(95/182)","48%
(87/182)","93%
(14/15)","86%
(12/14)","14%
(2/14)","7%
(1/15)","55%
(16/29)","45%
(13/29)",rublev-andrey,shapovalov-denis,17.10.2020 11:10,st-petersburg-2020,2-1,3,3,2-1 | 4-6 | 6-3 | 6-4,4-6,,6-3,,6-4,,,,,
6,15,1,0,72%,72%,"64%
(30/47)","85%
(35/41)","44%
(8/18)","63%
(10/16)",3/5,1/1,"15%
(6/41)","36%
(17/47)","38%
(6/16)","50%
(9/18)",0/1,2/5,"58%
(38/65)","79%
(45/57)","21%
(12/57)","42%
(27/65)","41%
(50/122)","59%
(72/122)","78%
(7/9)","100%
(10/10)","0%
(0/10)","22%
(2/9)","37%
(7/19)","63%
(12/19)",khachanov-karen,raonic-milos,16.10.2020 15:40,st-petersburg-2020,0-2,2,3,0-2 | 1-6 | 6-7(1-7),1-6,,6-7,1-7,,,,,,
16,6,1,0,62%,78%,"76%
(32/42)","86%
(36/42)","42%
(11/26)","83%
(10/12)",0/2,1/2,"14%
(6/42)","24%
(10/42)","17%
(2/12)","54%
(14/26)",1/2,2/2,"63%
(43/68)","85%
(46/54)","15%
(8/54)","37%
(25/68)","42%
(51/122)","58%
(71/122)","80%
(8/10)","91%
(10/11)","9%
(1/11)","20%
(2/10)","43%
(9/21)","57%
(12/21)",opelka-reilly,coric-borna,16.10.2020 13:35,st-petersburg-2020,0-2,2,3,0-2 | 6-7(3-7) | 3-6,6-7,3-7,3-6,,,,,,,
2,7,1,7,61%,67%,"72%
(33/46)","84%
(42/50)","40%
(12/30)","28%
(7/25)",5/8,6/7,"16%
(8/50)","28%
(13/46)","44%
(11/25)","57%
(17/30)",1/7,3/8,"59%
(45/76)","65%
(49/75)","35%
(26/75)","41%
(31/76)","47%
(71/151)","53%
(80/151)","73%
(8/11)","91%
(10/11)","9%
(1/11)","27%
(3/11)","41%
(9/22)","59%
(13/22)",wawrinka-stan,shapovalov-denis,16.10.2020 11:35,st-petersburg-2020,0-2,2,3,0-2 | 4-6 | 5-7,4-6,,5-7,,,,,,,
3,3,6,0,52%,54%,"48%
(12/25)","78%
(21/27)","43%
(10/23)","52%
(12/23)",6/11,1/1,"22%
(6/27)","52%
(13/25)","48%
(11/23)","30%
(7/23)",0/1,5/11,"46%
(22/48)","66%
(33/50)","34%
(17/50)","54%
(26/48)","40%
(39/98)","60%
(59/98)","38%
(3/8)","100%
(7/7)","0%
(0/7)","63%
(5/8)","20%
(3/15)","80%
(12/15)",norrie-cameron,rublev-andrey,16.10.2020 10:15,st-petersburg-2020,0-2,2,3,0-2 | 2-6 | 1-6,2-6,,1-6,,,,,,,
8,9,2,1,69%,69%,"65%
(20/31)","78%
(32/41)","36%
(5/14)","56%
(10/18)",1/4,4/4,"22%
(9/41)","35%
(11/31)","39%
(7/18)","50%
(7/14)",0/4,3/4,"56%
(25/45)","71%
(42/59)","29%
(17/59)","44%
(20/45)","40%
(42/104)","60%
(62/104)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",bublik-alexander,raonic-milos,15.10.2020 18:55,st-petersburg-2020,0-2,2,3,0-2 | 3-6 | 2-6,3-6,,2-6,,,,,,,
7,1,0,6,74%,56%,"73%
(47/64)","71%
(39/55)","64%
(14/22)","45%
(20/44)",1/3,3/6,"29%
(16/55)","27%
(17/64)","41%
(18/44)","36%
(8/22)",3/6,2/3,"71%
(61/86)","60%
(59/99)","40%
(40/99)","29%
(25/86)","55%
(101/185)","45%
(84/185)","88%
(14/16)","80%
(12/15)","20%
(3/15)","13%
(2/16)","55%
(17/31)","45%
(14/31)",khachanov-karen,karatsev-aslan,15.10.2020 16:20,st-petersburg-2020,2-1,3,3,2-1 | 4-6 | 7-5 | 6-3,4-6,,7-5,,6-3,,,,,
6,11,2,2,62%,68%,"91%
(40/44)","79%
(53/67)","59%
(16/27)","34%
(11/32)",2/4,7/9,"21%
(14/67)","9%
(4/44)","59%
(19/32)","33%
(9/27)",2/9,2/4,"79%
(56/71)","65%
(64/99)","35%
(35/99)","21%
(15/71)","54%
(91/170)","46%
(79/170)","87%
(13/15)","87%
(13/15)","13%
(2/15)","13%
(2/15)","50%
(15/30)","50%
(15/30)",medvedev-daniil,opelka-reilly,15.10.2020 14:05,st-petersburg-2020,1-2,3,3,1-2 | 6-2 | 5-7 | 4-6,6-2,,5-7,,4-6,,,,,
