Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,1,1,3,55%,70%,"72%
(33/46)","71%
(44/62)","61%
(23/38)","41%
(11/27)",3/5,10/12,"29%
(18/62)","28%
(13/46)","48%
(13/27)","37%
(14/38)",2/12,2/5,"67%
(56/84)","62%
(55/89)","38%
(34/89)","33%
(28/84)","52%
(90/173)","47%
(82/173)","86%
(12/14)","86%
(12/14)","14%
(2/14)","13%
(2/15)","48%
(14/29)","50%
(14/28)",paul-tommy,shapovalov-denis,13.11.2021 15:10,stockholm-2021,2-1,3,3,2-1 | 6-4 | 2-6 | 6-4,6-4,,2-6,,6-4,,,,,
7,2,3,2,72%,42%,"70%
(37/53)","84%
(21/25)","38%
(8/21)","37%
(13/35)",3/5,2/6,"16%
(4/25)","30%
(16/53)","57%
(20/35)","48%
(10/21)",4/6,2/5,"61%
(45/74)","57%
(34/60)","43%
(26/60)","39%
(29/74)","53%
(71/134)","47%
(63/134)","82%
(9/11)","64%
(7/11)","36%
(4/11)","18%
(2/11)","59%
(13/22)","41%
(9/22)",shapovalov-denis,auger-aliassime-felix,12.11.2021 20:00,stockholm-2021,2-0,2,3,2-0 | 6-4 | 7-5,6-4,,7-5,,,,,,,
10,9,0,4,64%,61%,"71%
(47/66)","70%
(47/67)","65%
(24/37)","50%
(21/42)",6/9,6/9,"30%
(20/67)","29%
(19/66)","40%
(17/42)","35%
(13/37)",3/9,3/9,"69%
(71/103)","62%
(68/109)","38%
(41/109)","31%
(32/103)","53%
(112/212)","47%
(100/212)","82%
(14/17)","82%
(14/17)","18%
(3/17)","18%
(3/17)","50%
(17/34)","50%
(17/34)",paul-tommy,tiafoe-frances,12.11.2021 17:10,stockholm-2021,2-1,3,3,2-1 | 5-7 | 7-6(7-5) | 6-4,5-7,,7-6,7-5,6-4,,,,,
7,14,3,6,60%,71%,"75%
(41/55)","77%
(48/62)","58%
(21/36)","56%
(14/25)",5/8,2/4,"23%
(14/62)","25%
(14/55)","20%
(5/25)","33%
(12/36)",2/4,3/8,"68%
(62/91)","71%
(62/87)","29%
(25/87)","32%
(29/91)","49%
(87/178)","51%
(91/178)","80%
(12/15)","88%
(14/16)","13%
(2/16)","20%
(3/15)","45%
(14/31)","55%
(17/31)",rinderknech-arthur,shapovalov-denis,11.11.2021 19:55,stockholm-2021,1-2,3,3,1-2 | 6-4 | 3-6 | 5-7,6-4,,3-6,,5-7,,,,,
4,2,3,0,56%,51%,"61%
(31/51)","83%
(29/35)","53%
(21/40)","64%
(21/33)",4/8,0/2,"17%
(6/35)","39%
(20/51)","36%
(12/33)","40%
(16/40)",2/2,4/8,"57%
(52/91)","74%
(50/68)","26%
(18/68)","43%
(39/91)","44%
(70/159)","56%
(89/159)","69%
(9/13)","85%
(11/13)","15%
(2/13)","31%
(4/13)","42%
(11/26)","58%
(15/26)",murray-andy,paul-tommy,11.11.2021 17:15,stockholm-2021,1-2,3,3,1-2 | 2-6 | 6-3 | 3-6,2-6,,6-3,,3-6,,,,,
5,11,1,1,62%,62%,"71%
(30/42)","82%
(27/33)","38%
(10/26)","60%
(12/20)",9/12,1/1,"18%
(6/33)","31%
(13/42)","35%
(7/20)","58%
(15/26)",0/1,3/12,"59%
(40/68)","74%
(39/53)","26%
(14/53)","41%
(28/68)","45%
(54/121)","55%
(67/121)","70%
(7/10)","100%
(9/9)","0%
(0/9)","30%
(3/10)","37%
(7/19)","63%
(12/19)",van-de-zandschulp-botic,auger-aliassime-felix,11.11.2021 13:20,stockholm-2021,0-2,2,3,0-2 | 4-6 | 3-6,4-6,,3-6,,,,,,,
3,11,3,3,60%,65%,"70%
(30/43)","70%
(35/50)","34%
(10/29)","41%
(11/27)",7/12,6/8,"30%
(15/50)","30%
(13/43)","48%
(13/27)","55%
(16/29)",2/8,5/12,"56%
(40/72)","60%
(46/77)","40%
(31/77)","44%
(32/72)","48%
(71/149)","52%
(78/149)","55%
(6/11)","80%
(8/10)","20%
(2/10)","45%
(5/11)","38%
(8/21)","62%
(13/21)",evans-daniel,tiafoe-frances,11.11.2021 11:10,stockholm-2021,1-2,3,3,1-2 | 6-1 | 1-6 | 1-6,6-1,,1-6,,1-6,,,,,
0,8,0,3,53%,64%,"57%
(16/28)","82%
(32/39)","56%
(14/25)","45%
(10/22)",2/5,4/5,"18%
(7/39)","43%
(12/28)","41%
(9/22)","44%
(11/25)",1/5,3/5,"57%
(30/53)","69%
(42/61)","31%
(19/61)","43%
(23/53)","43%
(49/114)","57%
(65/114)","67%
(6/9)","90%
(9/10)","10%
(1/10)","33%
(3/9)","37%
(7/19)","63%
(12/19)",krajinovic-filip,auger-aliassime-felix,10.11.2021 19:50,stockholm-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
6,8,1,2,48%,49%,"75%
(27/36)","72%
(23/32)","51%
(20/39)","70%
(23/33)",4/6,1/1,"28%
(9/32)","25%
(9/36)","24%
(8/33)","46%
(18/39)",0/1,2/6,"63%
(47/75)","71%
(46/65)","29%
(19/65)","37%
(28/75)","47%
(66/140)","53%
(74/140)","82%
(9/11)","100%
(10/10)","0%
(0/10)","18%
(2/11)","43%
(9/21)","57%
(12/21)",sinner-jannik,murray-andy,10.11.2021 17:10,stockholm-2021,0-2,2,3,0-2 | 6-7(4-7) | 3-6,6-7,4-7,3-6,,,,,,,
2,3,3,4,51%,63%,"83%
(29/35)","71%
(32/45)","45%
(15/33)","37%
(10/27)",3/4,4/7,"29%
(13/45)","17%
(6/35)","48%
(13/27)","45%
(15/33)",3/7,1/4,"65%
(44/68)","58%
(42/72)","42%
(30/72)","35%
(24/68)","53%
(74/140)","47%
(66/140)","90%
(9/10)","70%
(7/10)","30%
(3/10)","10%
(1/10)","60%
(12/20)","40%
(8/20)",paul-tommy,fritz-taylor,10.11.2021 14:50,stockholm-2021,2-0,2,3,2-0 | 6-4 | 6-4,6-4,,6-4,,,,,,,
