Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
7,4,2,6,61%,58%,"77%
(33/43)","67%
(28/42)","64%
(18/28)","47%
(14/30)",4/5,8/10,"33%
(14/42)","23%
(10/43)","33%
(10/30)","29%
(8/28)",2/10,1/5,"72%
(51/71)","58%
(42/72)","42%
(30/72)","28%
(20/71)","57%
(81/143)","43%
(62/143)","91%
(10/11)","80%
(8/10)","20%
(2/10)","9%
(1/11)","57%
(12/21)","43%
(9/21)",cilic-marin,auger-aliassime-felix,13.06.2021 10:10,stuttgart-2021,2-0,2,3,2-0 | 7-6(7-2) | 6-3,7-6,7-2,6-3,,,,,,,
7,3,3,1,54%,61%,"100%
(13/13)","64%
(14/22)","64%
(7/11)","43%
(6/14)",0/0,2/4,"36%
(8/22)","0%
(0/13)","50%
(7/14)","9%
(1/11)",2/4,0/0,"83%
(20/24)","56%
(20/36)","44%
(16/36)","17%
(4/24)","60%
(36/60)","40%
(24/60)","100%
(5/5)","60%
(3/5)","40%
(2/5)","0%
(0/5)","70%
(7/10)","30%
(3/10)",cilic-marin,rodionov-jurij,12.06.2021 10:45,stuttgart-2021,1-0,2,3,1-0 | 6-3 | 1-0,6-3,,1-0,,,,,,,
13,13,4,2,64%,69%,"86%
(30/35)","83%
(33/40)","70%
(14/20)","44%
(8/18)",0/0,0/2,"18%
(7/40)","14%
(5/35)","44%
(8/18)","10%
(2/20)",2/2,0/0,"80%
(44/55)","71%
(41/58)","29%
(17/58)","20%
(11/55)","54%
(61/113)","46%
(52/113)","100%
(11/11)","82%
(9/11)","18%
(2/11)","0%
(0/11)","59%
(13/22)","41%
(9/22)",auger-aliassime-felix,querrey-sam,12.06.2021 09:10,stuttgart-2021,2-0,2,3,2-0 | 6-4 | 7-5,6-4,,7-5,,,,,,,
4,12,5,2,57%,63%,"72%
(39/54)","75%
(46/61)","59%
(24/41)","53%
(19/36)",4/6,1/3,"25%
(15/61)","28%
(15/54)","42%
(15/36)","29%
(12/41)",2/3,2/6,"66%
(63/95)","67%
(65/97)","33%
(32/97)","34%
(32/95)","49%
(95/192)","51%
(97/192)","87%
(13/15)","87%
(13/15)","13%
(2/15)","13%
(2/15)","50%
(15/30)","50%
(15/30)",de-minaur-alex,rodionov-jurij,11.06.2021 16:40,stuttgart-2021,1-2,3,3,1-2 | 6-3 | 3-6 | 6-7(4-7),6-3,,3-6,,6-7,4-7,,,,
6,8,7,3,57%,57%,"75%
(39/52)","87%
(34/39)","45%
(18/40)","55%
(16/29)",7/9,0/1,"13%
(5/39)","25%
(13/52)","34%
(10/29)","38%
(15/40)",1/1,2/9,"62%
(57/92)","74%
(50/68)","26%
(18/68)","38%
(35/92)","47%
(75/160)","53%
(85/160)","83%
(10/12)","92%
(11/12)","8%
(1/12)","17%
(2/12)","46%
(11/24)","54%
(13/24)",shapovalov-denis,cilic-marin,11.06.2021 14:35,stuttgart-2021,0-2,2,3,0-2 | 5-7 | 6-7(3-7),5-7,,6-7,3-7,,,,,,
4,17,3,4,67%,64%,"87%
(48/55)","78%
(43/55)","44%
(12/27)","68%
(21/31)",3/3,3/3,"22%
(12/55)","13%
(7/55)","19%
(6/31)","44%
(12/27)",0/3,0/3,"73%
(60/82)","74%
(64/86)","26%
(22/86)","27%
(22/82)","49%
(82/168)","51%
(86/168)","100%
(12/12)","100%
(12/12)","0%
(0/12)","0%
(0/12)","50%
(12/24)","50%
(12/24)",humbert-ugo,auger-aliassime-felix,11.06.2021 12:15,stuttgart-2021,0-2,2,3,0-2 | 6-7(5-7) | 6-7(8-10),6-7,5-7,6-7,8-10,,,,,,
21,4,6,6,60%,60%,"88%
(43/49)","78%
(46/59)","61%
(20/33)","36%
(14/39)",0/0,4/7,"22%
(13/59)","12%
(6/49)","49%
(19/39)","21%
(7/33)",3/7,0/0,"77%
(63/82)","61%
(60/98)","39%
(38/98)","23%
(19/82)","56%
(101/180)","44%
(79/180)","100%
(15/15)","79%
(11/14)","21%
(3/14)","0%
(0/15)","62%
(18/29)","38%
(11/29)",shapovalov-denis,lopez-feliciano,11.06.2021 11:20,stuttgart-2021,2-1,3,3,2-1 | 6-2 | 6-7(2-7) | 6-3,6-2,,6-7,2-7,6-3,,,,,
32,17,7,3,63%,59%,"87%
(59/68)","79%
(44/56)","50%
(20/40)","59%
(23/39)",1/2,1/3,"21%
(12/56)","13%
(9/68)","33%
(13/39)","33%
(13/40)",2/3,1/2,"73%
(79/108)","71%
(67/95)","29%
(28/95)","27%
(29/108)","53%
(107/203)","47%
(96/203)","94%
(16/17)","88%
(14/16)","13%
(2/16)","6%
(1/17)","55%
(18/33)","45%
(15/33)",querrey-sam,stricker-dominic,11.06.2021 09:10,stuttgart-2021,2-1,3,3,2-1 | 6-7(4-7) | 7-6(7-4) | 6-3,6-7,4-7,7-6,7-4,6-3,,,,,
8,2,3,4,70%,52%,"94%
(15/16)","80%
(12/15)","29%
(2/7)","29%
(4/14)",1/1,2/3,"20%
(3/15)","6%
(1/16)","43%
(6/14)","29%
(2/7)",1/3,0/1,"74%
(17/23)","55%
(16/29)","45%
(13/29)","26%
(6/23)","58%
(30/52)","42%
(22/52)","100%
(4/4)","75%
(3/4)","25%
(1/4)","0%
(0/4)","63%
(5/8)","38%
(3/8)",rodionov-jurij,gojowczyk-peter,10.06.2021 14:50,stuttgart-2021,0-0,1,3,0-0 | 5-3,5-3,,,,,,,,,
4,9,2,5,70%,66%,"70%
(33/47)","81%
(46/57)","50%
(10/20)","34%
(10/29)",3/5,9/10,"19%
(11/57)","30%
(14/47)","48%
(14/29)","40%
(8/20)",1/10,2/5,"64%
(43/67)","65%
(56/86)","35%
(30/86)","36%
(24/67)","48%
(73/153)","52%
(80/153)","80%
(8/10)","91%
(10/11)","9%
(1/11)","20%
(2/10)","43%
(9/21)","57%
(12/21)",harris-lloyd,auger-aliassime-felix,10.06.2021 13:15,stuttgart-2021,0-2,2,3,0-2 | 3-6 | 6-7(4-7),3-6,,6-7,4-7,,,,,,
3,9,3,2,65%,59%,"74%
(54/73)","76%
(42/55)","62%
(24/39)","56%
(22/39)",6/6,2/4,"24%
(13/55)","26%
(19/73)","38%
(15/39)","31%
(12/39)",2/4,0/6,"70%
(78/112)","68%
(64/94)","32%
(30/94)","30%
(34/112)","52%
(108/206)","48%
(98/206)","100%
(16/16)","87%
(13/15)","13%
(2/15)","0%
(0/16)","58%
(18/31)","42%
(13/31)",de-minaur-alex,thompson-jordan,10.06.2021 12:00,stuttgart-2021,2-1,3,3,2-1 | 6-7(8-10) | 6-3 | 6-4,6-7,8-10,6-3,,6-4,,,,,
11,6,0,5,69%,51%,"85%
(39/46)","86%
(30/35)","62%
(13/21)","41%
(14/34)",2/2,2/4,"14%
(5/35)","15%
(7/46)","44%
(15/34)","38%
(8/21)",2/4,0/2,"78%
(52/67)","64%
(44/69)","36%
(25/69)","22%
(15/67)","57%
(77/136)","43%
(59/136)","100%
(10/10)","80%
(8/10)","20%
(2/10)","0%
(0/10)","60%
(12/20)","40%
(8/20)",humbert-ugo,hanfmann-yannick,10.06.2021 11:15,stuttgart-2021,2-0,2,3,2-0 | 7-6(11-9) | 6-2,7-6,11-9,6-2,,,,,,,
19,4,2,4,59%,66%,"100%
(26/26)","61%
(25/41)","56%
(10/18)","38%
(8/21)",0/0,8/11,"39%
(16/41)","0%
(0/26)","43%
(9/21)","33%
(6/18)",3/11,0/0,"82%
(36/44)","53%
(33/62)","47%
(29/62)","18%
(8/44)","61%
(65/106)","39%
(41/106)","100%
(9/9)","63%
(5/8)","38%
(3/8)","0%
(0/9)","71%
(12/17)","29%
(5/17)",cilic-marin,basilashvili-nikoloz,10.06.2021 10:50,stuttgart-2021,2-0,2,3,2-0 | 6-3 | 6-2,6-3,,6-2,,,,,,,
