Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
6,8,5,3,50%,73%,"88%
(23/26)","63%
(36/57)","62%
(16/26)","38%
(8/21)",4/4,4/7,"37%
(21/57)","12%
(3/26)","48%
(10/21)","19%
(5/26)",3/7,0/4,"75%
(39/52)","56%
(44/78)","44%
(34/78)","25%
(13/52)","56%
(73/130)","44%
(57/130)","100%
(9/9)","70%
(7/10)","30%
(3/10)","0%
(0/9)","63%
(12/19)","37%
(7/19)",medvedev-daniil,opelka-reilly,15.08.2021 20:10,toronto-2021,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
11,4,3,1,73%,76%,"90%
(27/30)","61%
(23/38)","64%
(7/11)","17%
(2/12)",1/1,3/7,"39%
(15/38)","10%
(3/30)","75%
(9/12)","9%
(1/11)",4/7,0/1,"83%
(34/41)","50%
(25/50)","50%
(25/50)","17%
(7/41)","65%
(59/91)","35%
(32/91)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",medvedev-daniil,isner-john,15.08.2021 00:10,toronto-2021,2-0,2,3,2-0 | 6-2 | 6-2,6-2,,6-2,,,,,,,
10,17,7,3,59%,72%,"87%
(53/61)","77%
(62/81)","57%
(24/42)","65%
(20/31)",3/4,1/1,"23%
(19/81)","13%
(8/61)","26%
(8/31)","26%
(11/42)",0/1,1/4,"75%
(77/103)","73%
(82/112)","27%
(30/112)","25%
(26/103)","50%
(107/215)","50%
(108/215)","94%
(16/17)","100%
(17/17)","0%
(0/17)","6%
(1/17)","47%
(16/34)","53%
(18/34)",tsitsipas-stefanos,opelka-reilly,14.08.2021 19:05,toronto-2021,1-2,3,3,1-2 | 7-6(7-2) | 6-7(4-7) | 4-6,7-6,7-2,6-7,4-7,4-6,,,,,
13,12,2,11,69%,48%,"78%
(36/46)","80%
(28/35)","67%
(14/21)","53%
(20/38)",1/1,6/7,"20%
(7/35)","22%
(10/46)","18%
(7/38)","24%
(5/21)",1/7,0/1,"75%
(50/67)","66%
(48/73)","34%
(25/73)","25%
(17/67)","54%
(75/140)","46%
(65/140)","100%
(11/11)","91%
(10/11)","9%
(1/11)","0%
(0/11)","55%
(12/22)","45%
(10/22)",isner-john,monfils-gael,14.08.2021 01:45,toronto-2021,2-0,2,3,2-0 | 7-6(7-5) | 6-4,7-6,7-5,6-4,,,,,,,
23,9,5,1,66%,64%,"79%
(60/76)","86%
(54/63)","51%
(20/39)","64%
(23/36)",7/9,2/2,"14%
(9/63)","21%
(16/76)","36%
(13/36)","36%
(14/39)",0/2,2/9,"70%
(80/115)","78%
(77/99)","22%
(22/99)","30%
(35/115)","48%
(102/214)","52%
(112/214)","88%
(14/16)","100%
(16/16)","0%
(0/16)","13%
(2/16)","44%
(14/32)","56%
(18/32)",medvedev-daniil,hurkacz-hubert,13.08.2021 23:10,toronto-2021,2-1,3,3,2-1 | 2-6 | 7-6(8-6) | 7-6(7-5),2-6,,7-6,8-6,7-6,7-5,,,,
6,18,0,2,73%,66%,"86%
(30/35)","85%
(35/41)","69%
(9/13)","62%
(13/21)",0/1,0/0,"15%
(6/41)","14%
(5/35)","29%
(6/21)","31%
(4/13)",0/0,1/1,"81%
(39/48)","77%
(48/62)","23%
(14/62)","19%
(9/48)","48%
(53/110)","52%
(57/110)","90%
(9/10)","100%
(11/11)","0%
(0/11)","10%
(1/10)","43%
(9/21)","57%
(12/21)",bautista-agut-roberto,opelka-reilly,13.08.2021 17:45,toronto-2021,0-2,2,3,0-2 | 3-6 | 6-7(1-7),3-6,,6-7,1-7,,,,,,
2,8,1,1,65%,62%,"67%
(20/30)","86%
(25/29)","44%
(7/16)","67%
(12/18)",4/7,1/1,"14%
(4/29)","33%
(10/30)","28%
(5/18)","50%
(8/16)",0/1,3/7,"59%
(27/46)","79%
(37/47)","21%
(10/47)","41%
(19/46)","40%
(37/93)","60%
(56/93)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",ruud-casper,tsitsipas-stefanos,13.08.2021 16:10,toronto-2021,0-2,2,3,0-2 | 1-6 | 4-6,1-6,,4-6,,,,,,,
11,22,8,5,39%,58%,"80%
(36/45)","88%
(56/64)","54%
(38/70)","45%
(21/47)",5/8,6/7,"13%
(8/64)","20%
(9/45)","45%
(21/47)","34%
(24/70)",1/7,3/8,"64%
(74/115)","69%
(77/111)","31%
(34/111)","36%
(41/115)","48%
(108/226)","52%
(118/226)","81%
(13/16)","94%
(15/16)","6%
(1/16)","19%
(3/16)","44%
(14/32)","56%
(18/32)",basilashvili-nikoloz,hurkacz-hubert,13.08.2021 00:40,toronto-2021,1-2,3,3,1-2 | 7-6(9-7) | 4-6 | 4-6,7-6,9-7,4-6,,4-6,,,,,
10,1,3,2,64%,56%,"84%
(27/32)","63%
(20/32)","44%
(8/18)","40%
(10/25)",0/1,5/9,"38%
(12/32)","16%
(5/32)","52%
(13/25)","39%
(7/18)",4/9,1/1,"70%
(35/50)","53%
(30/57)","47%
(27/57)","30%
(15/50)","58%
(62/107)","42%
(45/107)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",medvedev-daniil,duckworth-james,12.08.2021 23:10,toronto-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
11,3,5,3,63%,64%,"84%
(31/37)","61%
(28/46)","55%
(12/22)","50%
(13/26)",2/3,6/9,"39%
(18/46)","16%
(6/37)","38%
(10/26)","23%
(5/22)",3/9,1/3,"73%
(43/59)","57%
(41/72)","43%
(31/72)","27%
(16/59)","56%
(74/131)","44%
(57/131)","90%
(9/10)","67%
(6/9)","33%
(3/9)","10%
(1/10)","63%
(12/19)","37%
(7/19)",monfils-gael,tiafoe-frances,12.08.2021 21:45,toronto-2021,2-0,2,3,2-0 | 6-1 | 7-6(7-2),6-1,,7-6,7-2,,,,,,
