Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
0,1,2,5,55%,47%,"78%
(21/27)","69%
(18/26)","59%
(13/22)","38%
(11/29)",3/3,4/8,"31%
(8/26)","22%
(6/27)","45%
(13/29)","32%
(7/22)",4/8,0/3,"69%
(34/49)","53%
(29/55)","47%
(26/55)","31%
(15/49)","58%
(60/104)","42%
(44/104)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",alcaraz-garfia-carlos,gasquet-richard,25.07.2021 18:05,umag-2021,2-0,2,3,2-0 | 6-2 | 6-2,6-2,,6-2,,,,,,,
2,1,2,2,63%,71%,"49%
(26/53)","64%
(32/50)","58%
(18/31)","50%
(10/20)",9/14,5/8,"36%
(18/50)","51%
(27/53)","40%
(8/20)","35%
(11/31)",3/8,5/14,"52%
(44/84)","60%
(42/70)","40%
(28/70)","48%
(40/84)","47%
(72/154)","53%
(82/154)","50%
(5/10)","70%
(7/10)","30%
(3/10)","50%
(5/10)","40%
(8/20)","60%
(12/20)",ramos-vinolas-albert,alcaraz-garfia-carlos,24.07.2021 19:40,umag-2021,0-2,2,3,0-2 | 2-6 | 6-7(3-7),2-6,,6-7,3-7,,,,,,
6,7,3,1,59%,55%,"70%
(51/73)","73%
(46/63)","45%
(23/51)","47%
(24/51)",7/10,14/17,"27%
(17/63)","30%
(22/73)","51%
(26/51)","49%
(25/51)",3/17,3/10,"60%
(74/124)","61%
(70/114)","39%
(44/114)","40%
(50/124)","50%
(118/238)","50%
(120/238)","80%
(12/15)","80%
(12/15)","20%
(3/15)","20%
(3/15)","50%
(15/30)","50%
(15/30)",gasquet-richard,altmaier-daniel,24.07.2021 16:10,umag-2021,2-1,3,3,2-1 | 7-6(7-2) | 3-6 | 6-3,7-6,7-2,3-6,,6-3,,,,,
2,0,2,2,70%,71%,"56%
(36/64)","70%
(44/63)","54%
(15/28)","38%
(10/26)",4/9,5/9,"30%
(19/63)","44%
(28/64)","54%
(14/26)","39%
(11/28)",4/9,5/9,"55%
(51/92)","61%
(54/89)","39%
(35/89)","45%
(41/92)","48%
(86/181)","52%
(95/181)","64%
(9/14)","69%
(9/13)","31%
(4/13)","36%
(5/14)","48%
(13/27)","52%
(14/27)",krajinovic-filip,alcaraz-garfia-carlos,23.07.2021 18:55,umag-2021,1-2,3,3,1-2 | 6-7(3-7) | 6-2 | 1-6,6-7,3-7,6-2,,1-6,,,,,
1,1,5,2,69%,55%,"72%
(26/36)","62%
(13/21)","56%
(9/16)","12%
(2/17)",1/2,1/6,"38%
(8/21)","28%
(10/36)","76%
(13/17)","13%
(2/16)",5/6,1/2,"67%
(35/52)","39%
(15/38)","61%
(23/38)","33%
(17/52)","64%
(58/90)","36%
(32/90)","88%
(7/8)","29%
(2/7)","71%
(5/7)","13%
(1/8)","80%
(12/15)","20%
(3/15)",ramos-vinolas-albert,travaglia-stefano,23.07.2021 17:30,umag-2021,2-0,2,3,2-0 | 6-2 | 6-1,6-2,,6-1,,,,,,,
4,0,2,2,52%,62%,"93%
(27/29)","53%
(23/43)","41%
(11/27)","54%
(14/26)",4/5,9/13,"47%
(20/43)","7%
(2/29)","38%
(10/26)","52%
(14/27)",4/13,1/5,"68%
(38/56)","54%
(37/69)","46%
(32/69)","32%
(18/56)","56%
(70/125)","44%
(55/125)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",altmaier-daniel,lajovic-dusan,23.07.2021 17:10,umag-2021,2-0,2,3,2-0 | 6-2 | 6-4,6-2,,6-4,,,,,,,
1,3,2,2,67%,65%,"69%
(31/45)","73%
(36/49)","45%
(10/22)","50%
(13/26)",5/8,2/4,"27%
(13/49)","31%
(14/45)","42%
(11/26)","45%
(10/22)",2/4,3/8,"61%
(41/67)","65%
(49/75)","35%
(26/75)","39%
(26/67)","47%
(67/142)","53%
(75/142)","70%
(7/10)","82%
(9/11)","18%
(2/11)","30%
(3/10)","43%
(9/21)","57%
(12/21)",dzumhur-damir,gasquet-richard,23.07.2021 14:40,umag-2021,0-2,2,3,0-2 | 3-6 | 6-7(7-9),3-6,,6-7,7-9,,,,,,
0,1,0,2,65%,73%,"39%
(12/31)","66%
(25/38)","47%
(8/17)","50%
(7/14)",8/14,3/5,"34%
(13/38)","61%
(19/31)","36%
(5/14)","53%
(9/17)",2/5,6/14,"42%
(20/48)","62%
(32/52)","38%
(20/52)","58%
(28/48)","40%
(40/100)","60%
(60/100)","25%
(2/8)","75%
(6/8)","25%
(2/8)","75%
(6/8)","25%
(4/16)","75%
(12/16)",martin-andrej,alcaraz-garfia-carlos,22.07.2021 19:20,umag-2021,0-2,2,3,0-2 | 3-6 | 1-6,3-6,,1-6,,,,,,,
0,1,3,2,69%,51%,"58%
(28/48)","75%
(27/36)","59%
(13/22)","51%
(18/35)",8/12,5/7,"25%
(9/36)","42%
(20/48)","43%
(15/35)","27%
(6/22)",2/7,4/12,"59%
(41/70)","63%
(45/71)","37%
(26/71)","41%
(29/70)","48%
(67/141)","52%
(74/141)","64%
(7/11)","82%
(9/11)","18%
(2/11)","36%
(4/11)","41%
(9/22)","59%
(13/22)",zapata-miralles-bernabe,lajovic-dusan,22.07.2021 17:05,umag-2021,0-2,2,3,0-2 | 5-7 | 4-6,5-7,,4-6,,,,,,,
5,9,4,2,59%,63%,"72%
(39/54)","82%
(36/44)","38%
(14/37)","62%
(16/26)",5/10,1/3,"18%
(8/44)","28%
(15/54)","31%
(8/26)","51%
(19/37)",2/3,5/10,"58%
(53/91)","74%
(52/70)","26%
(18/70)","42%
(38/91)","44%
(71/161)","56%
(90/161)","67%
(10/15)","86%
(12/14)","14%
(2/14)","33%
(5/15)","41%
(12/29)","59%
(17/29)",mager-gianluca,altmaier-daniel,22.07.2021 16:50,umag-2021,1-2,3,3,1-2 | 6-4 | 1-6 | 5-7,6-4,,1-6,,5-7,,,,,
2,1,3,2,58%,57%,"75%
(24/32)","61%
(20/33)","61%
(14/23)","36%
(9/25)",3/4,3/7,"39%
(13/33)","25%
(8/32)","56%
(14/25)","26%
(6/23)",4/7,1/4,"69%
(38/55)","50%
(29/58)","50%
(29/58)","31%
(17/55)","59%
(67/113)","41%
(46/113)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",krajinovic-filip,albot-radu,22.07.2021 14:40,umag-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
1,1,2,1,57%,84%,"50%
(16/32)","76%
(31/41)","50%
(12/24)","38%
(3/8)",5/9,0/0,"24%
(10/41)","50%
(16/32)","50%
(4/8)","42%
(10/24)",0/0,4/9,"50%
(28/56)","69%
(34/49)","31%
(15/49)","50%
(28/56)","41%
(43/105)","59%
(62/105)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",cecchinato-marco,dzumhur-damir,21.07.2021 19:20,umag-2021,0-2,2,3,0-2 | 3-6 | 1-6,3-6,,1-6,,,,,,,
2,4,2,3,65%,61%,"69%
(31/45)","60%
(27/45)","54%
(13/24)","45%
(13/29)",4/6,6/10,"40%
(18/45)","31%
(14/45)","45%
(13/29)","38%
(9/24)",4/10,2/6,"64%
(44/69)","54%
(40/74)","46%
(34/74)","36%
(25/69)","55%
(78/143)","45%
(65/143)","82%
(9/11)","64%
(7/11)","36%
(4/11)","18%
(2/11)","59%
(13/22)","41%
(9/22)",ramos-vinolas-albert,ajdukovic-duje,21.07.2021 17:05,umag-2021,2-0,2,3,2-0 | 7-5 | 6-4,7-5,,6-4,,,,,,,
