Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,Distance covered (metres)_left,Distance covered (metres)_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
6,16,3,9,54%,57%,"80%
(40/50)","80%
(41/51)","40%
(17/42)","58%
(22/38)",4/8,5/6,"20%
(10/51)","20%
(10/50)","18%
(7/38)","52%
(22/42)",1/6,4/8,27,38,38,31,"66%
(31/47)","50%
(6/12)","62%
(57/92)","71%
(64/90)","29%
(26/90)","38%
(35/92)","46%
(83/182)","54%
(99/182)","73%
(11/15)","93%
(14/15)","7%
(1/15)","27%
(4/15)","40%
(12/30)","60%
(18/30)",4756,4985,djokovic-novak,medvedev-daniil,12.09.2021 20:15,us-open-2021,0-3,3,5,0-3 | 4-6 | 4-6 | 4-6,4-6,,4-6,,4-6,,,,,
12,16,2,8,66%,62%,"77%
(76/99)","75%
(58/77)","43%
(22/51)","49%
(23/47)",9/12,3/9,"25%
(19/77)","23%
(23/99)","34%
(16/47)","53%
(27/51)",6/9,3/12,41,49,49,50,"81%
(35/43)","61%
(19/31)","65%
(98/150)","65%
(81/124)","35%
(43/124)","35%
(52/150)","51%
(141/274)","49%
(133/274)","87%
(20/23)","74%
(17/23)","26%
(6/23)","13%
(3/23)","57%
(26/46)","43%
(20/46)",7333,7587,djokovic-novak,zverev-alexander,10.09.2021 23:35,us-open-2021,3-2,5,5,3-2 | 4-6 | 6-2 | 6-4 | 4-6 | 6-2,4-6,,6-2,,6-4,,4-6,,6-2,
4,12,10,4,63%,69%,"65%
(37/57)","81%
(48/59)","35%
(12/34)","52%
(14/27)",0/5,2/3,"19%
(11/59)","35%
(20/57)","33%
(9/27)","35%
(12/34)",1/3,5/5,17,37,39,25,"63%
(15/24)","74%
(17/23)","54%
(49/91)","72%
(62/86)","28%
(24/86)","46%
(42/91)","41%
(73/177)","59%
(104/177)","67%
(10/15)","93%
(14/15)","7%
(1/15)","33%
(5/15)","37%
(11/30)","63%
(19/30)",4338,4043,auger-aliassime-felix,medvedev-daniil,10.09.2021 19:15,us-open-2021,0-3,3,5,0-3 | 4-6 | 5-7 | 2-6,4-6,,5-7,,2-6,,,,,
12,17,4,2,62%,62%,"74%
(53/72)","60%
(55/91)","66%
(29/44)","50%
(28/56)",4/5,11/16,"40%
(36/91)","26%
(19/72)","46%
(26/56)","25%
(11/44)",5/16,1/5,44,42,28,43,"66%
(19/29)","54%
(15/28)","71%
(83/117)","56%
(83/147)","44%
(64/147)","29%
(34/117)","55%
(146/264)","44%
(117/264)","95%
(18/19)","72%
(13/18)","28%
(5/18)","5%
(1/19)","62%
(23/37)","38%
(14/37)",6907,6915,djokovic-novak,berrettini-matteo,09.09.2021 01:05,us-open-2021,3-1,4,5,3-1 | 5-7 | 6-2 | 6-2 | 6-3,5-7,,6-2,,6-2,,6-3,,,
21,13,5,1,68%,68%,"82%
(53/65)","75%
(47/63)","47%
(14/30)","34%
(10/29)",1/3,5/9,"25%
(16/63)","18%
(12/65)","62%
(18/29)","37%
(11/30)",4/9,2/3,43,34,26,26,"80%
(12/15)","64%
(7/11)","71%
(67/95)","62%
(57/92)","38%
(35/92)","29%
(28/95)","55%
(102/187)","45%
(85/187)","88%
(14/16)","73%
(11/15)","27%
(4/15)","13%
(2/16)","58%
(18/31)","42%
(13/31)",4735,4721,zverev-alexander,harris-lloyd,08.09.2021 18:05,us-open-2021,3-0,3,5,3-0 | 7-6(8-6) | 6-3 | 6-4,7-6,8-6,6-3,,6-4,,,,,
8,1,4,1,65%,62%,"79%
(22/28)","66%
(19/29)","60%
(9/15)","44%
(8/18)",3/3,5/7,"34%
(10/29)","21%
(6/28)","50%
(9/18)","13%
(2/15)",2/7,0/3,15,9,16,16,"73%
(11/15)","75%
(6/8)","72%
(31/43)","57%
(27/47)","43%
(20/47)","28%
(12/43)","57%
(51/90)","43%
(39/90)","100%
(7/7)","67%
(4/6)","33%
(2/6)","0%
(0/7)","69%
(9/13)","31%
(4/13)",2192,2366,auger-aliassime-felix,alcaraz-garfia-carlos,08.09.2021 01:10,us-open-2021,1-0,2,3,1-0 | 6-3 | 3-1,6-3,,3-1,,,,,,,
4,13,4,1,67%,66%,"61%
(46/76)","83%
(54/65)","53%
(20/38)","56%
(19/34)",5/12,3/5,"17%
(11/65)","39%
(30/76)","41%
(14/34)","37%
(14/38)",2/5,7/12,36,36,35,24,"59%
(20/34)","67%
(20/30)","58%
(66/114)","74%
(73/99)","26%
(26/99)","42%
(48/114)","43%
(92/213)","57%
(121/213)","63%
(12/19)","89%
(16/18)","11%
(2/18)","37%
(7/19)","38%
(14/37)","62%
(23/37)",6723,8230,van-de-zandschulp-botic,medvedev-daniil,07.09.2021 16:10,us-open-2021,1-3,4,5,1-3 | 3-6 | 0-6 | 6-4 | 5-7,3-6,,0-6,,6-4,,5-7,,,
9,4,1,1,63%,74%,"73%
(48/66)","62%
(48/78)","54%
(21/39)","39%
(11/28)",8/11,6/12,"38%
(30/78)","27%
(18/66)","57%
(16/28)","44%
(17/39)",6/12,3/11,45,27,41,28,"71%
(29/41)","60%
(12/20)","66%
(69/105)","56%
(59/106)","44%
(47/106)","34%
(36/105)","55%
(116/211)","45%
(95/211)","81%
(13/16)","63%
(10/16)","38%
(6/16)","19%
(3/16)","59%
(19/32)","41%
(13/32)",6472,6657,djokovic-novak,brooksby-jenson,06.09.2021 23:15,us-open-2021,3-1,4,5,3-1 | 1-6 | 6-3 | 6-2 | 6-2,1-6,,6-3,,6-2,,6-2,,,
6,12,4,3,63%,61%,"71%
(45/63)","89%
(55/62)","51%
(19/37)","49%
(19/39)",1/5,1/2,"11%
(7/62)","29%
(18/63)","44%
(17/39)","38%
(14/37)",1/2,4/5,23,44,16,29,"66%
(25/38)","84%
(21/25)","64%
(64/100)","73%
(74/101)","27%
(27/101)","36%
(36/100)","45%
(91/201)","55%
(110/201)","78%
(14/18)","94%
(17/18)","6%
(1/18)","22%
(4/18)","42%
(15/36)","58%
(21/36)",4817,4788,otte-oscar,berrettini-matteo,06.09.2021 20:30,us-open-2021,1-3,4,5,1-3 | 4-6 | 6-3 | 3-6 | 2-6,4-6,,6-3,,3-6,,2-6,,,
24,36,2,4,65%,76%,"72%
(65/90)","92%
(70/76)","33%
(16/48)","38%
(9/24)",11/17,1/2,"8%
(6/76)","28%
(25/90)","46%
(11/24)","63%
(30/48)",1/2,6/17,49,62,33,16,"51%
(23/45)","91%
(10/11)","59%
(81/138)","79%
(79/100)","21%
(21/100)","41%
(57/138)","43%
(102/238)","57%
(136/238)","68%
(13/19)","95%
(18/19)","5%
(1/19)","32%
(6/19)","37%
(14/38)","63%
(24/38)",4690,5197,opelka-reilly,harris-lloyd,06.09.2021 17:40,us-open-2021,1-3,4,5,1-3 | 7-6(8-6) | 4-6 | 1-6 | 3-6,7-6,8-6,4-6,,1-6,,3-6,,,
17,5,3,2,68%,60%,"73%
(53/73)","73%
(47/64)","59%
(20/34)","50%
(21/42)",6/7,8/11,"27%
(17/64)","27%
(20/73)","45%
(19/42)","32%
(11/34)",3/11,1/7,37,30,38,38,"67%
(10/15)","73%
(11/15)","68%
(73/107)","64%
(68/106)","36%
(38/106)","32%
(34/107)","52%
(111/213)","48%
(102/213)","94%
(15/16)","81%
(13/16)","19%
(3/16)","6%
(1/16)","56%
(18/32)","44%
(14/32)",5907,5555,zverev-alexander,sinner-jannik,06.09.2021 16:15,us-open-2021,3-0,3,5,3-0 | 6-4 | 6-4 | 7-6(9-7),6-4,,6-4,,7-6,9-7,,,,
