Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
4,19,1,0,65%,82%,"62%
(33/53)","80%
(37/46)","50%
(14/28)","60%
(6/10)",6/9,1/2,"20%
(9/46)","38%
(20/53)","40%
(4/10)","46%
(13/28)",1/2,3/9,"58%
(47/81)","77%
(43/56)","23%
(13/56)","42%
(34/81)","44%
(60/137)","56%
(77/137)","73%
(8/11)","91%
(10/11)","9%
(1/11)","27%
(3/11)","41%
(9/22)","59%
(13/22)",tiafoe-frances,zverev-alexander,31.10.2021 13:15,vienna-2021,0-2,2,3,0-2 | 5-7 | 4-6,5-7,,4-6,,,,,,,
7,8,0,3,64%,64%,"60%
(39/65)","69%
(37/54)","64%
(23/36)","42%
(13/31)",5/8,5/9,"31%
(17/54)","40%
(26/65)","48%
(15/31)","36%
(13/36)",4/9,3/8,"61%
(62/101)","59%
(50/85)","41%
(35/85)","39%
(39/101)","52%
(97/186)","48%
(89/186)","80%
(12/15)","71%
(10/14)","29%
(4/14)","20%
(3/15)","55%
(16/29)","45%
(13/29)",tiafoe-frances,sinner-jannik,30.10.2021 13:45,vienna-2021,2-1,3,3,2-1 | 3-6 | 7-5 | 6-2,3-6,,7-5,,6-2,,,,,
1,8,1,1,51%,79%,"74%
(17/23)","84%
(31/37)","55%
(12/22)","70%
(7/10)",1/4,1/1,"16%
(6/37)","26%
(6/23)","20%
(2/10)","41%
(9/22)",0/1,3/4,"64%
(29/45)","81%
(38/47)","19%
(9/47)","36%
(16/45)","41%
(38/92)","59%
(54/92)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",alcaraz-garfia-carlos,zverev-alexander,30.10.2021 12:15,vienna-2021,0-2,2,3,0-2 | 3-6 | 3-6,3-6,,3-6,,,,,,,
2,10,2,0,44%,68%,"71%
(20/28)","76%
(32/42)","36%
(13/36)","40%
(8/20)",7/12,4/5,"24%
(10/42)","29%
(8/28)","60%
(12/20)","58%
(21/36)",1/5,5/12,"52%
(33/64)","65%
(40/62)","35%
(22/62)","48%
(31/64)","44%
(55/126)","56%
(71/126)","50%
(5/10)","89%
(8/9)","11%
(1/9)","50%
(5/10)","32%
(6/19)","68%
(13/19)",ruud-casper,sinner-jannik,29.10.2021 19:50,vienna-2021,0-2,2,3,0-2 | 5-7 | 1-6,5-7,,1-6,,,,,,,
9,1,1,0,58%,66%,"64%
(29/45)","58%
(30/52)","45%
(15/33)","37%
(10/27)",5/9,5/10,"42%
(22/52)","36%
(16/45)","63%
(17/27)","52%
(17/33)",5/10,4/9,"56%
(44/78)","51%
(40/79)","49%
(39/79)","44%
(34/78)","53%
(83/157)","47%
(74/157)","64%
(7/11)","55%
(6/11)","45%
(5/11)","36%
(4/11)","55%
(12/22)","45%
(10/22)",tiafoe-frances,schwartzman-diego,29.10.2021 17:35,vienna-2021,2-0,2,3,2-0 | 6-4 | 7-6(8-6),6-4,,7-6,8-6,,,,,,
12,6,4,0,66%,68%,"87%
(48/55)","82%
(40/49)","36%
(10/28)","70%
(16/23)",6/8,0/1,"18%
(9/49)","13%
(7/55)","30%
(7/23)","50%
(14/28)",1/1,2/8,"70%
(58/83)","78%
(56/72)","22%
(16/72)","30%
(25/83)","48%
(74/155)","52%
(81/155)","86%
(12/14)","93%
(13/14)","7%
(1/14)","14%
(2/14)","46%
(13/28)","54%
(15/28)",auger-aliassime-felix,zverev-alexander,29.10.2021 15:10,vienna-2021,1-2,3,3,1-2 | 4-6 | 6-3 | 3-6,4-6,,6-3,,3-6,,,,,
6,12,4,1,66%,61%,"80%
(49/61)","77%
(50/65)","65%
(20/31)","45%
(19/42)",0/1,6/9,"23%
(15/65)","20%
(12/61)","52%
(22/42)","23%
(7/31)",3/9,1/1,"75%
(69/92)","64%
(69/107)","36%
(38/107)","25%
(23/92)","54%
(107/199)","46%
(92/199)","94%
(15/16)","80%
(12/15)","20%
(3/15)","6%
(1/16)","58%
(18/31)","42%
(13/31)",alcaraz-garfia-carlos,berrettini-matteo,29.10.2021 12:10,vienna-2021,2-1,3,3,2-1 | 6-1 | 6-7(2-7) | 7-6(7-5),6-1,,6-7,2-7,7-6,7-5,,,,
11,3,6,0,60%,62%,"83%
(40/48)","71%
(36/51)","47%
(15/32)","71%
(22/31)",2/5,3/5,"29%
(15/51)","17%
(8/48)","29%
(9/31)","34%
(11/32)",2/5,3/5,"69%
(55/80)","71%
(58/82)","29%
(24/82)","31%
(25/80)","49%
(79/162)","51%
(83/162)","79%
(11/14)","86%
(12/14)","14%
(2/14)","21%
(3/14)","46%
(13/28)","54%
(15/28)",tsitsipas-stefanos,tiafoe-frances,28.10.2021 18:40,vienna-2021,1-2,3,3,1-2 | 6-3 | 3-6 | 4-6,6-3,,3-6,,4-6,,,,,
1,17,1,3,62%,62%,"69%
(31/45)","89%
(39/44)","50%
(14/28)","44%
(12/27)",1/5,4/5,"11%
(5/44)","31%
(14/45)","44%
(12/27)","46%
(13/28)",1/5,4/5,"62%
(45/73)","72%
(51/71)","28%
(20/71)","38%
(28/73)","45%
(65/144)","55%
(79/144)","69%
(9/13)","92%
(11/12)","8%
(1/12)","31%
(4/13)","40%
(10/25)","60%
(15/25)",de-minaur-alex,zverev-alexander,28.10.2021 16:40,vienna-2021,1-2,3,3,1-2 | 2-6 | 6-3 | 2-6,2-6,,6-3,,2-6,,,,,
3,2,1,3,62%,63%,"72%
(21/29)","76%
(28/37)","44%
(8/18)","55%
(12/22)",2/5,6/6,"24%
(9/37)","28%
(8/29)","32%
(7/22)","50%
(9/18)",0/6,3/5,"62%
(29/47)","68%
(40/59)","32%
(19/59)","38%
(18/47)","45%
(48/106)","55%
(58/106)","67%
(6/9)","100%
(9/9)","0%
(0/9)","33%
(3/9)","33%
(6/18)","67%
(12/18)",novak-dennis,sinner-jannik,28.10.2021 15:05,vienna-2021,0-2,2,3,0-2 | 4-6 | 2-6,4-6,,2-6,,,,,,,
