Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
5,9,5,1,63%,50%,"66%
(52/79)","72%
(39/54)","46%
(21/46)","51%
(27/53)",16/21,7/11,"28%
(15/54)","34%
(27/79)","47%
(25/53)","43%
(20/46)",4/11,5/21,"58%
(73/125)","62%
(66/107)","38%
(41/107)","42%
(52/125)","49%
(114/232)","51%
(118/232)","71%
(12/17)","76%
(13/17)","24%
(4/17)","29%
(5/17)","47%
(16/34)","53%
(18/34)",mcdonald-mackenzie,sinner-jannik,08.08.2021 21:10,washington-2021,1-2,3,3,1-2 | 5-7 | 6-4 | 5-7,5-7,,6-4,,5-7,,,,,
1,4,3,3,67%,61%,"63%
(48/76)","63%
(41/65)","41%
(15/37)","48%
(20/42)",8/13,8/12,"37%
(24/65)","37%
(28/76)","45%
(19/42)","51%
(19/37)",4/12,5/13,"56%
(63/113)","57%
(61/107)","43%
(46/107)","44%
(50/113)","50%
(109/220)","50%
(111/220)","69%
(11/16)","73%
(11/15)","27%
(4/15)","31%
(5/16)","48%
(15/31)","52%
(16/31)",nishikori-kei,mcdonald-mackenzie,07.08.2021 22:20,washington-2021,1-2,3,3,1-2 | 4-6 | 6-3 | 5-7,4-6,,6-3,,5-7,,,,,
6,0,1,0,53%,68%,"83%
(25/30)","60%
(24/40)","70%
(19/27)","53%
(10/19)",3/3,1/3,"40%
(16/40)","17%
(5/30)","47%
(9/19)","26%
(7/27)",2/3,0/3,"77%
(44/57)","58%
(34/59)","42%
(25/59)","23%
(13/57)","59%
(69/116)","41%
(47/116)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",sinner-jannik,brooksby-jenson,07.08.2021 20:10,washington-2021,2-0,2,3,2-0 | 7-6(7-2) | 6-1,7-6,7-2,6-1,,,,,,,
6,2,2,3,61%,53%,"81%
(25/31)","68%
(21/31)","60%
(12/20)","39%
(11/28)",1/1,1/4,"32%
(10/31)","19%
(6/31)","50%
(14/28)","30%
(6/20)",3/4,0/1,"73%
(37/51)","54%
(32/59)","46%
(27/59)","27%
(14/51)","58%
(64/110)","42%
(46/110)","100%
(9/9)","63%
(5/8)","38%
(3/8)","0%
(0/9)","71%
(12/17)","29%
(5/17)",mcdonald-mackenzie,kudla-denis,07.08.2021 01:35,washington-2021,2-0,2,3,2-0 | 6-3 | 6-2,6-3,,6-2,,,,,,,
10,1,3,1,64%,63%,"72%
(43/60)","70%
(28/40)","26%
(9/34)","58%
(14/24)",10/14,5/6,"30%
(12/40)","28%
(17/60)","38%
(9/24)","65%
(22/34)",1/6,4/14,"55%
(52/94)","66%
(42/64)","34%
(22/64)","45%
(42/94)","47%
(74/158)","53%
(83/158)","64%
(7/11)","90%
(9/10)","10%
(1/10)","36%
(4/11)","38%
(8/21)","62%
(13/21)",harris-lloyd,nishikori-kei,06.08.2021 23:10,washington-2021,0-2,2,3,0-2 | 3-6 | 5-7,3-6,,5-7,,,,,,,
7,2,1,3,57%,49%,"93%
(27/29)","65%
(17/26)","55%
(12/22)","48%
(13/27)",3/3,3/6,"35%
(9/26)","7%
(2/29)","41%
(11/27)","41%
(9/22)",3/6,0/3,"76%
(39/51)","57%
(30/53)","43%
(23/53)","24%
(12/51)","60%
(62/104)","40%
(42/104)","100%
(9/9)","67%
(6/9)","33%
(3/9)","0%
(0/9)","67%
(12/18)","33%
(6/18)",sinner-jannik,johnson-steve,06.08.2021 19:35,washington-2021,2-0,2,3,2-0 | 6-4 | 6-2,6-4,,6-2,,,,,,,
0,3,1,0,60%,56%,"53%
(16/30)","88%
(21/24)","35%
(7/20)","58%
(11/19)",2/7,1/1,"13%
(3/24)","47%
(14/30)","42%
(8/19)","60%
(12/20)",0/1,5/7,"46%
(23/50)","74%
(32/43)","26%
(11/43)","54%
(27/50)","37%
(34/93)","63%
(59/93)","38%
(3/8)","100%
(7/7)","0%
(0/7)","63%
(5/8)","20%
(3/15)","80%
(12/15)",millman-john,brooksby-jenson,06.08.2021 18:10,washington-2021,0-2,2,3,0-2 | 1-6 | 2-6,1-6,,2-6,,,,,,,
10,8,4,0,46%,63%,"76%
(22/29)","82%
(31/38)","50%
(17/34)","50%
(11/22)",5/8,3/4,"18%
(7/38)","24%
(7/29)","50%
(11/22)","38%
(13/34)",1/4,3/8,"62%
(39/63)","72%
(43/60)","28%
(17/60)","38%
(24/63)","46%
(56/123)","54%
(67/123)","70%
(7/10)","90%
(9/10)","10%
(1/10)","30%
(3/10)","40%
(8/20)","60%
(12/20)",ivashka-ilya,mcdonald-mackenzie,05.08.2021 23:20,washington-2021,0-2,2,3,0-2 | 4-6 | 4-6,4-6,,4-6,,,,,,,
8,16,3,2,64%,63%,"79%
(41/52)","76%
(39/51)","45%
(13/29)","43%
(13/30)",1/3,4/6,"24%
(12/51)","21%
(11/52)","50%
(15/30)","45%
(13/29)",2/6,2/3,"67%
(54/81)","64%
(52/81)","36%
(29/81)","33%
(27/81)","51%
(83/162)","49%
(79/162)","86%
(12/14)","85%
(11/13)","15%
(2/13)","14%
(2/14)","52%
(14/27)","48%
(13/27)",nadal-rafael,harris-lloyd,05.08.2021 23:10,washington-2021,1-2,3,3,1-2 | 4-6 | 6-1 | 4-6,4-6,,6-1,,4-6,,,,,
5,9,2,1,68%,72%,"62%
(32/52)","66%
(45/68)","67%
(16/24)","30%
(8/27)",3/6,5/12,"34%
(23/68)","38%
(20/52)","67%
(18/27)","25%
(6/24)",7/12,3/6,"63%
(48/76)","56%
(53/95)","44%
(42/95)","37%
(28/76)","53%
(90/171)","47%
(81/171)","69%
(9/13)","57%
(8/14)","43%
(6/14)","31%
(4/13)","56%
(15/27)","44%
(12/27)",nishikori-kei,norrie-cameron,05.08.2021 20:40,washington-2021,2-1,3,3,2-1 | 3-6 | 6-3 | 6-3,3-6,,6-3,,6-3,,,,,
