Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,Distance covered (metres)_left,Distance covered (metres)_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
5,16,4,3,61%,59%,"79%
(59/75)","76%
(69/91)","53%
(25/47)","38%
(24/63)",5/7,9/15,"24%
(22/91)","21%
(16/75)","57%
(36/63)","38%
(18/47)",6/15,2/7,31,57,21,48,"71%
(34/48)","62%
(24/39)","69%
(84/122)","60%
(93/154)","40%
(61/154)","31%
(38/122)","53%
(145/276)","47%
(131/276)","90%
(18/20)","71%
(15/21)","29%
(6/21)","10%
(2/20)","59%
(24/41)","41%
(17/41)",6105,5812,djokovic-novak,berrettini-matteo,11.07.2021 13:10,wimbledon-2021,3-1,4,5,3-1 | 6-7(4-7) | 6-4 | 6-4 | 6-3,6-7,4-7,6-4,,6-4,,6-3,,,
8,5,5,6,61%,67%,"81%
(55/68)","79%
(57/72)","57%
(25/44)","42%
(15/36)",10/11,7/10,"21%
(15/72)","19%
(13/68)","42%
(15/36)","32%
(14/44)",3/10,1/11,33,40,15,36,"85%
(28/33)","77%
(30/39)","71%
(80/112)","67%
(72/108)","33%
(36/108)","29%
(32/112)","53%
(116/220)","47%
(104/220)","94%
(17/18)","83%
(15/18)","17%
(3/18)","6%
(1/18)","56%
(20/36)","44%
(16/36)",4781,4695,djokovic-novak,shapovalov-denis,09.07.2021 15:40,wimbledon-2021,3-0,3,5,3-0 | 7-6(7-3) | 7-5 | 7-5,7-6,7-3,7-5,,7-5,,,,,
22,5,1,2,63%,57%,"86%
(56/65)","68%
(47/69)","61%
(23/38)","50%
(26/52)",2/2,4/10,"32%
(22/69)","14%
(9/65)","46%
(24/52)","37%
(14/38)",6/10,0/2,60,27,18,26,"64%
(16/25)","65%
(28/43)","77%
(79/103)","60%
(73/121)","40%
(48/121)","23%
(24/103)","57%
(127/224)","43%
(97/224)","100%
(18/18)","68%
(13/19)","32%
(6/19)","0%
(0/18)","65%
(24/37)","35%
(13/37)",5457,5324,berrettini-matteo,hurkacz-hubert,09.07.2021 12:35,wimbledon-2021,3-1,4,5,3-1 | 6-3 | 6-0 | 6-7(3-7) | 6-4,6-3,,6-0,,6-7,3-7,6-4,,,
12,13,3,6,66%,59%,"76%
(68/90)","72%
(47/65)","50%
(23/46)","51%
(23/45)",9/12,8/14,"28%
(18/65)","24%
(22/90)","36%
(16/45)","43%
(20/46)",6/14,3/12,33,24,45,41,"62%
(21/34)","57%
(17/30)","67%
(91/136)","64%
(70/110)","36%
(40/110)","33%
(45/136)","53%
(131/246)","47%
(115/246)","86%
(18/21)","71%
(15/21)","29%
(6/21)","14%
(3/21)","57%
(24/42)","43%
(18/42)",5316,5914,berrettini-matteo,auger-aliassime-felix,07.07.2021 16:00,wimbledon-2021,3-1,4,5,3-1 | 6-3 | 5-7 | 7-5 | 6-3,6-3,,5-7,,7-5,,6-3,,,
5,10,3,3,65%,59%,"67%
(40/60)","79%
(41/52)","33%
(11/33)","56%
(20/36)",10/15,3/4,"21%
(11/52)","33%
(20/60)","36%
(13/36)","58%
(19/33)",1/4,5/15,34,36,31,12,"70%
(30/43)","65%
(15/23)","55%
(51/93)","69%
(61/88)","31%
(27/88)","45%
(42/93)","43%
(78/181)","57%
(103/181)","62%
(8/13)","93%
(13/14)","7%
(1/14)","38%
(5/13)","33%
(9/27)","67%
(18/27)",3677,3783,federer-roger,hurkacz-hubert,07.07.2021 15:25,wimbledon-2021,0-3,3,5,0-3 | 3-6 | 6-7(4-7) | 0-6,3-6,,6-7,4-7,0-6,,,,,
4,5,3,5,66%,64%,"82%
(50/61)","58%
(38/65)","44%
(14/32)","53%
(19/36)",5/6,10/14,"42%
(27/65)","18%
(11/61)","33%
(12/36)","47%
(15/32)",4/14,1/6,23,24,30,31,"79%
(22/28)","59%
(16/27)","69%
(64/93)","56%
(57/101)","44%
(44/101)","31%
(29/93)","56%
(108/194)","44%
(86/194)","93%
(14/15)","71%
(10/14)","29%
(4/14)","7%
(1/15)","62%
(18/29)","38%
(11/29)",5011,5117,djokovic-novak,fucsovics-marton,07.07.2021 12:40,wimbledon-2021,3-0,3,5,3-0 | 6-3 | 6-4 | 6-4,6-3,,6-4,,6-4,,,,,
3,17,7,10,61%,63%,"67%
(66/99)","86%
(71/83)","51%
(32/63)","50%
(24/48)",14/19,5/8,"14%
(12/83)","33%
(33/99)","29%
(14/48)","38%
(24/63)",3/8,5/19,31,59,50,48,"64%
(14/22)","73%
(29/40)","60%
(98/162)","73%
(95/131)","27%
(36/131)","40%
(64/162)","46%
(134/293)","54%
(159/293)","79%
(19/24)","88%
(21/24)","13%
(3/24)","21%
(5/24)","46%
(22/48)","54%
(26/48)",6521,6570,khachanov-karen,shapovalov-denis,07.07.2021 12:10,wimbledon-2021,2-3,5,5,2-3 | 4-6 | 6-3 | 7-5 | 1-6 | 4-6,4-6,,6-3,,7-5,,1-6,,4-6,
10,13,4,4,61%,59%,"77%
(73/95)","80%
(66/83)","48%
(29/60)","54%
(31/57)",5/8,1/4,"20%
(17/83)","23%
(22/95)","39%
(22/57)","45%
(27/60)",3/4,3/8,47,45,38,33,"72%
(50/69)","55%
(17/31)","66%
(102/155)","69%
(97/140)","31%
(43/140)","34%
(53/155)","49%
(145/295)","51%
(150/295)","87%
(20/23)","88%
(21/24)","13%
(3/24)","13%
(3/23)","49%
(23/47)","51%
(24/47)",6611,6844,hurkacz-hubert,medvedev-daniil,06.07.2021 12:35,wimbledon-2021,3-2,5,5,3-2 | 2-6 | 7-6(7-2) | 3-6 | 6-3 | 6-3,2-6,,7-6,7-2,3-6,,6-3,,6-3,
4,4,1,2,60%,62%,"79%
(37/47)","66%
(44/67)","65%
(20/31)","44%
(18/41)",2/3,10/15,"34%
(23/67)","21%
(10/47)","51%
(21/41)","32%
(10/31)",5/15,1/3,32,23,26,26,"63%
(29/46)","43%
(10/23)","73%
(57/78)","57%
(62/108)","43%
(46/108)","27%
(21/78)","55%
(103/186)","45%
(83/186)","93%
(14/15)","67%
(10/15)","33%
(5/15)","7%
(1/15)","63%
(19/30)","37%
(11/30)",3717,3965,federer-roger,sonego-lorenzo,05.07.2021 16:40,wimbledon-2021,3-0,3,5,3-0 | 7-5 | 6-4 | 6-2,7-5,,6-4,,6-2,,,,,
17,9,6,20,56%,65%,"71%
(61/86)","79%
(87/110)","60%
(40/67)","34%
(20/58)",6/12,8/13,"21%
(23/110)","29%
(25/86)","31%
(18/58)","31%
(21/67)",5/13,6/12,54,47,51,42,"78%
(31/40)","63%
(25/40)","66%
(101/153)","64%
(107/168)","36%
(61/168)","34%
(52/153)","50%
(162/321)","50%
(159/321)","76%
(19/25)","80%
(20/25)","20%
(5/25)","24%
(6/25)","48%
(24/50)","52%
(26/50)",7793,7724,auger-aliassime-felix,zverev-alexander,05.07.2021 14:10,wimbledon-2021,3-2,5,5,3-2 | 6-4 | 7-6(8-6) | 3-6 | 3-6 | 6-4,6-4,,7-6,8-6,3-6,,3-6,,6-4,
