match_flashscore_id,match_url,tournament_slug,Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,Average 1st serve speed_left,Average 1st serve speed_right,Average 2nd serve speed_left,Average 2nd serve speed_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Last 10 balls_left,Last 10 balls_right,Match points saved_left,Match points saved_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,Distance covered (metres)_left,Distance covered (metres)_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak,match_header,match_surface,match_stage,odds_left,odds_right,odds_bookmaker
xGv4Z7bK,https://www.flashscore.com/match/xGv4Z7bK/,wimbledon,8,15,2,7,62%,53%,"75%
(54/72)","75%
(48/64)","60%
(27/45)","51%
(29/57)",4/6,5/9,207 km/h,201 km/h,174 km/h,169 km/h,"25%
(16/64)","25%
(18/72)","49%
(28/57)","40%
(18/45)",4/9,2/6,40,38,40,36,"75%
(30/40)","74%
(17/23)","69%
(81/117)","64%
(77/121)","36%
(44/121)","31%
(36/117)","53%
(125/238)","47%
(113/238)",6,4,0,1,"90%
(18/20)","80%
(16/20)","20%
(4/20)","10%
(2/20)","55%
(22/40)","45%
(18/40)",10926,11078,sinner-jannik,alcaraz-garfia-carlos,13.07.2025 15:20,wimbledon,3-1,4,5,3-1 | 4-6 | 6-4 | 6-4 | 6-4,4-6,,6-4,,6-4,,6-4,,,,"WIMBLEDON, GRASS - FINAL",grass,Final,1.83,2.00,bet365.us
pvH9xYAl,https://www.flashscore.com/match/pvH9xYAl/,wimbledon,12,12,2,0,74%,67%,"81%
(44/54)","77%
(48/62)","63%
(12/19)","17%
(5/30)",1/2,5/10,203 km/h,194 km/h,176 km/h,169 km/h,"23%
(14/62)","19%
(10/54)","83%
(25/30)","37%
(7/19)",5/10,1/2,36,27,17,28,"65%
(11/17)","57%
(16/28)","77%
(56/73)","58%
(53/92)","42%
(39/92)","23%
(17/73)","58%
(95/165)","42%
(70/165)",5,5,0,3,"93%
(13/14)","64%
(9/14)","36%
(5/14)","7%
(1/14)","64%
(18/28)","36%
(10/28)",2162,2006,sinner-jannik,djokovic-novak,11.07.2025 15:55,wimbledon,3-0,3,5,3-0 | 6-3 | 6-3 | 6-4,6-3,,6-3,,6-4,,,,,,"WIMBLEDON, GRASS - SEMI-FINALS",grass,Semi-Finals,1.40,3.00,bet365.us
pthYeZQF,https://www.flashscore.com/match/pthYeZQF/,wimbledon,19,13,6,3,62%,65%,"80%
(60/75)","88%
(64/73)","57%
(26/46)","57%
(23/40)",4/7,1/2,205 km/h,204 km/h,172 km/h,170 km/h,"12%
(9/73)","20%
(15/75)","43%
(17/40)","43%
(20/46)",1/2,3/7,44,38,24,25,"55%
(12/22)","76%
(31/41)","71%
(86/121)","77%
(87/113)","23%
(26/113)","29%
(35/121)","48%
(112/234)","52%
(122/234)",5,5,0,0,"86%
(19/22)","95%
(20/21)","5%
(1/21)","14%
(3/22)","47%
(20/43)","53%
(23/43)",2618,2658,fritz-taylor,alcaraz-garfia-carlos,11.07.2025 12:40,wimbledon,1-3,4,5,1-3 | 4-6 | 7-5 | 3-6 | 6-7(6-8),4-6,,7-5,,3-6,,6-7,6-8,,,"WIMBLEDON, GRASS - SEMI-FINALS",grass,Semi-Finals,5.00,1.17,bet365.us
UVtzEDE6,https://www.flashscore.com/match/UVtzEDE6/,wimbledon,13,13,4,2,63%,70%,"73%
(66/90)","75%
(61/81)","37%
(19/52)","69%
(24/35)",6/12,0/2,194 km/h,193 km/h,160 km/h,162 km/h,"25%
(20/81)","27%
(24/90)","31%
(11/35)","63%
(33/52)",2/2,6/12,51,39,44,22,"56%
(14/25)","67%
(24/36)","60%
(85/142)","73%
(85/116)","27%
(31/116)","40%
(57/142)","45%
(116/258)","55%
(142/258)",3,7,2,0,"71%
(15/21)","90%
(19/21)","10%
(2/21)","29%
(6/21)","40%
(17/42)","60%
(25/42)",3653,3529,cobolli-flavio,djokovic-novak,09.07.2025 15:25,wimbledon,1-3,4,5,1-3 | 7-6(8-6) | 2-6 | 5-7 | 4-6,7-6,8-6,2-6,,5-7,,4-6,,,,"WIMBLEDON, GRASS - QUARTER-FINALS",grass,Quarter-Finals,8.00,1.08,bet365.us
4p9HGmyg,https://www.flashscore.com/match/4p9HGmyg/,wimbledon,7,14,1,6,65%,59%,"89%
(50/56)","80%
(48/60)","67%
(20/30)","41%
(17/41)",2/2,3/5,199 km/h,209 km/h,166 km/h,176 km/h,"20%
(12/60)","11%
(6/56)","59%
(24/41)","33%
(10/30)",2/5,0/2,33,29,17,38,"86%
(19/22)","75%
(18/24)","81%
(70/86)","64%
(65/101)","36%
(36/101)","19%
(16/86)","57%
(106/187)","43%
(81/187)",6,4,0,2,"100%
(16/16)","88%
(14/16)","13%
(2/16)","0%
(0/16)","56%
(18/32)","44%
(14/32)",2894,2816,sinner-jannik,shelton-ben,09.07.2025 14:35,wimbledon,3-0,3,5,3-0 | 7-6(7-2) | 6-4 | 6-4,7-6,7-2,6-4,,6-4,,,,,,"WIMBLEDON, GRASS - QUARTER-FINALS",grass,Quarter-Finals,1.30,3.50,bet365.us
bmrkkjLs,https://www.flashscore.com/match/bmrkkjLs/,wimbledon,3,13,3,4,69%,72%,"63%
(36/57)","89%
(49/55)","35%
(9/26)","33%
(7/21)",6/11,5/5,179 km/h,202 km/h,154 km/h,171 km/h,"11%
(6/55)","37%
(21/57)","67%
(14/21)","65%
(17/26)",0/5,5/11,13,39,28,26,"67%
(12/18)","71%
(22/31)","54%
(45/83)","74%
(56/76)","26%
(20/76)","46%
(38/83)","41%
(65/159)","59%
(94/159)",5,5,1,0,"62%
(8/13)","100%
(13/13)","0%
(0/13)","38%
(5/13)","31%
(8/26)","69%
(18/26)",2213,2304,norrie-cameron,alcaraz-garfia-carlos,08.07.2025 16:10,wimbledon,0-3,3,5,0-3 | 2-6 | 3-6 | 3-6,2-6,,3-6,,3-6,,,,,,"WIMBLEDON, GRASS - QUARTER-FINALS",grass,Quarter-Finals,11.00,1.05,bet365.us
UPigCXUa,https://www.flashscore.com/match/UPigCXUa/,wimbledon,16,6,2,3,64%,55%,"81%
(54/67)","73%
(48/66)","58%
(22/38)","53%
(28/53)",1/4,5/8,199 km/h,197 km/h,170 km/h,165 km/h,"27%
(18/66)","19%
(13/67)","47%
(25/53)","42%
(16/38)",3/8,3/4,47,35,31,38,"71%
(17/24)","86%
(18/21)","72%
(76/105)","64%
(76/119)","36%
(43/119)","28%
(29/105)","53%
(119/224)","47%
(105/224)",6,4,0,0,"84%
(16/19)","84%
(16/19)","16%
(3/19)","16%
(3/19)","50%
(19/38)","50%
(19/38)",3495,3328,fritz-taylor,khachanov-karen,08.07.2025 12:10,wimbledon,3-1,4,5,3-1 | 6-3 | 6-4 | 1-6 | 7-6(7-4),6-3,,6-4,,1-6,,7-6,7-4,,,"WIMBLEDON, GRASS - QUARTER-FINALS",grass,Quarter-Finals,1.29,3.75,bet365.us
W0WvH4E6,https://www.flashscore.com/match/W0WvH4E6/,wimbledon,4,14,3,3,58%,58%,"82%
(28/34)","84%
(41/49)","44%
(11/25)","50%
(18/36)",2/5,1/2,197 km/h,207 km/h,167 km/h,170 km/h,"16%
(8/49)","18%
(6/34)","50%
(18/36)","56%
(14/25)",1/2,3/5,19,36,21,22,"71%
(10/14)","69%
(20/29)","66%
(39/59)","69%
(59/85)","31%
(26/85)","34%
(20/59)","45%
(65/144)","55%
(79/144)",5,5,0,0,"75%
(9/12)","92%
(12/13)","8%
(1/13)","25%
(3/12)","40%
(10/25)","60%
(15/25)",2110,2000,sinner-jannik,dimitrov-grigor,07.07.2025 17:55,wimbledon,0-2,3,3,0-2 | 3-6 | 5-7 | 2-2,3-6,,5-7,,2-2,,,,,,"WIMBLEDON, GRASS - 1/8-FINALS",grass,1/8-Finals,1.03,17.00,bet365.us
Wpboiuqo,https://www.flashscore.com/match/Wpboiuqo/,wimbledon,8,8,5,3,60%,69%,"74%
(56/76)","72%
(59/82)","62%
(31/50)","47%
(17/36)",4/6,2/6,209 km/h,193 km/h,172 km/h,167 km/h,"28%
(23/82)","26%
(20/76)","53%
(19/36)","38%
(19/50)",4/6,2/6,47,29,41,34,"74%
(43/58)","63%
(31/49)","69%
(87/126)","64%
(76/118)","36%
(42/118)","31%
(39/126)","53%
(129/244)","47%
(115/244)",8,2,0,0,"90%
(18/20)","80%
(16/20)","20%
(4/20)","10%
(2/20)","55%
(22/40)","45%
(18/40)",4102,4016,shelton-ben,sonego-lorenzo,07.07.2025 14:35,wimbledon,3-1,4,5,3-1 | 3-6 | 6-1 | 7-6(7-1) | 7-5,3-6,,6-1,,7-6,7-1,7-5,,,,"WIMBLEDON, GRASS - 1/8-FINALS",grass,1/8-Finals,1.29,3.75,bet365.us
rNKwelpJ,https://www.flashscore.com/match/rNKwelpJ/,wimbledon,1,6,4,5,55%,66%,"56%
(35/62)","69%
(59/85)","57%
(29/51)","41%
(18/44)",7/13,13/19,197 km/h,190 km/h,161 km/h,159 km/h,"31%
(26/85)","44%
(27/62)","59%
(26/44)","43%
(22/51)",6/19,6/13,29,38,38,44,"70%
(28/40)","67%
(35/52)","57%
(65/115)","60%
(77/129)","40%
(52/129)","43%
(50/115)","48%
(116/244)","52%
(126/244)",1,9,0,0,"67%
(12/18)","68%
(13/19)","32%
(6/19)","33%
(6/18)","49%
(18/37)","51%
(19/37)",5671,5197,de-minaur-alex,djokovic-novak,07.07.2025 12:40,wimbledon,1-3,4,5,1-3 | 6-1 | 4-6 | 4-6 | 4-6,6-1,,4-6,,4-6,,4-6,,,,"WIMBLEDON, GRASS - 1/8-FINALS",grass,1/8-Finals,5.50,1.14,bet365.us
